smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
COC(=O)/C(C#N)=C/c1cccn1C	ZINC000000061369	BBMSFUTXBYZDFH-SOFGYWHQSA-N	190.202	1.105	30	30	ADEC	
Cc1cc(C)c(CO)c(C)c1/C=N\O	ZINC000000137996	JACAKGJKFAZQDD-XGICHPGQSA-N	193.246	1.912	30	30	ADEC	
C(=N\n1cncn1)\c1ccccc1	ZINC000000248277	CXYNAVGOSKIZJQ-WDZFZDKYSA-N	172.191	1.160	30	30	ADEC	
Cc1ccsc1/C=N\n1cnnc1	ZINC000000255791	RHWLAJGSMALZQE-WCIBSUBMSA-N	192.247	1.530	30	30	ADEC	
O/N=C\c1ccc(Br)o1	ZINC000000375251	IFWZXDMZYQEEFZ-CLTKARDFSA-N	189.996	1.850	30	30	ADEC	
Fc1cccc(/C=N\n2cnnc2)c1	ZINC000000520431	BNDXIZPBMCIRAD-ACAGNQJTSA-N	190.181	1.299	30	30	ADEC	
Cc1ccccc1/C=N\n1cnnc1	ZINC000000520725	WFXHZDHDHXPXMP-MLPAPPSSSA-N	186.218	1.469	30	30	ADEC	
C/C(=N/O)c1sc2ncnn2c1C	ZINC000001401927	HWSJBGREERNYAV-WMZJFQQLSA-N	196.235	1.297	30	30	ADEC	
CC(=O)OC/C=C(/C)CCC=O	ZINC000001659779	RGAIVGKJOJFCTG-YVMONPNESA-N	170.208	1.475	30	30	ADEC	
N#C/C=C1\NCCc2ccccc21	ZINC000001871187	LHYRDJGSLCDNHX-WZUFQYTHSA-N	170.215	1.697	30	30	ADEC	
C/N=C\c1cccc(OC)c1	ZINC000002167417	GMYWIOGIHDHYMK-YFHOEESVSA-N	149.193	1.744	30	30	ADEC	
C(=N\c1nccs1)\N1CCOCC1	ZINC000002626444	DNEUGYGXZUJAPN-YFHOEESVSA-N	197.263	1.135	30	30	ADEC	
C/C(C=C(C#N)C#N)=C/C(C#N)C#N	ZINC000002770644	YEOJKUYNLISWAC-WAPJZHGLSA-N	182.186	1.570	30	30	ADEC	
Nc1nnc(/N=C/c2ccccc2)[nH]1	ZINC000003040538	QRZQOPZNFFMUBB-IZZDOVSWSA-N	187.206	1.138	30	30	ADEC	
CCCC[N+]12CCC(CC1)C(=O)C2	ZINC000003171367	QKOQSVCNAPNNPQ-UHFFFAOYSA-N	182.287	1.596	30	30	ADEC	
CO/N=[N+](/[O-])[C@H](Cl)CCl	ZINC000003171592	YYHDSEUOPGIDQT-DEGVGHJYSA-N	172.999	1.314	30	30	ADEC	
CO/N=[N+](/[O-])[C@@H](Cl)CCl	ZINC000003171595	YYHDSEUOPGIDQT-XXDUPIHTSA-N	172.999	1.314	30	30	ADEC	
Sc1nncn1/N=C\c1ccco1	ZINC000003182665	HCOVGQWJYXPDFK-WTKPLQERSA-N	194.219	1.042	30	30	ADEC	
C#CC(C)(C)NCCC(=O)/C(C)=C\C	ZINC000003684403	BRYKIEZOFNCPOG-POHAHGRESA-N	193.290	1.913	30	30	ADEC	
N/N=C(\N)C12CC3CC(CC(C3)C1)C2	ZINC000004203872	AULIWGWZHZKXII-UHFFFAOYSA-N	193.294	1.434	30	30	ADEC	
CC1(C)[C@H]2CC[C@]1(C)/C(=N/O)[C@@H]2N	ZINC000004266680	OGTKYQNLHJRKMD-NBSQHVCNSA-N	182.267	1.600	30	30	ADEC	
CO/N=C\c1c(C)nc2ccccn12	ZINC000004470782	QLPQYTUNXUXRJR-XFFZJAGNSA-N	189.218	1.623	30	30	ADEC	
CN(C)/C=N\c1cccc2nonc21	ZINC000004595804	HYXDAYKTBOEUGR-POHAHGRESA-N	190.206	1.444	30	30	ADEC	
C/C(=N/O)c1c(C)c[nH]c1C	ZINC000004729628	PNTRWIFOMIPRHB-YFHOEESVSA-N	152.197	1.830	30	30	ADEC	
CC1=C/C(=N/NC(=O)C2CC2)CC1	ZINC000004863914	VRUMVIVKJJRCOX-PKNBQFBNSA-N	178.235	1.609	30	30	ADEC	
CN/C=C(/Cl)C(=O)C(F)(F)F	ZINC000004865168	BWRGWHMJIVLJRV-NSCUHMNNSA-N	187.548	1.417	30	30	ADEC	
