smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C=CC#C[C@H](C)OCCCl	ZINC000104716957	IJFVRASFWVTXIP-QMMMGPOBSA-N	158.628	1.820	30	20	ADED	
C=CC#C[C@@H](C)OCCCl	ZINC000104716960	IJFVRASFWVTXIP-MRVPVSSYSA-N	158.628	1.820	30	20	ADED	
COC(=O)N(C)CCCCl	ZINC000104716967	BQFOVIOSQDLVGH-UHFFFAOYSA-N	165.620	1.314	30	20	ADED	
CNC(=O)CCCCCCl	ZINC000104716984	AGXFOQFVDPFMQV-UHFFFAOYSA-N	163.648	1.532	30	20	ADED	
C[C@]1(CCl)CCOO1	ZINC000104717001	JJHJOQPPTLJFHV-RXMQYKEDSA-N	136.578	1.336	30	20	ADED	
C[C@@]1(CCl)CCOO1	ZINC000104717003	JJHJOQPPTLJFHV-YFKPBYRVSA-N	136.578	1.336	30	20	ADED	
O=CC[C@H](Cl)CCl	ZINC000104717006	IGSINHLIWODSLM-BYPYZUCNSA-N	140.997	1.422	30	20	ADED	
O=CC[C@@H](Cl)CCl	ZINC000104717008	IGSINHLIWODSLM-SCSAIBSYSA-N	140.997	1.422	30	20	ADED	
C=C(CCl)CCOO	ZINC000104717010	FXEGVACVRDRBAG-UHFFFAOYSA-N	136.578	1.661	30	20	ADED	
C[C@]1(CCCl)CCOCO1	ZINC000104717014	KLKKDJRPXQTOGJ-ZETCQYMHSA-N	164.632	1.768	30	20	ADED	
C[C@@]1(CCCl)CCOCO1	ZINC000104717018	KLKKDJRPXQTOGJ-SSDOTTSWSA-N	164.632	1.768	30	20	ADED	
O=[S@@](Cl)CCCCl	ZINC000104717022	DYUXKYMOAGRODF-ZETCQYMHSA-N	161.053	1.518	30	20	ADED	
O=[S@](Cl)CCCCl	ZINC000104717025	DYUXKYMOAGRODF-SSDOTTSWSA-N	161.053	1.518	30	20	ADED	
C=C(CCl)OC(=O)C(C)C	ZINC000104717068	DNWNQQSIXVBVOE-UHFFFAOYSA-N	162.616	1.938	30	20	ADED	
C=C(C)C1=NO[C@H](CCl)C1	ZINC000104717079	PJGBJBGJYWQMIC-LURJTMIESA-N	159.616	1.946	30	20	ADED	
C=C(C)C1=NO[C@@H](CCl)C1	ZINC000104717083	PJGBJBGJYWQMIC-ZCFIWIBFSA-N	159.616	1.946	30	20	ADED	
C=CC1=NO[C@H](CCl)C1	ZINC000104717094	CKTORWXRGVSNMI-LURJTMIESA-N	145.589	1.556	30	20	ADED	
C=CC1=NO[C@@H](CCl)C1	ZINC000104717098	CKTORWXRGVSNMI-ZCFIWIBFSA-N	145.589	1.556	30	20	ADED	
CC1(OC(=O)CCl)CCC1	ZINC000104717102	SFEMUESYMYSYKX-UHFFFAOYSA-N	162.616	1.711	30	20	ADED	
OCC1(CCl)CCCC1	ZINC000104717127	IJAWGLPEJVASER-UHFFFAOYSA-N	148.633	1.778	30	20	ADED	
CC(=O)C/C=C/CCl	ZINC000104717134	UKUWALQDKGBOLV-NSCUHMNNSA-N	132.590	1.761	30	20	ADED	
C[C@H](Cl)/C=C/CC(=O)O	ZINC000104717373	XAAZJIWABWKJGO-HRJJCQLASA-N	148.589	1.645	30	20	ADED	
C[C@@H](Cl)/C=C/CC(=O)O	ZINC000104717376	XAAZJIWABWKJGO-WVSAJJKCSA-N	148.589	1.645	30	20	ADED	
C=CCC[C@H](Cl)C(=O)O	ZINC000104717395	VVAQVOMMHBPRJT-YFKPBYRVSA-N	148.589	1.645	30	20	ADED	
C=CCC[C@@H](Cl)C(=O)O	ZINC000104717400	VVAQVOMMHBPRJT-RXMQYKEDSA-N	148.589	1.645	30	20	ADED	
CC1(C)[C@H](Cl)[C@@H]1C(=O)O	ZINC000104717410	GHXJAGHRKSJMPQ-QWWZWVQMSA-N	148.589	1.334	30	20	ADED	
CC1(C)[C@H](Cl)[C@H]1C(=O)O	ZINC000104717412	GHXJAGHRKSJMPQ-IUYQGCFVSA-N	148.589	1.334	30	20	ADED	
