smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C[C@@H]1C[C@@H](CCCCC=O)NC1=O	ZINC000238424366	NTCIJAJRJNDISS-RKDXNWHRSA-N	183.251	1.270	30	10	ADEE	
C[C@@H](Cl)C(=O)[C@@H]1COC(C)(C)O1	ZINC000238424414	FSPDKWQGZVUVBS-RITPCOANSA-N	192.642	1.334	30	10	ADEE	
CC1=C(C)[C@@H]([C@@H](C)C(=O)O)CC1=O	ZINC000238424478	RMYHVMFYXBOQBE-SFYZADRCSA-N	182.219	1.633	30	10	ADEE	
C[C@H](CCCl)OC(=O)N(C)C	ZINC000238424512	KSZSXTNYWNORRT-ZCFIWIBFSA-N	179.647	1.702	30	10	ADEE	
C[C@@H](Cl)C(=O)[C@H]1COC(C)(C)O1	ZINC000238424524	FSPDKWQGZVUVBS-PHDIDXHHSA-N	192.642	1.334	30	10	ADEE	
C[C@H](C=O)CCCC[C@@H]1CO1	ZINC000238424576	ZETJFHQXSCYGET-DTWKUNHWSA-N	156.225	1.781	30	10	ADEE	
C[C@H]1CC(=O)C(O)=C(O)C1	ZINC000238424634	RAVMTTWOWXYCBN-SCSAIBSYSA-N	142.154	1.313	30	10	ADEE	
CC1=CC[C@H]([C@@H](C)C(=O)O)CC1=O	ZINC000238424654	WBPNIFAWLPCWGX-SFYZADRCSA-N	182.219	1.633	30	10	ADEE	
C[C@H](C=O)CCCC[C@H]1CO1	ZINC000238424663	ZETJFHQXSCYGET-IUCAKERBSA-N	156.225	1.781	30	10	ADEE	
C=CC(=O)[C@H](C)[C@H]1CC=CC1=O	ZINC000238424675	WLHLIGCRUHEXAE-HTQZYQBOSA-N	164.204	1.523	30	10	ADEE	
C[C@@H](CCCCl)C(=O)N(C)C	ZINC000238424791	MWBZOLXLSLUHKH-ZETCQYMHSA-N	177.675	1.730	30	10	ADEE	
CC(=O)C1=C(O)[C@H](C)SC1=O	ZINC000238424793	NARDMPOIXDYJLI-BYPYZUCNSA-N	172.205	1.049	30	10	ADEE	
COc1nccc(CCl)c1OC	ZINC000238425079	DICGRPSCWSKDCS-UHFFFAOYSA-N	187.626	1.838	30	10	ADEE	
Cc1ccc(O)c(S[C@H](C)C=O)n1	ZINC000238425088	UXIIEAVWZDVUIJ-SSDOTTSWSA-N	197.259	1.775	30	10	ADEE	
C[C@H](O)[C@H]1C[C@@H](CC=O)C1(C)C	ZINC000238425139	TYCNIVYLIXADIT-DJLDLDEBSA-N	170.252	1.619	30	10	ADEE	
