smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CCOC(=O)c1cc(C)oc1C	ZINC000002559282	DNYLSCDHFCSDRM-UHFFFAOYSA-N	168.192	2.073	0	50	AEAA	
O=[N+]([O-])c1ccccc1OC(F)F	ZINC000002559324	VICWTNGFGCVEHT-UHFFFAOYSA-N	189.117	2.196	0	50	AEAA	
CC1(C)[C@H]2C[C@@H]1[C@@H](CO)CC2	ZINC000002559334	LDWAIHWGMRVEFR-IWSPIJDZSA-N	154.253	2.051	0	50	AEAA	biogenic,in-vitro
CC(=O)c1ccc(C(C)=O)s1	ZINC000002559381	ATLWDAOOUUVIKP-UHFFFAOYSA-N	168.217	2.153	0	50	AEAA	
FC(F)c1cc(C(F)F)[nH]n1	ZINC000002559437	YYPFZXBEOCAFDL-UHFFFAOYSA-N	168.093	2.285	0	50	AEAA	
CCc1c(C)scc1C(=O)O	ZINC000002559442	PLGXACUSGWZNKZ-UHFFFAOYSA-N	170.233	2.317	0	50	AEAA	
CCc1cc(C(=O)O)cs1	ZINC000002559444	WGPALAIKGVKNGT-UHFFFAOYSA-N	156.206	2.009	0	50	AEAA	
CCCc1cc(C(=O)O)cs1	ZINC000002559445	GWLJQYJHQHGTJW-UHFFFAOYSA-N	170.233	2.399	0	50	AEAA	
COc1cc(C=O)c(F)cc1Cl	ZINC000002559483	XWPDQEBSWPVPKG-UHFFFAOYSA-N	188.585	2.300	0	50	AEAA	
Cc1ccc(N2CCC(=O)CC2)cc1	ZINC000002559658	JWWPZSUQVZPAHD-UHFFFAOYSA-N	189.258	2.164	0	50	AEAA	
Cc1c2cc(C)ccc2[nH]c1C(=O)O	ZINC000002559675	GBZZEXCOEXFISD-UHFFFAOYSA-N	189.214	2.483	0	50	AEAA	
CC[C@H](N)c1nc2ccc(C)cc2[nH]1	ZINC000002559705	UAUIXCLRTQDOOJ-QMMMGPOBSA-N	189.262	2.281	0	50	AEAA	
Cc1cccc(N2CCC(=O)CC2)c1	ZINC000002559731	GVPYLQUBHKXFJP-UHFFFAOYSA-N	189.258	2.164	0	50	AEAA	
C[C@H](O)[C@@H](C)c1ccccc1	ZINC000002559792	KDNYCTPSPZHJQF-BDAKNGLRSA-N	150.221	2.171	0	50	AEAA	
Clc1cnc(Cl)c(Cl)n1	ZINC000002559894	VDCVWLBXEWOGCO-UHFFFAOYSA-N	183.425	2.437	0	50	AEAA	
Cc1nccc(-c2ccccc2)n1	ZINC000002559921	DNXHGGGLGZKHIG-UHFFFAOYSA-N	170.215	2.452	0	50	AEAA	
CC(CO)(C(F)(F)F)C(F)(F)F	ZINC000002560081	PDVIQMXPNJDUGQ-UHFFFAOYSA-N	196.090	2.110	0	50	AEAA	
FC(F)OCC(F)(F)C(F)F	ZINC000002560092	PCTQNZRJAGLDPD-UHFFFAOYSA-N	182.063	2.126	0	50	AEAA	
CC(=O)c1ccccc1OC(F)F	ZINC000002560123	GSIJRMUIVJNUGP-UHFFFAOYSA-N	186.157	2.491	0	50	AEAA	
CC(=O)c1cccc(OC(F)F)c1	ZINC000002560124	RLBDNZCDRGGGEE-UHFFFAOYSA-N	186.157	2.491	0	50	AEAA	
O=Cc1cccc(OC(F)F)c1	ZINC000002560126	HFIUSWPRDIPIPN-UHFFFAOYSA-N	172.130	2.101	0	50	AEAA	
N#Cc1cccc(OC(F)F)c1	ZINC000002560128	JCBOPIBHZFBHQW-UHFFFAOYSA-N	169.130	2.160	0	50	AEAA	
N#CCc1ccccc1OC(F)F	ZINC000002560141	KAVMQGLPFAEOLH-UHFFFAOYSA-N	183.157	2.354	0	50	AEAA	
N#CCc1cccc(OC(F)F)c1	ZINC000002560142	LBUREXPMNBZKFH-UHFFFAOYSA-N	183.157	2.354	0	50	AEAA	
