smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC1=C[C@H](O)[C@@](F)(C(C)C)CC1	ZINC000039104573	CLSNXMLLQMVACL-UWVGGRQHSA-N	172.243	2.452	0	40	AEAB	
CC1=CC[C@@](F)(C(C)C)C[C@@H]1O	ZINC000039104574	LYFPEIBHNIWAQO-UWVGGRQHSA-N	172.243	2.452	0	40	AEAB	
CCO[C@H]1O[C@@H](C)C[C@H]1C(C)C	ZINC000039104579	FSQVZRUCDHIMTC-GUBZILKMSA-N	172.268	2.430	0	40	AEAB	
CCO[C@@H]1O[C@@H](C)C[C@H]1C(C)C	ZINC000039104580	FSQVZRUCDHIMTC-LPEHRKFASA-N	172.268	2.430	0	40	AEAB	
CCO[C@H]1O[C@@H](C)C[C@@H]1C(C)C	ZINC000039104581	FSQVZRUCDHIMTC-AEJSXWLSSA-N	172.268	2.430	0	40	AEAB	
CCO[C@@H]1O[C@@H](C)C[C@@H]1C(C)C	ZINC000039104582	FSQVZRUCDHIMTC-IVZWLZJFSA-N	172.268	2.430	0	40	AEAB	
CC(C)[C@H]1OC(C)(C)OC[C@H]1C	ZINC000039104608	JQPCHMSRKFPGBP-RKDXNWHRSA-N	172.268	2.430	0	40	AEAB	
CO[C@@]1(C)CCO[C@H](C(C)C)C1	ZINC000039104612	SFJDAIHCJHFTTE-UWVGGRQHSA-N	172.268	2.227	0	40	AEAB	
CO[C@@]1(C)CCO[C@@H](C(C)C)C1	ZINC000039104613	SFJDAIHCJHFTTE-ZJUUUORDSA-N	172.268	2.227	0	40	AEAB	
CO[C@]1(C)CCO[C@H](C(C)C)C1	ZINC000039104614	SFJDAIHCJHFTTE-VHSXEESVSA-N	172.268	2.227	0	40	AEAB	
CO[C@]1(C)CCO[C@@H](C(C)C)C1	ZINC000039104615	SFJDAIHCJHFTTE-NXEZZACHSA-N	172.268	2.227	0	40	AEAB	
CC(C)N1C=CSCC1=S	ZINC000039104637	LSELCYRZHPPIJU-UHFFFAOYSA-N	173.306	2.242	0	40	AEAB	
CCN1CCCS[C@@H]1C(C)C	ZINC000039104671	IDZDWNZOTOEQEG-SECBINFHSA-N	173.325	2.427	0	40	AEAB	
CCN1CCCS[C@H]1C(C)C	ZINC000039104672	IDZDWNZOTOEQEG-VIFPVBQESA-N	173.325	2.427	0	40	AEAB	
CC(C)N1CC(C)(C)SC1=O	ZINC000039104679	ACBGGSWSODEOCJ-UHFFFAOYSA-N	173.281	2.342	0	40	AEAB	
CC(C)[C@@H]1SC[C@H](C#N)S1	ZINC000039104680	KUEVHWNFGURULF-NKWVEPMBSA-N	173.306	2.341	0	40	AEAB	
CC(C)[C@H]1SC[C@H](C#N)S1	ZINC000039104681	KUEVHWNFGURULF-BQBZGAKWSA-N	173.306	2.341	0	40	AEAB	
CC(C)[C@@H]1SC[C@@H](C#N)S1	ZINC000039104682	KUEVHWNFGURULF-RNFRBKRXSA-N	173.306	2.341	0	40	AEAB	
CC(C)[C@H]1SC[C@@H](C#N)S1	ZINC000039104683	KUEVHWNFGURULF-RQJHMYQMSA-N	173.306	2.341	0	40	AEAB	
CC(C)c1ccc(C#N)c(=O)cc1	ZINC000039104711	ZQEMHTWEUWEATH-UHFFFAOYSA-N	173.215	2.042	0	40	AEAB	
CC(C)c1cccc(=O)c(C#N)c1	ZINC000039104712	JJMJEDFNWHIKRH-UHFFFAOYSA-N	173.215	2.042	0	40	AEAB	
CC(C)c1cccc(C#N)c(=O)c1	ZINC000039104713	SPUJMMXQOOZEJU-UHFFFAOYSA-N	173.215	2.042	0	40	AEAB	
CC(C)c1nc(S)sc1N	ZINC000039104733	AHDJKHUOKILYDJ-UHFFFAOYSA-N	174.294	2.137	0	40	AEAB	
CC(C)c1ccccc1C#CCO	ZINC000039104749	VRTQVCJWKOMQHB-UHFFFAOYSA-N	174.243	2.154	0	40	AEAB	
CC(C)N1Cc2ccccc2C=N1	ZINC000039104759	CQONLZUGCGWNJJ-UHFFFAOYSA-N	174.247	2.245	0	40	AEAB	
CC(C)c1cccc2c1CC(=O)C2	ZINC000039104761	QUDWUXHMYKVYIY-UHFFFAOYSA-N	174.243	2.478	0	40	AEAB	
Cc1cn2nc(C(C)C)ccc2n1	ZINC000039104818	HJBVAXYTVLBWGW-UHFFFAOYSA-N	175.235	2.161	0	40	AEAB	
CC(C)c1ccc2c(c1)C[C@H](N)C2	ZINC000039104827	UONHZUNCRRVNPG-GFCCVEGCSA-N	175.275	2.236	0	40	AEAB	
CC(C)c1ccc2c(c1)C[C@@H](N)C2	ZINC000039104828	UONHZUNCRRVNPG-LBPRGKRZSA-N	175.275	2.236	0	40	AEAB	
CC(C)[C@@H]1NC(=O)c2ccccc21	ZINC000039104836	PGUXFHVBRYSFMC-JTQLQIEISA-N	175.231	2.127	0	40	AEAB	
CC(C)[C@H]1NC(=O)c2ccccc21	ZINC000039104837	PGUXFHVBRYSFMC-SNVBAGLBSA-N	175.231	2.127	0	40	AEAB	
CC(C)N1CCCSC1=S	ZINC000039104843	RYECUWMXTRKLBY-UHFFFAOYSA-N	175.322	2.119	0	40	AEAB	
Cc1cc2ncc(C(C)C)cn2n1	ZINC000039104850	JZHBVQBACTXXCN-UHFFFAOYSA-N	175.235	2.161	0	40	AEAB	
CC(C)N1C[C@@H](C)SC1=S	ZINC000039104860	AJPFYHMXGZKJHQ-ZCFIWIBFSA-N	175.322	2.117	0	40	AEAB	
CC(C)N1C[C@H](C)SC1=S	ZINC000039104861	AJPFYHMXGZKJHQ-LURJTMIESA-N	175.322	2.117	0	40	AEAB	
CC(C)N1Cc2ccccc2C1=O	ZINC000039104862	KTKXZUQPMJVMKJ-UHFFFAOYSA-N	175.231	2.051	0	40	AEAB	
OCC1=CC[C@H]2C(=C1)[C@H]1CC[C@@H]2C1	ZINC000039111318	SURCHIIFERBBHZ-OUAUKWLOSA-N	176.259	2.281	0	40	AEAB	
OCC1=CC[C@H]2C(=C1)[C@@H]1CC[C@H]2C1	ZINC000039111319	SURCHIIFERBBHZ-HBNTYKKESA-N	176.259	2.281	0	40	AEAB	
COC1(OC)CCC(CF)CC1	ZINC000039111329	PIAMPAYVWAISQU-UHFFFAOYSA-N	176.231	2.135	0	40	AEAB	
C=CC[C@H]1C(=O)[C@@H]2[C@H]1[C@@H]1CC[C@H]2C1	ZINC000039111332	VKHZBERYFDFLRE-XXFSISAASA-N	176.259	2.424	0	40	AEAB	
C=CC[C@@H]1C(=O)[C@@H]2[C@H]1[C@@H]1CC[C@H]2C1	ZINC000039111333	VKHZBERYFDFLRE-NMUGVGKYSA-N	176.259	2.424	0	40	AEAB	
