smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
c1c2ccccc2n2c1CNCCC2	ZINC000000000983	FEJCIXJKPISCJV-UHFFFAOYSA-N	186.258	2.135	0	30	AEAC	in-man
N#Cc1cccc([C@H]2CCCNC2)c1	ZINC000000007988	RDRGDNFLGKTNOF-LBPRGKRZSA-N	186.258	2.025	0	30	AEAC	
CC1=N[C@H](Cc2ccccc2)CO1	ZINC000000155959	XFGDWXDHKJEUEA-LLVKDONJSA-N	175.231	2.046	0	30	AEAC	
CC(=O)[C@H]1C[C@H](CC#N)C1(C)C	ZINC000000248481	VILTYDDIGXXGBZ-DTWKUNHWSA-N	165.236	2.151	0	30	AEAC	
CCCN(CCO)[C@@H]1CCC[C@H](C)C1	ZINC000000280555	NBSZUZVRSOMROT-NWDGAFQWSA-N	199.338	2.269	0	30	AEAC	
Cc1cc(NC(=O)C2CCCC2)no1	ZINC000000362175	WKVNTOKMJRMEBY-UHFFFAOYSA-N	194.234	2.112	0	30	AEAC	
Cc1ccnc(NC(=O)C2CCC2)c1	ZINC000000363636	HSSJQJNPWCTXMV-UHFFFAOYSA-N	190.246	2.129	0	30	AEAC	
O=C(Nc1ccc(F)cc1)NC1CC1	ZINC000000369651	MCZDWHZJEKCGOD-UHFFFAOYSA-N	194.209	2.110	0	30	AEAC	
C[n+]1ccc(Oc2ccccc2)cc1	ZINC000000369944	MRDSWFLOXQFTFR-UHFFFAOYSA-N	186.234	2.303	0	30	AEAC	
CC(=O)c1csc(C(C)=O)c1	ZINC000000375128	VQYFGYHGEASLBQ-UHFFFAOYSA-N	168.217	2.153	0	30	AEAC	
CCOC(=O)c1c(C)coc1C	ZINC000000405330	UKPBLUSMWYHMCH-UHFFFAOYSA-N	168.192	2.073	0	30	AEAC	biogenic,in-vitro
Cc1cc(C)cc(C(=O)N(C)C)c1	ZINC000000496653	FKHDPPCXVFHOMW-UHFFFAOYSA-N	177.247	2.005	0	30	AEAC	
CCNC(=O)c1cc(C)cc(C)c1	ZINC000000496679	JAFYQOSMKVIDNI-UHFFFAOYSA-N	177.247	2.053	0	30	AEAC	
C/C=C1/OC(=O)c2ccccc21	ZINC000000507677	FLOWXWKOKRXGBR-XNWCZRBMSA-N	160.172	2.218	0	30	AEAC	
Cc1ccccc1C(=O)N1CCCC1	ZINC000000580994	BYKLMXBCNKNGLB-UHFFFAOYSA-N	189.258	2.231	0	30	AEAC	
CCCC(=O)Nc1ccc(C)cc1O	ZINC000001017176	AKXXWOQIECWIEH-UHFFFAOYSA-N	193.246	2.439	0	30	AEAC	
O=C1C[C@@H]2C[C@H]3C[C@@H](C2)[C@@H]1C3	ZINC000001036946	BYLLPDFBHUIPKF-KZVJFYERSA-N	150.221	2.012	0	30	AEAC	
CNC(=O)CCC1CCCCC1	ZINC000001090577	NKQAGLASNCWFIR-UHFFFAOYSA-N	169.268	2.093	0	30	AEAC	
CN(C)c1ccc(-c2ccccc2)nn1	ZINC000001351890	XAIYYANINDXOQO-UHFFFAOYSA-N	199.257	2.210	0	30	AEAC	
O=C1CCC[C@@H]2CCC[C@H]12	ZINC000001571247	FKHQVTZBKCBVOA-YUMQZZPRSA-N	138.210	2.156	0	30	AEAC	
O=C1CCC[C@@H]2CCC[C@@H]12	ZINC000001571248	FKHQVTZBKCBVOA-JGVFFNPUSA-N	138.210	2.156	0	30	AEAC	
O=C1CCC[C@H]2CCC[C@H]12	ZINC000001571249	FKHQVTZBKCBVOA-SFYZADRCSA-N	138.210	2.156	0	30	AEAC	
CC(C)N(c1ccnc(F)n1)C(C)C	ZINC000001585906	CJFUEOQRIJODEB-UHFFFAOYSA-N	197.257	2.239	0	30	AEAC	
CC1(C)CN(Cc2ccccc2)C1=O	ZINC000001613163	HJZDKZMSDOXSNM-UHFFFAOYSA-N	189.258	2.055	0	30	AEAC	
CC(=O)C[C@H]1C[C@@H]2CC[C@H]1C2	ZINC000001656049	HQFXOWPCBCGBCD-UTLUCORTSA-N	152.237	2.402	0	30	AEAC	
CN(C)CCCC[C@H]1CCCN(C)C1	ZINC000001656346	DIFNEXATZUOOME-LBPRGKRZSA-N	198.354	2.060	0	30	AEAC	
C=CC[N+](C)(C)Cc1ccccc1	ZINC000001671334	YVEJDOBFMBXLPV-UHFFFAOYSA-N	176.283	2.449	0	30	AEAC	
C[C@H]1CCC2(C1)CCNCC2	ZINC000001698140	JTTHNODDZCODAT-VIFPVBQESA-N	153.269	2.176	0	30	AEAC	
C=C1C[C@H](c2ccccc2)OC1=O	ZINC000001700059	QQZWJUGXPKGMND-SNVBAGLBSA-N	174.199	2.231	0	30	AEAC	
O=C1CCCCC[C@@H]2C[C@@H]12	ZINC000001711544	ILBLIHIMMWSJSC-HTQZYQBOSA-N	138.210	2.156	0	30	AEAC	
O=C1CCCCC[C@@H]2C[C@H]12	ZINC000001711545	ILBLIHIMMWSJSC-SFYZADRCSA-N	138.210	2.156	0	30	AEAC	
O=[N+]([O-])C1(Cl)CCCCC1	ZINC000001718049	BVPOIBVHGHIKHN-UHFFFAOYSA-N	163.604	2.162	0	30	AEAC	
C=CC[N+](C)(C)c1ccccc1	ZINC000001855520	QBPXAWJUGWCXPK-UHFFFAOYSA-N	162.256	2.440	0	30	AEAC	
Cc1c(C)n(C)c2c1C(=O)CCC2	ZINC000002029354	GXBFSPVRTYSDLI-UHFFFAOYSA-N	177.247	2.161	0	30	AEAC	
O=C1CCCC[C@H]2C[C@@H]2C1	ZINC000002032081	UHIRTLNJSKJJAR-JGVFFNPUSA-N	138.210	2.156	0	30	AEAC	
O=C1CCCC[C@@H]2C[C@H]2C1	ZINC000002032083	UHIRTLNJSKJJAR-SFYZADRCSA-N	138.210	2.156	0	30	AEAC	
O=C1CCCC[C@H]2C[C@H]2C1	ZINC000002032084	UHIRTLNJSKJJAR-YUMQZZPRSA-N	138.210	2.156	0	30	AEAC	
NCCSSc1ccccc1	ZINC000002038256	WTGGJAWHQCMISE-UHFFFAOYSA-N	185.317	2.386	0	30	AEAC	
C=C1C[C@@H](c2ccccc2)OC1=O	ZINC000002042913	QQZWJUGXPKGMND-JTQLQIEISA-N	174.199	2.231	0	30	AEAC	
C[C@]1(C[N+](C)(C)C)C[C@H]2C=C[C@@H]1C2	ZINC000002339306	CYNGRISEYDKTSR-QJPTWQEYSA-N	180.315	2.295	0	30	AEAC	
CSCC(C)(C)C	ZINC000002390163	YUFAJXXIXSYTMS-UHFFFAOYSA-N	118.245	2.396	0	30	AEAC	
N=C1C[N+](c2ccc(Cl)cc2)=NO1	ZINC000002479903	YLHNRPFHVPEKJB-UHFFFAOYSA-N	196.617	2.359	0	30	AEAC	
CCOC(=O)[C@@H]1CCCC[C@@H]1C	ZINC000002507850	HBJZBPQYTLKQBY-DTWKUNHWSA-N	170.252	2.376	0	30	AEAC	
C[C@@H]1NC(=S)O[C@@H]1c1ccccc1	ZINC000002510158	KQSZLXCAZDPTNY-CBAPKCEASA-N	193.271	2.021	0	30	AEAC	
CC(C)Cc1ccco1	ZINC000002534122	CEUCQOVUFPKFPA-UHFFFAOYSA-N	124.183	2.478	0	30	AEAC	
O=Cc1ccn(-c2ccc(F)cc2)c1	ZINC000002545442	QCWBXIXEJXOSHR-UHFFFAOYSA-N	189.189	2.429	0	30	AEAC	
Cc1nc2ccc(C)cc2o1	ZINC000002566824	VIJYHDMLYXAHEV-UHFFFAOYSA-N	147.177	2.445	0	30	AEAC	
C=C(C)[C@@]1(C)CC(=O)OC1(C)C	ZINC000002567392	PTHSUBWVRDHELZ-SNVBAGLBSA-N	168.236	2.294	0	30	AEAC	
CP(C)c1ccccc1P(C)C	ZINC000002572421	QRRVMWPNMMLSGD-UHFFFAOYSA-N	198.186	2.420	0	30	AEAC	
CC[C@@H](C)CCCC(=O)O	ZINC000002578915	OJTHHBCWUMTZEY-SSDOTTSWSA-N	144.214	2.287	0	30	AEAC	
COc1cc(C(C)=O)cc(C)c1OC	ZINC000003048144	AAJMKJQJIZCONC-UHFFFAOYSA-N	194.230	2.215	0	30	AEAC	biogenic,in-vitro
C/C(=C/c1cccc(C)c1)C(=O)O	ZINC000003051285	CZHSVFRPPVNUGL-CLFYSBASSA-N	176.215	2.483	0	30	AEAC	
Cc1cc(C)c(C(=O)O)c(C)c1C=O	ZINC000003124046	PYGBICXCVJEFME-UHFFFAOYSA-N	192.214	2.123	0	30	AEAC	
O=C(c1cccc(F)c1)N1CCCC1	ZINC000003164328	WJSZXZVZJFVOPD-UHFFFAOYSA-N	193.221	2.062	0	30	AEAC	
CCC(=O)c1ccc(NC(C)=O)s1	ZINC000003164441	OQEYQEKRBWKDEI-UHFFFAOYSA-N	197.259	2.299	0	30	AEAC	
CCC1C=CC=C1	ZINC000003172354	CLRIMWMVEVYXAK-UHFFFAOYSA-N	94.157	2.139	0	30	AEAC	
C[C@H]1CCc2sccc2C(=O)NC1	ZINC000003172402	LBCZSLBKNCCJII-ZETCQYMHSA-N	195.287	2.060	0	30	AEAC	
C[C@@H]1CCc2sccc2C(=O)NC1	ZINC000003172404	LBCZSLBKNCCJII-SSDOTTSWSA-N	195.287	2.060	0	30	AEAC	
C/C(Cl)=C/C[n+]1ccccc1	ZINC000003172714	YPMZAZILWNOGSA-UITAMQMPSA-N	168.647	2.117	0	30	AEAC	
C(=C/c1ccco1)\c1cc[nH]n1	ZINC000003820757	PJLORFGDSVWAEC-ONEGZZNKSA-N	160.176	2.173	0	30	AEAC	
C1CCC(NC2=NCCCCC2)C1	ZINC000003866660	ASDPNCTXSHNSBX-UHFFFAOYSA-N	180.295	2.491	0	30	AEAC	
Cc1ncc(C(=O)O)c(C)c1Cl	ZINC000003881098	VYZZJBQSTZSBCR-UHFFFAOYSA-N	185.610	2.050	0	30	AEAC	
Cc1c(C)c(Cl)cc(C=O)c1O	ZINC000004299099	CUHIXVRODPWQTJ-UHFFFAOYSA-N	184.622	2.475	0	30	AEAC	
CCCCC/C=C\C(=O)NC1CC1	ZINC000004520539	XWBPEIRSDNOWSK-SREVYHEPSA-N	181.279	2.402	0	30	AEAC	
CCCN(CCO)[C@H]1CCC[C@H](C)C1	ZINC000004612643	NBSZUZVRSOMROT-RYUDHWBXSA-N	199.338	2.269	0	30	AEAC	
N[C@H]1CCC[C@@H]2CCCC[C@H]12	ZINC000004748454	RCURQHDMKQNLQF-GUBZILKMSA-N	153.269	2.304	0	30	AEAC	
N[C@H]1CCC[C@H]2CCCC[C@@H]21	ZINC000004748456	RCURQHDMKQNLQF-UTLUCORTSA-N	153.269	2.304	0	30	AEAC	
CN(C)CCCC[C@@H]1CCCN(C)C1	ZINC000004748465	DIFNEXATZUOOME-GFCCVEGCSA-N	198.354	2.060	0	30	AEAC	
COC=C1CCCCC1	ZINC000004825883	XSYNCAAZZTYJQK-UHFFFAOYSA-N	126.199	2.481	0	30	AEAC	
C[C@@H]1CCC2(C1)CCNCC2	ZINC000004963561	JTTHNODDZCODAT-SECBINFHSA-N	153.269	2.176	0	30	AEAC	
c1cc(CN2CCSCC2)cs1	ZINC000004977470	WCWGZYVEHFZQHX-UHFFFAOYSA-N	199.344	2.297	0	30	AEAC	
O=C([C@H]1CC=CCC1)N1CCCCC1	ZINC000005133798	FFHOWNJPAGBREV-NSHDSACASA-N	193.290	2.355	0	30	AEAC	
O=C([C@@H]1CC=CCC1)N1CCCCC1	ZINC000005133799	FFHOWNJPAGBREV-LLVKDONJSA-N	193.290	2.355	0	30	AEAC	
CCCc1cncc(C)c1	ZINC000005139228	HVSAUQKNIJRYSR-UHFFFAOYSA-N	135.210	2.343	0	30	AEAC	
C/C=C\C(=O)Nc1ccccc1F	ZINC000005208138	RIUFDWPQUPDDIX-DJWKRKHSSA-N	179.194	2.340	0	30	AEAC	
C[C@@H]1C[C@@H]2[C@H](C[C@@H]1N)C2(C)C	ZINC000005211502	AVQZPURJDYTLAM-HXFLIBJXSA-N	153.269	2.016	0	30	AEAC	
C[C@H]1C[C@@H]2[C@H](C[C@@H]1N)C2(C)C	ZINC000005211802	AVQZPURJDYTLAM-KZVJFYERSA-N	153.269	2.016	0	30	AEAC	
CC(C)Nc1cccc(N)c1N=O	ZINC000005230848	WBSQUVKDBSEYAX-UHFFFAOYSA-N	179.223	2.487	0	30	AEAC	
C=C1[C@@H]2C[C@H](C[C@H]1NC(C)=O)C2(C)C	ZINC000005291392	PZRLXIOKZQHVRR-OUAUKWLOSA-N	193.290	2.113	0	30	AEAC	
C=C1[C@@H]2C[C@H](C[C@@H]1NC(C)=O)C2(C)C	ZINC000005291418	PZRLXIOKZQHVRR-VWYCJHECSA-N	193.290	2.113	0	30	AEAC	
CC(C)O[P@](C)(=O)C(=O)N(C)C	ZINC000005384507	WRTFWZVGBRHMFO-LBPRGKRZSA-N	193.183	2.001	0	30	AEAC	
CC(C)O[P@@](C)(=O)C(=O)N(C)C	ZINC000005384514	WRTFWZVGBRHMFO-GFCCVEGCSA-N	193.183	2.001	0	30	AEAC	
CC(C)(C)CC(=O)NC1CCCC1	ZINC000005496063	WDFHMIVFWSIGNV-UHFFFAOYSA-N	183.295	2.481	0	30	AEAC	
CC(C)(C)CC(=O)Nc1ccccn1	ZINC000005496209	RQLHIAIPPUHSOH-UHFFFAOYSA-N	192.262	2.456	0	30	AEAC	
CCOC(=O)[C@H](C)Nc1ccccc1	ZINC000005499761	FMFDWCAQDWISCD-VIFPVBQESA-N	193.246	2.050	0	30	AEAC	
CC(C)C(=O)N1CCCC[C@H]1C	ZINC000005515799	NYTRBSSTSXXRNQ-SECBINFHSA-N	169.268	2.043	0	30	AEAC	
CC(C)C(=O)N1CCCC[C@@H]1C	ZINC000005533419	NYTRBSSTSXXRNQ-VIFPVBQESA-N	169.268	2.043	0	30	AEAC	
CC[C@@H](C)C(=O)Nc1cccc(C)n1	ZINC000005569048	DILNQFOKCSVIHM-MRVPVSSYSA-N	192.262	2.375	0	30	AEAC	
CC[C@@H](C)C(=O)Nc1cccnc1	ZINC000005569050	NRNOTFVMXALQDE-MRVPVSSYSA-N	178.235	2.066	0	30	AEAC	
CC[C@H](C)C(=O)Nc1cccc(C)n1	ZINC000005569105	DILNQFOKCSVIHM-QMMMGPOBSA-N	192.262	2.375	0	30	AEAC	
CC[C@H](C)C(=O)Nc1cccnc1	ZINC000005569107	NRNOTFVMXALQDE-QMMMGPOBSA-N	178.235	2.066	0	30	AEAC	
CC[C@@H](C)C(=O)NC1CCCC1	ZINC000005593206	VXTNEKVTUBPXOT-MRVPVSSYSA-N	169.268	2.091	0	30	AEAC	
CC(=O)NCCC1=CCCCC1	ZINC000005639301	JQVSJEIFXUFIGW-UHFFFAOYSA-N	167.252	2.013	0	30	AEAC	
CC[C@H](C)C(=O)NC1CCCC1	ZINC000005665065	VXTNEKVTUBPXOT-QMMMGPOBSA-N	169.268	2.091	0	30	AEAC	
C[C@@H]1CO[C@@H](/C=C\c2ccccc2)O1	ZINC000005733923	MQLAQZSLFAOEAK-POPFVDGXSA-N	190.242	2.461	0	30	AEAC	
C[C@H]1CO[C@@H](/C=C\c2ccccc2)O1	ZINC000005733926	MQLAQZSLFAOEAK-QZQIPWEWSA-N	190.242	2.461	0	30	AEAC	
C/C=C\c1cc(C(=O)O)ccc1O	ZINC000005789207	TVCLZDLCXCCEPN-IHWYPQMZSA-N	178.187	2.124	0	30	AEAC	
CC(=C\C(=O)O)/C=C\c1cccnc1	ZINC000005807846	RFGMDOCXGCLNGA-XEQCUQEESA-N	189.214	2.126	0	30	AEAC	
C/C=C\c1n(C)c2ccccc2[n+]1C	ZINC000005807862	JOKHYKWKXXSNSX-DAXSKMNVSA-N	187.266	2.036	0	30	AEAC	
C/C=C\C(=O)N[C@@H](C)c1ccccc1	ZINC000005826257	DAUQSSMGAMQHGD-NXSJDDFASA-N	189.258	2.440	0	30	AEAC	
C/C=C\C(=O)N[C@H](C)c1ccccc1	ZINC000005826258	DAUQSSMGAMQHGD-WXGCRTCVSA-N	189.258	2.440	0	30	AEAC	
C/C=C\C(=O)Nc1ccccc1OC	ZINC000005845791	XRVQLKMNRYFZBW-UTCJRWHESA-N	191.230	2.210	0	30	AEAC	
CC(C)(C)C(=O)NCc1cccs1	ZINC000005900819	FQOGCTBNBUJCHE-UHFFFAOYSA-N	197.303	2.410	0	30	AEAC	
CC(C)C(=O)NCc1cccs1	ZINC000005906012	AHFQSAJTAQXUEL-UHFFFAOYSA-N	183.276	2.020	0	30	AEAC	
CC(C)CNC(=O)[C@@H]1C[C@H]2CC[C@@H]1C2	ZINC000005907871	HKOPGLPHIFMKDB-HBNTYKKESA-N	195.306	2.195	0	30	AEAC	
CC(C)CNC(=O)[C@H]1C[C@H]2CC[C@@H]1C2	ZINC000005907889	HKOPGLPHIFMKDB-AXFHLTTASA-N	195.306	2.195	0	30	AEAC	
CC[C@H](C)CCCC(=O)O	ZINC000005924641	OJTHHBCWUMTZEY-ZETCQYMHSA-N	144.214	2.287	0	30	AEAC	
CN(C(=S)S)C1CCCCC1	ZINC000005965439	QWANVPJLTSARIR-UHFFFAOYSA-N	189.349	2.466	0	30	AEAC	
C=C1CCC[C@@H](OC)C1	ZINC000005998168	GNHABTVGRZMHNF-MRVPVSSYSA-N	126.199	2.132	0	30	AEAC	
C=C1CCC[C@H](OC)C1	ZINC000005998289	GNHABTVGRZMHNF-QMMMGPOBSA-N	126.199	2.132	0	30	AEAC	
