smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C=CCCNCC1(O)CCCCCC1	ZINC000083470914	QSCCODUCPYKAHJ-UHFFFAOYSA-N	197.322	2.237	0	20	AEAD	
C=C(C)CNCC1(O)CCCCCC1	ZINC000083470945	CVHUTUYTWCIJAE-UHFFFAOYSA-N	197.322	2.237	0	20	AEAD	
CC[C@@H](C)C[C@]1(CC)CNCCO1	ZINC000083471089	PVUIQVIUSAVWKV-GHMZBOCLSA-N	185.311	2.191	0	20	AEAD	
CC[C@H](C)C[C@]1(CC)CNCCO1	ZINC000083471091	PVUIQVIUSAVWKV-WDEREUQCSA-N	185.311	2.191	0	20	AEAD	
CC[C@@H](C)C[C@@]1(CC)CNCCO1	ZINC000083471092	PVUIQVIUSAVWKV-MNOVXSKESA-N	185.311	2.191	0	20	AEAD	
CC[C@H](C)C[C@@]1(CC)CNCCO1	ZINC000083471098	PVUIQVIUSAVWKV-QWRGUYRKSA-N	185.311	2.191	0	20	AEAD	
CC1(C)CCC[C@]2(CNCCO2)CC1	ZINC000083471224	SLLNGYPQPWKFKF-GFCCVEGCSA-N	197.322	2.335	0	20	AEAD	
CC1(C)CCC[C@@]2(CNCCO2)CC1	ZINC000083471225	SLLNGYPQPWKFKF-LBPRGKRZSA-N	197.322	2.335	0	20	AEAD	
C[C@@H]1CC(C)(C)C[C@]2(CNCCO2)C1	ZINC000083471235	VHGNEWFTVOLWRH-PWSUYJOCSA-N	197.322	2.191	0	20	AEAD	
C[C@H]1CC(C)(C)C[C@]2(CNCCO2)C1	ZINC000083471237	VHGNEWFTVOLWRH-JQWIXIFHSA-N	197.322	2.191	0	20	AEAD	
C[C@@H]1CC(C)(C)C[C@@]2(CNCCO2)C1	ZINC000083471239	VHGNEWFTVOLWRH-ZYHUDNBSSA-N	197.322	2.191	0	20	AEAD	
C[C@H]1CC(C)(C)C[C@@]2(CNCCO2)C1	ZINC000083471240	VHGNEWFTVOLWRH-CMPLNLGQSA-N	197.322	2.191	0	20	AEAD	
CCCCCC[C@]1(C)CNCCO1	ZINC000083471324	YDSGLBDPWUDLRK-LLVKDONJSA-N	185.311	2.335	0	20	AEAD	
CCCCCC[C@@]1(C)CNCCO1	ZINC000083471325	YDSGLBDPWUDLRK-NSHDSACASA-N	185.311	2.335	0	20	AEAD	
C1COC2(CN1)CCCCCCC2	ZINC000083471383	PRAUJWCIHBDWAK-UHFFFAOYSA-N	183.295	2.089	0	20	AEAD	
CC[C@@H]1CCC[C@]2(CNCCO2)CC1	ZINC000083471443	NCJXYBFRRJUPTL-VXGBXAGGSA-N	197.322	2.335	0	20	AEAD	
CC[C@H]1CCC[C@]2(CNCCO2)CC1	ZINC000083471445	NCJXYBFRRJUPTL-NWDGAFQWSA-N	197.322	2.335	0	20	AEAD	
CC[C@@H]1CCC[C@@]2(CNCCO2)CC1	ZINC000083471447	NCJXYBFRRJUPTL-NEPJUHHUSA-N	197.322	2.335	0	20	AEAD	
CC[C@H]1CCC[C@@]2(CNCCO2)CC1	ZINC000083471449	NCJXYBFRRJUPTL-RYUDHWBXSA-N	197.322	2.335	0	20	AEAD	
C[C@@H]1CNC[C@@](C)(C2CCCCC2)O1	ZINC000083471470	GMJJPTOBLDBGAF-PWSUYJOCSA-N	197.322	2.334	0	20	AEAD	
C[C@H]1CNC[C@@](C)(C2CCCCC2)O1	ZINC000083471473	GMJJPTOBLDBGAF-JQWIXIFHSA-N	197.322	2.334	0	20	AEAD	
C[C@@H]1CNC[C@](C)(C2CCCCC2)O1	ZINC000083471475	GMJJPTOBLDBGAF-ZYHUDNBSSA-N	197.322	2.334	0	20	AEAD	
C[C@H]1CNC[C@](C)(C2CCCCC2)O1	ZINC000083471476	GMJJPTOBLDBGAF-CMPLNLGQSA-N	197.322	2.334	0	20	AEAD	
CCCCCC[C@@H]1CNC[C@H](C)O1	ZINC000083471655	WXJKKVOXNAXIGM-WDEREUQCSA-N	185.311	2.334	0	20	AEAD	
CCCCCC[C@H]1CNC[C@H](C)O1	ZINC000083471658	WXJKKVOXNAXIGM-QWRGUYRKSA-N	185.311	2.334	0	20	AEAD	
CCCCCC[C@@H]1CNC[C@@H](C)O1	ZINC000083471660	WXJKKVOXNAXIGM-GHMZBOCLSA-N	185.311	2.334	0	20	AEAD	
CCCCCC[C@H]1CNC[C@@H](C)O1	ZINC000083471662	WXJKKVOXNAXIGM-MNOVXSKESA-N	185.311	2.334	0	20	AEAD	
C[C@@H]1CNCC2(CCCCCCC2)O1	ZINC000083471968	KGPRVSOCMSZMGN-LLVKDONJSA-N	197.322	2.478	0	20	AEAD	
C[C@H]1CNCC2(CCCCCCC2)O1	ZINC000083471970	KGPRVSOCMSZMGN-NSHDSACASA-N	197.322	2.478	0	20	AEAD	
CCCC[C@]1(CC)CNC[C@H](C)O1	ZINC000083472012	LKEGCKYCYMCLDG-WDEREUQCSA-N	185.311	2.334	0	20	AEAD	
CCCC[C@@]1(CC)CNC[C@H](C)O1	ZINC000083472014	LKEGCKYCYMCLDG-QWRGUYRKSA-N	185.311	2.334	0	20	AEAD	
CCCC[C@]1(CC)CNC[C@@H](C)O1	ZINC000083472016	LKEGCKYCYMCLDG-GHMZBOCLSA-N	185.311	2.334	0	20	AEAD	
CCCC[C@@]1(CC)CNC[C@@H](C)O1	ZINC000083472019	LKEGCKYCYMCLDG-MNOVXSKESA-N	185.311	2.334	0	20	AEAD	
C[C@H]1CNC[C@]2(CCC[C@@H](C)CC2)O1	ZINC000083472050	WJMODINUFRAMIA-GRYCIOLGSA-N	197.322	2.334	0	20	AEAD	
C[C@H]1CNC[C@@]2(CCC[C@@H](C)CC2)O1	ZINC000083472054	WJMODINUFRAMIA-WOPDTQHZSA-N	197.322	2.334	0	20	AEAD	
CC(C)CC[C@]1(C)CNC[C@@H](C)O1	ZINC000083472059	PBRHVTILVJMWSC-GHMZBOCLSA-N	185.311	2.190	0	20	AEAD	
CC(C)CC[C@]1(C)CNC[C@H](C)O1	ZINC000083472060	PBRHVTILVJMWSC-WDEREUQCSA-N	185.311	2.190	0	20	AEAD	
CC(C)CC[C@@]1(C)CNC[C@@H](C)O1	ZINC000083472062	PBRHVTILVJMWSC-MNOVXSKESA-N	185.311	2.190	0	20	AEAD	
CC(C)CC[C@@]1(C)CNC[C@H](C)O1	ZINC000083472064	PBRHVTILVJMWSC-QWRGUYRKSA-N	185.311	2.190	0	20	AEAD	
CCCC1(CCC)CNC[C@H](C)O1	ZINC000083472066	PZDMJCRDDIPGEZ-JTQLQIEISA-N	185.311	2.334	0	20	AEAD	
CCCC1(CCC)CNC[C@@H](C)O1	ZINC000083472067	PZDMJCRDDIPGEZ-SNVBAGLBSA-N	185.311	2.334	0	20	AEAD	
C[C@@H]1CNC[C@]2(CCCC(C)(C)C2)O1	ZINC000083472077	TVVDWUBGMQISJT-ZYHUDNBSSA-N	197.322	2.334	0	20	AEAD	
C[C@H]1CNC[C@]2(CCCC(C)(C)C2)O1	ZINC000083472079	TVVDWUBGMQISJT-CMPLNLGQSA-N	197.322	2.334	0	20	AEAD	
C[C@@H]1CNC[C@@]2(CCCC(C)(C)C2)O1	ZINC000083472080	TVVDWUBGMQISJT-PWSUYJOCSA-N	197.322	2.334	0	20	AEAD	
C[C@H]1CNC[C@@]2(CCCC(C)(C)C2)O1	ZINC000083472082	TVVDWUBGMQISJT-JQWIXIFHSA-N	197.322	2.334	0	20	AEAD	
C[C@@H]1CC[C@]2(CNC[C@H](C)O2)C[C@@H]1C	ZINC000083472091	NTUACJFKLZBADJ-NOOOWODRSA-N	197.322	2.190	0	20	AEAD	
C[C@@H]1CC[C@@]2(CNC[C@H](C)O2)C[C@@H]1C	ZINC000083472095	NTUACJFKLZBADJ-RHYQMDGZSA-N	197.322	2.190	0	20	AEAD	
CC[C@H](C)[C@]1(C)CNC[C@@H](CC)O1	ZINC000083472135	RKENEFZWGWQDCH-AXFHLTTASA-N	185.311	2.190	0	20	AEAD	
CC[C@H](C)[C@@]1(C)CNC[C@@H](CC)O1	ZINC000083472141	RKENEFZWGWQDCH-HBNTYKKESA-N	185.311	2.190	0	20	AEAD	
CC[C@@H]1CNC[C@H](CC(C)(C)C)O1	ZINC000083472173	LQTPOCQBZYKMON-ZJUUUORDSA-N	185.311	2.190	0	20	AEAD	
CC[C@H]1CNC[C@H](CC(C)(C)C)O1	ZINC000083472175	LQTPOCQBZYKMON-UWVGGRQHSA-N	185.311	2.190	0	20	AEAD	
CC[C@@H]1CNC[C@@H](CC(C)(C)C)O1	ZINC000083472176	LQTPOCQBZYKMON-NXEZZACHSA-N	185.311	2.190	0	20	AEAD	
CC[C@H]1CNC[C@@H](CC(C)(C)C)O1	ZINC000083472178	LQTPOCQBZYKMON-VHSXEESVSA-N	185.311	2.190	0	20	AEAD	
CC[C@@H]1CNC[C@@](C)(CC(C)C)O1	ZINC000083472208	QBPULEPIOVJIOC-GHMZBOCLSA-N	185.311	2.190	0	20	AEAD	
CC[C@H]1CNC[C@@](C)(CC(C)C)O1	ZINC000083472211	QBPULEPIOVJIOC-WDEREUQCSA-N	185.311	2.190	0	20	AEAD	
CC[C@@H]1CNC[C@](C)(CC(C)C)O1	ZINC000083472212	QBPULEPIOVJIOC-MNOVXSKESA-N	185.311	2.190	0	20	AEAD	
CC[C@H]1CNC[C@](C)(CC(C)C)O1	ZINC000083472215	QBPULEPIOVJIOC-QWRGUYRKSA-N	185.311	2.190	0	20	AEAD	
CC[C@@H]1CNC[C@@](CC)(C(C)C)O1	ZINC000083472422	CTWZDHZKACKFPN-MNOVXSKESA-N	185.311	2.190	0	20	AEAD	
CC[C@H]1CNC[C@@](CC)(C(C)C)O1	ZINC000083472424	CTWZDHZKACKFPN-QWRGUYRKSA-N	185.311	2.190	0	20	AEAD	
CC[C@@H]1CNC[C@](CC)(C(C)C)O1	ZINC000083472426	CTWZDHZKACKFPN-GHMZBOCLSA-N	185.311	2.190	0	20	AEAD	
