smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C=CC[C@@H](C)[C@H](O)C(=C)C	ZINC000238468196	ORHKHTRZKJUQIC-RKDXNWHRSA-N	140.226	2.136	0	10	AEAE	
C[C@]1(c2ccccc2)CC[C@@H]1O	ZINC000238468210	YFGYTRLLVNXRPF-WDEREUQCSA-N	162.232	2.099	0	10	AEAE	
C=CC(=O)N[C@@H]1C[Si](C)(C)C[C@H]1C	ZINC000238468234	WDWRMSOHJLNHAK-RKDXNWHRSA-N	197.354	2.015	0	10	AEAE	
C[C@]1(c2ccccc2)CC[C@H](O)O1	ZINC000238468240	UHHYQCCBQMPIKS-GHMZBOCLSA-N	178.231	2.031	0	10	AEAE	
C[C@@H]1[C@@H](C(=O)O)[C@@H]2C=C[C@H]1C2(C)C	ZINC000238468249	ZXUPTXRDIACPSP-UYXSQOIJSA-N	180.247	2.165	0	10	AEAE	
Cc1c(Cl)ccc2nccn21	ZINC000238468251	GAIKCNAPPLLZBJ-UHFFFAOYSA-N	166.611	2.296	0	10	AEAE	
C[C@]1(c2ccccc2)CC[C@H]1C(=O)O	ZINC000238468255	HQAPKMOFFBTKJM-CMPLNLGQSA-N	190.242	2.439	0	10	AEAE	
C[C@]1(c2ccccc2)CC[C@H]1N	ZINC000238468279	MRWGCJNNCDRUSW-GHMZBOCLSA-N	161.248	2.065	0	10	AEAE	
C[C@]1(c2ccccc2)CC[C@H]1O	ZINC000238468292	YFGYTRLLVNXRPF-GHMZBOCLSA-N	162.232	2.099	0	10	AEAE	
C=C[C@@H](O)CCc1ccc(C)o1	ZINC000238468297	VVCORKTXFFFCSB-SECBINFHSA-N	166.220	2.068	0	10	AEAE	
C[C@@]12CC[C@@H]3CCC(=O)[C@@H]1[C@@H]32	ZINC000238468298	BYGWYZBITBZQKE-ZQNVIIHSSA-N	150.221	2.012	0	10	AEAE	
C[C@@H](O)[C@H]1CCOCc2ccccc21	ZINC000238468299	DLABZNXPKAKREH-MWLCHTKSSA-N	192.258	2.071	0	10	AEAE	
C[C@@H]1C/C(=C\C(=O)O)[C@@H](C)CS1	ZINC000238468310	PYIWJTSZWUSVKM-WDHJOPTISA-N	186.276	2.159	0	10	AEAE	
Cc1cc(O)c(C)c2c1COC2	ZINC000238468314	UFMWTPKFUZWMKI-UHFFFAOYSA-N	164.204	2.039	0	10	AEAE	
