smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC1=CC(=O)O[C@H]1C1CCCCC1	ZINC000034408328	OHLUUXWTNHYWAE-LLVKDONJSA-N	180.247	2.438	0	1	AEAF	
CC#COC(=O)N(C(C)C)C(C)C	ZINC000034408364	NDBGKHNXEVALEA-UHFFFAOYSA-N	183.251	2.223	0	1	AEAF	
C=C1CC2(C[C@H]1C)C(=O)CCCC2=O	ZINC000034414636	IGGREKYBUYISKD-SECBINFHSA-N	192.258	2.281	0	1	AEAF	
C=C1CC2(C[C@@H]1C)C(=O)CCCC2=O	ZINC000034414638	IGGREKYBUYISKD-VIFPVBQESA-N	192.258	2.281	0	1	AEAF	
C1[C@H]2CCC[C@@H]1N1C3CCC(CC3)N21	ZINC000034414725	TYRHXHYPGCPNNK-CAODYFQJSA-N	192.306	2.155	0	1	AEAF	
O=C(O)[C@H]1CCCc2cc(F)ccc21	ZINC000034438719	XWDOHGMWOLJDDC-JTQLQIEISA-N	194.205	2.330	0	1	AEAF	
O=C(O)[C@@H]1CCCc2cc(F)ccc21	ZINC000034438720	XWDOHGMWOLJDDC-SNVBAGLBSA-N	194.205	2.330	0	1	AEAF	
Cn1nc(-c2ccccc2)oc1=S	ZINC000034440578	IHYKGPXSEWWQBW-UHFFFAOYSA-N	192.243	2.410	0	1	AEAF	
Cc1ccc(-[n+]2ccccc2)cc1	ZINC000034445584	UEOOUARIKDTDPV-UHFFFAOYSA-N	170.235	2.272	0	1	AEAF	
CCc1cc(C)nnc1Cl	ZINC000034447620	WVRIDCLIOJZMRO-UHFFFAOYSA-N	156.616	2.001	0	1	AEAF	
N#CCC(C1CC1)C1CC1	ZINC000034448180	BHOUAJKNEMMXQW-UHFFFAOYSA-N	135.210	2.336	0	1	AEAF	
C=C1C(=O)O[C@H]2CC[C@H](C)CC[C@@H]12	ZINC000034449475	YPNHSXBOWJTVIS-JEZHCXPESA-N	180.247	2.294	0	1	AEAF	
C=C1C(=O)O[C@H]2CC[C@@H](C)CC[C@@H]12	ZINC000034449477	YPNHSXBOWJTVIS-HGNGGELXSA-N	180.247	2.294	0	1	AEAF	
COc1cccc2c1[C@H]1C=C[C@@H]2O1	ZINC000034454557	RWHVMQYDUMYZHJ-WCBMZHEXSA-N	174.199	2.377	0	1	AEAF	
