smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CCCc1ccc(O)c(O)c1	ZINC000000002502	SCTPZNJTGOGSQD-UHFFFAOYSA-N	152.193	2.050	10	50	AECA	in-vitro
CCCc1cccc(O)c1O	ZINC000000002504	GOZVFLWHGAXTPA-UHFFFAOYSA-N	152.193	2.050	10	50	AECA	in-vitro,metabolite
O=Cc1c(O)c(O)cc2ccccc21	ZINC000000003071	HONJWUZXQQEEHP-UHFFFAOYSA-N	188.182	2.064	10	50	AECA	
Oc1cc(Cl)c(Cl)cc1O	ZINC000000028147	ACCHWUWBKYGKNM-UHFFFAOYSA-N	179.002	2.405	10	50	AECA	in-vitro,metabolite
Nc1ccc(OC(F)(F)Cl)cc1	ZINC000000032508	QDTUQGSYECRXDO-UHFFFAOYSA-N	193.580	2.437	10	50	AECA	
O=C1c2ccccc2-c2ncccc21	ZINC000000051627	LAHFQGLEIGIEMT-UHFFFAOYSA-N	181.194	2.293	10	50	AECA	
Nc1ccc(Cc2ccncc2)cc1	ZINC000000067652	WZXYYQHVDJMIFF-UHFFFAOYSA-N	184.242	2.255	10	50	AECA	
Nc1ccc(OC(F)(F)F)cc1	ZINC000000081472	XUJFOSLZQITUOI-UHFFFAOYSA-N	177.125	2.167	10	50	AECA	
CC1=C/C(=C/c2ccco2)C(=O)O1	ZINC000000081525	XCVQQBHDOYUYDL-VURMDHGXSA-N	176.171	2.124	10	50	AECA	
COc1ccc(N2CCSC2)cc1	ZINC000000083009	XYYKDPNJRYEMFK-UHFFFAOYSA-N	195.287	2.206	10	50	AECA	
Cc1ccc(C)n1-c1ncccc1O	ZINC000000092907	HHDMLMOSQQBISY-UHFFFAOYSA-N	188.230	2.195	10	50	AECA	
Cc1cc(C)n(-c2ccc(N)cc2)n1	ZINC000000109965	BKLODFMZXGBJAE-UHFFFAOYSA-N	187.246	2.071	10	50	AECA	
CCCC(=O)Nc1ccc(N)cc1	ZINC000000123129	LFXCELCZRVHGIJ-UHFFFAOYSA-N	178.235	2.007	10	50	AECA	
Cc1cc(-n2c(C)ccc2C)no1	ZINC000000140872	TYORYTQOHKTVOQ-UHFFFAOYSA-N	176.219	2.391	10	50	AECA	
CC(C)NCc1ccc(N(C)C)cc1	ZINC000000152549	NZXPKDJRJFKEIC-UHFFFAOYSA-N	192.306	2.251	10	50	AECA	
Nc1ccc(N2CCCCC2)cc1	ZINC000000152886	TVOSOIXYPHKEAR-UHFFFAOYSA-N	176.263	2.259	10	50	AECA	
Cc1ccc(/C(C=O)=C/O)cc1	ZINC000000153812	FKRKKHBTIIWVGU-UXBLZVDNSA-N	162.188	2.093	10	50	AECA	
CCOc1ccc(/C(C=O)=C/O)cc1	ZINC000000153987	JIAFPRASAOXWIN-JXMROGBWSA-N	192.214	2.183	10	50	AECA	
Cc1cccc(/C(C=O)=C/O)c1	ZINC000000154006	SLDRADKJNFFMFZ-UXBLZVDNSA-N	162.188	2.093	10	50	AECA	
O=C/C(=C\O)c1cccc(Cl)c1	ZINC000000154009	JUUOSTLQWAGHIZ-VMPITWQZSA-N	182.606	2.438	10	50	AECA	
O=C/C(=C\O)Oc1cccc(Cl)c1	ZINC000000154051	JBNDCJABZBVFLJ-WEVVVXLNSA-N	198.605	2.317	10	50	AECA	
O=C/C(=C\O)Oc1ccc(Cl)cc1	ZINC000000154057	XJNQOOVXUJPZSK-WEVVVXLNSA-N	198.605	2.317	10	50	AECA	
Nc1ccc(Oc2ccccc2)nc1	ZINC000000158925	DETKIRMPBJPJRQ-UHFFFAOYSA-N	186.214	2.456	10	50	AECA	
Nc1ccc(-n2cccc2)cc1	ZINC000000159039	NHLHWHRXMZZWGA-UHFFFAOYSA-N	158.204	2.060	10	50	AECA	
Cc1nc2cc(O)c(O)cc2s1	ZINC000000162698	SCVRMYXQAOKGMU-UHFFFAOYSA-N	181.216	2.016	10	50	AECA	
Oc1ccccc1CN1CCCCC1	ZINC000000171779	FTKQHXNOTYHHLE-UHFFFAOYSA-N	191.274	2.378	10	50	AECA	
CCC1=[N+](CC)CCn2c(C)ccc21	ZINC000000245886	LKKOEXZCCFITRV-UHFFFAOYSA-N	191.298	2.042	10	50	AECA	
CCCC1=[N+](C)CCn2c(C)ccc21	ZINC000000249630	NUDBDBGQNBIJQC-UHFFFAOYSA-N	191.298	2.042	10	50	AECA	
CN(C)c1ccc(/C=C/[N+](=O)[O-])cc1	ZINC000000259983	RIXCESCQOUSSJX-BQYQJAHWSA-N	192.218	2.000	10	50	AECA	
COc1ccc(C=S)cc1	ZINC000000330169	PSCGHQRKTJYCJO-UHFFFAOYSA-N	152.218	2.043	10	50	AECA	biogenic,in-vitro
CC1(C)C(=O)c2ccccc2C1=O	ZINC000000330171	BNPBWSGZTORGIH-UHFFFAOYSA-N	174.199	2.092	10	50	AECA	
COc1ccc(C=S)c(C)c1	ZINC000000330232	SSLZHBICMUJODA-UHFFFAOYSA-N	166.245	2.351	10	50	AECA	
Nc1ccc(CN2CCCCC2)cc1	ZINC000000378534	DRYFDUUAYSVNSN-UHFFFAOYSA-N	190.290	2.255	10	50	AECA	
CC(C)(C)c1ccc(O)c(O)c1	ZINC000000388150	XESZUVZBAMCAEJ-UHFFFAOYSA-N	166.220	2.395	10	50	AECA	in-vitro
CCN(CC)c1ccc(N)cc1	ZINC000000388427	QNGVNLMMEQUVQK-UHFFFAOYSA-N	164.252	2.115	10	50	AECA	in-vitro
Oc1cc2ccccc2cc1O	ZINC000000388553	JRNGUTKWMSBIBF-UHFFFAOYSA-N	160.172	2.251	10	50	AECA	in-vitro
Cc1ccc(C)c(CN(C)C)c1O	ZINC000000393646	JCHIOWMYNIKOEE-UHFFFAOYSA-N	179.263	2.071	10	50	AECA	
C[C@@H](C#N)C(=O)c1ccccc1	ZINC000000394744	QSQMLMUBVHLHFM-QMMMGPOBSA-N	159.188	2.029	10	50	AECA	
C[C@H](C#N)C(=O)c1ccccc1	ZINC000000394745	QSQMLMUBVHLHFM-MRVPVSSYSA-N	159.188	2.029	10	50	AECA	
O=C(S)CC(=S)c1ccccc1	ZINC000000400560	PQPBJFZRRGHFAW-UHFFFAOYSA-N	196.296	2.251	10	50	AECA	
CC(C)(C)C(=O)Nc1ccc(N)cc1	ZINC000000402571	CQBPZUVCJMMOLJ-UHFFFAOYSA-N	192.262	2.253	10	50	AECA	
COc1cc(O)c(O)cc1C(C)(C)C	ZINC000000402749	QKPHPJQVAIJIOL-UHFFFAOYSA-N	196.246	2.404	10	50	AECA	
COc1cc(O)c(O)c(C(C)(C)C)c1	ZINC000000402750	CDUDTAOIPVCWDW-UHFFFAOYSA-N	196.246	2.404	10	50	AECA	
Oc1cc(Cl)cc(Cl)c1O	ZINC000000404074	XSXYVLIPQMXCBV-UHFFFAOYSA-N	179.002	2.405	10	50	AECA	in-vitro,metabolite
CCC1(C)C(=O)c2ccccc2C1=O	ZINC000000404981	GMABAYKYOVAXTD-UHFFFAOYSA-N	188.226	2.482	10	50	AECA	
Oc1ccc2ccccc2c1O	ZINC000000407059	NXPPAOGUKPJVDI-UHFFFAOYSA-N	160.172	2.251	10	50	AECA	in-man,metabolite
CCCC1=[N+](CC)CCn2cccc21	ZINC000000499181	NIGXJTKYPGKRKZ-UHFFFAOYSA-N	191.298	2.123	10	50	AECA	
CCN(CC)Cc1ccc(N)cc1	ZINC000000568257	AFHLJRYAVLIEMS-UHFFFAOYSA-N	178.279	2.111	10	50	AECA	
CC(C)CC(=O)Nc1ccc(N)cc1	ZINC000000569967	ACHJACAEYOYEBF-UHFFFAOYSA-N	192.262	2.253	10	50	AECA	
CC(C)c1cccc(O)c1O	ZINC000000895453	XLZHGKDRKSKCAU-UHFFFAOYSA-N	152.193	2.221	10	50	AECA	in-vitro,metabolite
