smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
O=C/C(=C/O)c1ccc(Cl)cc1	ZINC000000153791	BPCQPZCKKNFWCF-YVMONPNESA-N	182.606	2.438	10	40	AECB	
C/C(C=O)=C/c1ccc(N(C)C)cc1	ZINC000001590601	ZZNDWTMGGCTTSC-NTMALXAHSA-N	189.258	2.355	10	40	AECB	
CCCCc1ccc(O)c(O)c1O	ZINC000001676259	GQXLTCORASWCDH-UHFFFAOYSA-N	182.219	2.146	10	40	AECB	
CCN(CC)/N=N/c1cccnc1	ZINC000001722409	MCAIXMIIMYVJOQ-VAWYXSNFSA-N	178.239	2.422	10	40	AECB	
Cc1ccc(C)n1-c1ccon1	ZINC000002725742	DPMDYFKFWQGNBS-UHFFFAOYSA-N	162.192	2.082	10	40	AECB	
Oc1cccc(C(F)(F)F)c1O	ZINC000003646511	QNQKVMUAFHMBTP-UHFFFAOYSA-N	178.109	2.117	10	40	AECB	
C[C@H]1CN[C@H](c2ccccc2O)C1	ZINC000003704298	HVHMXHCDBKFDBB-SCZZXKLOSA-N	177.247	2.063	10	40	AECB	
C[C@@H]1CN[C@@H](c2ccccc2O)C1	ZINC000003704299	HVHMXHCDBKFDBB-WCBMZHEXSA-N	177.247	2.063	10	40	AECB	
C[C@H]1CN[C@@H](c2ccccc2O)C1	ZINC000003704300	HVHMXHCDBKFDBB-PSASIEDQSA-N	177.247	2.063	10	40	AECB	
CC(C)(C)c1ccc(CN)c(O)c1	ZINC000003933112	PWOCHOFQRPPKPU-UHFFFAOYSA-N	179.263	2.148	10	40	AECB	
C=Cc1ccc([N+](C)(C)[O-])cc1	ZINC000005064501	AMAHCXRUCLJIPD-UHFFFAOYSA-N	163.220	2.394	10	40	AECB	
O=C1CCCCc2cc(O)c(O)cc21	ZINC000005081633	JKKGBPVRHOSPHG-UHFFFAOYSA-N	192.214	2.007	10	40	AECB	
CC[C@H](N)c1ccc(N(C)C)cc1C	ZINC000005140018	RRHXDYJWVYFMKV-LBPRGKRZSA-N	192.306	2.471	10	40	AECB	
CC[C@@H](N)c1ccc(N(C)C)cc1C	ZINC000005140120	RRHXDYJWVYFMKV-GFCCVEGCSA-N	192.306	2.471	10	40	AECB	
CC1(C)N=NC(C)(C)C1=S	ZINC000005302487	RUMPSEDYQGPNDK-UHFFFAOYSA-N	156.254	2.379	10	40	AECB	
CC(C)(C)/N=N/C1(O)CCCC1	ZINC000005350826	KTYBPHCWSCRLKK-ZHACJKMWSA-N	170.256	2.500	10	40	AECB	
Nc1ccc(/N=N/c2ncc[nH]2)cc1	ZINC000005420811	BDHZGIMWZQCLOF-BUHFOSPRSA-N	187.206	2.407	10	40	AECB	
CSCCCCN=[N+]=[N-]	ZINC000005662644	NCNNFFKLXFOXMQ-UHFFFAOYSA-N	145.231	2.440	10	40	AECB	
CN(O)/N=N\c1ccccc1	ZINC000005688654	NZZQYTAPSBWNOV-HJWRWDBZSA-N	151.169	2.006	10	40	AECB	
N=Nc1ccc(C(=O)O)cc1	ZINC000006092718	HYEPJHSUUOPYIZ-UHFFFAOYSA-N	150.137	2.047	10	40	AECB	
CC1(C)OC[C@H](CCCN=[N+]=[N-])O1	ZINC000008700008	RKMGGLNWYZUBQT-ZETCQYMHSA-N	185.227	2.228	10	40	AECB	
c1ccc(/N=N/N2CCOCC2)cc1	ZINC000012403044	YEIJBNMGYCYMKI-VAWYXSNFSA-N	191.234	2.018	10	40	AECB	
C[C@H](O)c1ccc(/N=N/N(C)C)cc1	ZINC000012433126	BGNZQQLEBRHZQB-BVKVCPRXSA-N	193.250	2.300	10	40	AECB	
Cc1cccc(/N=N/C(C#N)C#N)c1	ZINC000012494991	RBXINBFALYDCDW-BUHFOSPRSA-N	184.202	2.494	10	40	AECB	
Cc1ccc(/N=N\C(C#N)C#N)cc1	ZINC000012494998	PVMNLJXFLNGWDN-YPKPFQOOSA-N	184.202	2.494	10	40	AECB	
Cc1ccccc1/N=N/C(C#N)C#N	ZINC000012495004	PGANELMIKKGCBI-BUHFOSPRSA-N	184.202	2.494	10	40	AECB	
CNC(=O)/N=N/c1ccccc1	ZINC000012495905	ZJZQADFBEOJBOZ-ZHACJKMWSA-N	163.180	2.110	10	40	AECB	
CC1=CC2=C(N=O)CCCC2=NN1	ZINC000013129931	UDQPRZSATJTYJS-UHFFFAOYSA-N	177.207	2.054	10	40	AECB	
C[C@@H](O)c1cccc(N=N)c1	ZINC000014966133	CBNCBXLZUIBLFT-ZCFIWIBFSA-N	150.181	2.402	10	40	AECB	biogenic,in-vitro
CC(=O)c1ccc(/N=N/N(C)C)cc1	ZINC000016979788	ZBVFWULSOYHNON-VAWYXSNFSA-N	191.234	2.450	10	40	AECB	
C[C@@H](O)c1ccc(/N=N/N(C)C)cc1	ZINC000017142616	BGNZQQLEBRHZQB-MDBUJETNSA-N	193.250	2.300	10	40	AECB	
CC(=O)c1ccc(/N=N/N(C)O)cc1	ZINC000017143009	KFPTYVNRQSUARZ-ZHACJKMWSA-N	193.206	2.209	10	40	AECB	
CN(C)/N=N\c1ccc([N+](=O)[O-])cc1	ZINC000017162431	KUUFZOFMKVIAAW-KTKRTIGZSA-N	194.194	2.155	10	40	AECB	
COc1ccc(/N=N/N(C)C)cc1	ZINC000017164809	QPTMKAGSZAYAPZ-ZHACJKMWSA-N	179.223	2.256	10	40	AECB	
CN(C)/N=N/c1ccc(N(C)C)cc1	ZINC000017173246	LTAAPSYXIVWYBF-VAWYXSNFSA-N	192.266	2.313	10	40	AECB	
C/N=N/Nc1ccccc1	ZINC000017837766	MPEZFYGMDYORDA-UHFFFAOYSA-N	135.170	2.096	10	40	AECB	
Cc1ccc(/N=N/N(C)CC#N)cc1	ZINC000018045472	PVXWBVJUJVNCQD-OUKQBFOZSA-N	188.234	2.449	10	40	AECB	
CN(C)/N=N/c1ccccc1[N+](=O)[O-]	ZINC000018067787	FUQCPAOOIOUZKI-MDZDMXLPSA-N	194.194	2.155	10	40	AECB	
CCOC(=O)/N=N/C(C)(C)C	ZINC000018102744	AOIWWESGWZVJHS-CMDGGOBGSA-N	158.201	2.394	10	40	AECB	
CC/N=N/Nc1ccc(C#N)cc1	ZINC000018116856	FYFSZUIWJGHYFU-UHFFFAOYSA-N	174.207	2.357	10	40	AECB	
CN(C)/N=N/c1ccc(C#N)cc1	ZINC000018119700	RBUDTHMFOGHSOD-VAWYXSNFSA-N	174.207	2.119	10	40	AECB	
CC(=O)c1cccc(/N=N/N(C)C)c1	ZINC000018126617	VMYRCZKULMBPJA-VAWYXSNFSA-N	191.234	2.450	10	40	AECB	
[N-]=[N+]=NCc1ccc2[nH]ncc2c1	ZINC000031776901	ALOFVWCOECFIRE-UHFFFAOYSA-N	173.179	2.373	10	40	AECB	
FC(F)(F)C(=S)C(F)(F)F	ZINC000032136505	DBNMHLDZMPEZCX-UHFFFAOYSA-N	182.088	2.481	10	40	AECB	
C/N=N/c1ccccc1	ZINC000033986070	SHHIUWFOBYRJAM-CMDGGOBGSA-N	120.155	2.400	10	40	AECB	
CCOC(=O)/N=N/c1ccccn1	ZINC000034449417	IESKTPMQWNMZPR-ZHACJKMWSA-N	179.179	2.322	10	40	AECB	
CC(C)=C1C=C(C(C)C)OC1=O	ZINC000034479097	SSWXCJGZXHUGMF-UHFFFAOYSA-N	166.220	2.420	10	40	AECB	
C[C@@H](C#N)C(=O)C1CCCCC1	ZINC000036931584	SHSPWXJZTLZDJK-QMMMGPOBSA-N	165.236	2.295	10	40	AECB	
C[C@H](C#N)C(=O)C1CCCCC1	ZINC000036931585	SHSPWXJZTLZDJK-MRVPVSSYSA-N	165.236	2.295	10	40	AECB	
CC(=O)CC(=S)c1ccccc1	ZINC000038810365	PRIZFTPMFAPSFD-UHFFFAOYSA-N	178.256	2.384	10	40	AECB	
C/C=C\Oc1ccc(N)cc1	ZINC000039048399	AMTHNUBYEFZGCX-UQCOIBPSSA-N	149.193	2.181	10	40	AECB	
C=C=C[C@@H]1CC=CC1=S	ZINC000039049193	XKYOLEZKDCULTF-SSDOTTSWSA-N	136.219	2.274	10	40	AECB	
C=C=C[C@H]1CC=CC1=S	ZINC000039049195	XKYOLEZKDCULTF-ZETCQYMHSA-N	136.219	2.274	10	40	AECB	
N=Nc1ccccc1C(=O)O	ZINC000039066061	CMNLDYQRSLQILW-UHFFFAOYSA-N	150.137	2.047	10	40	AECB	
CC(=S)/C(C)=C(/C)O	ZINC000039068495	CAAROHHZRSKJHR-PLNGDYQASA-N	130.212	2.228	10	40	AECB	
C=Cc1ccc(N2CC2)cc1	ZINC000039079412	JGOMPHMQQDNPFP-UHFFFAOYSA-N	145.205	2.150	10	40	AECB	
C[C@H](c1ccccc1O)N(C)C	ZINC000039082182	SYOSODBLQVBZAY-MRVPVSSYSA-N	165.236	2.015	10	40	AECB	
CCO/N=N\c1ccc(C(=O)O)cc1	ZINC000039084054	PAGHHOKGHABIGB-KHPPLWFESA-N	194.190	2.420	10	40	AECB	
C/N=N\C12CCC(C(=O)O)(CC1)CC2	ZINC000039084209	JRVKODMRFJUXNK-QXMHVHEDSA-N	196.250	2.246	10	40	AECB	
C=CCCOc1ccc(N)cc1	ZINC000039089502	OZSCDMXYGLIPBH-UHFFFAOYSA-N	163.220	2.224	10	40	AECB	
C/C=C\COc1ccc(N)cc1	ZINC000039089535	GDJGEDDXJWYZGG-IHWYPQMZSA-N	163.220	2.224	10	40	AECB	
C=C[C@H]1CN1c1ccc(OC)cc1	ZINC000039089899	VGKKATSGPOGPPS-QHGLUPRGSA-N	175.231	2.070	10	40	AECB	
C=C[C@@H]1CN1c1ccc(OC)cc1	ZINC000039089900	VGKKATSGPOGPPS-PKEIRNPWSA-N	175.231	2.070	10	40	AECB	
COc1ccc(N2CC=CC2)cc1	ZINC000039089946	GIPJPPNDAWMVNV-UHFFFAOYSA-N	175.231	2.071	10	40	AECB	
Cc1ccc(C/N=N/O)cc1	ZINC000039090825	RBWYYWGEAYBNOE-UHFFFAOYSA-N	150.181	2.336	10	40	AECB	
CC(C)[C@@H]1CCC[C@H](C#N)C1=O	ZINC000039104023	QEZPSBXATFTLIR-BDAKNGLRSA-N	165.236	2.151	10	40	AECB	
CC(C)[C@H]1CCC[C@H](C#N)C1=O	ZINC000039104024	QEZPSBXATFTLIR-RKDXNWHRSA-N	165.236	2.151	10	40	AECB	
