smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
Nc1ccc(Nc2cccnc2)cc1	ZINC000008419436	DHIZHSOFYAWXTL-UHFFFAOYSA-N	185.230	2.407	10	30	AECC	
COCCCCOc1ccc(N)cc1	ZINC000008702445	XUWNDKGLEYIJSD-UHFFFAOYSA-N	195.262	2.074	10	30	AECC	
Cc1ccc(/C=C2/C=C(C)OC2=O)o1	ZINC000012341698	VULWACYUPOTVEH-TWGQIWQCSA-N	190.198	2.432	10	30	AECC	
[N-]=[N+]=NCc1cccc([N+](=O)[O-])c1	ZINC000020232281	ZSACFMUAFYJZDW-UHFFFAOYSA-N	178.151	2.405	10	30	AECC	
Cc1noc(C)c1CN=[N+]=[N-]	ZINC000026547913	XDJYXPPOXPCMAJ-UHFFFAOYSA-N	152.157	2.102	10	30	AECC	
CCS1=CC=C(CC(=O)O)C=C1	ZINC000039953756	ZRVNQRZEGLJQMN-UHFFFAOYSA-N	184.260	2.006	10	30	AECC	
[N-]=[N+]=NCCOc1ccccc1	ZINC000042390576	IBOCSNKEABMQOK-UHFFFAOYSA-N	163.180	2.376	10	30	AECC	
CN(CCN=[N+]=[N-])Cc1ccccc1	ZINC000042415773	QNRGFQGIEXGRCC-UHFFFAOYSA-N	190.250	2.429	10	30	AECC	
CCCCC[C@@H](C=S)C(=O)OC	ZINC000066338646	HEHUHOQNLOSOJH-QMMMGPOBSA-N	188.292	2.356	10	30	AECC	
CCCCC[C@H](C=S)C(=O)OC	ZINC000066338650	HEHUHOQNLOSOJH-MRVPVSSYSA-N	188.292	2.356	10	30	AECC	
[N-]=[N+]=NCC(=O)Nc1cccc(F)c1	ZINC000100673015	KWOFHANNRCMPNG-UHFFFAOYSA-N	194.169	2.075	10	30	AECC	
[N-]=[N+]=NCC(=O)Nc1ccccc1F	ZINC000100673017	IDCAESUEKXXHDU-UHFFFAOYSA-N	194.169	2.075	10	30	AECC	
COC(=O)c1sccc1N=N	ZINC000100944741	UAVSXRRQLAWYTL-UHFFFAOYSA-N	170.193	2.197	10	30	AECC	
CC(=O)/N=N\c1ccccc1	ZINC000101464519	BKOUDBWPLMDAPA-KTKRTIGZSA-N	148.165	2.317	10	30	AECC	
C=CC[C@@H]1CCC[C@H](C#N)C1=O	ZINC000104836971	CTRAZQYLYBQBRI-RKDXNWHRSA-N	163.220	2.071	10	30	AECC	
C=CC[C@H]1CCC[C@H](C#N)C1=O	ZINC000104836974	CTRAZQYLYBQBRI-DTWKUNHWSA-N	163.220	2.071	10	30	AECC	
C=CC[C@@H]1CCC[C@@H](C#N)C1=O	ZINC000104836976	CTRAZQYLYBQBRI-BDAKNGLRSA-N	163.220	2.071	10	30	AECC	
C=CC[C@H]1CCC[C@@H](C#N)C1=O	ZINC000104836978	CTRAZQYLYBQBRI-IUCAKERBSA-N	163.220	2.071	10	30	AECC	
CC(C)(C#N)C/N=N\C(C)(C)C#N	ZINC000105003259	YYIDOQLDSDAQSP-SEYXRHQNSA-N	178.239	2.291	10	30	AECC	
c1c[nH]c(/N=N\c2nccs2)n1	ZINC000108578198	NPTZFMUFTOKRKJ-KHPPLWFESA-N	179.208	2.282	10	30	AECC	
