smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
Cc1csc(C)c1O	ZINC000002546111	HQAKWHSNHXGQPA-UHFFFAOYSA-N	128.196	2.071	10	20	AECD	
CN(C)c1ccc([C@H](N)C2CC2)cc1	ZINC000003739152	UHOWMSSNXBDONW-GFCCVEGCSA-N	190.290	2.162	10	20	AECD	
CN(C)c1ccc([C@@H](N)C2CC2)cc1	ZINC000003739153	UHOWMSSNXBDONW-LBPRGKRZSA-N	190.290	2.162	10	20	AECD	
[N-]=[N+]=NC[C@@H](O)c1ccccc1	ZINC000004071992	MALKRPRQNKEVSK-MRVPVSSYSA-N	163.180	2.030	10	20	AECD	
[N-]=[N+]=NC[C@H](O)c1ccccc1	ZINC000004071993	MALKRPRQNKEVSK-QMMMGPOBSA-N	163.180	2.030	10	20	AECD	
CCCCCN=[N+]=[N-]	ZINC000005820684	YJHBJNGBMWHOFD-UHFFFAOYSA-N	113.164	2.487	10	20	AECD	
CN(C)/N=N/c1ccc(F)cc1	ZINC000005957206	XOIRGVCSIQKKPR-ZHACJKMWSA-N	167.187	2.386	10	20	AECD	
CCOCCCNc1ccc(N)cc1	ZINC000020384187	DYDQCQKCPXNSIH-UHFFFAOYSA-N	194.278	2.107	10	20	AECD	
CCn1nc(C)c(CCN=[N+]=[N-])c1C	ZINC000026546949	YVOGWVJANBSRTD-UHFFFAOYSA-N	193.254	2.373	10	20	AECD	
S=C(C1CC1)C1CC1	ZINC000032297271	KFENTQGFOBLHNN-UHFFFAOYSA-N	126.224	2.176	10	20	AECD	
CC[C@@H](c1ccccc1O)N(C)C	ZINC000033645829	UOFOICIPJVZYQU-JTQLQIEISA-N	179.263	2.405	10	20	AECD	
CC[C@H](c1ccccc1O)N(C)C	ZINC000033645830	UOFOICIPJVZYQU-SNVBAGLBSA-N	179.263	2.405	10	20	AECD	
Cc1ccc(C(=O)[C@@H](C)C#N)cc1	ZINC000034226849	BPENUPAIRWAOJP-VIFPVBQESA-N	173.215	2.337	10	20	AECD	
Cc1ccc(C(=O)[C@H](C)C#N)cc1	ZINC000034226850	BPENUPAIRWAOJP-SECBINFHSA-N	173.215	2.337	10	20	AECD	
CSCCNc1ccc(N)cc1	ZINC000034334636	FVWCGBRASHOLKU-UHFFFAOYSA-N	182.292	2.044	10	20	AECD	
[N-]=[N+]=NCCc1ccc([N+](=O)[O-])cc1	ZINC000034427725	CENQBIUVODNYBA-UHFFFAOYSA-N	192.178	2.448	10	20	AECD	
C[C@@](O)(CN=[N+]=[N-])c1ccccc1	ZINC000034567670	ASFYJILDQJBDKJ-SECBINFHSA-N	177.207	2.204	10	20	AECD	
C[C@](O)(CN=[N+]=[N-])c1ccccc1	ZINC000034567673	ASFYJILDQJBDKJ-VIFPVBQESA-N	177.207	2.204	10	20	AECD	
[N-]=[N+]=N[C@H]1C=CCCC1	ZINC000034598869	KKAWZKUTSDQAJT-LURJTMIESA-N	123.159	2.405	10	20	AECD	
[N-]=[N+]=N[C@@H]1C=CCCC1	ZINC000034598870	KKAWZKUTSDQAJT-ZCFIWIBFSA-N	123.159	2.405	10	20	AECD	
[N-]=[N+]=NCC#Cc1ccccc1	ZINC000034621787	MOZRDLSOWWYWBO-UHFFFAOYSA-N	157.176	2.348	10	20	AECD	
CCNCc1ccc(N(C)CC)cc1	ZINC000034824605	OVTUCISPWHRTAS-UHFFFAOYSA-N	192.306	2.252	10	20	AECD	
CCCN(C)c1ccc(CNC)cc1	ZINC000034824949	BBWUXKCIUPXTQK-UHFFFAOYSA-N	192.306	2.252	10	20	AECD	
CCCCCC(=O)[C@@H](C)C#N	ZINC000034975724	IWUWKCMSEHVYNB-QMMMGPOBSA-N	153.225	2.295	10	20	AECD	
CCCCCC(=O)[C@H](C)C#N	ZINC000034975726	IWUWKCMSEHVYNB-MRVPVSSYSA-N	153.225	2.295	10	20	AECD	
CCC(CC)C(=O)[C@@H](C)C#N	ZINC000034975737	PNGUZHXCGJRIID-ZETCQYMHSA-N	153.225	2.151	10	20	AECD	
CCC(CC)C(=O)[C@H](C)C#N	ZINC000034975739	PNGUZHXCGJRIID-SSDOTTSWSA-N	153.225	2.151	10	20	AECD	
C[C@@H](C#N)C(=O)c1cc(F)ccc1F	ZINC000034975757	ONXQUSAWTZTRAA-LURJTMIESA-N	195.168	2.307	10	20	AECD	
C[C@H](C#N)C(=O)c1cc(F)ccc1F	ZINC000034975758	ONXQUSAWTZTRAA-ZCFIWIBFSA-N	195.168	2.307	10	20	AECD	
C[C@@H](C#N)C(=O)c1ccc(F)cc1F	ZINC000034975760	FXSMAAQMDHNLCO-LURJTMIESA-N	195.168	2.307	10	20	AECD	
C[C@H](C#N)C(=O)c1ccc(F)cc1F	ZINC000034975762	FXSMAAQMDHNLCO-ZCFIWIBFSA-N	195.168	2.307	10	20	AECD	
Cc1ccc(C(=O)[C@@H](C)C#N)s1	ZINC000034975769	DHCDJMFKNAAYFK-LURJTMIESA-N	179.244	2.399	10	20	AECD	
Cc1ccc(C(=O)[C@H](C)C#N)s1	ZINC000034975771	DHCDJMFKNAAYFK-ZCFIWIBFSA-N	179.244	2.399	10	20	AECD	
C[C@@H](C#N)C(=O)c1c(F)cccc1F	ZINC000034975782	AGENDXZUWSEDFJ-LURJTMIESA-N	195.168	2.307	10	20	AECD	
C[C@H](C#N)C(=O)c1c(F)cccc1F	ZINC000034975784	AGENDXZUWSEDFJ-ZCFIWIBFSA-N	195.168	2.307	10	20	AECD	
C[C@@H](C#N)C(=O)c1ccsc1	ZINC000034975795	XEMNBVRYBCEAHU-LURJTMIESA-N	165.217	2.090	10	20	AECD	
C[C@H](C#N)C(=O)c1ccsc1	ZINC000034975797	XEMNBVRYBCEAHU-ZCFIWIBFSA-N	165.217	2.090	10	20	AECD	
COCCSCc1ccc(N)cc1	ZINC000035321810	GLPIZVDRTMXDLO-UHFFFAOYSA-N	197.303	2.148	10	20	AECD	
CC(C)COCCc1ccc(N)cc1	ZINC000035677337	JGMPJRNGLOBNDS-UHFFFAOYSA-N	193.290	2.484	10	20	AECD	
Nc1ccc(CCOCC2CC2)cc1	ZINC000035677377	IVUUYQBAVOYGEL-UHFFFAOYSA-N	191.274	2.238	10	20	AECD	
CCCOCCc1ccc(N)cc1	ZINC000035677424	FTFXZWQGWBNVCT-UHFFFAOYSA-N	179.263	2.238	10	20	AECD	
CCn1cc(-n2c(C)ccc2C)cn1	ZINC000035782033	MYEMTWCLXSQJKT-UHFFFAOYSA-N	189.262	2.311	10	20	AECD	
N#C[C@H]1Cc2cc(Cl)ccc2C1=O	ZINC000036404677	FWVKRXBKCNQAPL-SSDOTTSWSA-N	191.617	2.219	10	20	AECD	
N#C[C@@H]1Cc2cc(Cl)ccc2C1=O	ZINC000036404678	FWVKRXBKCNQAPL-ZETCQYMHSA-N	191.617	2.219	10	20	AECD	
C[C@@H](N=[N+]=[N-])[C@H](O)c1ccccc1	ZINC000036420045	CGLHUOBXGPKCHV-APPZFPTMSA-N	177.207	2.419	10	20	AECD	
COC(=O)c1cccc(CN=[N+]=[N-])c1	ZINC000036420283	GODLXLJGPJGHMO-UHFFFAOYSA-N	191.190	2.284	10	20	AECD	
CC(C)(C)C(=O)Cc1ccc(N)cc1	ZINC000036420286	IUMRUDPKFRJWKR-UHFFFAOYSA-N	191.274	2.427	10	20	AECD	
CCOCCCOc1ccc(N)cc1	ZINC000036671679	AWSWDZPWTLLEGS-UHFFFAOYSA-N	195.262	2.074	10	20	AECD	
CC[C@@H](C#N)C(=O)c1ccsc1	ZINC000036915904	YGJFXIXFSCZHAI-ZETCQYMHSA-N	179.244	2.481	10	20	AECD	
CC[C@H](C#N)C(=O)c1ccsc1	ZINC000036915905	YGJFXIXFSCZHAI-SSDOTTSWSA-N	179.244	2.481	10	20	AECD	
CC[C@@H](C#N)C(=O)c1occc1C	ZINC000036915912	OGTRNTCIBBKKHQ-QMMMGPOBSA-N	177.203	2.321	10	20	AECD	
CC[C@H](C#N)C(=O)c1occc1C	ZINC000036915913	OGTRNTCIBBKKHQ-MRVPVSSYSA-N	177.203	2.321	10	20	AECD	
CC[C@@H](C#N)C(=O)c1ccoc1	ZINC000036915914	VFKPWWNFXGKENM-ZETCQYMHSA-N	163.176	2.012	10	20	AECD	
CC[C@H](C#N)C(=O)c1ccoc1	ZINC000036915915	VFKPWWNFXGKENM-SSDOTTSWSA-N	163.176	2.012	10	20	AECD	
CCCCC(=O)[C@H](C#N)CC	ZINC000036915948	LEKLWYWDZQDXKT-QMMMGPOBSA-N	153.225	2.295	10	20	AECD	
CCCCC(=O)[C@@H](C#N)CC	ZINC000036915949	LEKLWYWDZQDXKT-MRVPVSSYSA-N	153.225	2.295	10	20	AECD	
CC[C@@H](C#N)C(=O)CCc1ccco1	ZINC000036915972	APMHIWYDKALMHM-VIFPVBQESA-N	191.230	2.331	10	20	AECD	
CC[C@H](C#N)C(=O)CCc1ccco1	ZINC000036915973	APMHIWYDKALMHM-SECBINFHSA-N	191.230	2.331	10	20	AECD	
CC[C@@H](C#N)C(=O)C(C)(C)C	ZINC000036915998	IFRCIPCFEYIYEO-ZETCQYMHSA-N	153.225	2.151	10	20	AECD	
CC[C@H](C#N)C(=O)C(C)(C)C	ZINC000036915999	IFRCIPCFEYIYEO-SSDOTTSWSA-N	153.225	2.151	10	20	AECD	
CC[C@@H](C#N)C(=O)c1cccs1	ZINC000036916048	RAURFQPBOKXBPD-ZETCQYMHSA-N	179.244	2.481	10	20	AECD	
CC[C@H](C#N)C(=O)c1cccs1	ZINC000036916049	RAURFQPBOKXBPD-SSDOTTSWSA-N	179.244	2.481	10	20	AECD	
CC[C@@H](C#N)C(=O)c1ccc(C)o1	ZINC000036916074	HLZYRLSDHUNZSQ-QMMMGPOBSA-N	177.203	2.321	10	20	AECD	
CC[C@H](C#N)C(=O)c1ccc(C)o1	ZINC000036916075	HLZYRLSDHUNZSQ-MRVPVSSYSA-N	177.203	2.321	10	20	AECD	
CC[C@@H](C#N)C(=O)CC(C)C	ZINC000036916088	GILJFOGEZVIFGB-QMMMGPOBSA-N	153.225	2.151	10	20	AECD	
CC[C@H](C#N)C(=O)CC(C)C	ZINC000036916089	GILJFOGEZVIFGB-MRVPVSSYSA-N	153.225	2.151	10	20	AECD	
CC[C@@H](C#N)C(=O)C1CCCC1	ZINC000036916094	STQPYMXIKOTNOF-QMMMGPOBSA-N	165.236	2.295	10	20	AECD	
CC[C@H](C#N)C(=O)C1CCCC1	ZINC000036916095	STQPYMXIKOTNOF-MRVPVSSYSA-N	165.236	2.295	10	20	AECD	
CC[C@@H](C)C(=O)[C@H](C#N)CC	ZINC000036916104	DWKVOEUZSKVDEU-SFYZADRCSA-N	153.225	2.151	10	20	AECD	
CC[C@H](C)C(=O)[C@H](C#N)CC	ZINC000036916105	DWKVOEUZSKVDEU-YUMQZZPRSA-N	153.225	2.151	10	20	AECD	
CC[C@@H](C)C(=O)[C@@H](C#N)CC	ZINC000036916106	DWKVOEUZSKVDEU-HTQZYQBOSA-N	153.225	2.151	10	20	AECD	
CC[C@H](C#N)C(=O)[C@@H](C)CC	ZINC000036916107	DWKVOEUZSKVDEU-JGVFFNPUSA-N	153.225	2.151	10	20	AECD	
Cc1cc(C(=O)[C@@H](C)C#N)c(C)o1	ZINC000036931534	ORJMLRRRIDVULF-LURJTMIESA-N	177.203	2.239	10	20	AECD	
Cc1cc(C(=O)[C@H](C)C#N)c(C)o1	ZINC000036931535	ORJMLRRRIDVULF-ZCFIWIBFSA-N	177.203	2.239	10	20	AECD	
CC(C)CCC(=O)[C@@H](C)C#N	ZINC000036931554	OFWFFJQXRXTZDD-QMMMGPOBSA-N	153.225	2.151	10	20	AECD	
CC(C)CCC(=O)[C@H](C)C#N	ZINC000036931555	OFWFFJQXRXTZDD-MRVPVSSYSA-N	153.225	2.151	10	20	AECD	
CCC[C@@H](C)C(=O)[C@@H](C)C#N	ZINC000036931556	XDIQKJNXWLMDPR-SFYZADRCSA-N	153.225	2.151	10	20	AECD	
CCC[C@H](C)C(=O)[C@@H](C)C#N	ZINC000036931557	XDIQKJNXWLMDPR-YUMQZZPRSA-N	153.225	2.151	10	20	AECD	
CCC[C@@H](C)C(=O)[C@H](C)C#N	ZINC000036931558	XDIQKJNXWLMDPR-HTQZYQBOSA-N	153.225	2.151	10	20	AECD	
CCC[C@H](C)C(=O)[C@H](C)C#N	ZINC000036931559	XDIQKJNXWLMDPR-JGVFFNPUSA-N	153.225	2.151	10	20	AECD	
C[C@@H](C#N)C(=O)CCc1ccccc1	ZINC000036931560	GSJJOWHFGFNEJV-JTQLQIEISA-N	187.242	2.348	10	20	AECD	
C[C@H](C#N)C(=O)CCc1ccccc1	ZINC000036931561	GSJJOWHFGFNEJV-SNVBAGLBSA-N	187.242	2.348	10	20	AECD	
C[C@@H](C#N)C(=O)CC(C)(C)C	ZINC000036931562	PUYZITWDUNTSRR-ZETCQYMHSA-N	153.225	2.151	10	20	AECD	
C[C@H](C#N)C(=O)CC(C)(C)C	ZINC000036931563	PUYZITWDUNTSRR-SSDOTTSWSA-N	153.225	2.151	10	20	AECD	
Cc1cccc(C(=O)[C@@H](C)C#N)c1	ZINC000036931610	BEAPGYVJZPSWBW-VIFPVBQESA-N	173.215	2.337	10	20	AECD	
Cc1cccc(C(=O)[C@H](C)C#N)c1	ZINC000036931611	BEAPGYVJZPSWBW-SECBINFHSA-N	173.215	2.337	10	20	AECD	
C[C@@H](C#N)C(=O)c1cccs1	ZINC000036931614	BJAACVPBBBEVFT-LURJTMIESA-N	165.217	2.090	10	20	AECD	
C[C@H](C#N)C(=O)c1cccs1	ZINC000036931615	BJAACVPBBBEVFT-ZCFIWIBFSA-N	165.217	2.090	10	20	AECD	
C[C@@H](C#N)C(=O)c1cccc(F)c1	ZINC000036931616	HBMLRQWDUXAMEZ-ZETCQYMHSA-N	177.178	2.168	10	20	AECD	
C[C@H](C#N)C(=O)c1cccc(F)c1	ZINC000036931617	HBMLRQWDUXAMEZ-SSDOTTSWSA-N	177.178	2.168	10	20	AECD	
Cc1ccccc1C(=O)[C@@H](C)C#N	ZINC000036931622	VRKLSRWJJCIXGR-VIFPVBQESA-N	173.215	2.337	10	20	AECD	
Cc1ccccc1C(=O)[C@H](C)C#N	ZINC000036931623	VRKLSRWJJCIXGR-SECBINFHSA-N	173.215	2.337	10	20	AECD	
COc1cccc(C(=O)[C@@H](C)C#N)c1	ZINC000036931626	IMOAGTSYVUZUTF-QMMMGPOBSA-N	189.214	2.038	10	20	AECD	
COc1cccc(C(=O)[C@H](C)C#N)c1	ZINC000036931627	IMOAGTSYVUZUTF-MRVPVSSYSA-N	189.214	2.038	10	20	AECD	
C[C@@H](C#N)C(=O)c1ccccc1F	ZINC000036935025	SUDXVLWSQAQDPX-ZETCQYMHSA-N	177.178	2.168	10	20	AECD	
C[C@H](C#N)C(=O)c1ccccc1F	ZINC000036935027	SUDXVLWSQAQDPX-SSDOTTSWSA-N	177.178	2.168	10	20	AECD	
COc1ccccc1C(=O)[C@@H](C)C#N	ZINC000036935045	DUHNJKSBXYIQOJ-QMMMGPOBSA-N	189.214	2.038	10	20	AECD	
COc1ccccc1C(=O)[C@H](C)C#N	ZINC000036935047	DUHNJKSBXYIQOJ-MRVPVSSYSA-N	189.214	2.038	10	20	AECD	
C[C@@H](C#N)C(=O)c1ccc(F)cc1	ZINC000036935049	USLUDEAOTCLSEN-ZETCQYMHSA-N	177.178	2.168	10	20	AECD	
C[C@H](C#N)C(=O)c1ccc(F)cc1	ZINC000036935051	USLUDEAOTCLSEN-SSDOTTSWSA-N	177.178	2.168	10	20	AECD	
C[C@@H](C#N)C(=O)c1ccc(F)c(F)c1	ZINC000036935097	UCOIJHLRWIZYEN-LURJTMIESA-N	195.168	2.307	10	20	AECD	
C[C@H](C#N)C(=O)c1ccc(F)c(F)c1	ZINC000036935099	UCOIJHLRWIZYEN-ZCFIWIBFSA-N	195.168	2.307	10	20	AECD	
C[C@@H](C#N)C(=O)c1cc(F)cc(F)c1	ZINC000036935133	DSPHVDIJUISZEN-LURJTMIESA-N	195.168	2.307	10	20	AECD	
C[C@H](C#N)C(=O)c1cc(F)cc(F)c1	ZINC000036935135	DSPHVDIJUISZEN-ZCFIWIBFSA-N	195.168	2.307	10	20	AECD	
Cc1ccsc1C(=O)[C@@H](C)C#N	ZINC000036935169	RJAJGEMMKYMUHI-ZETCQYMHSA-N	179.244	2.399	10	20	AECD	
Cc1ccsc1C(=O)[C@H](C)C#N	ZINC000036935171	RJAJGEMMKYMUHI-SSDOTTSWSA-N	179.244	2.399	10	20	AECD	
Cc1ccc(C(=O)[C@@H](C)C#N)cc1F	ZINC000036935193	YBZIEYSGPGNGOE-QMMMGPOBSA-N	191.205	2.477	10	20	AECD	
Cc1ccc(C(=O)[C@H](C)C#N)cc1F	ZINC000036935195	YBZIEYSGPGNGOE-MRVPVSSYSA-N	191.205	2.477	10	20	AECD	
CCCN(CC)c1ccc(CN)cc1	ZINC000037094308	PHAUILWDDKMRTQ-UHFFFAOYSA-N	192.306	2.382	10	20	AECD	
CCCN(C)CCc1ccc(N)cc1	ZINC000037098564	IZEWFBRQIQJARD-UHFFFAOYSA-N	192.306	2.153	10	20	AECD	
Oc1ccccc1CNCC1CCC1	ZINC000037180165	DKAOXTIHNIBELB-UHFFFAOYSA-N	191.274	2.282	10	20	AECD	
[N-]=[N+]=NCc1ccccc1[N+](=O)[O-]	ZINC000037206916	RWJRBVYNMRKGAG-UHFFFAOYSA-N	178.151	2.405	10	20	AECD	
CC[C@@H](C#N)C(=O)c1ccoc1C	ZINC000037413263	XSBYHACGBMXQJI-QMMMGPOBSA-N	177.203	2.321	10	20	AECD	
CC[C@H](C#N)C(=O)c1ccoc1C	ZINC000037413266	XSBYHACGBMXQJI-MRVPVSSYSA-N	177.203	2.321	10	20	AECD	
CC[C@@H](C#N)C(=O)c1ccco1	ZINC000037507694	BZWAWPYGIXSKNU-ZETCQYMHSA-N	163.176	2.012	10	20	AECD	
CC[C@H](C#N)C(=O)c1ccco1	ZINC000037507695	BZWAWPYGIXSKNU-SSDOTTSWSA-N	163.176	2.012	10	20	AECD	
CC[C@@H](C#N)C(=O)c1ccccc1	ZINC000037507696	DAWKKCQLIURYLL-VIFPVBQESA-N	173.215	2.419	10	20	AECD	
CC[C@H](C#N)C(=O)c1ccccc1	ZINC000037507697	DAWKKCQLIURYLL-SECBINFHSA-N	173.215	2.419	10	20	AECD	
Nc1ccc(COCC(F)F)cc1	ZINC000037755390	QZVGALBGOHTYRC-UHFFFAOYSA-N	187.189	2.051	10	20	AECD	
Nc1ccc2c(ccn2CC(F)F)c1	ZINC000037755964	JBFPEIDVDNRLGR-UHFFFAOYSA-N	196.200	2.489	10	20	AECD	
N#CCCCCOc1ccc(N)cc1	ZINC000038055828	FSTBYGGLXABMLE-UHFFFAOYSA-N	190.246	2.341	10	20	AECD	
C[C@@H](C#N)C(=O)CC1CCCC1	ZINC000038137655	QANZLHIWNPEZQI-QMMMGPOBSA-N	165.236	2.295	10	20	AECD	
C[C@H](C#N)C(=O)CC1CCCC1	ZINC000038137656	QANZLHIWNPEZQI-MRVPVSSYSA-N	165.236	2.295	10	20	AECD	
CCCCOCCN=[N+]=[N-]	ZINC000038864534	LWKPVBNPFCTRJE-UHFFFAOYSA-N	143.190	2.113	10	20	AECD	
CCOC(=O)CCCCCN=[N+]=[N-]	ZINC000039217098	ONUGSWFFTHJOQF-UHFFFAOYSA-N	185.227	2.420	10	20	AECD	
N#CCCCc1ccc(N)cc1	ZINC000039245270	VOBGOLQYIBMRSR-UHFFFAOYSA-N	160.220	2.115	10	20	AECD	
CC(C)=CCN=[N+]=[N-]	ZINC000039307210	SRAKMWSMOACAAX-UHFFFAOYSA-N	111.148	2.263	10	20	AECD	
Nc1ccc(NCc2ccoc2)cc1	ZINC000039368874	FRHDFBXUGSTTGN-UHFFFAOYSA-N	188.230	2.474	10	20	AECD	
CC[C@@H](C)NCCc1ccc(N)cc1	ZINC000040408001	ZZGOHSGXPGIPCU-SNVBAGLBSA-N	192.306	2.199	10	20	AECD	
CC[C@H](C)NCCc1ccc(N)cc1	ZINC000040408004	ZZGOHSGXPGIPCU-JTQLQIEISA-N	192.306	2.199	10	20	AECD	
CC(C)CNCCc1ccc(N)cc1	ZINC000040408635	VNSUNSKGWWGADF-UHFFFAOYSA-N	192.306	2.057	10	20	AECD	
CCCCNCCc1ccc(N)cc1	ZINC000040409995	FJESFGRXLUPLCM-UHFFFAOYSA-N	192.306	2.201	10	20	AECD	
N#CCCSc1nccs1	ZINC000040676763	NSPNNLUXTJMHNV-UHFFFAOYSA-N	170.262	2.149	10	20	AECD	
C[C@H](C#N)CSc1nccs1	ZINC000040676802	YQMQJEPKAVZDTB-ZCFIWIBFSA-N	184.289	2.395	10	20	AECD	
C[C@@H](C#N)CSc1nccs1	ZINC000040676804	YQMQJEPKAVZDTB-LURJTMIESA-N	184.289	2.395	10	20	AECD	
CC[C@H](O)CSc1nccs1	ZINC000040677085	UTPLEPDJFCESLF-LURJTMIESA-N	189.305	2.006	10	20	AECD	
CC[C@@H](O)CSc1nccs1	ZINC000040677086	UTPLEPDJFCESLF-ZCFIWIBFSA-N	189.305	2.006	10	20	AECD	
CC(C)(O)CSc1nccs1	ZINC000040677095	NFGTXXFOBYSBTM-UHFFFAOYSA-N	189.305	2.006	10	20	AECD	
OCCCCSc1nccs1	ZINC000040677101	VVHQFXMGAYLCPE-UHFFFAOYSA-N	189.305	2.008	10	20	AECD	
CC(=O)CCSc1nccs1	ZINC000040677175	PPRXPSVLPMTXGF-UHFFFAOYSA-N	187.289	2.214	10	20	AECD	
O=C1CCC[C@H]1Sc1nccs1	ZINC000040677201	RPRFGBVTQAVUAX-SSDOTTSWSA-N	199.300	2.357	10	20	AECD	
O=C1CCC[C@@H]1Sc1nccs1	ZINC000040677202	RPRFGBVTQAVUAX-ZETCQYMHSA-N	199.300	2.357	10	20	AECD	
CC(=O)[C@H](C)Sc1nccs1	ZINC000040677234	BKMSAKPFSSBLNS-LURJTMIESA-N	187.289	2.213	10	20	AECD	
CC(=O)[C@@H](C)Sc1nccs1	ZINC000040677235	BKMSAKPFSSBLNS-ZCFIWIBFSA-N	187.289	2.213	10	20	AECD	
C/C(=C/O)C(=O)c1cccs1	ZINC000041062127	OQHOVWWZYORDOJ-WAYWQWQTSA-N	168.217	2.393	10	20	AECD	
CCC(CC)C(=O)NCCCN=[N+]=[N-]	ZINC000042012923	IKYUQPRAJCYBRB-UHFFFAOYSA-N	198.270	2.239	10	20	AECD	
CC(C)(C)CC(=O)NCCCN=[N+]=[N-]	ZINC000042012979	ZAOAYNFJOGKNJS-UHFFFAOYSA-N	198.270	2.239	10	20	AECD	
CC/C=C(/C)C(=O)NCCCN=[N+]=[N-]	ZINC000042013009	RGYAWQRZLSBDBO-YVMONPNESA-N	196.254	2.159	10	20	AECD	
CC(C)CCC(=O)NCCCN=[N+]=[N-]	ZINC000042013107	ZLLKYAVVGQLSKT-UHFFFAOYSA-N	198.270	2.239	10	20	AECD	
CCC[C@@H](C)C(=O)NCCCN=[N+]=[N-]	ZINC000042013112	KMBDJNQLSLDQPP-MRVPVSSYSA-N	198.270	2.239	10	20	AECD	
CCC[C@H](C)C(=O)NCCCN=[N+]=[N-]	ZINC000042013113	KMBDJNQLSLDQPP-QMMMGPOBSA-N	198.270	2.239	10	20	AECD	
CCCCCC(=O)NCCCN=[N+]=[N-]	ZINC000042013124	LVKVXRZKQPIFKT-UHFFFAOYSA-N	198.270	2.383	10	20	AECD	
C[C@@H](C#N)Sc1nccs1	ZINC000042290600	HCDMMPNAZUZQQV-YFKPBYRVSA-N	170.262	2.147	10	20	AECD	
C[C@H](C#N)Sc1nccs1	ZINC000042290603	HCDMMPNAZUZQQV-RXMQYKEDSA-N	170.262	2.147	10	20	AECD	
Cc1nc(CN=[N+]=[N-])oc1C	ZINC000042390316	WDSXRSJRAQXFES-UHFFFAOYSA-N	152.157	2.102	10	20	AECD	
N#Cc1cccc(CN=[N+]=[N-])c1	ZINC000042390345	UOGZFMFIYPOEQS-UHFFFAOYSA-N	158.164	2.369	10	20	AECD	
