smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
COc1c(C)c(C)cc([C@H](C)N)c1O	ZINC000211761465	GKMCKBHIXZKSPD-QMMMGPOBSA-N	195.262	2.037	10	10	AECE	
CN[C@@H](C)c1c(O)cccc1Cl	ZINC000211762938	CFBBMEPXWRRHPS-LURJTMIESA-N	185.654	2.326	10	10	AECE	
CN[C@@H](C)c1ccc(Cl)cc1O	ZINC000211763024	KTDCPKFXZCAHHD-LURJTMIESA-N	185.654	2.326	10	10	AECE	
CCc1ccc(O)c([C@H](C)NC)c1	ZINC000211763175	PLOSIDAIXVPRDC-QMMMGPOBSA-N	179.263	2.235	10	10	AECE	
CN[C@@H](C)c1cccc(Cl)c1O	ZINC000211766359	RLMKZGLZBTZJCK-LURJTMIESA-N	185.654	2.326	10	10	AECE	
CN[C@@H](C)c1c(C)cc(C)cc1O	ZINC000211766437	BTTYWKMDQSPAIE-VIFPVBQESA-N	179.263	2.289	10	10	AECE	
CN[C@@H](C)c1c(C)ccc(C)c1O	ZINC000211768512	OXAPLKMUHRXULF-VIFPVBQESA-N	179.263	2.289	10	10	AECE	
CN[C@@H](C)c1ccc(C)c(C)c1O	ZINC000211768603	WUFRBNFNWGJFLG-VIFPVBQESA-N	179.263	2.289	10	10	AECE	
CCOc1cccc([C@H](C)NC)c1O	ZINC000211772075	ZRZODAHLOXEWCK-QMMMGPOBSA-N	195.262	2.071	10	10	AECE	
C=CCc1cccc([C@H](C)NC)c1O	ZINC000211783150	MRGURQQGBUCCCD-VIFPVBQESA-N	191.274	2.401	10	10	AECE	
C[C@H](N)c1c(O)cccc1Cl	ZINC000211786887	VDVGTTGFYZTAJT-YFKPBYRVSA-N	171.627	2.065	10	10	AECE	
CN[C@@H](C)c1cc(F)cc(C)c1O	ZINC000211792877	FRTPPKSILFGPJW-ZETCQYMHSA-N	183.226	2.120	10	10	AECE	
C=C[C@H](N)c1c(O)cccc1Cl	ZINC000211798265	BZSZLBAUMKIZCV-ZETCQYMHSA-N	183.638	2.231	10	10	AECE	
Oc1cccc(Cl)c1[C@H]1CCN1	ZINC000211798772	VWWHOCGMBQYUBA-SSDOTTSWSA-N	183.638	2.080	10	10	AECE	
c1ccc2c(c1)N[C@@H]1CCC[C@@H]1N2	ZINC000211856161	NSXXELHPIYHYEN-PHIMTYICSA-N	174.247	2.445	10	10	AECE	
c1ccc2c(c1)N[C@H]1CCC[C@@H]1N2	ZINC000211856243	NSXXELHPIYHYEN-QWRGUYRKSA-N	174.247	2.445	10	10	AECE	
c1ccc2c(c1)N[C@@H]1CCC[C@H]1N2	ZINC000211856328	NSXXELHPIYHYEN-GHMZBOCLSA-N	174.247	2.445	10	10	AECE	
C[C@@H]1CCC[C@H](N=[N+]=[N-])C1=O	ZINC000212003006	UDJYMDYMGHEATH-RITPCOANSA-N	153.185	2.054	10	10	AECE	
C[C@H]1CCC[C@H](N=[N+]=[N-])C1=O	ZINC000212003090	UDJYMDYMGHEATH-WDSKDSINSA-N	153.185	2.054	10	10	AECE	
C[C@@H]1CCC[C@@H](N=[N+]=[N-])C1=O	ZINC000212003175	UDJYMDYMGHEATH-PHDIDXHHSA-N	153.185	2.054	10	10	AECE	
C[C@H]1CCC[C@@H](N=[N+]=[N-])C1=O	ZINC000212003255	UDJYMDYMGHEATH-NTSWFWBYSA-N	153.185	2.054	10	10	AECE	
C=C[C@@H]1CN2CC[C@@H]1C[C@@H]2CN=[N+]=[N-]	ZINC000212093773	OZNLIJRFAQTAPX-OPRDCNLKSA-N	192.266	2.193	10	10	AECE	
C=C[C@H]1CN2CC[C@@H]1C[C@@H]2CN=[N+]=[N-]	ZINC000212093855	OZNLIJRFAQTAPX-IVZWLZJFSA-N	192.266	2.193	10	10	AECE	
[N-]=[N+]=N[C@H]1c2ccccc2[C@H]2O[C@@H]21	ZINC000212095660	MNIWDEWZVVPWFM-DJLDLDEBSA-N	173.175	2.492	10	10	AECE	
[N-]=[N+]=N[C@@H]1c2ccccc2[C@H]2O[C@@H]21	ZINC000212095732	MNIWDEWZVVPWFM-IWSPIJDZSA-N	173.175	2.492	10	10	AECE	
Oc1ccc2sccc2c1O	ZINC000212246764	DCFKCDCMAIITGV-UHFFFAOYSA-N	166.201	2.313	10	10	AECE	
C[C@@H](O)[C@@H](Cc1ccccc1)N=[N+]=[N-]	ZINC000212262970	AYEZOIUOHUDMFP-PSASIEDQSA-N	191.234	2.289	10	10	AECE	
