smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
Nc1c2ccccc2c[n+]2ccccc12	ZINC000001564607	XUYILZJUQWFLRZ-UHFFFAOYSA-N	195.245	2.161	10	1	AECF	
CCOc1ccc(N/N=[N+](/C)[O-])cc1	ZINC000001591402	NMGHKMAXJHNPKY-QXMHVHEDSA-N	195.222	2.005	10	1	AECF	
CC(=S)c1ccccc1	ZINC000001664321	QFMNMSJTKVHTSY-UHFFFAOYSA-N	136.219	2.425	10	1	AECF	
CCN(C)/N=N/c1cccnc1	ZINC000001722412	JHVDFEOKMRKWLB-ZHACJKMWSA-N	164.212	2.032	10	1	AECF	
C1CCN(/N=N/N2CCCCC2)CC1	ZINC000001757085	IHYRHUMXZJAZMG-VAWYXSNFSA-N	196.298	2.240	10	1	AECF	
CC(=O)c1coc2c1ccc(O)c2O	ZINC000002481967	KVTRROMZLZQVHJ-UHFFFAOYSA-N	192.170	2.047	10	1	AECF	
C/N=[N+](\[O-])C1=CCCCC1	ZINC000004933577	JCJWNGAPLUYGLA-HJWRWDBZSA-N	140.186	2.037	10	1	AECF	
C/N=N/Nc1ccc(F)cc1	ZINC000005132993	QIHZSZKDTKTHCC-UHFFFAOYSA-N	153.160	2.235	10	1	AECF	
CC1(C)OC(C)(C)C(N=N)=C1O	ZINC000005423706	QNZKPXDRDGZWRO-UHFFFAOYSA-N	170.212	2.374	10	1	AECF	
[N-]=[N+]=N/C=C\c1ccc([N+](=O)[O-])o1	ZINC000005432873	UGOBSKKKCCICAU-ARJAWSKDSA-N	180.123	2.469	10	1	AECF	
CC(C)=C[C@H]1CC(=[N+]=[N-])C(=O)C1(C)C	ZINC000005812295	PRKDHVPTFCQLAG-QMMMGPOBSA-N	192.262	2.239	10	1	AECF	
CCC/N=N/CCC	ZINC000005819431	LQCYZZANGSLXDJ-BQYQJAHWSA-N	114.192	2.259	10	1	AECF	
O=C1c2ccoc2C(=O)c2ccccc21	ZINC000005934736	QMKMOPXRLXYBLI-UHFFFAOYSA-N	198.177	2.055	10	1	AECF	biogenic,in-vitro
[N-]=[N+]=N/C=C/c1ccc([N+](=O)[O-])o1	ZINC000006093529	UGOBSKKKCCICAU-ONEGZZNKSA-N	180.123	2.469	10	1	AECF	
N=Nc1ccccc1	ZINC000006096803	RZGQJANKGMICOP-UHFFFAOYSA-N	106.128	2.349	10	1	AECF	in-vitro
O/N=N/c1ccccc1	ZINC000006096848	KOOMFXGDLMRWSN-UHFFFAOYSA-N	122.127	2.160	10	1	AECF	
CC#Cc1cc(O)c(C(C)=O)s1	ZINC000013306672	RVRBIQRMKLACPG-UHFFFAOYSA-N	180.228	2.028	10	1	AECF	biogenic,in-vitro
Oc1cc2[nH]ccc2c(Cl)c1O	ZINC000013385907	LZVOKQNVASMPLP-UHFFFAOYSA-N	183.594	2.233	10	1	AECF	biogenic,in-vitro
CC1(C)C=Cc2cc(O)c(O)cc2O1	ZINC000013484871	WMXBEFPSXXXLPA-UHFFFAOYSA-N	192.214	2.282	10	1	AECF	biogenic,in-vitro
C[C@@H]1C(=O)c2ccccc2C(=O)[C@H]1C	ZINC000013509952	XUDSIUSJYYPACK-YUMQZZPRSA-N	188.226	2.338	10	1	AECF	in-vitro
S=CCNc1ccccc1	ZINC000013513664	SGNDTDZGZMOSGN-UHFFFAOYSA-N	151.234	2.098	10	1	AECF	in-vitro
CC(C)CC=S	ZINC000013514581	RAPFWIVDXSMGAP-UHFFFAOYSA-N	102.202	2.032	10	1	AECF	in-vitro
CN(C)c1ccc(C2=CC=NC2)cc1	ZINC000013534978	IJSWPPMIOUIGJM-UHFFFAOYSA-N	186.258	2.220	10	1	AECF	in-vitro
C=CC[N+](C)(C)c1ccc(OC)cc1	ZINC000013586871	NEZKNCITTRABEA-UHFFFAOYSA-N	192.282	2.448	10	1	AECF	
Cc1cc2cccc(O)c2c(O)c1O	ZINC000014592444	RAOXPEBFDXWTKV-UHFFFAOYSA-N	190.198	2.265	10	1	AECF	biogenic,in-vitro
Cc1cc(O)c2c(O)c(O)ccc2c1	ZINC000014592449	VPZVENBJMJHMPM-UHFFFAOYSA-N	190.198	2.265	10	1	AECF	biogenic,in-vitro
CC[C@@H](C)c1cc(O)cc(O)c1O	ZINC000014593081	PIAWBSIKRMQZJK-ZCFIWIBFSA-N	182.219	2.317	10	1	AECF	biogenic,in-vitro
CC[C@H](C)c1cc(O)cc(O)c1O	ZINC000014593082	PIAWBSIKRMQZJK-LURJTMIESA-N	182.219	2.317	10	1	AECF	biogenic,in-vitro
CC(C)=CCc1cc(O)cc(O)c1O	ZINC000014679114	ULFIPHKBTYWGSP-UHFFFAOYSA-N	194.230	2.312	10	1	AECF	biogenic,in-vitro
C/C=C\c1ccc(O)c(O)c1	ZINC000014680001	MDXYNRAMDATLBT-IHWYPQMZSA-N	150.177	2.131	10	1	AECF	biogenic,in-vitro
S=Cc1ccccc1	ZINC000014766199	ACOOSTZBTYEGER-UHFFFAOYSA-N	122.192	2.034	10	1	AECF	biogenic,in-vitro
CCC(=O)CCc1ccc(O)c(O)c1	ZINC000015112721	UDDJHNSPTJHUSO-UHFFFAOYSA-N	194.230	2.010	10	1	AECF	biogenic,in-vitro
C[C@@H](C=S)[C@@H](C)C=S	ZINC000015119528	HKTATSQBIGDLBL-WDSKDSINSA-N	146.280	2.258	10	1	AECF	biogenic,in-vitro
C[C@@H](C=S)[C@H](C)C=S	ZINC000015119530	HKTATSQBIGDLBL-OLQVQODUSA-N	146.280	2.258	10	1	AECF	biogenic,in-vitro
C[C@H](C=S)[C@H](C)C=S	ZINC000015119531	HKTATSQBIGDLBL-PHDIDXHHSA-N	146.280	2.258	10	1	AECF	biogenic,in-vitro
N#CC1(/N=N\C2(C#N)CCC2)CCC1	ZINC000016893180	MSYZEPKKOAEGRR-YPKPFQOOSA-N	188.234	2.331	10	1	AECF	
CN(C)/N=N/c1ccc(Cl)nc1	ZINC000016951814	ZVIBKERAKQMQMH-ZHACJKMWSA-N	184.630	2.295	10	1	AECF	
CN(C)/N=N/c1ccc2[nH]ncc2c1	ZINC000017000113	FSHTYWUBZPQVHE-ACCUITESSA-N	189.222	2.123	10	1	AECF	
CN(C)/N=N/c1ccccc1C#N	ZINC000017020352	RPBROIBRVOVULA-VAWYXSNFSA-N	174.207	2.119	10	1	AECF	
C/N=N/Cc1ccccc1	ZINC000017021521	DAGTZMKZBKUHPX-MDZDMXLPSA-N	134.182	2.269	10	1	AECF	
C=CN/N=N/c1ccc(OC)cc1	ZINC000017109764	YXGJPNUPSMXHPQ-UHFFFAOYSA-N	177.207	2.427	10	1	AECF	
C=CN/N=N/c1ccc(C#N)cc1	ZINC000017109771	XHCOTAGAPDKREM-UHFFFAOYSA-N	172.191	2.290	10	1	AECF	
C=CN/N=N/c1ccccc1OC	ZINC000017109775	HAJAPXIGWIXVCA-UHFFFAOYSA-N	177.207	2.427	10	1	AECF	
N#Cc1ccc(N/N=N/CCF)cc1	ZINC000017127190	XDTFDUWIVGMUSH-UHFFFAOYSA-N	192.197	2.307	10	1	AECF	
C/N=N/C1(OC(C)=O)CCCCC1	ZINC000017163241	SZWRJNCRHORIEE-ZHACJKMWSA-N	184.239	2.292	10	1	AECF	
CC(C)=C[C@@H]1CC(=[N+]=[N-])C(=O)C1(C)C	ZINC000017214282	PRKDHVPTFCQLAG-MRVPVSSYSA-N	192.262	2.239	10	1	AECF	
CC(=O)c1ccccc1/N=N/N(C)C	ZINC000018009951	TYWYLUQAJYDVJZ-VAWYXSNFSA-N	191.234	2.450	10	1	AECF	
COc1ccccc1/N=N/N(C)C	ZINC000018036733	PVJLIEADFHRQCF-ZHACJKMWSA-N	179.223	2.256	10	1	AECF	
O=[N+]([O-])C/N=N/c1ccccc1	ZINC000018060001	BLUAOQCAMQUCJW-CMDGGOBGSA-N	165.152	2.005	10	1	AECF	
CCN/N=N/c1ccc([N+](=O)[O-])cc1	ZINC000018081791	RYRYCGWJMVYUNP-UHFFFAOYSA-N	194.194	2.203	10	1	AECF	
CCC1=CC(CC)=CS(C)(=O)=C1	ZINC000018113461	RTBJVFURXROSRS-UHFFFAOYSA-N	184.304	2.347	10	1	AECF	
C/N=N\Nc1ccc(C(C)=O)cc1	ZINC000027190918	ZMVPYGSBZJKCAE-UHFFFAOYSA-N	177.207	2.298	10	1	AECF	
CCC/N=N/C(C)C	ZINC000032162039	WSGNZNVZDKVYOV-BQYQJAHWSA-N	114.192	2.257	10	1	AECF	
C/C=C/c1ccc(O)c(O)c1	ZINC000036419725	MDXYNRAMDATLBT-NSCUHMNNSA-N	150.177	2.131	10	1	AECF	biogenic,in-vitro
CC[C@]1(C)CC[C@]2(C=C[C@H](OC)O2)O1	ZINC000037625565	FLHAOARGPZQBRU-MXWKQRLJSA-N	198.262	2.221	10	1	AECF	
CC[C@@]1(C)CC[C@]2(C=C[C@H](OC)O2)O1	ZINC000037625566	FLHAOARGPZQBRU-VWYCJHECSA-N	198.262	2.221	10	1	AECF	
CC[C@]1(C)CC[C@@]2(C=C[C@H](OC)O2)O1	ZINC000037625567	FLHAOARGPZQBRU-GMTAPVOTSA-N	198.262	2.221	10	1	AECF	
CC[C@@]1(C)CC[C@@]2(C=C[C@H](OC)O2)O1	ZINC000037625568	FLHAOARGPZQBRU-OUAUKWLOSA-N	198.262	2.221	10	1	AECF	
COc1ccc(/N=N/O)cc1	ZINC000037625904	HUBYGONJJFFMLH-UHFFFAOYSA-N	152.153	2.168	10	1	AECF	
CCCCCCC#CCC(=O)C=[N+]=[N-]	ZINC000043598592	ZXRFANKSVLKMFA-UHFFFAOYSA-N	192.262	2.220	10	1	AECF	
CC(C)c1cc(O)c(C(=O)O)s1	ZINC000059917982	HUKJYVKGSRGEBN-UHFFFAOYSA-N	186.232	2.275	10	1	AECF	
Cc1sc(C(=O)O)c(O)c1Cl	ZINC000059917984	MNKXUVFLQYTTFG-UHFFFAOYSA-N	192.623	2.114	10	1	AECF	
COc1ccc2c(c1)[C@H](C)CN2C	ZINC000060184771	NFZMWVHDPBYORJ-MRVPVSSYSA-N	177.247	2.249	10	1	AECF	
COc1ccc2c(c1)[C@@H](C)CN2C	ZINC000060184773	NFZMWVHDPBYORJ-QMMMGPOBSA-N	177.247	2.249	10	1	AECF	
N#C[C@H]1CC[C@@H](c2ccccc2)C1=O	ZINC000070627071	UUGVMOODIWZSHJ-MNOVXSKESA-N	185.226	2.273	10	1	AECF	
N#C[C@H]1CC[C@H](c2ccccc2)C1=O	ZINC000070627072	UUGVMOODIWZSHJ-GHMZBOCLSA-N	185.226	2.273	10	1	AECF	
N#C[C@@H]1CC[C@@H](c2ccccc2)C1=O	ZINC000070627074	UUGVMOODIWZSHJ-QWRGUYRKSA-N	185.226	2.273	10	1	AECF	
N#C[C@@H]1CC[C@H](c2ccccc2)C1=O	ZINC000070627076	UUGVMOODIWZSHJ-WDEREUQCSA-N	185.226	2.273	10	1	AECF	
Oc1ccc(N2CCCCC2)cc1O	ZINC000078130114	SZXOBIPNPJPKNG-UHFFFAOYSA-N	193.246	2.088	10	1	AECF	
Cc1c(O)c(C=O)sc1Cl	ZINC000084227635	PGQANAQJVPWTIQ-UHFFFAOYSA-N	176.624	2.228	10	1	AECF	
Cc1c(Cl)sc(C(=O)O)c1O	ZINC000084227667	AJZYARSVMWZLKC-UHFFFAOYSA-N	192.623	2.114	10	1	AECF	
