smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC1(C(Cl)Cl)C=CC(=O)C=C1	ZINC000004029859	MJRRCEHODULPAV-UHFFFAOYSA-N	191.057	2.492	30	50	AEEA	
CO/N=C/CC(=O)c1ccc(C)cc1	ZINC000004038846	YXVVFOXUNDRCFB-XYOKQWHBSA-N	191.230	2.200	30	50	AEEA	
CC1CCC(=NNC(=O)C2CC2)CC1	ZINC000004113308	CMSWFUQNFMXVPX-UHFFFAOYSA-N	194.278	2.079	30	50	AEEA	
CCCC(=O)NNc1cccc(C)c1	ZINC000004119417	UVVHDXDBLZTGBX-UHFFFAOYSA-N	192.262	2.238	30	50	AEEA	
Cl[C@@H]1CCN[C@@H]2CCCC[C@@H]12	ZINC000004127257	ZWRZSBDOSLQQRX-DJLDLDEBSA-N	173.687	2.146	30	50	AEEA	
Cl[C@@H]1CCN[C@@H]2CCCC[C@H]12	ZINC000004127259	ZWRZSBDOSLQQRX-IWSPIJDZSA-N	173.687	2.146	30	50	AEEA	
Cl[C@@H]1CCN[C@H]2CCCC[C@H]12	ZINC000004127260	ZWRZSBDOSLQQRX-HLTSFMKQSA-N	173.687	2.146	30	50	AEEA	
CCOC(=O)N/N=C1\CCC[C@H](C)C1	ZINC000004155658	BQQHRLCCKZNZMI-QMIUEANQSA-N	198.266	2.299	30	50	AEEA	
CCOC(=O)N/N=C1\CCC[C@@H](C)C1	ZINC000004155661	BQQHRLCCKZNZMI-ITCPUHJZSA-N	198.266	2.299	30	50	AEEA	
C(=N/Nc1nccs1)\c1ccco1	ZINC000004159001	FKUPSAXVWJOZMQ-UXBLZVDNSA-N	193.231	2.182	30	50	AEEA	
N/C(=N\c1ccccc1)C(F)(F)F	ZINC000004174823	HKIOQMVJIBOQKB-UHFFFAOYSA-N	188.152	2.238	30	50	AEEA	
ClCc1cc(Br)no1	ZINC000004198765	GQKKVODIBXQDQL-UHFFFAOYSA-N	196.431	2.176	30	50	AEEA	
Cc1csc(N=C=O)c1	ZINC000004200662	HFCFFLWPIFNGCX-UHFFFAOYSA-N	139.179	2.024	30	50	AEEA	
O=C(Cl)c1cc(-c2ccco2)on1	ZINC000004200673	RCDNHOYZXMTBMF-UHFFFAOYSA-N	197.577	2.314	30	50	AEEA	
O=Cc1cccc(CBr)c1	ZINC000004200694	OEPGAYXSRGROSQ-UHFFFAOYSA-N	199.047	2.394	30	50	AEEA	
O=C1C=CC(=Nc2ccc(O)cc2)C=C1	ZINC000004202343	RSAZYXZUJROYKR-UHFFFAOYSA-N	199.209	2.160	30	50	AEEA	in-vitro
Cl[C@H]1SSN[C@H]1Cl	ZINC000004202648	HSMLZSMOUHIWQP-NCGGTJAESA-N	176.093	2.016	30	50	AEEA	
Cl[C@@H]1NSS[C@H]1Cl	ZINC000004202649	HSMLZSMOUHIWQP-JCYAYHJZSA-N	176.093	2.016	30	50	AEEA	
CC1=C(C)C[C@@H](CCl)OC1	ZINC000004205229	FTWQHRQBNMWCOL-QMMMGPOBSA-N	160.644	2.351	30	50	AEEA	
CC1=C(C)C[C@H](CCl)OC1	ZINC000004205230	FTWQHRQBNMWCOL-MRVPVSSYSA-N	160.644	2.351	30	50	AEEA	
Cc1ccc(C(=O)CCl)s1	ZINC000004206206	IQLSTLPOEOWEOC-UHFFFAOYSA-N	174.652	2.478	30	50	AEEA	
CN(C)C(=O)[C@H](Cl)c1ccccc1	ZINC000004207054	SQBWHYPWUXGGKX-SECBINFHSA-N	197.665	2.055	30	50	AEEA	
CN(C)C(=O)[C@@H](Cl)c1ccccc1	ZINC000004207056	SQBWHYPWUXGGKX-VIFPVBQESA-N	197.665	2.055	30	50	AEEA	
CCO/C=C(\C#N)c1nc(C)cs1	ZINC000004218377	XJOBICKWCHNBSN-VMPITWQZSA-N	194.259	2.353	30	50	AEEA	
Cl/C(=N\C1CC1)c1ccco1	ZINC000004218927	RNVUOZYVKQKESC-NTMALXAHSA-N	169.611	2.427	30	50	AEEA	
CC1(C)[C@H]2CC[C@]1(C)/C(=N\N)C2	ZINC000004218973	PEGOJPQIBGLFFN-OVAXYYMUSA-N	166.268	2.147	30	50	AEEA	
CC1(C)[C@@H]2CC[C@@]1(C)/C(=N/N)C2	ZINC000004218974	PEGOJPQIBGLFFN-KSJHYXSPSA-N	166.268	2.147	30	50	AEEA	
CN(C)/C(Cl)=N/c1ccccc1	ZINC000004219062	GEMHFKXPOCTAIP-PKNBQFBNSA-N	182.654	2.475	30	50	AEEA	
CC(C)CC[C@@H](C)NC(=O)CCl	ZINC000004219097	QXDSXHGCALZLQN-MRVPVSSYSA-N	191.702	2.166	30	50	AEEA	
CC(C)CC[C@H](C)NC(=O)CCl	ZINC000004219098	QXDSXHGCALZLQN-QMMMGPOBSA-N	191.702	2.166	30	50	AEEA	
CC1(C)[C@H]2CC[C@]1(C)/C(=N/[N+](=O)[O-])C2	ZINC000004228023	QWPYVYJPIHGYGX-PFBCTZJRSA-N	196.250	2.465	30	50	AEEA	
