smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
ClC[C@H]1CCCN2CCCC[C@H]12	ZINC000000265567	IBXKSXHUBMYDFR-NXEZZACHSA-N	187.714	2.490	30	30	AEEC	
SC[C@H]1CCCN2CCCC[C@H]12	ZINC000000386587	IDJFQEVIICXDDP-NXEZZACHSA-N	185.336	2.181	30	30	AEEC	
CC1=CC(=O)[C@@]2(C(C)C)C[C@@H]12	ZINC000000967599	LTTVJAQLCIHAFV-WCBMZHEXSA-N	150.221	2.178	30	30	AEEC	biogenic,in-vitro
C(=N\c1nccs1)\c1ccco1	ZINC000001063688	WCFWLILWGJGOQH-POHAHGRESA-N	178.216	2.487	30	30	AEEC	
C(=N\Cc1ccco1)\c1ccco1	ZINC000001091500	GRJDUZLBOIHZAV-XFFZJAGNSA-N	175.187	2.492	30	30	AEEC	
CO[C@H]1CCCC[C@H]1Br	ZINC000001570148	DGMAOHYUXAZIFR-RQJHMYQMSA-N	193.084	2.339	30	30	AEEC	
CO[C@@H]1CCCC[C@H]1Br	ZINC000001570149	DGMAOHYUXAZIFR-RNFRBKRXSA-N	193.084	2.339	30	30	AEEC	
CO[C@H]1CCCC[C@@H]1Br	ZINC000001570150	DGMAOHYUXAZIFR-BQBZGAKWSA-N	193.084	2.339	30	30	AEEC	
CO[C@@H]1CCCC[C@@H]1Br	ZINC000001570151	DGMAOHYUXAZIFR-NKWVEPMBSA-N	193.084	2.339	30	30	AEEC	
C/C(=N\C(C)C)N1CCCCC1	ZINC000001572219	QDSUWGCMOCYFNO-ZHACJKMWSA-N	168.284	2.299	30	30	AEEC	
CC1=CC(=O)[C@]2(C(C)C)C[C@H]12	ZINC000001589730	LTTVJAQLCIHAFV-SCZZXKLOSA-N	150.221	2.178	30	30	AEEC	biogenic,in-vitro
OC1(CBr)CCCCC1	ZINC000001720449	SSULDURTLPHCSZ-UHFFFAOYSA-N	193.084	2.077	30	30	AEEC	
Cl[C@H]1CCN[C@H]2CCCC[C@H]12	ZINC000002391955	ZWRZSBDOSLQQRX-VGMNWLOBSA-N	173.687	2.146	30	30	AEEC	
CC[C@@H](Cl)OC(=O)NC(C)(C)C	ZINC000002507813	ZYSJOTZZWWNKFV-LURJTMIESA-N	193.674	2.486	30	30	AEEC	
S=C=N[C@@H]1C[C@@H]2CC[C@H]1C2	ZINC000002534430	RBGDFYZLQKZUCO-GJMOJQLCSA-N	153.250	2.278	30	30	AEEC	
