smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C=CC(=O)CSC(C)(C)C	ZINC000083944361	WTLCJEYUMOMEFG-UHFFFAOYSA-N	158.266	2.273	30	20	AEED	
C=CC(=O)CSCC(C)C	ZINC000083944370	MILSUFJAESVPMM-UHFFFAOYSA-N	158.266	2.131	30	20	AEED	
C=CC(=O)CS[C@H](C)CC	ZINC000083944376	DUNKBAPOSYOWLL-SSDOTTSWSA-N	158.266	2.273	30	20	AEED	
C=CC(=O)CS[C@@H](C)CC	ZINC000083944378	DUNKBAPOSYOWLL-ZETCQYMHSA-N	158.266	2.273	30	20	AEED	
C=CC(=O)CSC1CCCC1	ZINC000083944387	JUQGTJDFAWPGBX-UHFFFAOYSA-N	170.277	2.417	30	20	AEED	
C=CC(=O)[C@H]1CC[C@@H](C)C1	ZINC000083944548	FDFUDTXNEPRAPZ-SFYZADRCSA-N	138.210	2.178	30	20	AEED	
C=CC(=O)[C@H]1CC[C@H](C)C1	ZINC000083944551	FDFUDTXNEPRAPZ-YUMQZZPRSA-N	138.210	2.178	30	20	AEED	
C=CC(=O)[C@@H]1CC[C@@H](C)C1	ZINC000083944556	FDFUDTXNEPRAPZ-HTQZYQBOSA-N	138.210	2.178	30	20	AEED	
C=CC(=O)[C@@H]1CC[C@H](C)C1	ZINC000083944567	FDFUDTXNEPRAPZ-JGVFFNPUSA-N	138.210	2.178	30	20	AEED	
C=CC(=O)[C@@H]1CCOc2ccccc21	ZINC000083944601	HNLHNSWYRWFEHD-SECBINFHSA-N	188.226	2.308	30	20	AEED	
C=CC(=O)[C@H]1CCOc2ccccc21	ZINC000083944604	HNLHNSWYRWFEHD-VIFPVBQESA-N	188.226	2.308	30	20	AEED	
C=CC(=O)C1Cc2ccccc2C1	ZINC000083944626	IINAIYOXHYNZKO-UHFFFAOYSA-N	172.227	2.157	30	20	AEED	
C=CC(=O)[C@@H]1CCc2ccccc21	ZINC000083944630	JQAPEXFGJZTLRP-LLVKDONJSA-N	172.227	2.472	30	20	AEED	
C=CC(=O)[C@H]1CCc2ccccc21	ZINC000083944632	JQAPEXFGJZTLRP-NSHDSACASA-N	172.227	2.472	30	20	AEED	
C[C@@H]1CCCCC[C@@H]1N=C=O	ZINC000083949867	BZISUACYPCWRMX-BDAKNGLRSA-N	153.225	2.291	30	20	AEED	
C[C@H]1CCCCC[C@@H]1N=C=O	ZINC000083949868	BZISUACYPCWRMX-IUCAKERBSA-N	153.225	2.291	30	20	AEED	
C[C@@H]1CCCCC[C@H]1N=C=O	ZINC000083949869	BZISUACYPCWRMX-RKDXNWHRSA-N	153.225	2.291	30	20	AEED	
C[C@H]1CCCCC[C@H]1N=C=O	ZINC000083949870	BZISUACYPCWRMX-DTWKUNHWSA-N	153.225	2.291	30	20	AEED	
ClCCC#CCc1ccccn1	ZINC000083951089	MVJIQNXCEDOWIN-UHFFFAOYSA-N	179.650	2.256	30	20	AEED	
ClCCC#CCc1ccncc1	ZINC000083951091	YRWIIEFUGLWMFN-UHFFFAOYSA-N	179.650	2.256	30	20	AEED	
O=CCCc1ccnc2ccccc12	ZINC000083951746	SAHOBIBQRTZUGB-UHFFFAOYSA-N	185.226	2.366	30	20	AEED	
O=C1C=C(Cc2ccccn2)CCC1	ZINC000083951944	OGEQVCWERFNKDI-UHFFFAOYSA-N	187.242	2.304	30	20	AEED	
O=C1C=C(Cc2ccncc2)CCC1	ZINC000083951945	XZZWXTWJMLBOLG-UHFFFAOYSA-N	187.242	2.304	30	20	AEED	
C=C(C)C(=O)CC(C)C	ZINC000083961963	TXQCOAWMUZRGDQ-UHFFFAOYSA-N	126.199	2.178	30	20	AEED	
C=C(C)C(=O)c1ccc(C)o1	ZINC000083962381	MXDVZRFAEBQRHV-UHFFFAOYSA-N	150.177	2.347	30	20	AEED	
C=C(C)C(=O)c1ccc2c(c1)CCO2	ZINC000083966038	AICBJNSSOSIOKM-UHFFFAOYSA-N	188.226	2.380	30	20	AEED	
ClCc1nc2cnccc2s1	ZINC000083967782	IYMJCYYYMCCVKA-UHFFFAOYSA-N	184.651	2.430	30	20	AEED	
COCc1cccc(/C=C/C(C)=O)c1	ZINC000083968285	QJNGHUBVLIQPGX-VOTSOKGWSA-N	190.242	2.435	30	20	AEED	
COCc1cccc(/C=C/C#N)c1	ZINC000083968781	GFLKRMNKVPTSIA-ZZXKWVIFSA-N	173.215	2.370	30	20	AEED	
COCc1ccccc1/C=C/C(C)=O	ZINC000083969019	DRFFWXQAUIARFO-BQYQJAHWSA-N	190.242	2.435	30	20	AEED	
COCc1ccccc1/C=C/C#N	ZINC000083969241	XTNSEPGWHRAYHX-QPJJXVBHSA-N	173.215	2.370	30	20	AEED	
COCc1ccc(/C=C/C(C)=O)cc1	ZINC000083969521	COFFVHIYAIRKBV-ONEGZZNKSA-N	190.242	2.435	30	20	AEED	
COCc1ccc(/C=C/C#N)cc1	ZINC000083969818	XTFSCRPRPIPMHZ-NSCUHMNNSA-N	173.215	2.370	30	20	AEED	
