smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC[C@H](C=O)CNc1ccccc1	ZINC000238271577	KAAHYCBJTXRGLG-JTQLQIEISA-N	177.247	2.324	30	10	AEEE	
CC[C@H](OC)[C@H](C)Cl	ZINC000238271610	GLGNLIQUTCLNDP-WDSKDSINSA-N	136.622	2.039	30	10	AEEE	
CC[C@@H](CO)/N=C/c1ccc(C)cc1	ZINC000238271686	WAUYNLALFDFIAW-OXBCTQFSSA-N	191.274	2.185	30	10	AEEE	
CC[C@@H](CO)/N=C/c1ccccc1F	ZINC000238271716	GZGRGXWCIPYWIT-JLATVTFTSA-N	195.237	2.016	30	10	AEEE	
CC[C@@H](C=O)C[C@H](Cl)CCl	ZINC000238271730	QAOXDLYBQIRWIU-RQJHMYQMSA-N	183.078	2.448	30	10	AEEE	
CCO/C=C/[C@@H](Cl)OCC	ZINC000238271755	ZYIZBWZHOQCZLT-XPPMVYLVSA-N	164.632	2.138	30	10	AEEE	
CCO/C=C/[C@H](Cl)OCC	ZINC000238271854	ZYIZBWZHOQCZLT-WEWAHIQMSA-N	164.632	2.138	30	10	AEEE	
CCC[C@H]1CC(C)=C(OC)C1=O	ZINC000238271917	WCLRAZDTGICRIN-QMMMGPOBSA-N	168.236	2.296	30	10	AEEE	
CCO/C=C1/CC[C@@H](C)CC1=O	ZINC000238271938	QYLRWEXMJSJNMU-XZZQCUQZSA-N	168.236	2.296	30	10	AEEE	
CCC[C@H]1CC(C)=CC1=O	ZINC000238271939	HRJLBJYIVALUMA-QMMMGPOBSA-N	138.210	2.322	30	10	AEEE	
CCO/C=C1/CC[C@H](C)CC1=O	ZINC000238271950	QYLRWEXMJSJNMU-FZGDARCMSA-N	168.236	2.296	30	10	AEEE	
CCC[C@H]1CC=CC(=O)C1	ZINC000238272151	FNCPWSMKEGUPEZ-QMMMGPOBSA-N	138.210	2.322	30	10	AEEE	
C=CC(=O)C#C[Si](C)(C)CC	ZINC000238272181	FBWHTVRWOSBXRB-UHFFFAOYSA-N	166.296	2.012	30	10	AEEE	
CCC[C@@H]1CNC2=C1C(=O)CCC2	ZINC000238272201	IIZLUIYLMDATLI-MRVPVSSYSA-N	179.263	2.013	30	10	AEEE	
C#C[C@H](CC)OCCCCCl	ZINC000238272259	ITHIPBOMFDTLDU-SECBINFHSA-N	174.671	2.434	30	10	AEEE	
CC[C@@H](C)C[C@H](O)CBr	ZINC000238272338	VLCYYHSRAUCLHI-RQJHMYQMSA-N	195.100	2.178	30	10	AEEE	
CC[C@H](C)[C@H](O)C1=CCCCC1=O	ZINC000238272391	OIDWFPGAEZYASG-KWQFWETISA-N	182.263	2.073	30	10	AEEE	
CCO/C=C1/Sc2cc[nH]c2C1=O	ZINC000238272431	RBINXNPHQKOZNR-FNORWQNLSA-N	195.243	2.181	30	10	AEEE	
CCO/N=C(/C)[C@@H](C)Br	ZINC000238272507	FJAFSDVTAVZZAY-JVMJCINISA-N	194.072	2.182	30	10	AEEE	
CCO/N=C(/C)[C@H](C)Br	ZINC000238272519	FJAFSDVTAVZZAY-JCVXODEMSA-N	194.072	2.182	30	10	AEEE	
CCOC(=O)NC1=C(C#N)CCCC1	ZINC000238272799	RLYXKNQTKHXPMQ-UHFFFAOYSA-N	194.234	2.084	30	10	AEEE	
CCO/N=C/[C@@H](Br)CC	ZINC000238272807	RFNFLCQKIKOTCC-YTDSJMIDSA-N	194.072	2.182	30	10	AEEE	
CCO/N=C/[C@H](Br)CC	ZINC000238272822	RFNFLCQKIKOTCC-URNIURQGSA-N	194.072	2.182	30	10	AEEE	
CC[C@H](C)[C@H](O)[C@@](C)(C=O)CC	ZINC000238272858	AIPNLAKLQNLVNY-LPEHRKFASA-N	172.268	2.009	30	10	AEEE	
CC[Si](C)(C)OCC#CCCl	ZINC000238272870	BBZMVVXCXPHCBA-UHFFFAOYSA-N	190.746	2.470	30	10	AEEE	
CC[C@@H](C)C[C@]1(C=O)O[C@@H]1CC	ZINC000238272954	IBVUXTUISOOPOW-OPRDCNLKSA-N	170.252	2.169	30	10	AEEE	
CC[C@@]1(C)OCC[C@@H]1Cl	ZINC000238272981	JXMMXSFLTBLCNK-NKWVEPMBSA-N	148.633	2.183	30	10	AEEE	
CC[C@@]1(C)OCC[C@H]1Cl	ZINC000238272998	JXMMXSFLTBLCNK-RNFRBKRXSA-N	148.633	2.183	30	10	AEEE	
CC[C@H](Cl)C#CC#CCCl	ZINC000238273025	DECGFJMISHUMOK-QMMMGPOBSA-N	175.058	2.249	30	10	AEEE	
CC[C@H](Cl)C#C[B-](F)(F)F	ZINC000238273085	XJHCBQOOZGHYNB-YFKPBYRVSA-N	169.362	2.394	30	10	AEEE	
C=C[C@H](CC)O[C@@H]1OCC[C@@H]1Cl	ZINC000238273144	IPKYNXNYZQYKQK-VGMNWLOBSA-N	190.670	2.321	30	10	AEEE	
CCc1ccc(C[C@@H](C)C=O)cc1N	ZINC000238273154	QGSPAKXZBCDWAW-SECBINFHSA-N	191.274	2.209	30	10	AEEE	
CCc1ccc(C[C@@H](C)C=O)cc1O	ZINC000238273179	UWZBDKIRHIUIDF-SECBINFHSA-N	192.258	2.332	30	10	AEEE	
C=C[C@H](CC)O[C@H]1OCC[C@@H]1Cl	ZINC000238273304	IPKYNXNYZQYKQK-HRDYMLBCSA-N	190.670	2.321	30	10	AEEE	
C#C[C@H](CC)O[Si](C)(C)CCl	ZINC000238273336	YDZNVKYTGITEOD-MRVPVSSYSA-N	190.746	2.398	30	10	AEEE	
