smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
Cc1cc(C)c([C@@H](C)C=O)cn1	ZINC000107160101	JPQVKUXBLTZNDB-QMMMGPOBSA-N	163.220	2.001	30	1	AEEF	
Cc1cc(C)c([C@H](C)C=O)cn1	ZINC000107160103	JPQVKUXBLTZNDB-MRVPVSSYSA-N	163.220	2.001	30	1	AEEF	
CC(C)[C@@H](C=O)c1ccncc1	ZINC000107160105	RXCIQRVQPPJWPJ-SNVBAGLBSA-N	163.220	2.020	30	1	AEEF	
CC(C)[C@H](C=O)c1ccncc1	ZINC000107160108	RXCIQRVQPPJWPJ-JTQLQIEISA-N	163.220	2.020	30	1	AEEF	
CC(C)[C@@H](C=O)c1ccccn1	ZINC000107160111	PKLZSPLRHDUKJJ-SECBINFHSA-N	163.220	2.020	30	1	AEEF	
CC(C)[C@H](C=O)c1ccccn1	ZINC000107160113	PKLZSPLRHDUKJJ-VIFPVBQESA-N	163.220	2.020	30	1	AEEF	
CC(C)[C@@H](C=O)c1cccnc1	ZINC000107160116	GEZXQEOOVWUGQP-SNVBAGLBSA-N	163.220	2.020	30	1	AEEF	
CC(C)[C@H](C=O)c1cccnc1	ZINC000107160119	GEZXQEOOVWUGQP-JTQLQIEISA-N	163.220	2.020	30	1	AEEF	
C[C@@H](CC=O)c1ccccc1O	ZINC000107160192	JWCVHGPNESDQEX-QMMMGPOBSA-N	164.204	2.085	30	1	AEEF	
C[C@H](CC=O)c1ccccc1O	ZINC000107160194	JWCVHGPNESDQEX-MRVPVSSYSA-N	164.204	2.085	30	1	AEEF	
C[C@@H](CC=O)c1cccc(O)c1	ZINC000107160198	IQJFFSLKTKLHQP-QMMMGPOBSA-N	164.204	2.085	30	1	AEEF	
C[C@H](CC=O)c1cccc(O)c1	ZINC000107160200	IQJFFSLKTKLHQP-MRVPVSSYSA-N	164.204	2.085	30	1	AEEF	
C[C@@H](CC=O)c1ccc(O)cc1	ZINC000107160203	BKPJQFDFPCNZMW-QMMMGPOBSA-N	164.204	2.085	30	1	AEEF	
C[C@H](CC=O)c1ccc(O)cc1	ZINC000107160206	BKPJQFDFPCNZMW-MRVPVSSYSA-N	164.204	2.085	30	1	AEEF	
CC[C@@H](C=O)c1ccccc1O	ZINC000107160210	RBECHXXXIZROGN-QMMMGPOBSA-N	164.204	2.085	30	1	AEEF	
CC[C@H](C=O)c1ccccc1O	ZINC000107160213	RBECHXXXIZROGN-MRVPVSSYSA-N	164.204	2.085	30	1	AEEF	
CC[C@@H](C=O)c1ccc(O)cc1	ZINC000107160222	GLMUTISODHZNKJ-QMMMGPOBSA-N	164.204	2.085	30	1	AEEF	
CC[C@H](C=O)c1ccc(O)cc1	ZINC000107160223	GLMUTISODHZNKJ-MRVPVSSYSA-N	164.204	2.085	30	1	AEEF	
O=C[C@H](Cc1ccco1)C1CC1	ZINC000107160227	HGXNNVVPINRYLF-VIFPVBQESA-N	164.204	2.047	30	1	AEEF	
O=C[C@@H](Cc1ccco1)C1CC1	ZINC000107160231	HGXNNVVPINRYLF-SECBINFHSA-N	164.204	2.047	30	1	AEEF	
O=CC[C@H](c1ccco1)C1CC1	ZINC000107160236	RRIVWVCDKIPTDL-VIFPVBQESA-N	164.204	2.362	30	1	AEEF	
