smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
Cn1ncc(Cl)c1C1CCCC1	ZINC000075840975	YPUQLTBPKFGTOZ-UHFFFAOYSA-N	184.670	2.731	0	50	AFAA	
Cc1coc(C2CCCC2)n1	ZINC000075840985	GAXAJZAFSZBQPT-UHFFFAOYSA-N	151.209	2.641	0	50	AFAA	
Cc1nc(C2CCCC2)oc1C	ZINC000075840987	DYLKICAXDZHLST-UHFFFAOYSA-N	165.236	2.949	0	50	AFAA	
Cc1[nH]ncc1C1CCCCC1	ZINC000075841136	WPJSYMHNHBCRRU-UHFFFAOYSA-N	164.252	2.766	0	50	AFAA	
c1cnc(C2CCCCC2)nc1	ZINC000075841296	YJDDXMSIMBMMGY-UHFFFAOYSA-N	162.236	2.524	0	50	AFAA	
COc1ncc(C2CCCCC2)cn1	ZINC000075841300	BARCCNOHZVORFI-UHFFFAOYSA-N	192.262	2.533	0	50	AFAA	
CCn1ccnc1C1CCCCC1	ZINC000075841362	AOCUHEIHVINERM-UHFFFAOYSA-N	178.279	2.951	0	50	AFAA	
C[C@H](c1cn[nH]c1)c1ccccc1	ZINC000075841679	QNITZIYDCJMPSE-VIFPVBQESA-N	172.231	2.562	0	50	AFAA	
C[C@@H](c1cn[nH]c1)c1ccccc1	ZINC000075841681	QNITZIYDCJMPSE-SECBINFHSA-N	172.231	2.562	0	50	AFAA	
C[C@@H](c1ccccc1)c1cncnc1	ZINC000075841687	RSHIYNVYTKSOPG-JTQLQIEISA-N	184.242	2.628	0	50	AFAA	
C[C@H](c1ccccc1)c1cncnc1	ZINC000075841688	RSHIYNVYTKSOPG-SNVBAGLBSA-N	184.242	2.628	0	50	AFAA	
C[C@H](c1cnn(C)c1)c1ccccc1	ZINC000075841690	SMCDCXZAHNRCMM-JTQLQIEISA-N	186.258	2.572	0	50	AFAA	
C[C@@H](c1cnn(C)c1)c1ccccc1	ZINC000075841691	SMCDCXZAHNRCMM-SNVBAGLBSA-N	186.258	2.572	0	50	AFAA	
Cc1[nH]ncc1[C@@H](C)c1ccccc1	ZINC000075841693	CXFAPLDCMKOVMA-VIFPVBQESA-N	186.258	2.870	0	50	AFAA	
Cc1[nH]ncc1[C@H](C)c1ccccc1	ZINC000075841694	CXFAPLDCMKOVMA-SECBINFHSA-N	186.258	2.870	0	50	AFAA	
C[C@H](c1nccn1C)c1ccccc1	ZINC000075841971	HXEAHSLXXICOKY-JTQLQIEISA-N	186.258	2.572	0	50	AFAA	
C[C@@H](c1nccn1C)c1ccccc1	ZINC000075841973	HXEAHSLXXICOKY-SNVBAGLBSA-N	186.258	2.572	0	50	AFAA	
C[C@@H](c1ccccc1)c1ncccn1	ZINC000075841998	DCRNBEMTOZLPOC-JTQLQIEISA-N	184.242	2.628	0	50	AFAA	
C[C@H](c1ccccc1)c1ncccn1	ZINC000075842000	DCRNBEMTOZLPOC-SNVBAGLBSA-N	184.242	2.628	0	50	AFAA	
C[C@H](c1ccnn1C)c1ccccc1	ZINC000075842260	ROFJIFURHMBSFD-JTQLQIEISA-N	186.258	2.572	0	50	AFAA	
C[C@@H](c1ccnn1C)c1ccccc1	ZINC000075842262	ROFJIFURHMBSFD-SNVBAGLBSA-N	186.258	2.572	0	50	AFAA	
C[C@H](c1ncco1)c1ccccc1	ZINC000075842328	CDFUSZVIVRZNHF-VIFPVBQESA-N	173.215	2.826	0	50	AFAA	
C[C@@H](c1ncco1)c1ccccc1	ZINC000075842330	CDFUSZVIVRZNHF-SECBINFHSA-N	173.215	2.826	0	50	AFAA	
COc1c(N)c(C)ccc1C(C)C	ZINC000075843790	QVFKRQYXIHUTIA-UHFFFAOYSA-N	179.263	2.709	0	50	AFAA	
Cc1c(F)c(C=O)ccc1Cl	ZINC000075844163	AZQBTWYYTIAJEG-UHFFFAOYSA-N	172.586	2.600	0	50	AFAA	
Cc1cc(OC(C)(C)C)ccc1C=O	ZINC000075844169	OPWCDERKVKPFFY-UHFFFAOYSA-N	192.258	2.985	0	50	AFAA	
O=Cc1nc2c(ccc3ccccc23)o1	ZINC000075844317	KEFSJZAHZNOWIY-UHFFFAOYSA-N	197.193	2.794	0	50	AFAA	
COc1c(C=O)c(C)ccc1C(C)C	ZINC000075844342	XKRXMMZDJOQYOH-UHFFFAOYSA-N	192.258	2.940	0	50	AFAA	
CC(=O)c1cc(Cl)cc(C(C)=O)c1	ZINC000075844378	OMKWTTTVEGGLCO-UHFFFAOYSA-N	196.633	2.745	0	50	AFAA	
CC(=O)c1c(F)ccc2cccnc21	ZINC000075844380	JWZKIUJMHMFNOW-UHFFFAOYSA-N	189.189	2.577	0	50	AFAA	
CC(=O)c1ncc(-c2ccccc2)o1	ZINC000075844532	DEUCIYOXGVBUHV-UHFFFAOYSA-N	187.198	2.544	0	50	AFAA	
CC(=O)c1nc2ccc(Cl)cc2o1	ZINC000075844537	BHCFYJVCGDRFMN-UHFFFAOYSA-N	195.605	2.684	0	50	AFAA	
Cc1cc(OC(C)(C)C)ccc1CO	ZINC000075844591	GOLDPXNZGZFSLL-UHFFFAOYSA-N	194.274	2.665	0	50	AFAA	
OCc1ccc(C2CCCC2)cc1	ZINC000075844802	PZGLKTNENAARJU-UHFFFAOYSA-N	176.259	2.837	0	50	AFAA	
COc1c(C(C)C)ccc(C)c1CO	ZINC000075844807	JNRPOTVQPADXLP-UHFFFAOYSA-N	194.274	2.619	0	50	AFAA	
NCc1ccccc1-c1ccc(O)cc1	ZINC000075844826	NSTYBGUSIQIBNJ-UHFFFAOYSA-N	199.253	2.518	0	50	AFAA	
