smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
O=C1CC2(CCCC2)C1(Cl)Cl	ZINC000039112334	NTXMOBZSAOPGOF-UHFFFAOYSA-N	193.073	2.694	0	40	AFAB	
Fc1cc2[nH]c3c(c2cc1F)CCC3	ZINC000039112341	UTYDLBBYIZPETR-UHFFFAOYSA-N	193.196	2.935	0	40	AFAB	
CCCN[C@@H]1CCc2ccc(F)cc21	ZINC000039112357	OIYBGGMZPJDQCF-GFCCVEGCSA-N	193.265	2.813	0	40	AFAB	
CCCN[C@H]1CCc2ccc(F)cc21	ZINC000039112358	OIYBGGMZPJDQCF-LBPRGKRZSA-N	193.265	2.813	0	40	AFAB	
C=C1C[C@@H]2CC[C@@]1(C(=O)OC)C2(C)C	ZINC000039112366	WHBGYQPAXXXOOF-JOYOIKCWSA-N	194.274	2.542	0	40	AFAB	
C=C1C[C@H]2CC[C@]1(C(=O)OC)C2(C)C	ZINC000039112367	WHBGYQPAXXXOOF-SKDRFNHKSA-N	194.274	2.542	0	40	AFAB	
C/C=C1/C(=O)O[C@]2(C)CC[C@H]1C2(C)C	ZINC000039112379	OLRUQJLTFXSSQO-GAVOXZQTSA-N	194.274	2.684	0	40	AFAB	
CC(C)[C@]1(O)C[C@@H]2C=C[C@@]1(C)C2(C)C	ZINC000039112388	KBPIPEIODFFNMX-WCFLWFBJSA-N	194.318	2.996	0	40	AFAB	
C=CCC1(C(=O)OC)C2CCC1CC2	ZINC000039112415	DDAJXIOFKAZIEZ-UHFFFAOYSA-N	194.274	2.542	0	40	AFAB	
COC(=O)[C@]12C=C[C@](C)(CC1)C2(C)C	ZINC000039112457	VUCXULZYWGZBJD-NEPJUHHUSA-N	194.274	2.542	0	40	AFAB	
COC(=O)[C@@]12C=C[C@@](C)(CC1)C2(C)C	ZINC000039112458	VUCXULZYWGZBJD-NWDGAFQWSA-N	194.274	2.542	0	40	AFAB	
CCO[C@@]12CCC[C@@H]1C2(Cl)Cl	ZINC000039112462	RWEMKQOYDZEILV-BQBZGAKWSA-N	195.089	2.749	0	40	AFAB	
CCO[C@]12CCC[C@H]1C2(Cl)Cl	ZINC000039112463	RWEMKQOYDZEILV-RNFRBKRXSA-N	195.089	2.749	0	40	AFAB	
C1CCC2(C1)OCC[C@@H]1CCCCN12	ZINC000039112466	BCHRDGRYGURHNI-NSHDSACASA-N	195.306	2.532	0	40	AFAB	
C1CCC2(C1)OCC[C@H]1CCCCN12	ZINC000039112467	BCHRDGRYGURHNI-LLVKDONJSA-N	195.306	2.532	0	40	AFAB	
CO[C@@H]1C[C@@]2(Cl)CC[C@]1(Cl)C2	ZINC000039112484	LAHBWQIHPQUJMZ-CSMHCCOUSA-N	195.089	2.544	0	40	AFAB	
CO[C@H]1C[C@@]2(Cl)CC[C@]1(Cl)C2	ZINC000039112485	LAHBWQIHPQUJMZ-FXQIFTODSA-N	195.089	2.544	0	40	AFAB	
C1CCC2(C1)COC1(CCCCC1)N2	ZINC000039112489	UQPWWYJFNWMORQ-UHFFFAOYSA-N	195.306	2.579	0	40	AFAB	
CC(=O)N1CCCC[C@@H]1C1CCCC1	ZINC000039112492	KIEPQLZNUHLTQL-GFCCVEGCSA-N	195.306	2.578	0	40	AFAB	
CC(=O)N1CCCC[C@H]1C1CCCC1	ZINC000039112493	KIEPQLZNUHLTQL-LBPRGKRZSA-N	195.306	2.578	0	40	AFAB	
C1CCC2(C1)NCC1(CCCCC1)O2	ZINC000039112518	IGHSKULBYXXLGR-UHFFFAOYSA-N	195.306	2.579	0	40	AFAB	
C[C@@H]1CC(C)(C)C(=O)C1(Cl)Cl	ZINC000039112523	KAQJJAGDKDKZAN-RXMQYKEDSA-N	195.089	2.795	0	40	AFAB	
C[C@H]1CC(C)(C)C(=O)C1(Cl)Cl	ZINC000039112524	KAQJJAGDKDKZAN-YFKPBYRVSA-N	195.089	2.795	0	40	AFAB	
C=CC[C@@H]1C[C@H](C)C(=O)[C@]1(C)OCC	ZINC000039112525	ODKNDZZJQQZAKR-HOSYDEDBSA-N	196.290	2.583	0	40	AFAB	
C=CC[C@@H]1C[C@H](C)C(=O)[C@@]1(C)OCC	ZINC000039112526	ODKNDZZJQQZAKR-UMNHJUIQSA-N	196.290	2.583	0	40	AFAB	
C=CC[C@H]1C[C@H](C)C(=O)[C@]1(C)OCC	ZINC000039112527	ODKNDZZJQQZAKR-JBLDHEPKSA-N	196.290	2.583	0	40	AFAB	
