smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC/C(=C/c1ccc(F)cc1)[N+](=O)[O-]	ZINC000000296004	ABTCZFLSEABMQQ-YFHOEESVSA-N	195.193	2.853	0	30	AFAC	
Cc1cccc(NC(=O)C2CCC2)c1	ZINC000000362642	FAZSASKSCDHQIE-UHFFFAOYSA-N	189.258	2.734	0	30	AFAC	
Cc1ccccc1NC(=O)C1CCC1	ZINC000000362643	XAJAMAUHXGKZAA-UHFFFAOYSA-N	189.258	2.734	0	30	AFAC	
C=C(C)[C@H]1CC[C@H](C)[C@H](OC(C)=O)C1	ZINC000000388667	TUSIZTVSUSBSQI-ZMLRMANQSA-N	196.290	2.930	0	30	AFAC	
C=C(C)[C@@H]1CC[C@H](C)C[C@@H]1OC(C)=O	ZINC000000406967	HLHIVJRLODSUCI-DLOVCJGASA-N	196.290	2.930	0	30	AFAC	
Cc1cc2c(s1)CCCCC(=O)N2	ZINC000000434534	STFJRPRJXWICAP-UHFFFAOYSA-N	195.287	2.721	0	30	AFAC	
c1ccc(C[C@]23CCCC[C@H]2N3)cc1	ZINC000001587510	GLDWKOLRWUELJG-CHWSQXEVSA-N	187.286	2.514	0	30	AFAC	
c1ccc(C[C@@]23CCCC[C@H]2N3)cc1	ZINC000001587511	GLDWKOLRWUELJG-OLZOCXBDSA-N	187.286	2.514	0	30	AFAC	
c1ccc(C[C@]23CCCC[C@@H]2N3)cc1	ZINC000001587512	GLDWKOLRWUELJG-QWHCGFSZSA-N	187.286	2.514	0	30	AFAC	
c1ccc(C[C@@]23CCCC[C@@H]2N3)cc1	ZINC000001587513	GLDWKOLRWUELJG-STQMWFEESA-N	187.286	2.514	0	30	AFAC	
c1ccc(S[C@@H]2CCCO2)cc1	ZINC000001618026	STOFDPRYPBZFMM-SNVBAGLBSA-N	180.272	2.915	0	30	AFAC	
CC1(C)[C@H]2CC[C@]1(C)[C@@H](C(=O)O)C2	ZINC000001685985	ZURRKVIQUKNLHF-VAOFZXAKSA-N	182.263	2.533	0	30	AFAC	
C[C@@H]1CCCC2(CCNCC2)C1	ZINC000001698145	WTLYNJZNAGCLCO-SNVBAGLBSA-N	167.296	2.566	0	30	AFAC	
CC(=O)c1coc2c1cc(O)cc2C	ZINC000001751994	BKJNXMSTOGEFEI-UHFFFAOYSA-N	190.198	2.649	0	30	AFAC	
CO/C(C)=C\c1ccccc1	ZINC000002167447	NYXONXCTWDTZDP-HJWRWDBZSA-N	148.205	2.694	0	30	AFAC	
CC(/C=C/C(=O)O)=C/c1ccccc1	ZINC000002454493	NWKUGDBRICNTTN-GOJKSUSPSA-N	188.226	2.731	0	30	AFAC	
CC[C@H]1NCC[C@@H]1Cc1ccccc1	ZINC000002534016	SYQGGYDXFNALHO-CHWSQXEVSA-N	189.302	2.617	0	30	AFAC	
COc1ccc(C)c2ccc(C)nc12	ZINC000002534085	QMLXKKFVQPSLHA-UHFFFAOYSA-N	187.242	2.860	0	30	AFAC	
COc1ccc(C)c2cccnc12	ZINC000002534086	UANRCFOYUYBNGZ-UHFFFAOYSA-N	173.215	2.552	0	30	AFAC	
COc1ccc(CC(C)C)cc1	ZINC000002579416	SRDOJGMYVZZEOJ-UHFFFAOYSA-N	164.248	2.894	0	30	AFAC	
CC(C)=C1C=CC(C)=C1	ZINC000002583430	HDHYMLWPVAELKP-UHFFFAOYSA-N	120.195	2.839	0	30	AFAC	
CC[C@H](OC)c1ccc(OC)cc1	ZINC000003033133	LRPQHVAGARYGFO-NSHDSACASA-N	180.247	2.793	0	30	AFAC	
CC[C@@H](OC)c1ccc(OC)cc1	ZINC000003033134	LRPQHVAGARYGFO-LLVKDONJSA-N	180.247	2.793	0	30	AFAC	
CCCC/C=C/C=C(/C)C=O	ZINC000003074785	XYZQOHQPHPAVPK-QDJLDCPTSA-N	152.237	2.878	0	30	AFAC	
CCCCC(=S)N(CC)CC	ZINC000003165202	BUKWVAGHRJCHNG-UHFFFAOYSA-N	173.325	2.846	0	30	AFAC	
COCc1c(C)cc(C)c(C=O)c1C	ZINC000003172540	FFJBKADHECTFOR-UHFFFAOYSA-N	192.258	2.571	0	30	AFAC	
CC[C@@H]1NCC[C@@H]1Cc1ccccc1	ZINC000003732560	SYQGGYDXFNALHO-OLZOCXBDSA-N	189.302	2.617	0	30	AFAC	
CC[C@@H]1NCC[C@H]1Cc1ccccc1	ZINC000003732561	SYQGGYDXFNALHO-STQMWFEESA-N	189.302	2.617	0	30	AFAC	
CC[C@H]1NCC[C@H]1Cc1ccccc1	ZINC000003732562	SYQGGYDXFNALHO-QWHCGFSZSA-N	189.302	2.617	0	30	AFAC	
C=C(C)[C@@H]1CC[C@H](C)[C@H](OC(C)=O)C1	ZINC000003861399	TUSIZTVSUSBSQI-MVWJERBFSA-N	196.290	2.930	0	30	AFAC	
CCSc1ncnc2ccccc21	ZINC000004268502	GFUSGBLJZCMGEU-UHFFFAOYSA-N	190.271	2.742	0	30	AFAC	
Oc1ccccc1/C=C\c1ccncc1	ZINC000004695197	CBGGKRWYLPUILR-WAYWQWQTSA-N	197.237	2.958	0	30	AFAC	
CCc1cc(C=N)c(S)s1	ZINC000004947715	DOTOOLOVJDDGRL-UHFFFAOYSA-N	171.290	2.597	0	30	AFAC	
C[C@H]1CCCC2(CCNCC2)C1	ZINC000004963565	WTLYNJZNAGCLCO-JTQLQIEISA-N	167.296	2.566	0	30	AFAC	
Nc1ccc(/C=C\c2ccncc2)cc1	ZINC000005105887	PXQBOKSMWOHSOJ-UPHRSURJSA-N	196.253	2.834	0	30	AFAC	
C/C=C/S/C=C/C	ZINC000005132893	RJDJXOBGMMKPMH-GGWOSOGESA-N	114.213	2.787	0	30	AFAC	biogenic,in-man
C/C=C\C(=O)Nc1cccc(C)c1C	ZINC000005208139	CGQFIMBARVGTQW-XQRVVYSFSA-N	189.258	2.818	0	30	AFAC	
CC(C)(C)CC(=O)N1CCCCCC1	ZINC000005496014	MGDPVJCSGVEQEC-UHFFFAOYSA-N	197.322	2.825	0	30	AFAC	
CC1CCN(C(=O)CC(C)(C)C)CC1	ZINC000005500868	DWXVMBYSTGBOHX-UHFFFAOYSA-N	197.322	2.681	0	30	AFAC	
Cc1cccc2c(N)c3c(nc12)CCC3	ZINC000005509080	QOLOQNUWZYKSGE-UHFFFAOYSA-N	198.269	2.614	0	30	AFAC	
S=c1ssnc1Cl	ZINC000005510634	ZCSCXEFLBJTIRM-UHFFFAOYSA-N	169.683	2.587	0	30	AFAC	
CCC[C@@H](C)C(=O)N1CCCC[C@@H]1C	ZINC000005591354	JLABTPWOSMJXHO-MNOVXSKESA-N	197.322	2.824	0	30	AFAC	
CCC[C@@H](C)C(=O)N1CCCC[C@H]1C	ZINC000005591355	JLABTPWOSMJXHO-GHMZBOCLSA-N	197.322	2.824	0	30	AFAC	
CCC[C@H](C)C(=O)N1CCCC[C@@H]1C	ZINC000005591447	JLABTPWOSMJXHO-QWRGUYRKSA-N	197.322	2.824	0	30	AFAC	
CCC[C@H](C)C(=O)N1CCCC[C@H]1C	ZINC000005591448	JLABTPWOSMJXHO-WDEREUQCSA-N	197.322	2.824	0	30	AFAC	
CC[C@@H](C)C(=O)Nc1cccc(F)c1	ZINC000005593249	SZVSQPGNEFUGQK-MRVPVSSYSA-N	195.237	2.810	0	30	AFAC	
CC[C@@H](C)C(=O)Nc1ccccc1F	ZINC000005593257	MFTDGXRXZFOOBV-MRVPVSSYSA-N	195.237	2.810	0	30	AFAC	
CCSC(=O)Cc1ccccc1	ZINC000005650989	IMCBPLIREFBOKS-UHFFFAOYSA-N	180.272	2.509	0	30	AFAC	
C/C(=C\C=C/c1ccccc1)C(=O)O	ZINC000005664992	WHEIBFYABJHSOM-VTBWALSUSA-N	188.226	2.731	0	30	AFAC	
CC[C@H](C)C(=O)Nc1cccc(F)c1	ZINC000005665490	SZVSQPGNEFUGQK-QMMMGPOBSA-N	195.237	2.810	0	30	AFAC	
CC[C@H](C)C(=O)Nc1ccccc1F	ZINC000005665597	MFTDGXRXZFOOBV-QMMMGPOBSA-N	195.237	2.810	0	30	AFAC	
C[C@@H]1CCCN(C(=O)CC(C)(C)C)C1	ZINC000005672553	RZIHYGLXGZVMEK-SNVBAGLBSA-N	197.322	2.681	0	30	AFAC	
