smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CCC[C@@H](CC)NCc1cscn1	ZINC000050402641	GTJHUCXQJCGVIS-SECBINFHSA-N	198.335	2.811	0	20	AFAD	
CCC[C@H](CC)NCc1cscn1	ZINC000050402643	GTJHUCXQJCGVIS-VIFPVBQESA-N	198.335	2.811	0	20	AFAD	
CCC[C@@H](CC)N[C@@H](C)CCOC	ZINC000050402817	ICYMWESEXFFXHB-WDEREUQCSA-N	187.327	2.580	0	20	AFAD	
CCC[C@H](CC)N[C@@H](C)CCOC	ZINC000050402819	ICYMWESEXFFXHB-QWRGUYRKSA-N	187.327	2.580	0	20	AFAD	
CCC[C@@H](CC)N[C@H](C)CCOC	ZINC000050402821	ICYMWESEXFFXHB-GHMZBOCLSA-N	187.327	2.580	0	20	AFAD	
CCC[C@H](CC)N[C@H](C)CCOC	ZINC000050402824	ICYMWESEXFFXHB-MNOVXSKESA-N	187.327	2.580	0	20	AFAD	
CCC[C@@H](CC)NC1CCC1	ZINC000050402891	RIGDECSZNZVXPC-SECBINFHSA-N	155.285	2.707	0	20	AFAD	
CCC[C@H](CC)NC1CCC1	ZINC000050402893	RIGDECSZNZVXPC-VIFPVBQESA-N	155.285	2.707	0	20	AFAD	
CCC[C@@H](CC)NC[C@@H]1CCCCO1	ZINC000050403269	IMQHASMKADFPJO-NEPJUHHUSA-N	199.338	2.724	0	20	AFAD	
CCC[C@H](CC)NC[C@@H]1CCCCO1	ZINC000050403271	IMQHASMKADFPJO-RYUDHWBXSA-N	199.338	2.724	0	20	AFAD	
CCC[C@@H](CC)NC[C@H]1CCCCO1	ZINC000050403274	IMQHASMKADFPJO-VXGBXAGGSA-N	199.338	2.724	0	20	AFAD	
CCC[C@H](CC)NC[C@H]1CCCCO1	ZINC000050403276	IMQHASMKADFPJO-NWDGAFQWSA-N	199.338	2.724	0	20	AFAD	
CCC[C@@H](CC)NCCCCC#N	ZINC000050403494	ILHJHJOWUXUBKK-LLVKDONJSA-N	182.311	2.849	0	20	AFAD	
CCC[C@H](CC)NCCCCC#N	ZINC000050403496	ILHJHJOWUXUBKK-NSHDSACASA-N	182.311	2.849	0	20	AFAD	
CCC[C@@H](CC)NCCOC(C)C	ZINC000050403538	SYJTXCZJGCPKRY-LLVKDONJSA-N	187.327	2.580	0	20	AFAD	
CCC[C@H](CC)NCCOC(C)C	ZINC000050403539	SYJTXCZJGCPKRY-NSHDSACASA-N	187.327	2.580	0	20	AFAD	
CCC[C@@H](CC)N[C@@H](CC)CC#N	ZINC000050404113	HCJWAGLYTGHUNO-MNOVXSKESA-N	182.311	2.847	0	20	AFAD	
CCC[C@H](CC)N[C@@H](CC)CC#N	ZINC000050404115	HCJWAGLYTGHUNO-QWRGUYRKSA-N	182.311	2.847	0	20	AFAD	
CCC[C@@H](CC)N[C@H](CC)CC#N	ZINC000050404117	HCJWAGLYTGHUNO-GHMZBOCLSA-N	182.311	2.847	0	20	AFAD	
CCC[C@H](CC)N[C@H](CC)CC#N	ZINC000050404119	HCJWAGLYTGHUNO-WDEREUQCSA-N	182.311	2.847	0	20	AFAD	
C=C(Cl)CN[C@H](CC)CCC	ZINC000050404253	VSDZEAAXTTWPMP-SECBINFHSA-N	175.703	2.907	0	20	AFAD	
C=C(Cl)CN[C@@H](CC)CCC	ZINC000050404255	VSDZEAAXTTWPMP-VIFPVBQESA-N	175.703	2.907	0	20	AFAD	
CCC[C@@H](CC)NCC(F)(F)F	ZINC000050404798	HIQQZRYELQYQNQ-SSDOTTSWSA-N	183.217	2.717	0	20	AFAD	
CCC[C@H](CC)NCC(F)(F)F	ZINC000050404800	HIQQZRYELQYQNQ-ZETCQYMHSA-N	183.217	2.717	0	20	AFAD	
CCC[C@@H](CC)N1CCC(=O)C[C@@H]1C	ZINC000050405018	PVYHBMOQSYDZKG-WDEREUQCSA-N	197.322	2.619	0	20	AFAD	
CCC[C@H](CC)N1CCC(=O)C[C@@H]1C	ZINC000050405020	PVYHBMOQSYDZKG-QWRGUYRKSA-N	197.322	2.619	0	20	AFAD	
CCC[C@@H](CC)N1CCCC1=N	ZINC000050405517	HKDAOUWXZNSGOX-SECBINFHSA-N	168.284	2.638	0	20	AFAD	
CCC[C@H](CC)N1CCCC1=N	ZINC000050405519	HKDAOUWXZNSGOX-VIFPVBQESA-N	168.284	2.638	0	20	AFAD	
