smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
O[C@H]1C=C[C@H]2CC[C@@H]1c1ccccc12	ZINC000238722280	AGNRCGHBACLVLI-WQAKAFBOSA-N	186.254	2.578	0	10	AFAE	
C=C=C[C@H](O)c1cnc2ccccc2c1	ZINC000238722294	UQDXXBBRQGYODI-ZDUSSCGKSA-N	197.237	2.609	0	10	AFAE	
C=C1C=Cc2ccccc2[C@@H](O)C1	ZINC000238722524	NRGWIJBBDFBJIT-LBPRGKRZSA-N	172.227	2.693	0	10	AFAE	
C=C1CCC/C=C/CCC#C[C@@H](O)C1	ZINC000238722533	KFQZYTQTLRBMRF-YWVDXFKGSA-N	190.286	2.817	0	10	AFAE	
C=C1CCC/C=C\CCC#C[C@@H](O)C1	ZINC000238722539	KFQZYTQTLRBMRF-XQJDBVBESA-N	190.286	2.817	0	10	AFAE	
Oc1ccc2cccc3oncc1c23	ZINC000238722562	SNRZXUUNTXHVNU-UHFFFAOYSA-N	185.182	2.687	0	10	AFAE	
Oc1ccc2c3c1CC[C@H]3CCC2	ZINC000238722618	VMPHWZHBYKKFPW-MRVPVSSYSA-N	174.243	2.758	0	10	AFAE	
Oc1ccc2c3c1CC[C@@H]3CCC2	ZINC000238722624	VMPHWZHBYKKFPW-QMMMGPOBSA-N	174.243	2.758	0	10	AFAE	
Oc1c(F)cc(C(F)F)cc1F	ZINC000238722728	CQKIPDAFTSLDGE-UHFFFAOYSA-N	180.100	2.608	0	10	AFAE	
O[C@H]1C2C[C@@H]3C[C@@H](C2)CC1(C1CC1)C3	ZINC000238722790	SBIGHSMAWKIREI-XMVJXAQBSA-N	192.302	2.584	0	10	AFAE	
Oc1c(F)cc(C(F)F)nc1Cl	ZINC000238722803	PUOPMMDKVFDNEZ-UHFFFAOYSA-N	197.543	2.517	0	10	AFAE	
O[C@H]1C2C[C@H]3C[C@@H](C2)CC1(C1CC1)C3	ZINC000238722863	SBIGHSMAWKIREI-RFWQJMOESA-N	192.302	2.584	0	10	AFAE	
C=CCc1cc2c(cc1O)C=CC2	ZINC000238722883	GSSFUXTUZLVECG-UHFFFAOYSA-N	172.227	2.690	0	10	AFAE	
O=C1CCc2cccc3ccc(O)c1c32	ZINC000238722925	ITLIEYZJSOGYJG-UHFFFAOYSA-N	198.221	2.674	0	10	AFAE	
O=C1CCCc2cc(O)c(Cl)cc21	ZINC000238723044	XUGNXUBWEFUAAI-UHFFFAOYSA-N	196.633	2.565	0	10	AFAE	
Oc1c(F)cc(Cl)nc1C(F)F	ZINC000238723050	PEKXKGYEYUACIQ-UHFFFAOYSA-N	197.543	2.517	0	10	AFAE	
O[C@H]1c2ccccc2C2=CCC[C@@H]21	ZINC000238723053	DYJGDAFRRDEAKE-RYUDHWBXSA-N	172.227	2.527	0	10	AFAE	
O[C@H]1c2ccccc2C=C2CCC[C@@H]21	ZINC000238723059	ONHOMDZHBGZMBL-STQMWFEESA-N	186.254	2.917	0	10	AFAE	
Oc1cc2c(c3c1CC=C3)CCCC2	ZINC000238723127	XPOKMDKSYGENOI-UHFFFAOYSA-N	186.254	2.840	0	10	AFAE	
Oc1cc2c(c3c1CCC3)CCCC2	ZINC000238723139	OGNLQFXQUINHRW-UHFFFAOYSA-N	188.270	2.760	0	10	AFAE	
C#CC[C@H](O)C1(CCC=C)CCC1	ZINC000238723147	KTBZMCPWYCXHQL-NSHDSACASA-N	178.275	2.507	0	10	AFAE	
Oc1cc2c(c3ccccc13)NCCC2	ZINC000238723200	XYIRVHGORYTZFM-UHFFFAOYSA-N	199.253	2.904	0	10	AFAE	
C#CC[C@H](O)[C@@]1(CC=C)CCCC1=C	ZINC000238723275	DXXNVWNLEBJRJO-STQMWFEESA-N	190.286	2.673	0	10	AFAE	
C#CC[C@H](O)[C@]1(CC=C)CCCC1=C	ZINC000238723287	DXXNVWNLEBJRJO-QWHCGFSZSA-N	190.286	2.673	0	10	AFAE	
O[C@H]1C=Nc2ccc3ccccc3c21	ZINC000238723316	OIHIADZMOPTTKL-NSHDSACASA-N	183.210	2.589	0	10	AFAE	
O[C@H]1c2cccc3cccc(c32)[C@H]2C[C@@H]21	ZINC000238723333	VMUZEPSQIJUQQG-DYEKYZERSA-N	196.249	2.990	0	10	AFAE	
C=C1C[C@H](O)c2cc3ccccc3nc21	ZINC000238723348	BAGVGCODVJHXAE-LBPRGKRZSA-N	197.237	2.685	0	10	AFAE	
C=CC(=C)c1cccc(O)c1	ZINC000238723417	NULUGGVZVGNYRD-UHFFFAOYSA-N	146.189	2.591	0	10	AFAE	
O[C@@H](CC#CC1CC1)c1ccccc1	ZINC000238723456	CFFGAMYYQFINLE-ZDUSSCGKSA-N	186.254	2.524	0	10	AFAE	
C=CC#CC[C@H](O)C1CCCCC1	ZINC000238723475	DJHOEHSTJXHOOB-LBPRGKRZSA-N	178.275	2.507	0	10	AFAE	
Oc1c(F)ccc(F)c1C(F)F	ZINC000238723486	AUFCDSAPULTLRN-UHFFFAOYSA-N	180.100	2.608	0	10	AFAE	
O[C@H]1c2cccc3cccc(c32)[C@@H]2C[C@@H]21	ZINC000238723496	VMUZEPSQIJUQQG-OBJOEFQTSA-N	196.249	2.990	0	10	AFAE	
O[C@H]1CC2(CCC2)[C@@]12CCC21CCC1	ZINC000238723772	JVWUCMMAIFMDGK-GWCFXTLKSA-N	192.302	2.872	0	10	AFAE	
O[C@H]1CC2(CCC2)[C@]12CCC21CCC1	ZINC000238723776	JVWUCMMAIFMDGK-GXFFZTMASA-N	192.302	2.872	0	10	AFAE	
N#Cc1ccc2ccc(F)c(O)c2c1	ZINC000238723794	CNUVLVXPXIBYQX-UHFFFAOYSA-N	187.173	2.556	0	10	AFAE	
O[C@H]1CC23CCCCC12CCCC3	ZINC000238723821	LQSSXYNWDVHMEQ-UNXYVOJBSA-N	180.291	2.872	0	10	AFAE	
OC[C@H]1C/C1=C\c1cccc(Cl)c1	ZINC000238723826	DYCXNXCOTLXFNQ-WXLQGSQKSA-N	194.661	2.736	0	10	AFAE	
C=CC(=C)C[C@H](O)c1cccs1	ZINC000238723941	ZJASVPLJHMBPBX-VIFPVBQESA-N	180.272	2.914	0	10	AFAE	
O[C@H]1CC=C(C2CCCCC2)C1	ZINC000238723947	HXWXWAYQISTUOM-NSHDSACASA-N	166.264	2.648	0	10	AFAE	
C=C[C@@H](O)CC(=C)c1ccccc1	ZINC000238723979	JZIYJFMYYLPUTB-GFCCVEGCSA-N	174.243	2.637	0	10	AFAE	
O[C@@H]1c2ccccc2-c2ccsc21	ZINC000238724011	QLTBHJACGMWERL-SNVBAGLBSA-N	188.251	2.810	0	10	AFAE	
O[C@H]1c2cscc2-c2ccccc21	ZINC000238724015	FVIWGOYWIJOTIV-LLVKDONJSA-N	188.251	2.810	0	10	AFAE	
O[C@H]1c2ccsc2-c2ccccc21	ZINC000238724023	STEKVEWWEMNVMY-SNVBAGLBSA-N	188.251	2.810	0	10	AFAE	
O[C@@H]1CC=C(C#Cc2ccccc2)CC1	ZINC000238724088	XHZQDJMNQKVXEW-CQSZACIVSA-N	198.265	2.509	0	10	AFAE	
N#CCCCCc1cccc(O)c1	ZINC000238724118	WCXVPRSUNQEEDL-UHFFFAOYSA-N	175.231	2.629	0	10	AFAE	
O[C@H]1CCC2(CC2)c2ccccc21	ZINC000238724139	VRPVDPQVCMHRTP-NSHDSACASA-N	174.243	2.545	0	10	AFAE	
Oc1cccc(CC[B-](F)(F)F)c1	ZINC000238724150	NDMQOEWGIUTPLM-UHFFFAOYSA-N	188.965	2.782	0	10	AFAE	
O[C@H]1CCC2(C1)CCCCCC2	ZINC000238724166	WZKKCXCGGYJTTN-JTQLQIEISA-N	168.280	2.872	0	10	AFAE	
C=C1CCCC2=C1CC[C@H](O)C2=C	ZINC000238724209	RZBAXJUNZXZGSX-LBPRGKRZSA-N	176.259	2.734	0	10	AFAE	
Oc1c(F)cnc(C(F)F)c1Cl	ZINC000238724248	ZVMHRZZYCHBIOQ-UHFFFAOYSA-N	197.543	2.517	0	10	AFAE	
O[C@H]1CC=CCn2c1cc1ccccc12	ZINC000238724267	OPOOAAVJHSBFSR-ZDUSSCGKSA-N	199.253	2.635	0	10	AFAE	
O[C@H]1CC=CSc2ccccc21	ZINC000238724285	DQKXGNGLYMGADL-VIFPVBQESA-N	178.256	2.730	0	10	AFAE	
Oc1c(F)cnc(Cl)c1C(F)F	ZINC000238724314	KOBCWHHFSIKIRX-UHFFFAOYSA-N	197.543	2.517	0	10	AFAE	
O[C@@H]1C=C(CCc2ccoc2)CCC1	ZINC000238724321	IUZYZQKZBZNNEI-LBPRGKRZSA-N	192.258	2.683	0	10	AFAE	
Oc1cc2c(F)cccc2nc1Cl	ZINC000238724327	ZLALUYMJQZBGLZ-UHFFFAOYSA-N	197.596	2.733	0	10	AFAE	
C=C(Cl)C[C@H](O)c1cccs1	ZINC000238724331	GMOZXKLBURCZQR-ZETCQYMHSA-N	188.679	2.924	0	10	AFAE	
C=CC(F)(F)C[C@H](O)c1ccccc1	ZINC000238724337	UGSHXBBMYOKJCQ-JTQLQIEISA-N	198.212	2.931	0	10	AFAE	
Oc1cccc(Cl)c1OC(F)F	ZINC000238724338	ZUIPKVOUSNXKIP-UHFFFAOYSA-N	194.564	2.647	0	10	AFAE	
