smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC1(C)C=Cc2cccc(O)c2O1	ZINC000015119488	WQBNQUHKZBPICW-UHFFFAOYSA-N	176.215	2.576	0	1	AFAF	biogenic,in-vitro
C/C1=C/CC/C(C)=C\COC(=O)CC1	ZINC000015119672	LTKMOZLKRXORCG-MJCDIKNGSA-N	194.274	2.996	0	1	AFAF	biogenic,in-vitro
C[C@@H]1CC[C@@]2(CCCC[C@@H](C)O2)O1	ZINC000015119708	KVPPDUFKHOTABV-GMTAPVOTSA-N	184.279	2.861	0	1	AFAF	
C[C@@H]1CC[C@]2(CCCC[C@@H](C)O2)O1	ZINC000015119710	KVPPDUFKHOTABV-MXWKQRLJSA-N	184.279	2.861	0	1	AFAF	
C[C@@H]1CC[C@]2(CCCC[C@H](C)O2)O1	ZINC000015119711	KVPPDUFKHOTABV-AXFHLTTASA-N	184.279	2.861	0	1	AFAF	
C[C@@H]1CCCC2(CCC[C@@H](C)O2)O1	ZINC000015119712	AHOKGTBIWXGZNE-DIOIDXFWSA-N	184.279	2.861	0	1	AFAF	biogenic,in-vitro
C[C@@H]1CCCC2(CCC[C@H](C)O2)O1	ZINC000015119714	AHOKGTBIWXGZNE-ZACCUICWSA-N	184.279	2.861	0	1	AFAF	biogenic,in-vitro
C[C@H]1CCCC2(CCC[C@H](C)O2)O1	ZINC000015119715	AHOKGTBIWXGZNE-QRHSGQBVSA-N	184.279	2.861	0	1	AFAF	biogenic,in-vitro
CC1(C)CCSS1	ZINC000015119725	LFHJFWOMFQJUBC-UHFFFAOYSA-N	134.269	2.550	0	1	AFAF	biogenic,in-man
CC(C)=CCc1nc(C)cnc1C	ZINC000015120079	QNYLVJKJHQXCRS-UHFFFAOYSA-N	176.263	2.602	0	1	AFAF	biogenic,in-vitro
C=C/C=C(\C)C[C@H](O)CC(C)C	ZINC000015120149	NTRAMYHXCXBYEN-CDCCAWJDSA-N	168.280	2.916	0	1	AFAF	biogenic,in-vitro
C=C/C=C(\C)C[C@@H](O)CC(C)C	ZINC000015120150	NTRAMYHXCXBYEN-RUYJGKKWSA-N	168.280	2.916	0	1	AFAF	biogenic,in-vitro
CCC(=O)[C@H](C)C[C@@H](C)C(=O)CC	ZINC000015120213	NDAJAMHKXPEINL-RKDXNWHRSA-N	184.279	2.607	0	1	AFAF	biogenic,in-vitro
CCC(=O)[C@@H](C)C[C@H](C)C(=O)CC	ZINC000015120214	NDAJAMHKXPEINL-IUCAKERBSA-N	184.279	2.607	0	1	AFAF	biogenic,in-vitro
CCC(=O)[C@H](C)C[C@H](C)C(=O)CC	ZINC000015120215	NDAJAMHKXPEINL-DTORHVGOSA-N	184.279	2.607	0	1	AFAF	biogenic,in-vitro
C=C[C@H](C)/C=C\CC(C)(C)O	ZINC000015120413	NIABCYMKLMSQTM-NMTCXDENSA-N	154.253	2.526	0	1	AFAF	biogenic,in-vitro
C=C[C@@H](C)/C=C\CC(C)(C)O	ZINC000015120414	NIABCYMKLMSQTM-ATJFRQLMSA-N	154.253	2.526	0	1	AFAF	biogenic,in-vitro
C=C(C)CCC/C(C)=C\CO	ZINC000015120482	RIFSGUJLMACJMI-YFHOEESVSA-N	154.253	2.671	0	1	AFAF	biogenic,in-vitro
C=C(C)CC/C=C(\C)CCO	ZINC000015120485	FIXKTWNYKKKKSC-UXBLZVDNSA-N	154.253	2.671	0	1	AFAF	biogenic,in-vitro
C/C=C(\C)C[C@H](C)C(=O)CC	ZINC000015120826	BKSCONCLLLPWGA-QRJSTWQJSA-N	154.253	2.958	0	1	AFAF	biogenic,in-vitro
C/C=C(\C)C[C@@H](C)C(=O)CC	ZINC000015120827	BKSCONCLLLPWGA-WHXYTISESA-N	154.253	2.958	0	1	AFAF	biogenic,in-vitro
CC/C=C/C[C@@H]1CCOC(C)(C)O1	ZINC000015120890	MCJLMZXXIYIDQK-BRAIEQGRSA-N	184.279	2.884	0	1	AFAF	biogenic,in-vitro
CC/C=C/C[C@H]1CCOC(C)(C)O1	ZINC000015120891	MCJLMZXXIYIDQK-PORFMDCZSA-N	184.279	2.884	0	1	AFAF	biogenic,in-vitro
CCCCC[C@@H]1OC(=O)C(C)=C1C	ZINC000015120894	LRKURLXWGJNWOJ-JTQLQIEISA-N	182.263	2.829	0	1	AFAF	biogenic,in-vitro
CCCCC[C@H]1OC(=O)C(C)=C1C	ZINC000015120895	LRKURLXWGJNWOJ-SNVBAGLBSA-N	182.263	2.829	0	1	AFAF	biogenic,in-vitro
C=C(C)[C@H](C)c1ccc(O)cc1O	ZINC000015120935	HZFKEYLNQGZPOI-QMMMGPOBSA-N	178.231	2.777	0	1	AFAF	biogenic,in-vitro
C=C(C)[C@@H](C)c1ccc(O)cc1O	ZINC000015120936	HZFKEYLNQGZPOI-MRVPVSSYSA-N	178.231	2.777	0	1	AFAF	biogenic,in-vitro
C[C@@H]1C[C@@H](C)N2CCCC[C@@H]2C1	ZINC000015121080	KXIIYBCOPLMAKO-GMTAPVOTSA-N	167.296	2.659	0	1	AFAF	biogenic,in-vitro
C[C@@H]1C[C@H](C)C[C@H]2CCCCN12	ZINC000015121081	KXIIYBCOPLMAKO-HBNTYKKESA-N	167.296	2.659	0	1	AFAF	biogenic,in-vitro
C[C@H]1C[C@H]2CCCCN2[C@@H](C)C1	ZINC000015121082	KXIIYBCOPLMAKO-OUAUKWLOSA-N	167.296	2.659	0	1	AFAF	biogenic,in-vitro
C[C@@H]1C[C@H]2CCCCN2[C@@H](C)C1	ZINC000015121083	KXIIYBCOPLMAKO-GARJFASQSA-N	167.296	2.659	0	1	AFAF	biogenic,in-vitro
CC1(C)CSSS1	ZINC000015121219	ULEVNDQGMDVFAX-UHFFFAOYSA-N	152.309	2.808	0	1	AFAF	biogenic,in-vitro
CSCCCCCCC#N	ZINC000015122114	MAMGGQVRQMBXMB-UHFFFAOYSA-N	157.282	2.823	0	1	AFAF	endogenous,in-man
C=C/C=C\C=C\C=C/C=C/CC(=O)O	ZINC000015146173	JSPNCMDQJNUPED-WYVWLRFESA-N	190.242	2.872	0	1	AFAF	biogenic,in-vitro
CCCCC/C=C/C=C/C=C/C(N)=O	ZINC000015146202	BLZAJEKZJLLTQR-OBWVEWQSSA-N	193.290	2.721	0	1	AFAF	biogenic,in-vitro
C/C=C/C#CCC/C=C/C=C/C(=O)O	ZINC000015146228	CJQVWGJUKMBTST-MMOYHAHMSA-N	190.242	2.543	0	1	AFAF	biogenic,in-vitro
C=Cc1oc(=O)c(CC(C)C)cc1C	ZINC000015150348	RJQATSJWTOPKER-UHFFFAOYSA-N	192.258	2.790	0	1	AFAF	biogenic,in-vitro
CCc1oc(=O)c(CC(C)C)cc1C	ZINC000015150350	GAGXYWLONVJXEG-UHFFFAOYSA-N	194.274	2.709	0	1	AFAF	biogenic,in-vitro
C=C[C@H](C=C(C)C)[C@@]1(C)CO1	ZINC000015159510	HJAZNDMKYXLLQQ-NXEZZACHSA-N	152.237	2.544	0	1	AFAF	biogenic,in-vitro
C=C[C@@H](C=C(C)C)[C@@]1(C)CO1	ZINC000015159511	HJAZNDMKYXLLQQ-VHSXEESVSA-N	152.237	2.544	0	1	AFAF	biogenic,in-vitro
C=C[C@H](C=C(C)C)[C@]1(C)CO1	ZINC000015159512	HJAZNDMKYXLLQQ-ZJUUUORDSA-N	152.237	2.544	0	1	AFAF	biogenic,in-vitro
C=C[C@@H](C=C(C)C)[C@]1(C)CO1	ZINC000015159513	HJAZNDMKYXLLQQ-UWVGGRQHSA-N	152.237	2.544	0	1	AFAF	biogenic,in-vitro
CC1(C)O[C@@]2(C)C=C[C@@H]1CC2	ZINC000015169330	LOOYOTLEOHYYOV-SCZZXKLOSA-N	152.237	2.520	0	1	AFAF	endogenous,in-man
CC1(C)O[C@]2(C)C=C[C@H]1CC2	ZINC000015169332	LOOYOTLEOHYYOV-WCBMZHEXSA-N	152.237	2.520	0	1	AFAF	endogenous,in-man
C[C@@H]1CC[C@H]2C[C@@H]1OC2(C)C	ZINC000015169334	MGRKVRJGCZXQGW-VGMNWLOBSA-N	154.253	2.600	0	1	AFAF	endogenous,in-man
C[C@H]1CC[C@H]2C[C@@H]1OC2(C)C	ZINC000015169336	MGRKVRJGCZXQGW-CIUDSAMLSA-N	154.253	2.600	0	1	AFAF	endogenous,in-man
C=C1CC[C@@]2(C(C)C)O[C@H]2C1	ZINC000015169520	ITEDXWDCHPDNGM-UWVGGRQHSA-N	152.237	2.520	0	1	AFAF	biogenic,in-man
C=C1CC[C@]2(C(C)C)O[C@@H]2C1	ZINC000015169522	ITEDXWDCHPDNGM-NXEZZACHSA-N	152.237	2.520	0	1	AFAF	biogenic,in-man
CCSSC(C)C	ZINC000015204790	PUUCPZKSTXFGOC-UHFFFAOYSA-N	136.285	2.796	0	1	AFAF	biogenic,in-man
CCSSCSC	ZINC000015204796	LGRRPFGGSKUKDE-UHFFFAOYSA-N	154.325	2.708	0	1	AFAF	biogenic,in-man
