smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
Cc1cc(C=O)c(C)n1-c1ccccc1	ZINC000000040934	LNROIXNEIZSESG-UHFFFAOYSA-N	199.253	2.907	10	50	AFCA	
CCN(c1ccc(N)cc1)C(C)C	ZINC000000057546	HKGOSYWNUBEMMH-UHFFFAOYSA-N	178.279	2.504	10	50	AFCA	
Nc1ccc(OCc2ccccc2)cc1	ZINC000000119304	FIIDVVUUWRJXLF-UHFFFAOYSA-N	199.253	2.848	10	50	AFCA	in-vitro
Cc1ccc(C)n1-c1ccc(C=O)cc1	ZINC000000153495	BYUCOWZETDGUAS-UHFFFAOYSA-N	199.253	2.907	10	50	AFCA	
CCC(C)(C)c1ccc(O)c(O)c1	ZINC000000155547	RJDYNYWVPWUKDG-UHFFFAOYSA-N	180.247	2.785	10	50	AFCA	
Cc1ccc(C)n1-c1ccccc1N	ZINC000000168041	ZCCGWYQXOIOJRO-UHFFFAOYSA-N	186.258	2.676	10	50	AFCA	
Cc1ccc(C)n1-c1ccc(C)cn1	ZINC000000201570	UCPKJCXDROIAQU-UHFFFAOYSA-N	186.258	2.798	10	50	AFCA	
Nc1ccc(Nc2ccccc2N)cc1	ZINC000000262111	DDLOISMWPUUWPL-UHFFFAOYSA-N	199.257	2.595	10	50	AFCA	
Cc1ccc(C)n1-c1ccc(N)cc1	ZINC000000267012	OGCFQHCSVLMKFD-UHFFFAOYSA-N	186.258	2.676	10	50	AFCA	
Cc1ccc(C)n1-c1cccc(N)c1	ZINC000000267014	PFZUTDHSWLXVSZ-UHFFFAOYSA-N	186.258	2.676	10	50	AFCA	
Cc1ccc(C)n1-c1cc(C)ccn1	ZINC000000270181	SZNVYWKRWVFYQI-UHFFFAOYSA-N	186.258	2.798	10	50	AFCA	
Cc1cc2n(c1)CCn1c(C)ccc1-2	ZINC000000270671	QLIHBRGJBGRMPH-UHFFFAOYSA-N	186.258	2.587	10	50	AFCA	
Cc1ccc2c(c1)C(=O)c1cccnc1-2	ZINC000000281661	VLDRRMZGWBOCNV-UHFFFAOYSA-N	195.221	2.601	10	50	AFCA	
Cc1ccc(C)n1-c1cccc(C)n1	ZINC000000295132	AGDSTCMJVNLCDW-UHFFFAOYSA-N	186.258	2.798	10	50	AFCA	
Oc1ccsc1-c1cccnc1	ZINC000000334510	NHTCTZKMVWBPLP-UHFFFAOYSA-N	177.228	2.516	10	50	AFCA	
Oc1ccsc1-c1ccncc1	ZINC000000334581	NYBYTAAKHFSCQJ-UHFFFAOYSA-N	177.228	2.516	10	50	AFCA	
Cc1ccc(Nc2ccc(N)cn2)cc1	ZINC000000336024	AVWOQRZDRCPGMU-UHFFFAOYSA-N	199.257	2.716	10	50	AFCA	
CCc1cc(OC)ccc1C=S	ZINC000000339310	SNTGGOYNXQXXHA-UHFFFAOYSA-N	180.272	2.605	10	50	AFCA	
Nc1ccc(N2CCCCCC2)cc1	ZINC000000352045	RDUONPQXZRHVKQ-UHFFFAOYSA-N	190.290	2.649	10	50	AFCA	
Cc1ccc(C)c(C(=O)O)c1N=N	ZINC000000390987	BOOSXUNQUZUHSG-UHFFFAOYSA-N	178.191	2.664	10	50	AFCA	
Cc1cc(C)c2cc(O)c(O)cc2[o+]1	ZINC000000392377	BCVCWDNQJMGQIH-UHFFFAOYSA-O	191.206	2.742	10	50	AFCA	
Cc1cc(C(C)(C)C)cc(O)c1O	ZINC000000393851	PMRGVXIRSTVLJS-UHFFFAOYSA-N	180.247	2.704	10	50	AFCA	
Cc1ccc(C(C)(C)C)c(O)c1O	ZINC000000393984	GXVJJTLDTNWPON-UHFFFAOYSA-N	180.247	2.704	10	50	AFCA	
Oc1ccc(-c2ccccc2)cc1O	ZINC000000436616	QDNPCYCBQFHNJC-UHFFFAOYSA-N	186.210	2.765	10	50	AFCA	in-vivo
CC1CCN(c2ccc(N)cc2)CC1	ZINC000000445022	UZQJQJNKYMSTCP-UHFFFAOYSA-N	190.290	2.505	10	50	AFCA	
CC(=S)c1c(C)cc2ccccn21	ZINC000000481508	ZRPWCXIDSIACNW-UHFFFAOYSA-N	189.283	2.986	10	50	AFCA	
Cc1cc2c(C)cccn2c1C=S	ZINC000000481509	DGNGNHPIQQYWOP-UHFFFAOYSA-N	189.283	2.904	10	50	AFCA	
Cc1cnc2c(c1)C(=O)c1ccccc1-2	ZINC000000518560	UDSFAVGSOSANSB-UHFFFAOYSA-N	195.221	2.601	10	50	AFCA	
C[C@H]1CCCN(c2ccc(N)cc2)C1	ZINC000000819577	IKOVMWFMUDURMX-JTQLQIEISA-N	190.290	2.505	10	50	AFCA	
C[C@@H]1CCCN(c2ccc(N)cc2)C1	ZINC000000819578	IKOVMWFMUDURMX-SNVBAGLBSA-N	190.290	2.505	10	50	AFCA	
Oc1cccc(-c2ccccc2)c1O	ZINC000000901387	YKOQAAJBYBTSBS-UHFFFAOYSA-N	186.210	2.765	10	50	AFCA	in-vivo,metabolite
Cc1cc(O)c(O)c(C(C)(C)C)c1	ZINC000000901869	YKYXORJDSTUCTN-UHFFFAOYSA-N	180.247	2.704	10	50	AFCA	in-vitro
Cc1ccc(C)n1-c1ccc(O)cc1	ZINC000001103085	GQGLLBKGZRMFGZ-UHFFFAOYSA-N	187.242	2.800	10	50	AFCA	
