smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
Cc1ccc(C)n1-c1cccc(O)c1	ZINC000000162591	NUXXAUZJUIVRKY-UHFFFAOYSA-N	187.242	2.800	10	40	AFCB	
Oc1cscc1-c1ccncc1	ZINC000000334508	OBSLSYAXCBPQCK-UHFFFAOYSA-N	177.228	2.516	10	40	AFCB	
CCCCC#CC(=O)C#CCCCC	ZINC000001609741	HIMXZONSEQRTFZ-UHFFFAOYSA-N	190.286	2.943	10	40	AFCB	
Fc1ccc(/N=N/N2CCCC2)cc1	ZINC000001651060	PMIAFDIFOGOSSA-OUKQBFOZSA-N	193.225	2.920	10	40	AFCB	
CCN(CC)Cc1c(C)cccc1O	ZINC000001688778	RONQOEJQZJMXTQ-UHFFFAOYSA-N	193.290	2.542	10	40	AFCB	
CCCCCCCC/N=[N+](/C)[O-]	ZINC000001715986	PTJKOGLRCNFJPB-KHPPLWFESA-N	172.272	2.939	10	40	AFCB	
CCCCN(C)/N=N/c1cccnc1	ZINC000001722411	BDCFQKLKSGWWPN-OUKQBFOZSA-N	192.266	2.812	10	40	AFCB	
N#CCCCCCCN=[N+]=[N-]	ZINC000004984157	HEVBNULACVTWLR-UHFFFAOYSA-N	152.201	2.771	10	40	AFCB	
[N-]=[N+]=C1c2ccccc2-c2ccccc21	ZINC000005045893	LOBSPZHDUJUOES-UHFFFAOYSA-N	192.221	2.734	10	40	AFCB	
CN/N=N\c1ccc(Cl)cc1	ZINC000005132992	VIOUCROVGDHEKX-UHFFFAOYSA-N	169.615	2.558	10	40	AFCB	
CCN1CC=Cc2cc(OC)ccc21	ZINC000005139657	ZCQFQIMBLGRKHC-UHFFFAOYSA-N	189.258	2.548	10	40	AFCB	
c1cncc(/N=N/c2cccnc2)c1	ZINC000005161969	YKROEKFLSMDUSV-BUHFOSPRSA-N	184.202	2.892	10	40	AFCB	
S=Cc1cccc2c1CCCC2	ZINC000005182084	DUDAVNCJSGVYDZ-UHFFFAOYSA-N	176.284	2.913	10	40	AFCB	
CC(C)(C)O/N=N/OC(C)(C)C	ZINC000005353385	OAPFBXRHYINFDV-MDZDMXLPSA-N	174.244	2.899	10	40	AFCB	
CSc1cccc(/N=N/N(C)C)c1	ZINC000005957213	CWWODDIXPTUZOV-ZHACJKMWSA-N	195.291	2.969	10	40	AFCB	
NCc1cc(-c2ccccc2)ccc1O	ZINC000006116703	YXUWHBIKMQIEJR-UHFFFAOYSA-N	199.253	2.518	10	40	AFCB	
CCC(CC)Oc1ccc(N)cc1	ZINC000008702444	PCEKRVCKSSENGE-UHFFFAOYSA-N	179.263	2.836	10	40	AFCB	
[N-]=[N+]=NC1=CCCCCC(=O)C1	ZINC000012417521	OOAXVUZYWGGDDY-UHFFFAOYSA-N	165.196	2.714	10	40	AFCB	
O/N=N/c1ccc2ccccc2n1	ZINC000012952239	UDLXXZHRCDDNIA-UHFFFAOYSA-N	173.175	2.708	10	40	AFCB	
C#C[C@@](C)(N=[N+]=[N-])c1ccccc1	ZINC000015440708	QOIFEFRSAFKRMQ-SNVBAGLBSA-N	171.203	2.845	10	40	AFCB	
C#C[C@](C)(N=[N+]=[N-])c1ccccc1	ZINC000015440710	QOIFEFRSAFKRMQ-JTQLQIEISA-N	171.203	2.845	10	40	AFCB	
Cc1cccc(/N=N/N(C)C)c1	ZINC000016952919	FQSKSHNJOFUZJJ-ZHACJKMWSA-N	163.224	2.555	10	40	AFCB	
CN(C)/N=N/c1cccc(Cl)c1	ZINC000017043248	XJRXTTURVBVZRR-ZHACJKMWSA-N	183.642	2.900	10	40	AFCB	
CN(C)C(=S)/N=N/c1ccccc1	ZINC000017044541	FZLYAPXBMPEBGK-ZHACJKMWSA-N	193.275	2.617	10	40	AFCB	
Cc1ccc(/N=N/C(C#N)C#N)c(C)c1	ZINC000017286697	NMPKODKUXQPSNX-CCEZHUSRSA-N	198.229	2.803	10	40	AFCB	
CSc1ccccc1/N=N/N(C)C	ZINC000017994326	UFRJQQGTZDMAMJ-ZHACJKMWSA-N	195.291	2.969	10	40	AFCB	
Cc1ccc(C)c(/N=N/C(C#N)C#N)c1	ZINC000018023459	KUVLTQSSNHTLGP-CCEZHUSRSA-N	198.229	2.803	10	40	AFCB	
CN(C)/N=N/c1ccc(Cl)cc1	ZINC000018043815	JZGUQAMYFQKVSO-ZHACJKMWSA-N	183.642	2.900	10	40	AFCB	
CC/N=N/Nc1ccc(C)cc1	ZINC000018066268	BPOZIJBDYFHEJR-UHFFFAOYSA-N	163.224	2.794	10	40	AFCB	
CC/N=N\Nc1ccc(C(C)=O)cc1	ZINC000018069327	AMINNPAACQHTJG-UHFFFAOYSA-N	191.234	2.688	10	40	AFCB	
Cc1ccccc1/N=N/N(C)C	ZINC000018088631	NHMGJBOPOUILBE-ZHACJKMWSA-N	163.224	2.555	10	40	AFCB	
Cc1ccc(/N=N\N(C)C)cc1	ZINC000018102010	PSNZDNVJMNLFKA-KHPPLWFESA-N	163.224	2.555	10	40	AFCB	
CN(C)/N=N/c1c(F)cccc1F	ZINC000018175687	UOUSJMUQDFPEHV-VAWYXSNFSA-N	185.177	2.525	10	40	AFCB	
Nc1ccc(NC2CCCC2)cc1	ZINC000026515942	XXQWAUDSOHDXNQ-UHFFFAOYSA-N	176.263	2.623	10	40	AFCB	
CC(=S)CC(=O)SC(C)(C)C	ZINC000032183713	IFSPRHUCLAPASA-UHFFFAOYSA-N	190.333	2.825	10	40	AFCB	
CCCCCc1cccc(O)c1O	ZINC000034247331	PDAHWXCWCWIUHA-UHFFFAOYSA-N	180.247	2.831	10	40	AFCB	
