smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
Cc1cccc(Nc2ccc(N)cn2)c1	ZINC000008414897	WLHCGOILBHSLOY-UHFFFAOYSA-N	199.257	2.716	10	30	AFCC	
CC(=S)c1ccc(C)cc1	ZINC000032911450	JYPHLPNETPCWMY-UHFFFAOYSA-N	150.246	2.733	10	30	AFCC	
COc1cccc(CN=[N+]=[N-])c1	ZINC000037206918	NGSNSSXJWWLJAX-UHFFFAOYSA-N	163.180	2.506	10	30	AFCC	
C/N=N/[C@H](C(C)C)N1CCCCC1	ZINC000059200578	GOSTXYRWLQXDAA-IUZMTQGWSA-N	183.299	2.536	10	30	AFCC	
C/N=N/[C@@H](C(C)C)N1CCCCC1	ZINC000059200579	GOSTXYRWLQXDAA-PJSNMCHCSA-N	183.299	2.536	10	30	AFCC	
CC(C)(C)[C@@H]1CCC(=O)[C@H](C#N)C1	ZINC000074304794	URWYUOOOPHAEPL-DTWKUNHWSA-N	179.263	2.541	10	30	AFCC	
CC(C)(C)[C@H]1CCC(=O)[C@H](C#N)C1	ZINC000074304796	URWYUOOOPHAEPL-IUCAKERBSA-N	179.263	2.541	10	30	AFCC	
CC(C)(C)[C@@H]1CCC(=O)[C@@H](C#N)C1	ZINC000074304797	URWYUOOOPHAEPL-RKDXNWHRSA-N	179.263	2.541	10	30	AFCC	
CC(C)(C)[C@H]1CCC(=O)[C@@H](C#N)C1	ZINC000074304799	URWYUOOOPHAEPL-BDAKNGLRSA-N	179.263	2.541	10	30	AFCC	
C[C@@H]1CCCCN1C/C=C/CN=[N+]=[N-]	ZINC000104833460	IZLNVKBUWBLDAY-RXNUUUNCSA-N	194.282	2.727	10	30	AFCC	
C[C@H]1CCCCN1C/C=C/CN=[N+]=[N-]	ZINC000104833462	IZLNVKBUWBLDAY-GFAPAMAISA-N	194.282	2.727	10	30	AFCC	
N#CC1(N=[N+]=[N-])CCCCC1	ZINC000104840710	QIULSAFZCHBKRL-UHFFFAOYSA-N	150.185	2.523	10	30	AFCC	
c1c[nH]c(/N=N\c2nccs2)c1	ZINC000108416571	FLCRRDDPPNONFG-KHPPLWFESA-N	178.220	2.887	10	30	AFCC	
