smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
Cc1cc(Cl)cc(/N=N/O)c1N	ZINC000002379222	BHJLSMBPJZDKDR-UHFFFAOYSA-N	185.614	2.704	10	20	AFCD	
CN(C)c1ccc(/C=C2/C=CC=N2)cc1	ZINC000005737663	CHMQZJFDAISXIS-BENRWUELSA-N	198.269	2.734	10	20	AFCD	
COC(=O)/N=N/c1ccccc1	ZINC000013508763	SYWIXHZXHQDFOO-MDZDMXLPSA-N	164.164	2.537	10	20	AFCD	in-vitro
Cc1cccc(C)c1/N=N/N(C)C	ZINC000018037366	WISMGIJPTXABDJ-VAWYXSNFSA-N	177.251	2.864	10	20	AFCD	
CCCCCN(C)c1ccc(N)cc1	ZINC000020374560	XDSMFKAJXKGMJF-UHFFFAOYSA-N	192.306	2.895	10	20	AFCD	
CCCCCNc1ccc(N)cc1	ZINC000020382709	YZMUNXIQEYYLCL-UHFFFAOYSA-N	178.279	2.871	10	20	AFCD	
C=CCCCOc1ccc(N)cc1	ZINC000033640111	IKAGXCCFAVVIIE-UHFFFAOYSA-N	177.247	2.614	10	20	AFCD	
C[C@@H](C#N)C(=O)c1ccc(Cl)cc1	ZINC000034226851	IDKINCLRNZKFSI-ZETCQYMHSA-N	193.633	2.682	10	20	AFCD	
C[C@H](C#N)C(=O)c1ccc(Cl)cc1	ZINC000034226852	IDKINCLRNZKFSI-SSDOTTSWSA-N	193.633	2.682	10	20	AFCD	
Nc1ccc(Cc2ccc(O)cc2)cc1	ZINC000034491421	DULOMPJDZXQPSM-UHFFFAOYSA-N	199.253	2.565	10	20	AFCD	
CC(C)(/N=N/c1ccccc1)[N+](=O)[O-]	ZINC000034493513	MAGPHPBKPPBVSI-ZHACJKMWSA-N	193.206	2.783	10	20	AFCD	
CCN(CC)[C@@H](C)c1ccccc1O	ZINC000034529055	UBQJLUZOQDIFGH-JTQLQIEISA-N	193.290	2.795	10	20	AFCD	
CCN(CC)[C@H](C)c1ccccc1O	ZINC000034529056	UBQJLUZOQDIFGH-SNVBAGLBSA-N	193.290	2.795	10	20	AFCD	
Nc1ccc2c(ccn2CC2CC2)c1	ZINC000034558667	AYIPLNZQXCQVAU-UHFFFAOYSA-N	186.258	2.634	10	20	AFCD	
C[C@@H](C#N)C(=O)CC1CCCCC1	ZINC000034975731	ALGYCZNXOOXVOH-VIFPVBQESA-N	179.263	2.686	10	20	AFCD	
C[C@H](C#N)C(=O)CC1CCCCC1	ZINC000034975732	ALGYCZNXOOXVOH-SECBINFHSA-N	179.263	2.686	10	20	AFCD	
C[C@@H](C#N)C(=O)CCC1CCCC1	ZINC000034975734	MHIBEZMBLXBJCJ-VIFPVBQESA-N	179.263	2.686	10	20	AFCD	
C[C@H](C#N)C(=O)CCC1CCCC1	ZINC000034975736	MHIBEZMBLXBJCJ-SECBINFHSA-N	179.263	2.686	10	20	AFCD	
[N-]=[N+]=NCCOc1c(F)cccc1F	ZINC000035051363	YILLYAHASRGFIH-UHFFFAOYSA-N	199.160	2.654	10	20	AFCD	
[N-]=[N+]=NCc1cc(F)ccc1[N+](=O)[O-]	ZINC000035308457	GNRHVNOPXVCVNO-UHFFFAOYSA-N	196.141	2.544	10	20	AFCD	
Cc1c(CN=[N+]=[N-])cccc1[N+](=O)[O-]	ZINC000035649603	UNGMFBGGADEZKW-UHFFFAOYSA-N	192.178	2.714	10	20	AFCD	
CCCCOCCc1ccc(N)cc1	ZINC000035677425	PRKPWLJDYKZOAS-UHFFFAOYSA-N	193.290	2.628	10	20	AFCD	
CCCSCCc1ccc(N)cc1	ZINC000035677467	AKMZSUXWGCMDQM-UHFFFAOYSA-N	195.331	2.955	10	20	AFCD	
[N-]=[N+]=NCc1cccc(F)c1F	ZINC000036889000	JBDHDNBAOVMPDT-UHFFFAOYSA-N	169.134	2.775	10	20	AFCD	
CC[C@@H](C#N)C(=O)c1cc(C)oc1C	ZINC000036915896	MZZQWECZOHKNDR-VIFPVBQESA-N	191.230	2.629	10	20	AFCD	
CC[C@H](C#N)C(=O)c1cc(C)oc1C	ZINC000036915897	MZZQWECZOHKNDR-SECBINFHSA-N	191.230	2.629	10	20	AFCD	
CC[C@@H](C#N)C(=O)c1sccc1C	ZINC000036915928	OPRYCDTXDZOLAL-QMMMGPOBSA-N	193.271	2.789	10	20	AFCD	
CC[C@H](C#N)C(=O)c1sccc1C	ZINC000036915929	OPRYCDTXDZOLAL-MRVPVSSYSA-N	193.271	2.789	10	20	AFCD	
CCC(CC)C(=O)[C@H](C#N)CC	ZINC000036915952	UUXNSUQLIDGVBN-VIFPVBQESA-N	167.252	2.541	10	20	AFCD	
CCC(CC)C(=O)[C@@H](C#N)CC	ZINC000036915953	UUXNSUQLIDGVBN-SECBINFHSA-N	167.252	2.541	10	20	AFCD	
CC[C@@H](C#N)C(=O)CC(C)(C)C	ZINC000036915960	FSVFTKQBYBDCGT-QMMMGPOBSA-N	167.252	2.541	10	20	AFCD	
CC[C@H](C#N)C(=O)CC(C)(C)C	ZINC000036915961	FSVFTKQBYBDCGT-MRVPVSSYSA-N	167.252	2.541	10	20	AFCD	
CCC[C@@H](C)C(=O)[C@H](C#N)CC	ZINC000036915966	WKORAQHDHUNMJX-BDAKNGLRSA-N	167.252	2.541	10	20	AFCD	
CCC[C@H](C)C(=O)[C@H](C#N)CC	ZINC000036915967	WKORAQHDHUNMJX-IUCAKERBSA-N	167.252	2.541	10	20	AFCD	
