smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
Oc1ccc2c(c1O)-c1ccccc1C2	ZINC000000897179	OOGFPMKHMOAMMY-UHFFFAOYSA-N	198.221	2.669	10	10	AFCE	in-vitro,metabolite
Oc1ccc2c(c1O)Cc1ccccc1-2	ZINC000000897201	ZQLOWXRDVDYRGA-UHFFFAOYSA-N	198.221	2.669	10	10	AFCE	in-vitro,metabolite
[N-]=[N+]=NC[C@H]1CCCN2CCCC[C@@H]12	ZINC000004686986	LHJGHUKUYSBPSS-ZJUUUORDSA-N	194.282	2.561	10	10	AFCE	
[N-]=[N+]=NC[C@@H]1CCCN2CCCC[C@@H]12	ZINC000004686987	LHJGHUKUYSBPSS-UWVGGRQHSA-N	194.282	2.561	10	10	AFCE	
C=C(N=[N+]=[N-])c1ccccc1	ZINC000005369766	CAUJWSPJKGGYDW-UHFFFAOYSA-N	145.165	2.968	10	10	AFCE	
CCOP(=O)(CN=[N+]=[N-])OCC	ZINC000005859480	NLTDIBZJVFRPTB-UHFFFAOYSA-N	193.143	2.520	10	10	AFCE	
C[C@H]1CC[C@H](C)N1c1ccc(N)cc1	ZINC000008701401	GMYNCBGKCCBWLC-UWVGGRQHSA-N	190.290	2.646	10	10	AFCE	
C[C@@H]1CC[C@@H](C)N1c1ccc(N)cc1	ZINC000008701402	GMYNCBGKCCBWLC-NXEZZACHSA-N	190.290	2.646	10	10	AFCE	
CCCC/C=C/[N+]([O-])=N/[C@@H](C)C(C)=O	ZINC000014088790	WFHYSKXBQMLHKH-VOQSLCQKSA-N	198.266	2.630	10	10	AFCE	biogenic,in-vitro
CCCC/C=C/[N+]([O-])=N/[C@H](C)C(C)=O	ZINC000014088792	WFHYSKXBQMLHKH-LIYLJOJMSA-N	198.266	2.630	10	10	AFCE	
CCCCCc1cc(O)cc(O)c1O	ZINC000014649522	FGHJZVBFZCUETG-UHFFFAOYSA-N	196.246	2.536	10	10	AFCE	biogenic,in-vitro
NC(=O)/N=N/c1cccc(Cl)c1	ZINC000017130349	NIRPKQHAJGRVAT-ZHACJKMWSA-N	183.598	2.502	10	10	AFCE	
NC(=O)/N=N/c1ccc(Cl)cc1	ZINC000017130351	QKAZKRDMLXEVST-ZHACJKMWSA-N	183.598	2.502	10	10	AFCE	
c1ccc(/N=N/N2CCCC2)cc1	ZINC000017302418	DRVHPVUGSNNFAR-VAWYXSNFSA-N	175.235	2.781	10	10	AFCE	
C[C@@H]1CC[C@H](C)N1c1ccc(N)cc1	ZINC000017957880	GMYNCBGKCCBWLC-AOOOYVTPSA-N	190.290	2.646	10	10	AFCE	
CC1(C)C(=S)[C@H]2CC[C@@H]1C2	ZINC000032192094	LIZSKRUVSJUPNM-NKWVEPMBSA-N	154.278	2.812	10	10	AFCE	
CC1(C)C(=S)[C@@H]2CC[C@H]1C2	ZINC000032192095	LIZSKRUVSJUPNM-RQJHMYQMSA-N	154.278	2.812	10	10	AFCE	
CSc1cnc(SC)s1	ZINC000032220629	AADVZVSFHHAJOR-UHFFFAOYSA-N	177.319	2.587	10	10	AFCE	
CC(CN=[N+]=[N-])=C1C=CC=C1	ZINC000034060444	NZVTWLFORZAANB-UHFFFAOYSA-N	147.181	2.739	10	10	AFCE	
CC(C)=C=CCCN=[N+]=[N-]	ZINC000034075429	BDFXPSZTRBNGES-UHFFFAOYSA-N	137.186	2.808	10	10	AFCE	
CC(C)=C(Br)CN=[N+]=[N-]	ZINC000034111762	RQKLFCSFWNBKDW-UHFFFAOYSA-N	190.044	2.986	10	10	AFCE	
CC(C)SCc1ccc(O)c(O)c1	ZINC000034116144	GLMRBRCYAUPURA-UHFFFAOYSA-N	198.287	2.739	10	10	AFCE	
S=Cc1c[nH]c2ccccc12	ZINC000034189712	DMLVXSBBODGWOR-UHFFFAOYSA-N	161.229	2.516	10	10	AFCE	
COC1(N=[N+]=[N-])CCCCC1	ZINC000034200050	BTAGCKPNJKHLCS-UHFFFAOYSA-N	155.201	2.604	10	10	AFCE	
Nc1ccc(Nc2cccc(N)c2)cc1	ZINC000034268711	SAFZWWGZNZLALU-UHFFFAOYSA-N	199.257	2.595	10	10	AFCE	
O=CCC(=S)c1ccc(Cl)cc1	ZINC000034310804	CULYLHZFMRLBAK-UHFFFAOYSA-N	198.674	2.647	10	10	AFCE	
CCC[C@@H](O)[C@H](CCC)N=[N+]=[N-]	ZINC000034329655	HAUXSFQLLCCYAQ-JGVFFNPUSA-N	171.244	2.626	10	10	AFCE	
