smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
Cc1c2ccccc2c[n+]2ccccc12	ZINC000001596104	YEFVHZPFGKDDBU-UHFFFAOYSA-N	194.257	2.887	10	1	AFCF	
N#C[C@@H]1CCC[C@H](c2ccccc2)C1=O	ZINC000001615117	IKVQMASZSHOPRA-NWDGAFQWSA-N	199.253	2.663	10	1	AFCF	
N#C[C@@H]1CCC[C@@H](c2ccccc2)C1=O	ZINC000001615118	IKVQMASZSHOPRA-RYUDHWBXSA-N	199.253	2.663	10	1	AFCF	
N#C[C@H]1CCC[C@H](c2ccccc2)C1=O	ZINC000001615119	IKVQMASZSHOPRA-VXGBXAGGSA-N	199.253	2.663	10	1	AFCF	
N#C[C@H]1CCC[C@@H](c2ccccc2)C1=O	ZINC000001615120	IKVQMASZSHOPRA-NEPJUHHUSA-N	199.253	2.663	10	1	AFCF	
Cc1[nH]c2cc(O)c(O)c(C)c2c1C	ZINC000001686248	VJTVFWWYFUCUFY-UHFFFAOYSA-N	191.230	2.504	10	1	AFCF	
O=[N+]([O-])c1sc2ccccc2c1O	ZINC000001688700	BDCNWIYIRJUKAB-UHFFFAOYSA-N	195.199	2.515	10	1	AFCF	
CC1=CC=N/[N+]1=C/C=C/c1ccccc1	ZINC000001713915	DUORKBVIACOGIJ-DVVLCRQDSA-N	197.261	2.686	10	1	AFCF	
Cc1ccnc2c1C(=O)c1ccccc1-2	ZINC000001996069	LTVBTVOAUQJJEV-UHFFFAOYSA-N	195.221	2.601	10	1	AFCF	biogenic,in-vitro
Cc1cccc2ccc(O)c(O)c12	ZINC000004655003	KYYXBLAPBDWXFX-UHFFFAOYSA-N	174.199	2.559	10	1	AFCF	in-vitro
C1=CC2=S(S1)SC=C2	ZINC000005133172	JUEJPBZMWHMMPS-UHFFFAOYSA-N	160.288	2.779	10	1	AFCF	
C/C=C\N=N/Nc1ccccc1	ZINC000005640136	VGQRXYYYMAMSGJ-WAPJZHGLSA-N	161.208	2.999	10	1	AFCF	
CN(O)/N=N/c1ccc(Cl)cc1	ZINC000005957050	OXMQOLCYSKETDF-MDZDMXLPSA-N	185.614	2.660	10	1	AFCF	
Cc1cc2scc(C)n2c1C=S	ZINC000006796978	UMNMIBMOZIPIFT-UHFFFAOYSA-N	195.312	2.965	10	1	AFCF	
CC(C)=CCC[C@H](C)CC(=O)C(C)=O	ZINC000013518083	LNDUYNXMRGYNGP-JTQLQIEISA-N	196.290	2.917	10	1	AFCF	in-vitro
CC(C)=CCC[C@@H](C)CC(=O)C(C)=O	ZINC000013518086	LNDUYNXMRGYNGP-SNVBAGLBSA-N	196.290	2.917	10	1	AFCF	in-vitro
c1ccc(/N=N/Nc2ccccn2)nc1	ZINC000016887348	XTFOWVPJELKXIX-UHFFFAOYSA-N	199.217	2.587	10	1	AFCF	
C=C/N=N/Nc1ccccc1	ZINC000017109761	FSQAVCYBYIAHFP-UHFFFAOYSA-N	147.181	2.609	10	1	AFCF	
C/C=C/N=N/Nc1ccccc1	ZINC000017109787	VGQRXYYYMAMSGJ-KRXBUXKQSA-N	161.208	2.999	10	1	AFCF	
C/C=C/N/N=N/c1ccc(OC)cc1	ZINC000017109795	ODLDTMYOXVZNFD-FPYGCLRLSA-N	191.234	2.817	10	1	AFCF	
C/C=C/N/N=N/c1ccccc1OC	ZINC000017109810	IGMJGKGRROCJBL-FPYGCLRLSA-N	191.234	2.817	10	1	AFCF	
CCCC/N=N/N(C)CCCC	ZINC000017128571	MRBZRTBBWRICTA-ZHACJKMWSA-N	171.288	2.886	10	1	AFCF	
CCCC/N=N/NCCCC	ZINC000017128574	QGEUNYCMNRTKOP-UHFFFAOYSA-N	157.261	2.543	10	1	AFCF	
C/C=C(/N/N=N/C)c1ccccc1	ZINC000017129272	DMOWLDXXBTTWQY-XCVCLJGOSA-N	175.235	2.634	10	1	AFCF	
CCOc1cccc(/N=N/N(C)C)c1	ZINC000017164897	FJOKKNSAQPVFJO-VAWYXSNFSA-N	193.250	2.646	10	1	AFCF	
Cc1ccc(/N=N/N(C)C)c(C)c1	ZINC000017173235	LRWDJQKLJJKKLM-VAWYXSNFSA-N	177.251	2.864	10	1	AFCF	
CC1=CC=N/[N+]1=C/C=C\c1ccccc1	ZINC000017353390	DUORKBVIACOGIJ-JWSRNPNGSA-N	197.261	2.686	10	1	AFCF	
CC1=CC=N/[N+]1=C\C=C\c1ccccc1	ZINC000017353391	DUORKBVIACOGIJ-MHMFOBEZSA-N	197.261	2.686	10	1	AFCF	
CN(C)/N=N/c1ccccc1Cl	ZINC000017917209	XGQFCJOOAAJZCM-ZHACJKMWSA-N	183.642	2.900	10	1	AFCF	
c1ccc(/N=N/c2ccnnc2)cc1	ZINC000017952920	HNERPLNCDCQZFT-BUHFOSPRSA-N	184.202	2.892	10	1	AFCF	
O=[N+]([O-])C/N=N/c1cccc(Cl)c1	ZINC000018127735	YRGRNRDATSVVTD-MDZDMXLPSA-N	199.597	2.658	10	1	AFCF	
Cc1cccc(/N=N/N(C)C)c1C	ZINC000018156777	RXDLJQYWYBREMS-VAWYXSNFSA-N	177.251	2.864	10	1	AFCF	
CCOc1ccc(/N=N/N(C)C)cc1	ZINC000018163599	ONSNGDIHURZVQZ-VAWYXSNFSA-N	193.250	2.646	10	1	AFCF	
C/C=C(\N=N/NC)c1ccccc1	ZINC000018177808	DMOWLDXXBTTWQY-KMKOMSMNSA-N	175.235	2.634	10	1	AFCF	
c1ccc(/N=N/c2cccnn2)cc1	ZINC000018209219	JPTQUAGNULSVTL-WYMLVPIESA-N	184.202	2.892	10	1	AFCF	
Cn1ccnc1/N=N/c1ccccc1	ZINC000033791960	FLAQUJIURZWQSH-OUKQBFOZSA-N	186.218	2.836	10	1	AFCF	
N#CC(=N)/N=N/c1ccc(Cl)cc1	ZINC000033802398	HPKFZEYGNOLJSF-ZHSPKSDKSA-N	192.609	2.925	10	1	AFCF	
Cc1c(O)c(O)c(Cl)cc1Cl	ZINC000038788728	WHZYTTYRNXQNQF-UHFFFAOYSA-N	193.029	2.713	10	1	AFCF	in-vitro,metabolite
CN(C)c1ccc(/C=C\Cl)cc1	ZINC000038973546	MROVNOLUELPQIT-FPLPWBNLSA-N	181.666	2.962	10	1	AFCF	
[N-]=[N+]=N/C=C/c1ccccc1	ZINC000039147450	DDOSYAJVNWEFNC-VOTSOKGWSA-N	145.165	2.968	10	1	AFCF	
CCCCCC/C=C/CC(=O)C=[N+]=[N-]	ZINC000043598301	ZHQHAGKYGPIUAP-BQYQJAHWSA-N	194.278	2.773	10	1	AFCF	
CCCCCCCCCC(=O)C=[N+]=[N-]	ZINC000043676723	RCDRHRJSTDWNEY-UHFFFAOYSA-N	196.294	2.997	10	1	AFCF	
CC[C@@H](CC#N)c1ccc(O)c(O)c1	ZINC000084351177	CHODMPSLHTXZGS-QMMMGPOBSA-N	191.230	2.505	10	1	AFCF	
CC[C@H](CC#N)c1ccc(O)c(O)c1	ZINC000084351180	CHODMPSLHTXZGS-MRVPVSSYSA-N	191.230	2.505	10	1	AFCF	
CCCOc1ccc(N(C)C)c(C)c1	ZINC000084918113	SACUESUYUSZKIM-UHFFFAOYSA-N	193.290	2.850	10	1	AFCF	
Cc1cc(OC(C)C)ccc1N(C)C	ZINC000084918116	ZXZZQYRMRVDBIL-UHFFFAOYSA-N	193.290	2.848	10	1	AFCF	
COc1cc(C)c(N(C)C)c(C)c1C	ZINC000084918266	HWYQSFXUYXARSZ-UHFFFAOYSA-N	193.290	2.686	10	1	AFCF	
CCOc1ccc(N(C)C)c(C)c1C	ZINC000084918272	QGLLMELTFXHSLP-UHFFFAOYSA-N	193.290	2.768	10	1	AFCF	
CCOc1cc(C)c(N(C)C)c(C)c1	ZINC000084918277	JCEXIYBOKLOJKX-UHFFFAOYSA-N	193.290	2.768	10	1	AFCF	
CCOc1cc(C)c(N(C)C)cc1C	ZINC000084918286	SSWGQXSVGFWHAK-UHFFFAOYSA-N	193.290	2.768	10	1	AFCF	
CCOc1ccc(N(C)C)c(CC)c1	ZINC000084918302	FLKGZMMLYVSEEJ-UHFFFAOYSA-N	193.290	2.714	10	1	AFCF	
CCOc1ccc(N(C)C)c(Cl)c1	ZINC000084918315	YNTLAOCABDTYTI-UHFFFAOYSA-N	199.681	2.805	10	1	AFCF	
CCOc1ccc(N(C)C)cc1Cl	ZINC000084918407	HMVVMTYVVKAPGC-UHFFFAOYSA-N	199.681	2.805	10	1	AFCF	
COc1ccc(N(C)C)cc1C(C)C	ZINC000084922660	KCFJWEMLODISNM-UHFFFAOYSA-N	193.290	2.885	10	1	AFCF	
CC(C)=CCc1cccc(O)c1O	ZINC000087528067	CWNAMDTZXWFAQN-UHFFFAOYSA-N	178.231	2.607	10	1	AFCF	in-vitro
CC/C=C\C(C#N)(C#N)CCN=[N+]=[N-]	ZINC000090372534	GBWTZUSUCXVTKQ-ARJAWSKDSA-N	189.222	2.687	10	1	AFCF	
CC/C=C/C(C#N)(C#N)CCN=[N+]=[N-]	ZINC000090372535	GBWTZUSUCXVTKQ-ONEGZZNKSA-N	189.222	2.687	10	1	AFCF	
[N-]=[N+]=NC=C(Cl)Cl	ZINC000090476656	VSIGTXKHRIVGHR-UHFFFAOYSA-N	137.957	2.573	10	1	AFCF	
C=C=C=Cc1ccc(N(C)C)cc1	ZINC000090501853	VRLNTCCSTKSOSJ-UHFFFAOYSA-N	171.243	2.706	10	1	AFCF	
CC/C(C)=C\Cc1cccc(O)c1O	ZINC000095921035	HZIMMWSOLFBHHZ-CLFYSBASSA-N	192.258	2.997	10	1	AFCF	
CC[C@](C)(C#N)/N=N\[C@@](C)(C#N)CC	ZINC000100097006	AVTLBBWTUPQRAY-ZSNFEOKMSA-N	192.266	2.823	10	1	AFCF	
c1ccc(/N=N\N2CCCC2)cc1	ZINC000100217009	DRVHPVUGSNNFAR-QXMHVHEDSA-N	175.235	2.781	10	1	AFCF	
CCCC/C=C/[N+]([O-])=N[C@@H](C)C(C)=O	ZINC000100305693	WFHYSKXBQMLHKH-JFLSSZQFSA-N	198.266	2.630	10	1	AFCF	in-vitro,metabolite
