smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC(C)=C(C#N)c1nc2ccccc2[nH]1	ZINC000000040610	YDQBOJSTBJSEFL-UHFFFAOYSA-N	197.241	2.880	30	50	AFEA	
Cc1ccc(C=C(C#N)C#N)c(C)c1	ZINC000000042428	OCKQQTWVONOSPQ-UHFFFAOYSA-N	182.226	2.734	30	50	AFEA	
CCc1ccc(C=C(C#N)C#N)s1	ZINC000000042522	WIUSENZIOGYQAN-UHFFFAOYSA-N	188.255	2.741	30	50	AFEA	
Cc1cc(C(=O)CCl)c(C)s1	ZINC000000042569	JHVAHFKUIQIYAI-UHFFFAOYSA-N	188.679	2.786	30	50	AFEA	
CCOc1ccc(C=C(C#N)C#N)cc1	ZINC000000043559	KJYWHLYEROGTCD-UHFFFAOYSA-N	198.225	2.516	30	50	AFEA	
Oc1ccc(CCl)c2cccnc12	ZINC000000043876	JGOBHUWKRDXZEY-UHFFFAOYSA-N	193.633	2.679	30	50	AFEA	
Oc1ccc(/N=C/c2cccnc2)cc1	ZINC000000045935	AJLFEWZCUAQSFP-NTEUORMPSA-N	198.225	2.538	30	50	AFEA	
ON=C1c2ccccc2-c2ccccc21	ZINC000000049755	CRNNFEKVPRFZKJ-UHFFFAOYSA-N	195.221	2.894	30	50	AFEA	
CC(/C=C/c1ccccc1)=N/O	ZINC000000052606	OGVPVEBIPIJKEJ-OHFYBLQUSA-N	161.204	2.550	30	50	AFEA	
O=C(CCl)c1cc2ccccc2[nH]1	ZINC000000054764	FGNVLOKUUCLSCE-UHFFFAOYSA-N	193.633	2.589	30	50	AFEA	
CC(C)=C1CC[C@H](C)C/C1=N\O	ZINC000000083812	FXBOSCKBLTVABQ-PNLVODKCSA-N	167.252	2.973	30	50	AFEA	
CC(C)=C1CC[C@@H](C)C/C1=N\O	ZINC000000083816	FXBOSCKBLTVABQ-IRXCETGXSA-N	167.252	2.973	30	50	AFEA	
Oc1ccccc1/N=C/c1cccnc1	ZINC000000096064	PGNIDFJAISFYHG-NTEUORMPSA-N	198.225	2.538	30	50	AFEA	
Oc1ccc(/C=N\c2ccccn2)cc1	ZINC000000096155	KZYKNPLZPSHIHM-ZROIWOOFSA-N	198.225	2.538	30	50	AFEA	
N#CC(C#N)=Cc1c[nH]c2ccccc12	ZINC000000097348	KCGMQWDGOQQAGN-UHFFFAOYSA-N	193.209	2.598	30	50	AFEA	
N#CC(C#N)=Cc1cccc(Cl)c1	ZINC000000097955	CGLGAIINXSHQBP-UHFFFAOYSA-N	188.617	2.771	30	50	AFEA	
N#CC(C#N)=Cc1ccc(Cl)s1	ZINC000000109566	LPCCSTOMSFZWGQ-UHFFFAOYSA-N	194.646	2.832	30	50	AFEA	
CC(C)(C)/C(=N/O)c1cccs1	ZINC000000109908	BREHMDQCJJBCOC-CSKARUKUSA-N	183.276	2.973	30	50	AFEA	
O/N=C/c1cc(Cl)cc(Cl)c1	ZINC000000111622	AVZFLLLFEIZFGB-ONNFQVAWSA-N	190.029	2.802	30	50	AFEA	
[O-]/[N+](=C\c1ccco1)c1ccccc1	ZINC000000116162	WQJCQUFEPWCYAW-XFXZXTDPSA-N	187.198	2.541	30	50	AFEA	
O/N=C/c1cccc(Cl)c1Cl	ZINC000000118618	UDEADLUKAYYZNF-ONNFQVAWSA-N	190.029	2.802	30	50	AFEA	
CSC1=CC(=O)CC(C)(C)S1	ZINC000000126029	KICJUVXZIUOZHL-UHFFFAOYSA-N	188.317	2.675	30	50	AFEA	
CC(=C(C#N)C#N)c1ccccc1	ZINC000000134383	ZVOMMPYHGITOEF-UHFFFAOYSA-N	168.199	2.507	30	50	AFEA	
C[C@@]12CC=C(C#N)[C@]1(C)CC=C2C#N	ZINC000000135799	DZZXUSSBCUOLDX-RYUDHWBXSA-N	184.242	2.706	30	50	AFEA	
C[C@@]12C=C(C#N)C[C@]1(C)C=C(C#N)C2	ZINC000000135838	FNPRYXNAYBWTHK-NWDGAFQWSA-N	184.242	2.706	30	50	AFEA	
COc1ccc(/C(=N/O)C(C)C)cc1	ZINC000000136539	LBKDMEZJBOEHEE-VAWYXSNFSA-N	193.246	2.530	30	50	AFEA	
C=C(/C(C)=N/O)c1ccccc1	ZINC000000136625	DKQQHRYNSJOWIH-PKNBQFBNSA-N	161.204	2.550	30	50	AFEA	
Cc1cc(C=C(C#N)C#N)c(C)s1	ZINC000000137408	TZYBWRNMWVNZJN-UHFFFAOYSA-N	188.255	2.796	30	50	AFEA	
O=C1C=C(O)C[C@@H](c2ccccc2)C1	ZINC000000142579	ZFVDSCASCRHXCP-SNVBAGLBSA-N	188.226	2.575	30	50	AFEA	
O=C=Nc1cccc2ccccc21	ZINC000000152343	BDQNKCYCTYYMAA-UHFFFAOYSA-N	169.183	2.807	30	50	AFEA	
CCOc1ccccc1N=C=S	ZINC000000153362	MAHMRCJOZYLGOW-UHFFFAOYSA-N	179.244	2.820	30	50	AFEA	
O=C1C=C(Nc2ccccc2)CCC1	ZINC000000153611	IVONJXTZXFTWNA-UHFFFAOYSA-N	187.242	2.735	30	50	AFEA	
FC(F)(F)c1ccc(CCl)cn1	ZINC000000154412	PRPAYPBERKUDKO-UHFFFAOYSA-N	195.571	2.839	30	50	AFEA	
CC(=O)/C=C/c1cccc(Cl)c1	ZINC000000156086	VWEPXSRBBXPYSM-AATRIKPKSA-N	180.634	2.942	30	50	AFEA	
ON=C(c1ccccc1)c1ccccc1	ZINC000000157201	DNYZBFWKVMKMRM-UHFFFAOYSA-N	197.237	2.913	30	50	AFEA	biogenic,in-vitro
C/C(=N\O)C(C)(C)Nc1ccccc1	ZINC000000157576	DLXBAXMEDVMTQZ-UKTHLTGXSA-N	192.262	2.727	30	50	AFEA	
Cl[C@H]1OCCCC1(Cl)Cl	ZINC000000158238	ZAKVZNJDGLAPHL-BYPYZUCNSA-N	189.469	2.536	30	50	AFEA	
Cl[C@@H]1OCCCC1(Cl)Cl	ZINC000000158239	ZAKVZNJDGLAPHL-SCSAIBSYSA-N	189.469	2.536	30	50	AFEA	
Cc1cc(N=C=O)c(C(F)(F)F)o1	ZINC000000158509	WTKWFNIIIXNTDO-UHFFFAOYSA-N	191.108	2.574	30	50	AFEA	
O=C=Nc1c(Cl)cccc1Cl	ZINC000000159114	HMVKMAMIRAVXAN-UHFFFAOYSA-N	188.013	2.961	30	50	AFEA	
COc1ccc(C(C)=O)cc1CCl	ZINC000000159193	BNLRVFJSVGTTGG-UHFFFAOYSA-N	198.649	2.637	30	50	AFEA	
Fc1cccc(Cl)c1CS	ZINC000000159402	TXFPTJWQPHMUEF-UHFFFAOYSA-N	176.643	2.909	30	50	AFEA	
Cc1ccc(N=C=O)cc1Cl	ZINC000000159655	UKTKKMZDESVUEE-UHFFFAOYSA-N	167.595	2.616	30	50	AFEA	
O/N=C/C(Cl)=C/c1ccccc1	ZINC000000159915	PJQVZKMPNJAPOM-STGKXFFCSA-N	181.622	2.726	30	50	AFEA	
CC(C)(C)/C(Cl)=C/C#N	ZINC000000159941	KCVZJFYFJKNOFD-XQRVVYSFSA-N	143.617	2.679	30	50	AFEA	
N#C/C=C(\Cl)c1ccccc1	ZINC000000159947	GVKYEBRJHLHHOE-TWGQIWQCSA-N	163.607	2.790	30	50	AFEA	
N#C/C=C(\Cl)c1ccc(F)cc1	ZINC000000159972	QYJZLGBSSYBYSY-UITAMQMPSA-N	181.597	2.929	30	50	AFEA	
COc1ccc(/C(Cl)=C/C#N)cc1	ZINC000000159979	PRZFNAAMKVRGRG-POHAHGRESA-N	193.633	2.798	30	50	AFEA	
