smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC(=C(C#N)C#N)c1ccc(C)cc1	ZINC000000391011	XYWJLFIDPXBVOD-UHFFFAOYSA-N	182.226	2.816	30	40	AFEB	
C(=N/c1ccccc1)\c1cccnc1	ZINC000000571275	BMROZNZIAYCBGB-GXDHUFHOSA-N	182.226	2.832	30	40	AFEB	
C(=N\c1ccccn1)\c1cccs1	ZINC000000585464	SDWIEQMUJIZZSY-WQLSENKSSA-N	188.255	2.894	30	40	AFEB	
C=Cc1cccc(CBr)n1	ZINC000001435934	DHBBDAPZQVATGR-UHFFFAOYSA-N	198.063	2.620	30	40	AFEB	
N#CS[C@@H]1CCCC[C@H]1SC#N	ZINC000001557998	XSRBJMAFLWWLFP-HTQZYQBOSA-N	198.316	2.726	30	40	AFEB	
N#CS[C@H]1CCCC[C@@H]1SC#N	ZINC000001557999	XSRBJMAFLWWLFP-YUMQZZPRSA-N	198.316	2.726	30	40	AFEB	
CC[C@@](Cl)(C=O)[C@H](Cl)C(C)C	ZINC000001562426	MLRGUDRVGVFJIA-HTQZYQBOSA-N	197.105	2.836	30	40	AFEB	
CC[C@](Cl)(C=O)[C@H](Cl)C(C)C	ZINC000001562427	MLRGUDRVGVFJIA-SFYZADRCSA-N	197.105	2.836	30	40	AFEB	
CC[C@@](Cl)(C=O)[C@@H](Cl)C(C)C	ZINC000001562428	MLRGUDRVGVFJIA-JGVFFNPUSA-N	197.105	2.836	30	40	AFEB	
CC[C@](Cl)(C=O)[C@@H](Cl)C(C)C	ZINC000001562429	MLRGUDRVGVFJIA-YUMQZZPRSA-N	197.105	2.836	30	40	AFEB	
CCSC(=O)SCCCl	ZINC000001568385	QMNYKASNQXBRKC-UHFFFAOYSA-N	184.713	2.832	30	40	AFEB	
CC1=Cc2cc(C)cc(C)c2C1=O	ZINC000001584137	HQAYQAFOWYGNGD-UHFFFAOYSA-N	172.227	2.903	30	40	AFEB	
C[C@H](CC(C)(C)C)C(=O)Cl	ZINC000001587693	HXUYLBGYPUIKOF-ZCFIWIBFSA-N	162.660	2.824	30	40	AFEB	
Cc1ccc(C)c(C[C@@H](C)C=O)c1	ZINC000001589918	HHNSFHNQSOZTOG-SNVBAGLBSA-N	176.259	2.681	30	40	AFEB	
CCc1ccc(C[C@@H](C)C=O)cc1	ZINC000001589920	COSSGWHBEHFKRM-SNVBAGLBSA-N	176.259	2.627	30	40	AFEB	
Br[C@@H]1C[C@H]2CC[C@@H]1C2	ZINC000001592392	QXYOAWHKJRWNID-RRKCRQDMSA-N	175.069	2.570	30	40	AFEB	
Br[C@@H]1C[C@@H]2CC[C@H]1C2	ZINC000001592393	QXYOAWHKJRWNID-DSYKOEDSSA-N	175.069	2.570	30	40	AFEB	
C=Nc1ccc(C)c(N=C)c1	ZINC000001593828	KWGIVCSMLQWDTK-UHFFFAOYSA-N	146.193	2.659	30	40	AFEB	
