smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C/C=C\C(=O)c1cc(Cl)ccc1O	ZINC000000037287	REDXFVCPODGDOV-IHWYPQMZSA-N	196.633	2.804	30	30	AFEC	
Oc1ccc(/N=C\c2ccco2)cc1	ZINC000000037294	OQKBHMCXTJSDLH-WQLSENKSSA-N	187.198	2.736	30	30	AFEC	
O=P(CCl)(CCl)CCl	ZINC000001756209	GGECNORVQSLCLI-UHFFFAOYSA-N	195.413	2.938	30	30	AFEC	
C[N+](C)=C/C=C(/Cl)c1ccccc1	ZINC000002156508	AITWTWXVEQBNJP-DHZHZOJOSA-N	194.685	2.609	30	30	AFEC	
Cc1ccc(/C=N\NC(C)(C)C)s1	ZINC000004482500	POQILTRIYYMHQO-XFFZJAGNSA-N	196.319	2.779	30	30	AFEC	
O/N=C1\CCC[C@H]2CCCC[C@@H]12	ZINC000004722448	GRJRDRAWBRAMAO-CMDNNSEDSA-N	167.252	2.807	30	30	AFEC	
CC1(C)C[C@]2(C)C[C@H]1C/C2=N\O	ZINC000005003302	IDTJZQDNQDVVPG-RZIOALPKSA-N	167.252	2.663	30	30	AFEC	
CCC(=O)/C(C)=C\c1ccco1	ZINC000005003764	AXNYRBWFRKSWHJ-FPLPWBNLSA-N	164.204	2.662	30	30	AFEC	
CC(=O)/C=C\c1cc(Cl)ccc1O	ZINC000005052243	JJJFJYKYPLNQEB-IHWYPQMZSA-N	196.633	2.648	30	30	AFEC	
C[C@H]1/C(=N/O)C[C@H]2C[C@@H]1C2(C)C	ZINC000005356346	PLKZJFBLYSCGKF-IEQDEWSTSA-N	167.252	2.519	30	30	AFEC	
CC(C)/C=C/C(=O)c1ccoc1	ZINC000005358286	XEYCZVQIOJGCNL-ONEGZZNKSA-N	164.204	2.675	30	30	AFEC	biogenic,in-man
C[C@@H]1/C(=N/O)C[C@H]2C[C@@H]1C2(C)C	ZINC000005359344	PLKZJFBLYSCGKF-FONNXIIGSA-N	167.252	2.519	30	30	AFEC	
C(=N/Nc1ccccn1)\c1ccccc1	ZINC000005390920	BPECCKRJFULQIS-GXDHUFHOSA-N	197.241	2.528	30	30	AFEC	
CCCO[C@@H]1CCCC[C@H]1Cl	ZINC000006138742	NABGZHYZDHRVJQ-RKDXNWHRSA-N	176.687	2.963	30	30	AFEC	
CCCO[C@H]1CCCC[C@H]1Cl	ZINC000006138745	NABGZHYZDHRVJQ-BDAKNGLRSA-N	176.687	2.963	30	30	AFEC	
Cl[C@@H]1CCCC[C@H]1[n+]1ccccc1	ZINC000006322741	INGPXRYDWKQISX-GHMZBOCLSA-N	196.701	2.697	30	30	AFEC	
Cl[C@@H]1CCCC[C@@H]1[n+]1ccccc1	ZINC000006322742	INGPXRYDWKQISX-MNOVXSKESA-N	196.701	2.697	30	30	AFEC	
O=C(Cl)c1ccc2c(c1)CCC2	ZINC000009237297	CCTGNCRJXVHMAW-UHFFFAOYSA-N	180.634	2.554	30	30	AFEC	
CCOCc1ccc(C(=O)Cl)cc1	ZINC000009237323	UZZYKQBUFWJNNR-UHFFFAOYSA-N	198.649	2.602	30	30	AFEC	
CC(=O)c1cc(C)n(CCCl)c1C	ZINC000009246066	FXLGPWXKJIDHCY-UHFFFAOYSA-N	199.681	2.546	30	30	AFEC	
COc1ccccc1[C@H](C)N=C=S	ZINC000009246078	JCGWXUFCZNSNPW-QMMMGPOBSA-N	193.271	2.859	30	30	AFEC	
COc1ccccc1[C@@H](C)N=C=S	ZINC000009246079	JCGWXUFCZNSNPW-MRVPVSSYSA-N	193.271	2.859	30	30	AFEC	
Fc1ccc(CCCN=C=S)cc1	ZINC000009246086	QFQZGJKWXGQSNG-UHFFFAOYSA-N	195.262	2.861	30	30	AFEC	
Fc1ccccc1CCCN=C=S	ZINC000009246087	QOZVSXNNBKYWMB-UHFFFAOYSA-N	195.262	2.861	30	30	AFEC	
Fc1cccc(CCCN=C=S)c1	ZINC000009246088	MZCIULAWSFGKQN-UHFFFAOYSA-N	195.262	2.861	30	30	AFEC	
CC1=CC=CC(C)(C)C/C1=N\O	ZINC000011550434	LFGPYLOMOFFBBU-PKNBQFBNSA-N	165.236	2.749	30	30	AFEC	
Fc1ccc(/N=C\c2ccc[nH]2)cc1	ZINC000012475477	ZEBZFAJDJJCLBF-ZSOIEALJSA-N	188.205	2.904	30	30	AFEC	
CCC/C=N\Nc1ccccc1	ZINC000016892091	TVUBYAHAPNBNKY-LUAWRHEFSA-N	162.236	2.884	30	30	AFEC	
N#CSC/C=C\c1ccccc1	ZINC000017173901	QPISXGBJSKHGGC-DAXSKMNVSA-N	175.256	2.914	30	30	AFEC	
CC(C)(C)C(=O)/C=C\c1ccco1	ZINC000017326010	YPEFKYSIXHJJHH-SREVYHEPSA-N	178.231	2.908	30	30	AFEC	
O/N=C1\CCC\C1=C/c1ccco1	ZINC000018069391	UGOKDRQCTOLNPS-ZDVGBALWSA-N	177.203	2.677	30	30	AFEC	
CC(C)(C)n1ccc(C(=O)CCl)c1	ZINC000020131643	IHJRGVYAONHZRV-UHFFFAOYSA-N	199.681	2.665	30	30	AFEC	
CC(=O)c1ccc(N=C=S)c(F)c1	ZINC000020310707	YRKAJLLWPGHIDD-UHFFFAOYSA-N	195.218	2.763	30	30	AFEC	
C(=N\Nc1ccccc1)\c1cccnc1	ZINC000031666595	NHYWOFCMLOALEI-UVTDQMKNSA-N	197.241	2.528	30	30	AFEC	
C(=N/C1CCCCC1)\N1CCCCC1	ZINC000032161569	UCLFKCLYWPNTGS-ACCUITESSA-N	194.322	2.833	30	30	AFEC	
CC(=O)/C=C\c1cc(F)ccc1F	ZINC000033336958	FSJFTIKWMINGNS-IHWYPQMZSA-N	182.169	2.567	30	30	AFEC	
N#CS/C=C\C(=O)c1ccccc1	ZINC000033388202	JOWGYKSVRDSZSJ-SREVYHEPSA-N	189.239	2.597	30	30	AFEC	
O/N=C1\CCC\C1=C\c1ccco1	ZINC000033487678	UGOKDRQCTOLNPS-QEFCTBRHSA-N	177.203	2.677	30	30	AFEC	
CCC(/C=N/O)=C\c1ccccc1	ZINC000033510823	GTCXUQFIPRBOJE-AXDLQRQNSA-N	175.231	2.940	30	30	AFEC	
CC(C)=NNc1ccccc1C	ZINC000033552590	NFOJFUZCPKANRT-UHFFFAOYSA-N	162.236	2.803	30	30	AFEC	
C=CO/N=C(/C)c1cccs1	ZINC000033677534	JTJBKPLDZQREFH-CLFYSBASSA-N	167.233	2.632	30	30	AFEC	
C=CCO/N=C(/C)c1ccccc1	ZINC000033720336	BIZCVSUSUXOQRA-BENRWUELSA-N	175.231	2.613	30	30	AFEC	
O=C(/C=C\c1ccccc1)c1ccc[nH]1	ZINC000033745823	GLNFFMZPELBRRR-HJWRWDBZSA-N	197.237	2.911	30	30	AFEC	
CC(=C\c1ccccc1)/C=N\O	ZINC000033750085	WHHLYQWWJBGGCZ-BGZVTZOUSA-N	161.204	2.550	30	30	AFEC	
CC(/C=N/O)=C/c1ccccc1	ZINC000033750086	WHHLYQWWJBGGCZ-BYSFRFKNSA-N	161.204	2.550	30	30	AFEC	
C(=N\Nc1ccccc1)\c1ccncc1	ZINC000033772264	FEGGASIYSAGORL-UVTDQMKNSA-N	197.241	2.528	30	30	AFEC	
CC(C)(C)C(=O)/C=C/c1ccncc1	ZINC000033827744	DBVYOBSHXGTDLT-SNAWJCMRSA-N	189.258	2.710	30	30	AFEC	
O=C1CCC[C@H](/C=C/CCCl)C1	ZINC000034562463	OLDNULWAFKKOGG-PWTMJPFMSA-N	186.682	2.931	30	30	AFEC	
O=C1CCC[C@@H](/C=C/CCCl)C1	ZINC000034562464	OLDNULWAFKKOGG-CITMHJQUSA-N	186.682	2.931	30	30	AFEC	
Cn1cc(SC#N)c2ccccc21	ZINC000034562488	YJXBUBLBWMUGPJ-UHFFFAOYSA-N	188.255	2.751	30	30	AFEC	
CCCCC(=O)/C=C\CN(CC)CC	ZINC000034780780	OHOBZWOOJZOGKC-NTMALXAHSA-N	197.322	2.644	30	30	AFEC	
CCC(=O)/C(C)=C\CC(C)C	ZINC000034871071	NPLNWAKQRCZMLA-CLFYSBASSA-N	154.253	2.958	30	30	AFEC	
O=C(/C=C\c1ccco1)c1ccncc1	ZINC000034877110	JPFQNQVOYSQAMH-ARJAWSKDSA-N	199.209	2.571	30	30	AFEC	
CCOc1ccc(/C=C\C(C)=O)cc1	ZINC000035085742	FTVJHMDYEKFKAZ-PLNGDYQASA-N	190.242	2.688	30	30	AFEC	
CC(C)=C1CC[C@@H](C)[C@H](C)C1=O	ZINC000036458806	ZGWZVNJXOIXFSX-BDAKNGLRSA-N	166.264	2.958	30	30	AFEC	
C=C1/C(=N\OC)C[C@@H]2C[C@H]1C2(C)C	ZINC000036502312	UFNUJHYLENNBLC-APMCSWDESA-N	179.263	2.611	30	30	AFEC	
C=C1/C(=N\OC)C[C@H]2C[C@@H]1C2(C)C	ZINC000036502314	UFNUJHYLENNBLC-KYRYUJLMSA-N	179.263	2.611	30	30	AFEC	
C/C=C/C=N/C1CCCCC1	ZINC000038282111	JPFZCSFQPGYDHI-QDWNBNDKSA-N	151.253	2.966	30	30	AFEC	
CC(C)=C1CC[C@@H](C)[C@@H](C)C1=O	ZINC000038582931	ZGWZVNJXOIXFSX-RKDXNWHRSA-N	166.264	2.958	30	30	AFEC	
ClN=C1CCCCC1	ZINC000039213187	XUOGNYNFOFPBKN-UHFFFAOYSA-N	131.606	2.545	30	30	AFEC	
CS[C@@H]1CCCC[C@@H]1Cl	ZINC000039254045	LAKZJNPZPYYJPG-NKWVEPMBSA-N	164.701	2.899	30	30	AFEC	
CS[C@H]1CCCC[C@@H]1Cl	ZINC000039254046	LAKZJNPZPYYJPG-BQBZGAKWSA-N	164.701	2.899	30	30	AFEC	
CS[C@@H]1CCCC[C@H]1Cl	ZINC000039254047	LAKZJNPZPYYJPG-RNFRBKRXSA-N	164.701	2.899	30	30	AFEC	
CS[C@H]1CCCC[C@H]1Cl	ZINC000039254048	LAKZJNPZPYYJPG-RQJHMYQMSA-N	164.701	2.899	30	30	AFEC	
O=C(/C=C/c1ccccc1)c1ncco1	ZINC000044138769	RXICMXQZDIALTJ-VOTSOKGWSA-N	199.209	2.571	30	30	AFEC	
Cc1ccc(/C=C\C(=O)Cl)cc1	ZINC000045009293	ARGVABDJPRRAQI-SREVYHEPSA-N	180.634	2.774	30	30	AFEC	
C[C@H](O)c1ccc(N=C=S)c(F)c1	ZINC000058819703	XKGKLYQFQIBMCR-LURJTMIESA-N	197.234	2.613	30	30	AFEC	
C[C@@H](O)c1ccc(N=C=S)c(F)c1	ZINC000058819704	XKGKLYQFQIBMCR-ZCFIWIBFSA-N	197.234	2.613	30	30	AFEC	
O/N=C(\Cl)C1(Cl)CCCCC1	ZINC000059246226	JUIFMNNVNHGMEF-POHAHGRESA-N	196.077	2.955	30	30	AFEC	
CC1=CCC[C@@H]1CBr	ZINC000066348782	ZMTZMXYUSFEXFK-SSDOTTSWSA-N	175.069	2.738	30	30	AFEC	
CC1=CCC[C@H]1CBr	ZINC000066348787	ZMTZMXYUSFEXFK-ZETCQYMHSA-N	175.069	2.738	30	30	AFEC	
ClCc1cccc(-c2cc[nH]n2)c1	ZINC000071257258	VDSILSBMYZZRJO-UHFFFAOYSA-N	192.649	2.816	30	30	AFEC	
O=C1CCC(=Nc2ccccc2)CC1	ZINC000071261581	HKBWFECZOSFXND-UHFFFAOYSA-N	187.242	2.902	30	30	AFEC	
CC1=CC=C[C@H]2[C@@H]1[C@]2(C)C(=O)Cl	ZINC000072231614	PFELRIZNXOMWKT-QXFUBDJGSA-N	182.650	2.520	30	30	AFEC	
CC1(C)Cc2[nH]ncc2[C@H](Cl)C1	ZINC000072415448	FGIZCFKZAQWPHQ-SSDOTTSWSA-N	184.670	2.662	30	30	AFEC	
CC1(C)Cc2[nH]ncc2[C@@H](Cl)C1	ZINC000072415449	FGIZCFKZAQWPHQ-ZETCQYMHSA-N	184.670	2.662	30	30	AFEC	
CCCc1n[nH]c2c1[C@@H](Cl)CC2	ZINC000072415584	AVWRYKNTQFTABO-LURJTMIESA-N	184.670	2.588	30	30	AFEC	
CCCc1n[nH]c2c1[C@H](Cl)CC2	ZINC000072415585	AVWRYKNTQFTABO-ZCFIWIBFSA-N	184.670	2.588	30	30	AFEC	
Cc1n[nH]c2c1[C@@H](Cl)C[C@@H](C)C2	ZINC000072415878	QSBHIPAMIRRMRN-VDTYLAMSSA-N	184.670	2.580	30	30	AFEC	
Cc1n[nH]c2c1[C@@H](Cl)C[C@H](C)C2	ZINC000072415879	QSBHIPAMIRRMRN-FSPLSTOPSA-N	184.670	2.580	30	30	AFEC	
Cc1n[nH]c2c1[C@H](Cl)C[C@@H](C)C2	ZINC000072415880	QSBHIPAMIRRMRN-IYSWYEEDSA-N	184.670	2.580	30	30	AFEC	
Cc1n[nH]c2c1[C@H](Cl)C[C@H](C)C2	ZINC000072415881	QSBHIPAMIRRMRN-CAHLUQPWSA-N	184.670	2.580	30	30	AFEC	
Cc1n[nH]c2c1[C@@H](Cl)CC(C)(C)C2	ZINC000072415882	WTWYXEGDEXGZAC-ZETCQYMHSA-N	198.697	2.970	30	30	AFEC	
Cc1n[nH]c2c1[C@H](Cl)CC(C)(C)C2	ZINC000072415883	WTWYXEGDEXGZAC-SSDOTTSWSA-N	198.697	2.970	30	30	AFEC	
Cc1nn(C)c2c1[C@@H](Cl)C[C@@H](C)C2	ZINC000072415922	BTPXPRGCMVGQIW-SVRRBLITSA-N	198.697	2.591	30	30	AFEC	
Cc1nn(C)c2c1[C@@H](Cl)C[C@H](C)C2	ZINC000072415923	BTPXPRGCMVGQIW-XPUUQOCRSA-N	198.697	2.591	30	30	AFEC	
Cc1nn(C)c2c1[C@H](Cl)C[C@@H](C)C2	ZINC000072415924	BTPXPRGCMVGQIW-HTRCEHHLSA-N	198.697	2.591	30	30	AFEC	
Cc1nn(C)c2c1[C@H](Cl)C[C@H](C)C2	ZINC000072415925	BTPXPRGCMVGQIW-POYBYMJQSA-N	198.697	2.591	30	30	AFEC	
ClC1CCN(c2ccccc2)CC1	ZINC000079375151	DYYMAKHITUWKNQ-UHFFFAOYSA-N	195.693	2.894	30	30	AFEC	
N#C/C(=C/c1ccco1)c1ccccn1	ZINC000096021639	LKJHJTICKWIBSZ-NTMALXAHSA-N	196.209	2.739	30	30	AFEC	
O/N=C1/CCC/C1=C\c1ccco1	ZINC000096901199	UGOKDRQCTOLNPS-LFOHPMNASA-N	177.203	2.677	30	30	AFEC	
Cc1cc(Cl)ccc1/N=C\N(C)C	ZINC000100375309	STUSTWKEFDQFFZ-GHXNOFRVSA-N	196.681	2.870	30	30	AFEC	
Oc1ccccc1/N=C\c1cccnc1	ZINC000100521878	PGNIDFJAISFYHG-ZROIWOOFSA-N	198.225	2.538	30	30	AFEC	
