smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C=CC[C@@H]1CC[C@@H](Cl)C1	ZINC000070783079	OGHAZXDXPYYXGA-HTQZYQBOSA-N	144.645	2.970	30	20	AFED	
C=CC[C@H]1CC[C@@H](Cl)C1	ZINC000070783081	OGHAZXDXPYYXGA-JGVFFNPUSA-N	144.645	2.970	30	20	AFED	
Cl[C@H]1CC[C@@H](C2CC2)C1	ZINC000070783084	SXSLCDWMBZPODD-SFYZADRCSA-N	144.645	2.804	30	20	AFED	
Cl[C@H]1CC[C@H](C2CC2)C1	ZINC000070783085	SXSLCDWMBZPODD-YUMQZZPRSA-N	144.645	2.804	30	20	AFED	
Cl[C@@H]1CC[C@@H](C2CC2)C1	ZINC000070783089	SXSLCDWMBZPODD-HTQZYQBOSA-N	144.645	2.804	30	20	AFED	
Cl[C@@H]1CC[C@H](C2CC2)C1	ZINC000070783093	SXSLCDWMBZPODD-JGVFFNPUSA-N	144.645	2.804	30	20	AFED	
Cl[C@H]1CC[C@@H](c2cccnc2)C1	ZINC000070783096	LXWZHSOBAQDWOK-SCZZXKLOSA-N	181.666	2.957	30	20	AFED	
Cl[C@H]1CC[C@H](c2cccnc2)C1	ZINC000070783100	LXWZHSOBAQDWOK-WPRPVWTQSA-N	181.666	2.957	30	20	AFED	
Cl[C@@H]1CC[C@@H](c2cccnc2)C1	ZINC000070783102	LXWZHSOBAQDWOK-PSASIEDQSA-N	181.666	2.957	30	20	AFED	
Cl[C@@H]1CC[C@H](c2cccnc2)C1	ZINC000070783105	LXWZHSOBAQDWOK-WCBMZHEXSA-N	181.666	2.957	30	20	AFED	
CCn1cc([C@@H]2CC[C@H](Cl)C2)cn1	ZINC000070783759	DDSMQDFAHSKKFY-SCZZXKLOSA-N	198.697	2.778	30	20	AFED	
CCn1cc([C@H]2CC[C@H](Cl)C2)cn1	ZINC000070783761	DDSMQDFAHSKKFY-WPRPVWTQSA-N	198.697	2.778	30	20	AFED	
CCn1cc([C@@H]2CC[C@@H](Cl)C2)cn1	ZINC000070783764	DDSMQDFAHSKKFY-PSASIEDQSA-N	198.697	2.778	30	20	AFED	
CCn1cc([C@H]2CC[C@@H](Cl)C2)cn1	ZINC000070783769	DDSMQDFAHSKKFY-WCBMZHEXSA-N	198.697	2.778	30	20	AFED	
C#CC[C@@H]1CCC[C@H](Cl)C1	ZINC000070784159	NQWWXCVBZOIWJY-BDAKNGLRSA-N	156.656	2.807	30	20	AFED	
C#CC[C@H]1CCC[C@H](Cl)C1	ZINC000070784161	NQWWXCVBZOIWJY-IUCAKERBSA-N	156.656	2.807	30	20	AFED	
C#CC[C@@H]1CCC[C@@H](Cl)C1	ZINC000070784166	NQWWXCVBZOIWJY-RKDXNWHRSA-N	156.656	2.807	30	20	AFED	
C#CC[C@H]1CCC[C@@H](Cl)C1	ZINC000070784170	NQWWXCVBZOIWJY-DTWKUNHWSA-N	156.656	2.807	30	20	AFED	
Cl[C@H]1CCC[C@@H](c2cncnc2)C1	ZINC000070784346	VSUGRUMCLXMNFF-SCZZXKLOSA-N	196.681	2.742	30	20	AFED	
Cl[C@H]1CCC[C@H](c2cncnc2)C1	ZINC000070784348	VSUGRUMCLXMNFF-WPRPVWTQSA-N	196.681	2.742	30	20	AFED	
Cl[C@@H]1CCC[C@@H](c2cncnc2)C1	ZINC000070784349	VSUGRUMCLXMNFF-PSASIEDQSA-N	196.681	2.742	30	20	AFED	
Cl[C@@H]1CCC[C@H](c2cncnc2)C1	ZINC000070784351	VSUGRUMCLXMNFF-WCBMZHEXSA-N	196.681	2.742	30	20	AFED	
Cn1nccc1[C@@H]1CCC[C@H](Cl)C1	ZINC000070784513	GJGGZTSDEOZHRH-BDAKNGLRSA-N	198.697	2.685	30	20	AFED	
Cn1nccc1[C@H]1CCC[C@H](Cl)C1	ZINC000070784519	GJGGZTSDEOZHRH-IUCAKERBSA-N	198.697	2.685	30	20	AFED	
Cn1nccc1[C@@H]1CCC[C@@H](Cl)C1	ZINC000070784523	GJGGZTSDEOZHRH-RKDXNWHRSA-N	198.697	2.685	30	20	AFED	
Cn1nccc1[C@H]1CCC[C@@H](Cl)C1	ZINC000070784526	GJGGZTSDEOZHRH-DTWKUNHWSA-N	198.697	2.685	30	20	AFED	
Cl[C@@H]1CCC[C@H]([C@@H]2CCOC2)C1	ZINC000070784549	QAVCNWYSJSRMNQ-IVZWLZJFSA-N	188.698	2.821	30	20	AFED	
Cl[C@@H]1CCC[C@@H]([C@@H]2CCOC2)C1	ZINC000070784555	QAVCNWYSJSRMNQ-OPRDCNLKSA-N	188.698	2.821	30	20	AFED	
Cl[C@H]1CCC[C@H]([C@@H]2CCOC2)C1	ZINC000070784558	QAVCNWYSJSRMNQ-AEJSXWLSSA-N	188.698	2.821	30	20	AFED	
Cl[C@H]1CCC[C@@H]([C@@H]2CCOC2)C1	ZINC000070784566	QAVCNWYSJSRMNQ-BBBLOLIVSA-N	188.698	2.821	30	20	AFED	
Cn1cc([C@@H]2CCC[C@H](Cl)C2)cn1	ZINC000070784606	CZOQLKLYEMXQPZ-SCZZXKLOSA-N	198.697	2.685	30	20	AFED	
Cn1cc([C@H]2CCC[C@H](Cl)C2)cn1	ZINC000070784609	CZOQLKLYEMXQPZ-WPRPVWTQSA-N	198.697	2.685	30	20	AFED	
Cn1cc([C@@H]2CCC[C@@H](Cl)C2)cn1	ZINC000070784611	CZOQLKLYEMXQPZ-PSASIEDQSA-N	198.697	2.685	30	20	AFED	
Cn1cc([C@H]2CCC[C@@H](Cl)C2)cn1	ZINC000070784614	CZOQLKLYEMXQPZ-WCBMZHEXSA-N	198.697	2.685	30	20	AFED	
Cn1ccnc1[C@@H]1CCC[C@H](Cl)C1	ZINC000070784962	MKCLLIANZJIIGI-BDAKNGLRSA-N	198.697	2.685	30	20	AFED	
Cn1ccnc1[C@H]1CCC[C@H](Cl)C1	ZINC000070784965	MKCLLIANZJIIGI-IUCAKERBSA-N	198.697	2.685	30	20	AFED	
Cn1ccnc1[C@@H]1CCC[C@@H](Cl)C1	ZINC000070784967	MKCLLIANZJIIGI-RKDXNWHRSA-N	198.697	2.685	30	20	AFED	
Cn1ccnc1[C@H]1CCC[C@@H](Cl)C1	ZINC000070784969	MKCLLIANZJIIGI-DTWKUNHWSA-N	198.697	2.685	30	20	AFED	
Cl[C@H]1CCC[C@@H](c2cnccn2)C1	ZINC000070786259	BPTBANZGJSSZBH-BDAKNGLRSA-N	196.681	2.742	30	20	AFED	
Cl[C@H]1CCC[C@H](c2cnccn2)C1	ZINC000070786266	BPTBANZGJSSZBH-IUCAKERBSA-N	196.681	2.742	30	20	AFED	
Cl[C@@H]1CCC[C@@H](c2cnccn2)C1	ZINC000070786269	BPTBANZGJSSZBH-RKDXNWHRSA-N	196.681	2.742	30	20	AFED	
