smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC[C@](C)(C=O)c1ccc(OC)cc1	ZINC000238275939	BUDCNOLHYWZLMG-GFCCVEGCSA-N	192.258	2.562	30	10	AFEE	
CC[C@](C)(C=O)c1cccc(OC)c1	ZINC000238275958	XEYIBQHASRISKK-GFCCVEGCSA-N	192.258	2.562	30	10	AFEE	
CC[C@H](Cl)[C@@H](C)Br	ZINC000238275987	RJBILTPBBVLZQT-UHNVWZDZSA-N	185.492	2.787	30	10	AFEE	
CCC[C@@H]1C[C@H]2C[C@@H]1[C@@H](Cl)C2=O	ZINC000238276024	BBUGAHCEUKRKIL-RYPBNFRJSA-N	186.682	2.619	30	10	AFEE	
CCC(=O)[C@H](C)[C@@H](Cl)CC	ZINC000238276046	SKPRJVOKKYWOCV-RQJHMYQMSA-N	162.660	2.619	30	10	AFEE	
CCCc1cc(CCl)ccn1	ZINC000238276107	WEEXLZDLGNQBQH-UHFFFAOYSA-N	169.655	2.773	30	10	AFEE	
C=C[C@H](C)[C@@H](Cl)CC	ZINC000238276121	WBXYWMQJLOIBSJ-BQBZGAKWSA-N	132.634	2.826	30	10	AFEE	
C=C(C)C[C@](C)(C=O)CC	ZINC000238276131	ZCBWFWYWNUCTJV-SECBINFHSA-N	140.226	2.568	30	10	AFEE	
CCCc1cc(CCl)cnc1OC	ZINC000238276146	ADKMKAMFTPKFNN-UHFFFAOYSA-N	199.681	2.782	30	10	AFEE	
CCO[C@@](C)(CC)CBr	ZINC000238276258	YPELJDBOJDGBJV-ZETCQYMHSA-N	195.100	2.587	30	10	AFEE	
CCSC(=O)OC(Cl)Cl	ZINC000238276280	QBQKYLMUONFJTB-UHFFFAOYSA-N	189.063	2.637	30	10	AFEE	
CC[C@@H]([C@@H](Cl)C=O)[C@@H](Cl)CC	ZINC000238276287	QUTNKMWNLZGOAO-CSMHCCOUSA-N	197.105	2.836	30	10	AFEE	
CC[C@@H]([C@@H](Cl)CO)[C@@H](Cl)CC	ZINC000238276303	BLIXBYVANJOXEF-CSMHCCOUSA-N	199.121	2.630	30	10	AFEE	
CCO[C@@](C)(CC=O)c1ccccc1	ZINC000238276354	GEPBLKLCHWHZSS-LBPRGKRZSA-N	192.258	2.527	30	10	AFEE	
CC[C@](C)(CC=O)c1ccccc1	ZINC000238276561	AUJWJNKONBOIFQ-GFCCVEGCSA-N	176.259	2.943	30	10	AFEE	
CCc1nc(CC)c(CCl)o1	ZINC000238276571	CDKNFCKSISSOBS-UHFFFAOYSA-N	173.643	2.538	30	10	AFEE	
CC[C@H](Cl)[C@@H](O)C[Si](C)(C)C	ZINC000238276607	WCSZTZUFKCPFQB-YUMQZZPRSA-N	194.778	2.703	30	10	AFEE	
CC[C@@]1(CCCC=O)CCCCC1=O	ZINC000238276621	DOMSHRNOGRUWPR-LBPRGKRZSA-N	196.290	2.895	30	10	AFEE	
CC[C@H](Cl)[C@@H](O)c1ccccc1	ZINC000238276711	RPCZCXQWMGEKHV-UWVGGRQHSA-N	184.666	2.737	30	10	AFEE	
CCC[C@H]1CC[C@H](C=O)CC1	ZINC000238276730	OZKLOXFZSOVSRA-AOOOYVTPSA-N	154.253	2.792	30	10	AFEE	
CC[C@H](C)[C@@]1(C)C=CC(=O)CC1	ZINC000238276803	WEXJKZKPJMMIOR-ONGXEEELSA-N	166.264	2.958	30	10	AFEE	
CC[C@H]1O[C@@H](CCl)CC=C1C	ZINC000238276891	CPHIAOLXFCDDLL-RKDXNWHRSA-N	174.671	2.739	30	10	AFEE	
