smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
COc1c(C)c(C)ccc1/C(C)=N/O	ZINC000000025892	OQLABCLRSFWGMT-FMIVXFBMSA-N	193.246	2.510	30	1	AFEF	
Oc1ccc(/N=C/c2ccncc2)cc1	ZINC000000570775	QYVNJDMBLPNKES-NTEUORMPSA-N	198.225	2.538	30	1	AFEF	
Br[C@H]1[C@@H]2CC[C@H]1C=CC2	ZINC000001555918	GZWPLRALUWXAQG-GJMOJQLCSA-N	187.080	2.736	30	1	AFEF	
CC(C)(C)[C@H]1CC[C@@H](Cl)[C@H](O)C1	ZINC000001555928	DOYGPCICIHCGMR-DJLDLDEBSA-N	190.714	2.801	30	1	AFEF	
CC(C)(C)[C@H]1CC[C@@H](O)[C@H](Cl)C1	ZINC000001555936	CPTQPCYYWOOTCJ-DJLDLDEBSA-N	190.714	2.801	30	1	AFEF	
CCCS[C@H](CC=O)CCC	ZINC000001557086	WDEXRIXHNCOZSV-VIFPVBQESA-N	174.309	2.887	30	1	AFEF	
CC/C(C)=C(/C#N)NC(C)(C)C	ZINC000001568225	GFWCUNAGBLGCTM-HJWRWDBZSA-N	166.268	2.582	30	1	AFEF	
C/C=C/C(=O)Sc1ccccc1	ZINC000001569313	XOCQIEJSAMMAGL-QHHAFSJGSA-N	178.256	2.881	30	1	AFEF	
ClCCN1CSc2ccccc21	ZINC000001569481	SZGFCZBIFGKMFQ-UHFFFAOYSA-N	199.706	2.795	30	1	AFEF	
CC(C)(C)C(=O)SCCCl	ZINC000001578784	KHSCGAMWLYTVNP-UHFFFAOYSA-N	180.700	2.531	30	1	AFEF	
CC(C)(O)[C@H]1CCCC[C@H]1Cl	ZINC000001579194	OECOJXGSPNBYAY-JGVFFNPUSA-N	176.687	2.555	30	1	AFEF	
CC(C)(O)[C@@H]1CCCC[C@H]1Cl	ZINC000001579195	OECOJXGSPNBYAY-HTQZYQBOSA-N	176.687	2.555	30	1	AFEF	
CC(C)(O)[C@H]1CCCC[C@@H]1Cl	ZINC000001579196	OECOJXGSPNBYAY-YUMQZZPRSA-N	176.687	2.555	30	1	AFEF	
CC(C)(O)[C@@H]1CCCC[C@@H]1Cl	ZINC000001579197	OECOJXGSPNBYAY-SFYZADRCSA-N	176.687	2.555	30	1	AFEF	
