smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CCC[C@@H](C)CC[C@@H](N)CCC	ZINC000051321866	XFCMSKAZEZTJGB-MNOVXSKESA-N	171.328	3.330	0	50	AGAA	
CCC[C@H](C)CC[C@@H](N)CCC	ZINC000051321868	XFCMSKAZEZTJGB-QWRGUYRKSA-N	171.328	3.330	0	50	AGAA	
C(CC1CCNCC1)C1CCCCC1	ZINC000051690004	OKKFUFHNPJPJCK-UHFFFAOYSA-N	195.350	3.347	0	50	AGAA	
CCC(CC)CCC1CCNCC1	ZINC000051690335	LGOXRIXXEOIFRQ-UHFFFAOYSA-N	183.339	3.202	0	50	AGAA	
CCC(CC)CC[C@@H]1CCCCN1	ZINC000051690341	OAFPXEUWGXMQBT-LBPRGKRZSA-N	183.339	3.345	0	50	AGAA	
CCC(CC)CC[C@H]1CCCCN1	ZINC000051690342	OAFPXEUWGXMQBT-GFCCVEGCSA-N	183.339	3.345	0	50	AGAA	
CCc1ccc([C@H](N)C2CCCC2)o1	ZINC000051726660	UPMSEULMPKRCTD-GFCCVEGCSA-N	193.290	3.032	0	50	AGAA	
CCc1ccc([C@@H](N)C2CCCC2)o1	ZINC000051726662	UPMSEULMPKRCTD-LBPRGKRZSA-N	193.290	3.032	0	50	AGAA	
CCc1ccc(-c2ccccc2N)o1	ZINC000051728372	IHFRIVWCJHZHRT-UHFFFAOYSA-N	187.242	3.091	0	50	AGAA	
CCc1ccc(-c2cccc(N)c2)o1	ZINC000051728385	IVZGHXWGMFBHMQ-UHFFFAOYSA-N	187.242	3.091	0	50	AGAA	
CCc1ccc(-c2ccc(N)cc2)o1	ZINC000051728410	NWQZEIMKLIMLRK-UHFFFAOYSA-N	187.242	3.091	0	50	AGAA	
C=C(C)CN[C@@H](CC)c1ccccc1	ZINC000051753682	BROXBRRMDRNDCI-ZDUSSCGKSA-N	189.302	3.303	0	50	AGAA	
C=C(C)CN[C@H](CC)c1ccccc1	ZINC000051753683	BROXBRRMDRNDCI-CYBMUJFWSA-N	189.302	3.303	0	50	AGAA	
Cc1cccnc1CNc1ccccc1	ZINC000051794297	YWBCOZBCQBXRKQ-UHFFFAOYSA-N	198.269	3.002	0	50	AGAA	
CCCCCCCC/C=C\CO	ZINC000051943835	SKBIQKQBLQHOSU-KTKRTIGZSA-N	170.296	3.286	0	50	AGAA	
Brc1ccccc1C1CC1	ZINC000051951726	DTUGHJZKCKSVEO-UHFFFAOYSA-N	197.075	3.327	0	50	AGAA	
CC1(C)NCCC12CCCCCC2	ZINC000051957181	ZCDYYMOLNRZCPO-UHFFFAOYSA-N	181.323	3.099	0	50	AGAA	
Cc1cc(Cl)cc2cc(C#N)oc21	ZINC000052068812	GWBIXHNWEKLUIO-UHFFFAOYSA-N	191.617	3.266	0	50	AGAA	
CC(C)c1ccc2oc(CN)cc2c1	ZINC000052068933	FZLOEKRYXGTUGZ-UHFFFAOYSA-N	189.258	3.015	0	50	AGAA	
C[C@H]1NCCc2c3ccccc3ccc21	ZINC000052095379	YHIZCMHTVCZKQY-SNVBAGLBSA-N	197.281	3.047	0	50	AGAA	
C[C@@H]1NCCc2c3ccccc3ccc21	ZINC000052095380	YHIZCMHTVCZKQY-JTQLQIEISA-N	197.281	3.047	0	50	AGAA	
CCC(CC)Nc1cc(F)ccc1N	ZINC000052119063	WTZBGXIYYPZVMS-UHFFFAOYSA-N	196.269	3.008	0	50	AGAA	
CCC[C@@H](C)Nc1cc(F)ccc1N	ZINC000052119116	UBBWDDILERFUJF-MRVPVSSYSA-N	196.269	3.008	0	50	AGAA	
CCC[C@H](C)Nc1cc(F)ccc1N	ZINC000052119118	UBBWDDILERFUJF-QMMMGPOBSA-N	196.269	3.008	0	50	AGAA	
CCC(C)(C)Nc1cc(F)ccc1N	ZINC000052119423	TXEGADWDHVJLJR-UHFFFAOYSA-N	196.269	3.008	0	50	AGAA	
CC(C)(C)Sc1cc(F)ccc1N	ZINC000052122412	NQHIXVDOHCAKSJ-UHFFFAOYSA-N	199.294	3.299	0	50	AGAA	
CCN[C@@H](CC)c1cc(F)ccc1C	ZINC000052139741	HGLXESRQENBHPZ-LBPRGKRZSA-N	195.281	3.195	0	50	AGAA	
CCN[C@H](CC)c1cc(F)ccc1C	ZINC000052139745	HGLXESRQENBHPZ-GFCCVEGCSA-N	195.281	3.195	0	50	AGAA	
C=C[C@H](C)Sc1ccc(N)cc1F	ZINC000052142542	KJWYYPRFUOIYOO-ZETCQYMHSA-N	197.278	3.075	0	50	AGAA	
C=C[C@@H](C)Sc1ccc(N)cc1F	ZINC000052142545	KJWYYPRFUOIYOO-SSDOTTSWSA-N	197.278	3.075	0	50	AGAA	
C=C[C@H](C)Sc1ccc(F)cc1N	ZINC000052142546	ZZAPARBLGFHHRL-ZETCQYMHSA-N	197.278	3.075	0	50	AGAA	
C=C[C@@H](C)Sc1ccc(F)cc1N	ZINC000052142548	ZZAPARBLGFHHRL-SSDOTTSWSA-N	197.278	3.075	0	50	AGAA	
Cc1cc(CNC2CCC2)c(C)s1	ZINC000052208971	ORFLLFRFHWXXCP-UHFFFAOYSA-N	195.331	3.007	0	50	AGAA	
CN[C@H](c1ccsc1)C(C)(C)C	ZINC000052231970	YTKKGLLLRBNFGX-SECBINFHSA-N	183.320	3.055	0	50	AGAA	
CN[C@@H](c1ccsc1)C(C)(C)C	ZINC000052231973	YTKKGLLLRBNFGX-VIFPVBQESA-N	183.320	3.055	0	50	AGAA	
CCN[C@@H](c1ccsc1)C(C)(C)C	ZINC000052231974	UREPJXBGLREFEZ-JTQLQIEISA-N	197.347	3.445	0	50	AGAA	
CCN[C@H](c1ccsc1)C(C)(C)C	ZINC000052231977	UREPJXBGLREFEZ-SNVBAGLBSA-N	197.347	3.445	0	50	AGAA	
C=C(C)CN[C@@H](C)C1CCCCC1	ZINC000052336874	KJZMSBVNTKXBME-NSHDSACASA-N	181.323	3.121	0	50	AGAA	
C=C(C)CN[C@H](C)C1CCCCC1	ZINC000052336877	KJZMSBVNTKXBME-LLVKDONJSA-N	181.323	3.121	0	50	AGAA	
OCc1cc2cc(Cl)ccc2s1	ZINC000052507724	FCOZSABHIQGAHY-UHFFFAOYSA-N	198.674	3.047	0	50	AGAA	
O=Cc1cc2cc(Cl)ccc2s1	ZINC000052507727	ZKNZDTHWZYRQIH-UHFFFAOYSA-N	196.658	3.367	0	50	AGAA	
N#Cc1cc2cc(Cl)ccc2s1	ZINC000052507871	LEIZUMNQYDLPMJ-UHFFFAOYSA-N	193.658	3.426	0	50	AGAA	
CCCNc1ccc(Cl)cc1C#N	ZINC000052856653	UARKHQYXIYSOLG-UHFFFAOYSA-N	194.665	3.034	0	50	AGAA	
CC(C)Nc1ccc(Cl)cc1C#N	ZINC000052856658	DBZGCSSJKARRSA-UHFFFAOYSA-N	194.665	3.032	0	50	AGAA	
CCCN[C@@H](CC)c1ccccc1F	ZINC000052898048	DCKGWZQNLYXFAP-LBPRGKRZSA-N	195.281	3.276	0	50	AGAA	
CCCN[C@H](CC)c1ccccc1F	ZINC000052898050	DCKGWZQNLYXFAP-GFCCVEGCSA-N	195.281	3.276	0	50	AGAA	
CC(C)CC[C@H](N)c1ccccc1F	ZINC000052898233	GZAYIUATFJQBKR-LBPRGKRZSA-N	195.281	3.262	0	50	AGAA	
CC(C)CC[C@@H](N)c1ccccc1F	ZINC000052898235	GZAYIUATFJQBKR-GFCCVEGCSA-N	195.281	3.262	0	50	AGAA	
N#CC1(c2cccs2)CCCC1	ZINC000052901748	MAQLQBVPHNMFPQ-UHFFFAOYSA-N	177.272	3.083	0	50	AGAA	
CCCC[C@@H](CC)CCCNC	ZINC000052948980	NNFOFJTWZPEMHP-LLVKDONJSA-N	171.328	3.202	0	50	AGAA	
CCCC[C@H](CC)CCCNC	ZINC000052948982	NNFOFJTWZPEMHP-NSHDSACASA-N	171.328	3.202	0	50	AGAA	
CCCNCCCCC(C)(C)C	ZINC000052949242	DVULIYQSXYCMRU-UHFFFAOYSA-N	171.328	3.202	0	50	AGAA	
CCC[C@@H](C)CCCNC(C)C	ZINC000052949298	QKVGBJRVKSGVOE-LLVKDONJSA-N	171.328	3.201	0	50	AGAA	
CCC[C@H](C)CCCNC(C)C	ZINC000052949300	QKVGBJRVKSGVOE-NSHDSACASA-N	171.328	3.201	0	50	AGAA	
CC(C)CCCCNCC(C)C	ZINC000052949566	PTKCKXXXLCFZFT-UHFFFAOYSA-N	171.328	3.058	0	50	AGAA	
CC[C@@H](C)CCCNCC(C)C	ZINC000052949609	FLTOMFBIUJXUDS-LLVKDONJSA-N	171.328	3.058	0	50	AGAA	
CC[C@H](C)CCCNCC(C)C	ZINC000052949611	FLTOMFBIUJXUDS-NSHDSACASA-N	171.328	3.058	0	50	AGAA	
CC(C)CNCCCCC(C)(C)C	ZINC000052949646	DYIVCMOVDPKSQV-UHFFFAOYSA-N	185.355	3.448	0	50	AGAA	
CCNCC(CC(C)C)CC(C)C	ZINC000052967915	WTABZYAUECYUEU-UHFFFAOYSA-N	185.355	3.304	0	50	AGAA	
CC(=O)CCc1c(C)cc(C)cc1C	ZINC000053300325	JCKUGPUAHRBNRY-UHFFFAOYSA-N	190.286	3.133	0	50	AGAA	
Cc1cc(C)c(CCC#N)c(C)c1	ZINC000053301632	DLSLPHKCRAOIEC-UHFFFAOYSA-N	173.259	3.068	0	50	AGAA	
CCCc1ccc2oc(=S)[nH]c2c1	ZINC000053333131	IGLDLHKBXORODP-UHFFFAOYSA-N	193.271	3.443	0	50	AGAA	
N[C@@H](c1ccco1)C1CCCCCC1	ZINC000053714400	MFQFZRBTWSWHIF-GFCCVEGCSA-N	193.290	3.250	0	50	AGAA	
N[C@H](c1ccco1)C1CCCCCC1	ZINC000053714402	MFQFZRBTWSWHIF-LBPRGKRZSA-N	193.290	3.250	0	50	AGAA	
CCC(C)(C)Nc1cc(N)ccc1C	ZINC000053734644	SILMQSFVPHIYKS-UHFFFAOYSA-N	192.306	3.178	0	50	AGAA	
Cc1ccc(N)cc1NCC(C)(C)C	ZINC000053735156	CRHYXSHJAGTBEG-UHFFFAOYSA-N	192.306	3.035	0	50	AGAA	
Cc1ccc(N)cc1SC(C)C	ZINC000053735714	RMAFXOYGDVTGAZ-UHFFFAOYSA-N	181.304	3.078	0	50	AGAA	
CC(C)(C)CCC1(N)CCCC1	ZINC000053752976	ZRJMEHWKGCNIKD-UHFFFAOYSA-N	169.312	3.084	0	50	AGAA	
CC[C@@H](C)[C@](C)(N)Cc1cccs1	ZINC000053760002	GFZYRYHRHNUVIJ-MWLCHTKSSA-N	197.347	3.054	0	50	AGAA	
CC[C@H](C)[C@](C)(N)Cc1cccs1	ZINC000053760006	GFZYRYHRHNUVIJ-GXSJLCMTSA-N	197.347	3.054	0	50	AGAA	
CC[C@@H](C)[C@@](C)(N)Cc1cccs1	ZINC000053760011	GFZYRYHRHNUVIJ-KOLCDFICSA-N	197.347	3.054	0	50	AGAA	
CC[C@H](C)[C@@](C)(N)Cc1cccs1	ZINC000053760014	GFZYRYHRHNUVIJ-ONGXEEELSA-N	197.347	3.054	0	50	AGAA	
CC[C@@H](C)[C@](C)(N)Cc1ccsc1	ZINC000053760199	XDVRSYNDFHDGHW-MWLCHTKSSA-N	197.347	3.054	0	50	AGAA	
CC[C@H](C)[C@](C)(N)Cc1ccsc1	ZINC000053760202	XDVRSYNDFHDGHW-GXSJLCMTSA-N	197.347	3.054	0	50	AGAA	
CC[C@@H](C)[C@@](C)(N)Cc1ccsc1	ZINC000053760205	XDVRSYNDFHDGHW-KOLCDFICSA-N	197.347	3.054	0	50	AGAA	
CC[C@H](C)[C@@](C)(N)Cc1ccsc1	ZINC000053760209	XDVRSYNDFHDGHW-ONGXEEELSA-N	197.347	3.054	0	50	AGAA	
CC[C@@](N)(Cc1cccs1)C(C)C	ZINC000053760554	KBAYLELVQOXTQF-LLVKDONJSA-N	197.347	3.054	0	50	AGAA	
CC[C@](N)(Cc1cccs1)C(C)C	ZINC000053760557	KBAYLELVQOXTQF-NSHDSACASA-N	197.347	3.054	0	50	AGAA	
CC[C@@](N)(Cc1ccsc1)C(C)C	ZINC000053760654	JRWYNRUFARLPIK-LLVKDONJSA-N	197.347	3.054	0	50	AGAA	
CC[C@](N)(Cc1ccsc1)C(C)C	ZINC000053760657	JRWYNRUFARLPIK-NSHDSACASA-N	197.347	3.054	0	50	AGAA	
CCC(=O)Cc1ccc(C(C)C)cc1	ZINC000053765681	BQHMGETZXDRDGF-UHFFFAOYSA-N	190.286	3.332	0	50	AGAA	
