smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC(C)N[C@@H](c1ccccc1)C1CC1	ZINC000035055326	LKCSRSWMEZGOSQ-ZDUSSCGKSA-N	189.302	3.136	0	40	AGAB	
CC(C)N[C@H](c1ccccc1)C1CC1	ZINC000035055327	LKCSRSWMEZGOSQ-CYBMUJFWSA-N	189.302	3.136	0	40	AGAB	
c1ccc2[nH]c(C3CCCC3)nc2c1	ZINC000035165580	JIHVGOLTABHOBF-UHFFFAOYSA-N	186.258	3.221	0	40	AGAB	
CCCCSc1ccc(C#N)cc1	ZINC000035175361	FFWRBESWIAGQMC-UHFFFAOYSA-N	191.299	3.450	0	40	AGAB	
Cc1cc(Nc2ccccc2)ccc1N	ZINC000035277868	SEPAAUHJOLVDDT-UHFFFAOYSA-N	198.269	3.321	0	40	AGAB	
CC(C)[C@H]1CC[C@H](C)C[C@H]1C#N	ZINC000035606065	AWVUYKHSNNYPOX-GARJFASQSA-N	165.280	3.218	0	40	AGAB	
CCCc1ccnc(-c2ccccn2)c1	ZINC000035822691	BOKUNGNYSXLIJH-UHFFFAOYSA-N	198.269	3.096	0	40	AGAB	
CC[C@@H](C)c1cnc(C(C)C)cn1	ZINC000035881951	YKOVLVGOQIHYJS-SECBINFHSA-N	178.279	3.114	0	40	AGAB	biogenic,in-vitro
CC[C@H](C)c1cnc(C(C)C)cn1	ZINC000035881953	YKOVLVGOQIHYJS-VIFPVBQESA-N	178.279	3.114	0	40	AGAB	biogenic,in-vitro
Fc1ccc(-c2ccco2)cc1	ZINC000035940015	APBVLJUMOAPYFA-UHFFFAOYSA-N	162.163	3.086	0	40	AGAB	
c1coc(-c2ccc3ccccc3n2)c1	ZINC000035940127	TUDZVSAQKLCUOT-UHFFFAOYSA-N	195.221	3.495	0	40	AGAB	
CC1(O)CCC(c2ccccc2)CC1	ZINC000036372745	TUIFOAUPMVTQPS-UHFFFAOYSA-N	190.286	3.095	0	40	AGAB	
Cc1cc(C)c(C)c2c1CC(C)(C)O2	ZINC000036404666	YTVLAWLRJVKWCF-UHFFFAOYSA-N	190.286	3.325	0	40	AGAB	
Fc1ccoc1-c1ccccc1	ZINC000036419834	WNMJWMDCRLDXQS-UHFFFAOYSA-N	162.163	3.086	0	40	AGAB	
C=CC1(O)CCC(C(C)(C)C)CC1	ZINC000036420143	MRQOFONRJWNYSR-UHFFFAOYSA-N	182.307	3.140	0	40	AGAB	
CN(C)c1ccc(-c2ccco2)cc1	ZINC000036437082	WAYYNBUKWMFGLX-UHFFFAOYSA-N	187.242	3.013	0	40	AGAB	
CCCC(=O)c1ccc2[nH]ccc2c1	ZINC000036437083	FQVKDBWVYSPSME-UHFFFAOYSA-N	187.242	3.151	0	40	AGAB	
c1ccc2c(c1)sc1ncccc21	ZINC000036438292	XDGTWWIUDGYOPC-UHFFFAOYSA-N	185.251	3.450	0	40	AGAB	
CCc1ccc2cc(OC)ccc2c1	ZINC000036438308	HTNFZFBCAOZBRK-UHFFFAOYSA-N	186.254	3.411	0	40	AGAB	
Cc1cccc(C2=N[C@@H]3CCC[C@@H]3C2)c1	ZINC000036438591	XHNKEQQRKPEIHF-CHWSQXEVSA-N	199.297	3.357	0	40	AGAB	
