smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
Cc1ccc2c(c1)[nH]c1cc(C#N)oc12	ZINC000001431315	VRKYNVVHQPCEAF-UHFFFAOYSA-N	196.209	3.094	0	30	AGAC	
CC(=O)O/C=C1/C(C)=CCCC1(C)C	ZINC000001481040	VUUTWRQEWRXJAS-FLIBITNWSA-N	194.274	3.200	0	30	AGAC	
CSc1ccccc1-n1cccc1	ZINC000001519652	VXHSMKKLBBAXCT-UHFFFAOYSA-N	189.283	3.199	0	30	AGAC	
Cc1ccc(Cl)cc1-n1cccc1	ZINC000001519702	UVTYAPDJDAJOJB-UHFFFAOYSA-N	191.661	3.439	0	30	AGAC	
c1ccc(N2C=CC=CC=C2)cc1	ZINC000001555939	LGQKWCHXQUKUMT-UHFFFAOYSA-N	169.227	3.090	0	30	AGAC	
CCCCCC/C=C(/C)C(=O)OCC	ZINC000001672470	OJAZWYSGUPIGHK-KHPPLWFESA-N	198.306	3.466	0	30	AGAC	
C=C(C)CCc1ccccc1	ZINC000001680054	SNOWWVSDFCWQJK-UHFFFAOYSA-N	146.233	3.195	0	30	AGAC	
Br/C=C/C1CCCCC1	ZINC000001729037	BMFWWXHEKBIRMY-VOTSOKGWSA-N	189.096	3.475	0	30	AGAC	
Oc1ccccc1[C@H]1C[C@@H]2CC[C@H]1C2	ZINC000001731393	YOBGGQVKQKQNSK-SCVCMEIPSA-N	188.270	3.296	0	30	AGAC	
C/C=C/C1CCCCC1	ZINC000001765397	IAHIMVFWYADCJJ-QHHAFSJGSA-N	124.227	3.143	0	30	AGAC	
CCCC/C=C/C1(O)CCCCC1	ZINC000001765512	ICOITBGCXKPDQU-RMKNXTFCSA-N	182.307	3.428	0	30	AGAC	
Cc1cc2cc(Cl)ccc2o1	ZINC000002006444	UDTLANWPHSQSCO-UHFFFAOYSA-N	166.607	3.395	0	30	AGAC	
Cc1cc2c(cccc2C)o1	ZINC000002013340	VAJDUPSIEUTLHX-UHFFFAOYSA-N	146.189	3.050	0	30	AGAC	
CCc1ccc(C)cc1CC	ZINC000002013416	MJQJAQGFUBIGIK-UHFFFAOYSA-N	148.249	3.120	0	30	AGAC	
Cc1ccc(C2SCCS2)cc1	ZINC000002015296	VKEBWCZVWZDPKV-UHFFFAOYSA-N	196.340	3.474	0	30	AGAC	
CC1=CC[C@H]2C[C@H]1[C@H](C)OC2(C)C	ZINC000002139487	CBQGOGNKLHCXDV-GARJFASQSA-N	180.291	3.156	0	30	AGAC	
CC1=CC[C@H]2C[C@H]1[C@@H](C)OC2(C)C	ZINC000002139488	CBQGOGNKLHCXDV-OUAUKWLOSA-N	180.291	3.156	0	30	AGAC	
CCCCCNCC1CCCCC1	ZINC000002491555	GUAFIUDMHZAXQH-UHFFFAOYSA-N	183.339	3.347	0	30	AGAC	
CCCCC#CC#CCCCC	ZINC000002564098	KSOQHQONAHQOCM-UHFFFAOYSA-N	162.276	3.374	0	30	AGAC	
C(C[C@@H]1CCCCN1)C1CCCC1	ZINC000002582628	BLSWBGQWPFSRIM-LBPRGKRZSA-N	181.323	3.099	0	30	AGAC	
C#CCC/C(C)=C(/C)CCC#C	ZINC000003091467	UKZZHKZYYZCAAI-QXMHVHEDSA-N	160.260	3.150	0	30	AGAC	
CC(=S)Nc1cccc(C)c1C	ZINC000003099624	ZPIPSNNVPWASAT-UHFFFAOYSA-N	179.288	3.063	0	30	AGAC	
CC[N+](CC)(CC)C/C=C(\C)Cl	ZINC000003172725	DODLBAVFMRQPDY-CSKARUKUSA-N	190.738	3.006	0	30	AGAC	
C=CCC1(CC=C)CCCCC1=O	ZINC000003641649	QFSGLPBMYINTJA-UHFFFAOYSA-N	178.275	3.268	0	30	AGAC	
C(C[C@H]1CCCCN1)C1CCCC1	ZINC000003734606	BLSWBGQWPFSRIM-GFCCVEGCSA-N	181.323	3.099	0	30	AGAC	
c1ccc([C@@H]2CN2c2ccccc2)cc1	ZINC000005162548	MZGVUSNPNFZFGM-MLCCFXAWSA-N	195.265	3.248	0	30	AGAC	
c1ccc([C@H]2CN2c2ccccc2)cc1	ZINC000005162577	MZGVUSNPNFZFGM-GICMACPYSA-N	195.265	3.248	0	30	AGAC	
CC[C@@H](C)c1ccccc1OC	ZINC000005651109	XGEOZYQKQHPUFZ-SECBINFHSA-N	164.248	3.209	0	30	AGAC	
CC[C@H](C)c1ccccc1OC	ZINC000005651439	XGEOZYQKQHPUFZ-VIFPVBQESA-N	164.248	3.209	0	30	AGAC	
CC1(C)CCCC(C)(C)N1Cl	ZINC000005762217	IWJCQGWZUOWZIZ-UHFFFAOYSA-N	175.703	3.183	0	30	AGAC	
CCCCC/C=C\CC(=O)OCC	ZINC000005845200	KQCNXVHFHZAHDW-HJWRWDBZSA-N	184.279	3.076	0	30	AGAC	
