smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CCCCCCC(=O)[C@H](C#N)C(C)C	ZINC000133749167	MNZHGCCNSICOEO-LLVKDONJSA-N	195.306	3.322	0	20	AGAD	
CCCCCCC(=O)CCSC	ZINC000133753117	NHJYZYTZZATIEC-UHFFFAOYSA-N	188.336	3.279	0	20	AGAD	
C[C@@H]1CCNC[C@@H]1CC1CCCCC1	ZINC000133757195	MVVMECXXVGWILY-YPMHNXCESA-N	195.350	3.202	0	20	AGAD	
C[C@H]1CCNC[C@@H]1CC1CCCCC1	ZINC000133757411	MVVMECXXVGWILY-AAEUAGOBSA-N	195.350	3.202	0	20	AGAD	
C[C@@H]1CCNC[C@H]1CC1CCCCC1	ZINC000133757608	MVVMECXXVGWILY-DGCLKSJQSA-N	195.350	3.202	0	20	AGAD	
C[C@H]1CCNC[C@H]1CC1CCCCC1	ZINC000133757793	MVVMECXXVGWILY-WCQYABFASA-N	195.350	3.202	0	20	AGAD	
CCCCCCc1nc(C(C)C)n[nH]1	ZINC000133763191	YODRHNZIPCIPFQ-UHFFFAOYSA-N	195.310	3.051	0	20	AGAD	
CCCCCC[C@H](O)C1=CCCC1	ZINC000133784318	AIIBLPPSOXLGCL-LBPRGKRZSA-N	182.307	3.428	0	20	AGAD	
CCCCCC[C@@H](O)C1=CCCC1	ZINC000133784517	AIIBLPPSOXLGCL-GFCCVEGCSA-N	182.307	3.428	0	20	AGAD	
CCCCCC[C@H](O)c1ccc[nH]1	ZINC000133785172	UVWXEWWPXSGIFX-NSHDSACASA-N	181.279	3.019	0	20	AGAD	
CCCCCC[C@@H](O)c1ccc[nH]1	ZINC000133785357	UVWXEWWPXSGIFX-LLVKDONJSA-N	181.279	3.019	0	20	AGAD	
CCCCCC[C@H](O)c1cc[nH]c1	ZINC000133785549	DRJGMRMDSNNBGE-NSHDSACASA-N	181.279	3.019	0	20	AGAD	
CCCCCC[C@@H](O)c1cc[nH]c1	ZINC000133785763	DRJGMRMDSNNBGE-LLVKDONJSA-N	181.279	3.019	0	20	AGAD	
COC(=O)/C=C1/CCCC(C)(C)CC1	ZINC000133837079	LCYRKMFYAQBWHX-KTKRTIGZSA-N	196.290	3.076	0	20	AGAD	
CC[C@@H]1CCC/C(=C\C(=O)OC)CC1	ZINC000133843962	OFGHXUCAKMGSLD-OYVNLZQHSA-N	196.290	3.076	0	20	AGAD	
CC[C@H]1CCC/C(=C\C(=O)OC)CC1	ZINC000133844174	OFGHXUCAKMGSLD-SPQRFVMMSA-N	196.290	3.076	0	20	AGAD	
CCCCCC/C(C)=C/C(=O)OC	ZINC000133847534	KMHNSCBQBODEPQ-MDZDMXLPSA-N	184.279	3.076	0	20	AGAD	
CCCCCC[C@]1(O)C[C@@H]1CC	ZINC000133848714	DQUFAPGGXIAAEL-QWRGUYRKSA-N	170.296	3.118	0	20	AGAD	
CCCCCC[C@@]1(O)C[C@@H]1CC	ZINC000133848911	DQUFAPGGXIAAEL-WDEREUQCSA-N	170.296	3.118	0	20	AGAD	
CCCCCC[C@]1(O)C[C@H]1CC	ZINC000133849131	DQUFAPGGXIAAEL-MNOVXSKESA-N	170.296	3.118	0	20	AGAD	
