smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C[C@@H]1CC[C@H](C)[C@@H](CC(=O)O)C1(C)C	ZINC000238479939	SYFAEVPDIYZFAY-IVZWLZJFSA-N	198.306	3.170	0	10	AGAE	
C[C@@H]1CC[C@H](C)[C@@H](CCCO)C1(C)C	ZINC000238479969	FIVFVXPBUNZPDV-QJPTWQEYSA-N	198.350	3.467	0	10	AGAE	
C[C@@H]1CC[C@H](C)[C@@H](CCN)C1(C)C	ZINC000238479988	IVOLKKUWMCBNIH-HBNTYKKESA-N	183.339	3.044	0	10	AGAE	
C[C@H](CCC(=O)O)C1=CC[C@@H](C)CC1	ZINC000238479990	XJSZQWMCYHVLIW-NXEZZACHSA-N	196.290	3.234	0	10	AGAE	
C=C/C=C(/C)C[C@H](O)c1ccccc1	ZINC000238480007	LNJDZKMJRIOOLZ-YLBKJLTLSA-N	188.270	3.242	0	10	AGAE	
Cc1ccc(C=O)c(C2CCCC2)c1	ZINC000238480061	NRKLSHABKLTRQI-UHFFFAOYSA-N	188.270	3.465	0	10	AGAE	
C[C@]1(C2CC2)Nc2ccccc2S1	ZINC000238480138	RFALYMCSQNLKKT-NSHDSACASA-N	191.299	3.330	0	10	AGAE	
Cc1ccc(Cl)c(F)c1S	ZINC000238480204	GGZAPIASTMKAML-UHFFFAOYSA-N	176.643	3.076	0	10	AGAE	
C=CC(C)(C)[C@H](O)c1ccc(C)cc1	ZINC000238480239	BPDWBUQPEPDGOH-GFCCVEGCSA-N	190.286	3.241	0	10	AGAE	
C=CC(C=C)[C@H](O)c1ccc(C)cc1	ZINC000238480361	WHPUUXQWWYKVPT-ZDUSSCGKSA-N	188.270	3.017	0	10	AGAE	
Cc1ccccc1N[C@H]1C=CCC1	ZINC000238480402	GSHLYFGMGWHOBC-NSHDSACASA-N	173.259	3.126	0	10	AGAE	
Cc1c(F)c(C(F)F)cnc1Cl	ZINC000238480415	RXXKJXDLRNLEPX-UHFFFAOYSA-N	195.571	3.120	0	10	AGAE	
C[C@H](O)[C@]12CCCC=C1CCCC2	ZINC000238480427	RHCFOPXAVBWDDU-CMPLNLGQSA-N	180.291	3.038	0	10	AGAE	
Cc1[nH]c2c(cc(F)cc2F)p1	ZINC000238480490	XJLVCMMAFCSUQG-UHFFFAOYSA-N	185.113	3.335	0	10	AGAE	
C=C(C/C=C/CC=C(C)C)[C@H](C)O	ZINC000238480649	MQFCRBCSIZRLKG-PZBABLGHSA-N	180.291	3.226	0	10	AGAE	
Cc1[nH]c2c(c1C)c(F)ccc2F	ZINC000238480795	IWMUHWFQWGLXNF-UHFFFAOYSA-N	181.185	3.063	0	10	AGAE	
C=C(Cl)C[C@H](O)c1ccc(C)cc1	ZINC000238480913	GLAITEFNILYTLM-NSHDSACASA-N	196.677	3.171	0	10	AGAE	
C=C(c1cccc2ccccc21)[C@H](C)O	ZINC000238480970	SDLUMBBJNQSBBE-NSHDSACASA-N	198.265	3.234	0	10	AGAE	
Cc1[nH]c2c(cccc2F)c1C1CC1	ZINC000238480997	WVVCJPQQHGBJAV-UHFFFAOYSA-N	189.233	3.493	0	10	AGAE	
C=C(c1ccc2ccccc2c1)[C@H](C)O	ZINC000238481010	FYCOUPFYZMRDPV-NSHDSACASA-N	198.265	3.234	0	10	AGAE	
