smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CCCc1ccc2c(c1)OC(C)(C)O2	ZINC000000002506	GJLRDKBCXUEYRY-UHFFFAOYSA-N	192.258	3.146	0	1	AGAF	
Cn1ccc(-c2c[nH]c3ccccc23)c1	ZINC000000009103	CAEKEKVGZHMFEI-UHFFFAOYSA-N	196.253	3.173	0	1	AGAF	
Cc1ccc2c(c1)CSSC2	ZINC000000020828	KZBZQAQGOYPHPV-UHFFFAOYSA-N	182.313	3.390	0	1	AGAF	
c1ccc2c(c1)CSSC2	ZINC000000020829	KGFBVQXWAXWGDL-UHFFFAOYSA-N	168.286	3.082	0	1	AGAF	
Fc1ccc2c(c1)CSSC2	ZINC000000020830	LIBMAMNZWOHYQN-UHFFFAOYSA-N	186.276	3.221	0	1	AGAF	
CC(C)c1ccnc(C(C)C)c1O	ZINC000000027049	ZQUVZMOPYCLYFZ-UHFFFAOYSA-N	179.263	3.034	0	1	AGAF	
c1ccc2c(c1)ccc1c2C=C[C@H]2O[C@@H]12	ZINC000000967825	ALTXUIJFJAHUPS-KGLIPLIRSA-N	194.233	3.307	0	1	AGAF	in-vitro
C/C=C/C#CC#C/C=C/C=C/CC	ZINC000001531090	OUUDSRYJNWAHPD-FIXGFOPZSA-N	170.255	3.092	0	1	AGAF	biogenic,in-vitro
CCCCCCCCC1=CC(=O)OC1	ZINC000001554797	SQJSTCJOOLMRMZ-UHFFFAOYSA-N	196.290	3.220	0	1	AGAF	
C/C=C/C[C@]1(C)N=C1c1ccccc1	ZINC000001557482	ZWOBPZOYEQLEMA-OOPCZODUSA-N	185.270	3.214	0	1	AGAF	
C/C=C/C[C@@]1(C)N=C1c1ccccc1	ZINC000001557484	ZWOBPZOYEQLEMA-ITDFMYJTSA-N	185.270	3.214	0	1	AGAF	
C=CCCC(=O)SC(C)(C)C	ZINC000001557918	KVGJXTAZEZWBMI-UHFFFAOYSA-N	172.293	3.011	0	1	AGAF	
CSC(=S)c1c(C)cccc1C	ZINC000001559390	PDMOWFAWWCDLCS-UHFFFAOYSA-N	196.340	3.342	0	1	AGAF	
CCCCC[N+]1(CC)CCCCC1	ZINC000001559724	OOFSYDNJNGBIOG-UHFFFAOYSA-N	184.347	3.197	0	1	AGAF	
CCCCCC[N+]1(CC)CCCC1	ZINC000001559730	VNVSNJDXLYCKSH-UHFFFAOYSA-N	184.347	3.197	0	1	AGAF	
Cc1csc2nccc(Cl)c12	ZINC000001560354	KVRDZNLPNFFGGK-UHFFFAOYSA-N	183.663	3.258	0	1	AGAF	
CO[P@]1(=O)CCC2=C1CCCC2	ZINC000001561358	FDEPZPGUIKUYOP-GFCCVEGCSA-N	186.191	3.143	0	1	AGAF	
C1CCC2=C(C1)SCCS2	ZINC000001563954	NFFXJWRVMWTWHQ-UHFFFAOYSA-N	172.318	3.252	0	1	AGAF	
CCC1=C(C)[C@@H](C)OC(C)=C1C	ZINC000001564799	UAOLCVHPOJXSPQ-SECBINFHSA-N	166.264	3.426	0	1	AGAF	
CCC1=C(C)[C@H](C)OC(C)=C1C	ZINC000001564800	UAOLCVHPOJXSPQ-VIFPVBQESA-N	166.264	3.426	0	1	AGAF	
C=C[C@@](C)(CCC=C(C)C)ON(C)C	ZINC000001565444	WTMSSOCWTXTDNY-LBPRGKRZSA-N	197.322	3.171	0	1	AGAF	
CC(C)=CCC/C(C)=C/CN(C)C	ZINC000001565446	ODZVUHGEGIBWOY-FMIVXFBMSA-N	181.323	3.241	0	1	AGAF	
C/C=C/C[n+]1c(C)ccc2ccccc21	ZINC000001569994	GXTCOGCKKVLTMR-ONEGZZNKSA-N	198.289	3.012	0	1	AGAF	
CCC(CC)C(=O)OCCC(C)C	ZINC000001570881	MRLMZALHISCUEC-UHFFFAOYSA-N	186.295	3.012	0	1	AGAF	
CC(C)[C@@H]1CCC[C@@H](C(C)C)C1=O	ZINC000001577423	PGJQLHKRMIBFCV-QWRGUYRKSA-N	182.307	3.284	0	1	AGAF	
CC(C)[C@H]1CCC[C@H](C(C)C)C1=O	ZINC000001577424	PGJQLHKRMIBFCV-GHMZBOCLSA-N	182.307	3.284	0	1	AGAF	
CC[C@@H](C)[C@@H]1CCCC[C@H]1OC(C)=O	ZINC000001577441	RVFASPCXUXXXDL-ADEWGFFLSA-N	198.306	3.154	0	1	AGAF	
CCCCN1CS[C@@H]2CCCC[C@@H]21	ZINC000001580310	FLQVUAHMUVBWNB-WDEREUQCSA-N	199.363	3.104	0	1	AGAF	
C=C(C)[C@@]1(C)C[C@H]1c1ccncc1	ZINC000001580489	WYBNNJWMFKHTLQ-NWDGAFQWSA-N	173.259	3.151	0	1	AGAF	
C=C(C)[C@]1(C)C[C@H]1c1ccncc1	ZINC000001580490	WYBNNJWMFKHTLQ-RYUDHWBXSA-N	173.259	3.151	0	1	AGAF	
C=C(C)[C@@]1(C)C[C@@H]1c1ccncc1	ZINC000001580491	WYBNNJWMFKHTLQ-VXGBXAGGSA-N	173.259	3.151	0	1	AGAF	
C=C(C)[C@]1(C)C[C@@H]1c1ccncc1	ZINC000001580492	WYBNNJWMFKHTLQ-NEPJUHHUSA-N	173.259	3.151	0	1	AGAF	
C=C=C(C)[C@H](c1ccccc1)N(C)C	ZINC000001582929	CNDNBMKNQSZMLS-CYBMUJFWSA-N	187.286	3.021	0	1	AGAF	
COc1ccc(C(C)C)c(C)c1	ZINC000001583784	KKKUFKDKLVOPHP-UHFFFAOYSA-N	164.248	3.127	0	1	AGAF	
CC(C)(C)N1CS[C@@H]2CCCC[C@H]21	ZINC000001585004	JNFYXEQKQXMDAX-NXEZZACHSA-N	199.363	3.102	0	1	AGAF	
CCCCN1CS[C@@H]2CCCC[C@H]21	ZINC000001585006	FLQVUAHMUVBWNB-GHMZBOCLSA-N	199.363	3.104	0	1	AGAF	
CN1c2ccccc2[C@@]2(C)CCCC=C12	ZINC000001586015	IBOZEFAOOFKNIS-CQSZACIVSA-N	199.297	3.462	0	1	AGAF	
CCC(CC)C(=O)OCC(C)(C)C	ZINC000001587679	XHJQDAIQDCPOBT-UHFFFAOYSA-N	186.295	3.012	0	1	AGAF	
CCCCC(O)(C(C)C)C(C)C	ZINC000001587687	JEVTXHCZDDBPDA-UHFFFAOYSA-N	172.312	3.220	0	1	AGAF	
Cc1cccc2c1C[C@H](C(C)C)C2	ZINC000001589740	CDOPMIFFUCFVGY-GFCCVEGCSA-N	174.287	3.366	0	1	AGAF	
CCCCC1(C)O[C@H](C)C[C@@H](C)O1	ZINC000001590528	XQBQAWXHESFHFH-NXEZZACHSA-N	186.295	3.107	0	1	AGAF	
C[C@H]1CCCCCCCCC(=O)O1	ZINC000001592064	DDXHTCUYDJEPPH-JTQLQIEISA-N	184.279	3.053	0	1	AGAF	
CO[C@H]1CCCSc2ccccc21	ZINC000001596217	NZQTYWWGJSTQIT-JTQLQIEISA-N	194.299	3.260	0	1	AGAF	
ONC1CCC(C2CCCCC2)CC1	ZINC000001597770	ZNTMBVGDPYMZDO-UHFFFAOYSA-N	197.322	3.104	0	1	AGAF	
CC[C@]1(C)C=CC(C)=CC1	ZINC000001597943	LJAAHEBKAOZOKL-SNVBAGLBSA-N	136.238	3.309	0	1	AGAF	
COc1cccc2c1-c1ccccc1C2	ZINC000001598742	RXGYRERRMKZVRL-UHFFFAOYSA-N	196.249	3.266	0	1	AGAF	
CC(C)C(=O)OCCC1CCCCC1	ZINC000001599291	KZELFWYLXUFQJR-UHFFFAOYSA-N	198.306	3.156	0	1	AGAF	
C/C=C/C(=O)OCCC1CCCCC1	ZINC000001599293	XTWQQCJEFBVLEV-QHHAFSJGSA-N	196.290	3.076	0	1	AGAF	
C/C=C/C(=O)O[C@H](CC)CCCC	ZINC000001600958	RYCHNWVEXCRNIL-VHODGJRUSA-N	184.279	3.075	0	1	AGAF	
C/C=C/C(=O)O[C@@H](CC)CCCC	ZINC000001600960	RYCHNWVEXCRNIL-YVFTVSHDSA-N	184.279	3.075	0	1	AGAF	
