smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
Nc1ccc(Nc2ccccc2)cc1	ZINC000000136186	ATGUVEKSASEFFO-UHFFFAOYSA-N	184.242	3.012	10	50	AGCA	aggregator,in-vitro
Oc1ccc(NCc2ccccc2)cc1	ZINC000000153232	SRYYOKKLTBRLHT-UHFFFAOYSA-N	199.253	3.004	10	50	AGCA	
Nc1ccc(Oc2ccccc2)cc1	ZINC000000240989	WOYZXEVUWXQVNV-UHFFFAOYSA-N	185.226	3.061	10	50	AGCA	
Cc1ccc(Oc2ccc(N)cc2)cc1	ZINC000000292018	VPCGOYHSWIYEMO-UHFFFAOYSA-N	199.253	3.370	10	50	AGCA	
Cc1cccc(Oc2ccc(N)cc2)c1	ZINC000000335309	GYVLOVTVJKXIGZ-UHFFFAOYSA-N	199.253	3.370	10	50	AGCA	
Cc1ccccc1Oc1ccc(N)cc1	ZINC000000335312	JPCCVWJJMUIBJR-UHFFFAOYSA-N	199.253	3.370	10	50	AGCA	
CCOc1ccc2c(O)csc2c1	ZINC000000343064	IKSIVAMIINQNBN-UHFFFAOYSA-N	194.255	3.006	10	50	AGCA	
CC1(C)Nc2cccc3cccc(c32)N1	ZINC000000392955	DETLTZYXZWIXIB-UHFFFAOYSA-N	198.269	3.413	10	50	AGCA	
Oc1ccccc1CNc1ccccc1	ZINC000000400523	RPHPKMUPELFCMC-UHFFFAOYSA-N	199.253	3.004	10	50	AGCA	
CC(C)c1cc(O)c(O)c(C(C)C)c1	ZINC000000404367	VMYLKGAEBQHVPE-UHFFFAOYSA-N	194.274	3.345	10	50	AGCA	
Cc1ccc(C)n1Cc1ccccc1	ZINC000000977615	RNXMFQXZASNQHV-UHFFFAOYSA-N	185.270	3.153	10	50	AGCA	
C#Cc1cccc(-n2c(C)ccc2C)c1	ZINC000001049011	QPJWGCSQQYJUTF-UHFFFAOYSA-N	195.265	3.075	10	50	AGCA	
Cc1ccc(C)n1-c1cccc(C)c1	ZINC000001100171	CLWZTXHNHAJBQD-UHFFFAOYSA-N	185.270	3.403	10	50	AGCA	
Nc1ccccc1NC1CCCCC1	ZINC000001440341	YQACKMXMLJSWFM-UHFFFAOYSA-N	190.290	3.013	10	50	AGCA	
CN(c1ccccc1)c1ccc(N)cc1	ZINC000001512392	OVSABEXSZWEKHQ-UHFFFAOYSA-N	198.269	3.037	10	50	AGCA	
Cc1ccc(C)n1-c1ccccc1	ZINC000001635571	JNXIFVSGXLGULI-UHFFFAOYSA-N	171.243	3.094	10	50	AGCA	
CCCCCCOc1ccc(N)cc1	ZINC000001670233	DJRKHTCUXRGYEU-UHFFFAOYSA-N	193.290	3.228	10	50	AGCA	
Oc1ccc(C2CCCCC2)cc1O	ZINC000001672131	CHPDWZOITMMWOU-UHFFFAOYSA-N	192.258	3.146	10	50	AGCA	
Nc1ccc(CCc2ccccc2)cc1	ZINC000001728033	ZRPMISJEZSOSQC-UHFFFAOYSA-N	197.281	3.054	10	50	AGCA	
CN(C)c1ccc(C=C2C=CC=C2)cc1	ZINC000001730570	FIXQBRDVPNLSGD-UHFFFAOYSA-N	197.281	3.262	10	50	AGCA	
CCCCCCc1ccc(N)cc1	ZINC000002010291	OVEMTTZEBOCJDV-UHFFFAOYSA-N	177.291	3.392	10	50	AGCA	
CC1(C)[C@H]2CC[C@]1(C)CC2=S	ZINC000002023132	SKEQOMRGTLUDPW-OIBJUYFYSA-N	168.305	3.203	10	50	AGCA	
CC1(C)[C@@H]2CC[C@@]1(C)CC2=S	ZINC000002023135	SKEQOMRGTLUDPW-XCBNKYQSSA-N	168.305	3.203	10	50	AGCA	
CC1(C)[C@@H]2CC[C@@]1(C)C(=S)C2	ZINC000002028342	AAADKYXUTOBAGS-XCBNKYQSSA-N	168.305	3.203	10	50	AGCA	in-vivo
CC1(C)[C@H]2CC[C@]1(C)C(=S)C2	ZINC000002028345	AAADKYXUTOBAGS-OIBJUYFYSA-N	168.305	3.203	10	50	AGCA	
CCCCCc1ccc(N)cc1	ZINC000002166826	DGFTWBUZRHAHTH-UHFFFAOYSA-N	163.264	3.002	10	50	AGCA	
Cc1ccc(C)n1-c1ccc(C)cc1	ZINC000002285903	SWIUPUUNVWDJED-UHFFFAOYSA-N	185.270	3.403	10	50	AGCA	
O=C1CCCCCCCCCCC1=O	ZINC000002385011	OWWQGTRAKKFTAM-UHFFFAOYSA-N	196.290	3.039	10	50	AGCA	
c1coc(CSc2nccs2)c1	ZINC000002576101	DZZDZLUKNFXMCC-UHFFFAOYSA-N	197.284	3.028	10	50	AGCA	
Cc1ccc(C)n1-c1ccc(F)cc1	ZINC000004054617	AIWFQKZWZOYVMK-UHFFFAOYSA-N	189.233	3.233	10	50	AGCA	
COc1ccc(CN=[N+]=[N-])cc1Cl	ZINC000004202431	VHUDJXQSEMBDMX-UHFFFAOYSA-N	197.625	3.159	10	50	AGCA	
c1csc(SCc2ccoc2)n1	ZINC000004265733	UFCQNBYGWAHPQS-UHFFFAOYSA-N	197.284	3.028	10	50	AGCA	
[N-]=[N+]=NCCCCCCN=[N+]=[N-]	ZINC000004984166	JEBPUSJPDDISRP-UHFFFAOYSA-N	168.204	3.167	10	50	AGCA	
[N-]=[N+]=NC12CC3CC(CC(C3)C1)C2	ZINC000005185533	JOMZSYXWYOVFEE-UHFFFAOYSA-N	177.251	3.266	10	50	AGCA	
CCCCCCC(=O)C(=O)C(C)(C)C	ZINC000005308489	URRUIURDAWKKSV-UHFFFAOYSA-N	198.306	3.141	10	50	AGCA	
CNc1ccc(Nc2ccccc2)cc1	ZINC000005329171	GYXXGCCWYRAYGT-UHFFFAOYSA-N	198.269	3.472	10	50	AGCA	
c1ccc(/N=N/c2ccccn2)cc1	ZINC000005331570	QWLSHZKQRSNZKL-BUHFOSPRSA-N	183.214	3.497	10	50	AGCA	
CC(C)(C)/N=N/C1(C#N)CCCCC1	ZINC000005350836	QKNQPCLQRXMWJO-BUHFOSPRSA-N	193.294	3.464	10	50	AGCA	
[N-]=[N+]=NC1C2CC3CC(C2)CC1C3	ZINC000005566587	DBMHNOXGUUDEPE-UHFFFAOYSA-N	177.251	3.121	10	50	AGCA	
Oc1ccccc1/N=N/c1ccc[nH]1	ZINC000005583542	FLDNAVQBEWUPNY-OUKQBFOZSA-N	187.202	3.136	10	50	AGCA	
[N-]=[N+]=NCc1ccc(CN=[N+]=[N-])cc1	ZINC000006472192	MWYDOXLDDPKKCP-UHFFFAOYSA-N	188.194	3.307	10	50	AGCA	
[N-]=[N+]=NCCCCCCCCCCO	ZINC000006620297	VSOCJQSZRBCJET-UHFFFAOYSA-N	199.298	3.410	10	50	AGCA	in-vitro
CCCCN/N=N/c1ccc(C)cc1	ZINC000006655532	DBHFMKOBJOOXCA-UHFFFAOYSA-N	191.278	3.383	10	50	AGCA	
Cc1ccc(Nc2ccc(N)cc2)cc1	ZINC000008412100	UDWOGBVGZXTOLR-UHFFFAOYSA-N	198.269	3.321	10	50	AGCA	
Cc1ccc(C)n1-c1cccc(F)c1	ZINC000008413423	WSZMMKRHLWEHTD-UHFFFAOYSA-N	189.233	3.233	10	50	AGCA	
Cc1ccc(C)n1-c1ccccc1F	ZINC000008413503	BFSXBLWSHDADPC-UHFFFAOYSA-N	189.233	3.233	10	50	AGCA	
Nc1ccc(NC2CCCCC2)cc1	ZINC000008701104	UZARQBVTRHEUOB-UHFFFAOYSA-N	190.290	3.013	10	50	AGCA	
Cc1ccc(C)n1Cc1ccc(C)cc1	ZINC000008729265	OCKLSLNADYLNNG-UHFFFAOYSA-N	199.297	3.462	10	50	AGCA	
[N-]=[N+]=NCSc1ccccc1	ZINC000012956364	KIQGRMGPIMCXSC-UHFFFAOYSA-N	165.221	3.047	10	50	AGCA	
CCC[C@@H](C)COc1ccc(N)cc1	ZINC000014630115	FGSDHKXYJLPGEH-SNVBAGLBSA-N	193.290	3.084	10	50	AGCA	
CCC[C@H](C)COc1ccc(N)cc1	ZINC000014630117	FGSDHKXYJLPGEH-JTQLQIEISA-N	193.290	3.084	10	50	AGCA	
c1csc(Sc2ccccc2)n1	ZINC000015781452	WJUZBIMIEZOALU-UHFFFAOYSA-N	193.296	3.294	10	50	AGCA	
CC(C)(C)/N=N/C(C)(C)C	ZINC000016322845	GKCPCPKXFGQXGS-MDZDMXLPSA-N	142.246	3.036	10	50	AGCA	
CCCC/N=N/Nc1ccccc1	ZINC000017837024	DKACJJZOUYNKIM-UHFFFAOYSA-N	177.251	3.266	10	50	AGCA	
Nc1ccc(CC2CCCCC2)cc1	ZINC000019780202	HUXWSGQXNJKLHA-UHFFFAOYSA-N	189.302	3.392	10	50	AGCA	
Cc1ccccc1Cc1ccc(N)cc1	ZINC000019780204	WELARJBIOYQBRA-UHFFFAOYSA-N	197.281	3.168	10	50	AGCA	
