smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C[N+](C)=NC1CCC(C(C)(C)C)CC1	ZINC000001582096	OEYCKRRJXXNVEI-UHFFFAOYSA-N	197.346	3.316	10	40	AGCB	
CC(C)c1ccc(C(C)C)c(O)c1O	ZINC000001621009	GSYRNBLFBPODTD-UHFFFAOYSA-N	194.274	3.345	10	40	AGCB	
CCC/N=N/Nc1ccc(C)cc1	ZINC000002391036	IWQQNPRIJQLWFE-UHFFFAOYSA-N	177.251	3.184	10	40	AGCB	
O/N=N/c1cc(Cl)ccc1Cl	ZINC000002507901	WAKVBBFVJLUCDU-UHFFFAOYSA-N	191.017	3.466	10	40	AGCB	
Cc1ccc(N/N=N/C(C)C)cc1	ZINC000002522764	AGDYKCPGMDASQO-UHFFFAOYSA-N	177.251	3.183	10	40	AGCB	
CC1(C)C(=S)[C@@]2(C)CC[C@@H]1C2	ZINC000005765372	LZCJFUYIXHJWPV-XCBNKYQSSA-N	168.305	3.203	10	40	AGCB	
CC1(C)C(=S)[C@]2(C)CC[C@H]1C2	ZINC000005765808	LZCJFUYIXHJWPV-OIBJUYFYSA-N	168.305	3.203	10	40	AGCB	
CCCC/N=N/CCCC	ZINC000005819801	SZNDPAPNQABPGR-MDZDMXLPSA-N	142.246	3.039	10	40	AGCB	
O/N=N/c1ccc(-c2ccccc2)cn1	ZINC000012951814	OBLZPTDQYCPOHJ-UHFFFAOYSA-N	199.213	3.222	10	40	AGCB	
CC(C)(Cl)/N=N/C(C)(C)Cl	ZINC000017001429	OENGLXLUGBDTES-MDZDMXLPSA-N	183.082	3.388	10	40	AGCB	
Cc1c[nH]c(/N=N/c2ccccc2)n1	ZINC000017301401	UUDXRZFRPOKNDK-BUHFOSPRSA-N	186.218	3.134	10	40	AGCB	
CCN(CC)/N=N/c1ccccc1	ZINC000017721679	JHPQXSWFRNIFCC-VAWYXSNFSA-N	177.251	3.027	10	40	AGCB	
c1ccc(/N=N/c2ccncc2)cc1	ZINC000017992380	STGZUKHALNSQAG-BUHFOSPRSA-N	183.214	3.497	10	40	AGCB	
c1c[nH]c(/N=N/c2ccccc2)c1	ZINC000018021302	AVOVOVHRXURMSS-OUKQBFOZSA-N	171.203	3.430	10	40	AGCB	
S=C(c1ccccc1)c1ccccc1	ZINC000032145575	XDDVRYDDMGRFAZ-UHFFFAOYSA-N	198.290	3.453	10	40	AGCB	
c1ccc(/N=N/c2cccnc2)cc1	ZINC000032224698	IVVGFUBQYUHOKG-BUHFOSPRSA-N	183.214	3.497	10	40	AGCB	
CCCc1ccc(/N=N/N(C)C)cc1	ZINC000033824586	ISNCIPBLANDUNX-OUKQBFOZSA-N	191.278	3.199	10	40	AGCB	
C/C(=C/c1ccccc1)N=[N+]=[N-]	ZINC000033842723	SXBQRLSPPXHWJN-FPLPWBNLSA-N	159.192	3.358	10	40	AGCB	
FC(F)(F)c1ccc(C=S)cc1	ZINC000056953533	LTOLKGNLPROAEY-UHFFFAOYSA-N	190.189	3.053	10	40	AGCB	
CC(=S)/C=C/c1cccs1	ZINC000083261592	UDVAGEHCCWISFM-SNAWJCMRSA-N	168.286	3.151	10	40	AGCB	
[N-]=[N+]=NCc1cccc2scnc21	ZINC000089195238	VIVKZNRUVOGWJB-UHFFFAOYSA-N	190.231	3.107	10	40	AGCB	
CCN(CC)c1ccc2c(c1)N=NC2	ZINC000095742403	VSXNMHDNFLDQDH-UHFFFAOYSA-N	189.262	3.130	10	40	AGCB	
CC1(C)C(=S)[C@@]2(C)CC[C@H]1C2	ZINC000100098019	LZCJFUYIXHJWPV-XVKPBYJWSA-N	168.305	3.203	10	40	AGCB	
CC1(C)C(=S)[C@]2(C)CC[C@@H]1C2	ZINC000100098022	LZCJFUYIXHJWPV-GMSGAONNSA-N	168.305	3.203	10	40	AGCB	
CCCc1ccc(/N=N\N(C)C)cc1	ZINC000100163307	ISNCIPBLANDUNX-SEYXRHQNSA-N	191.278	3.199	10	40	AGCB	
Cc1c[nH]c(/N=N\c2ccccc2)n1	ZINC000102873198	UUDXRZFRPOKNDK-YPKPFQOOSA-N	186.218	3.134	10	40	AGCB	
c1c[nH]c(/N=N\c2ccccc2)c1	ZINC000104092133	AVOVOVHRXURMSS-SEYXRHQNSA-N	171.203	3.430	10	40	AGCB	
CCCCCCC/N=N\C	ZINC000104103765	AOWOCTFCERSCNM-KTKRTIGZSA-N	142.246	3.039	10	40	AGCB	
CCCCCCC/N=N/C	ZINC000104103769	AOWOCTFCERSCNM-MDZDMXLPSA-N	142.246	3.039	10	40	AGCB	
CCN(CC)/N=N\c1ccccc1	ZINC000104127123	JHPQXSWFRNIFCC-QXMHVHEDSA-N	177.251	3.027	10	40	AGCB	
CC(C)(Cl)/N=N\C(C)(C)Cl	ZINC000104148853	OENGLXLUGBDTES-KTKRTIGZSA-N	183.082	3.388	10	40	AGCB	
