smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
Cc1cccc(Nc2ccc(N)cc2)c1	ZINC000008414880	NNJCEKDPXNJBFN-UHFFFAOYSA-N	198.269	3.321	10	30	AGCC	
Cc1ccccc1Nc1ccc(N)cc1	ZINC000008416191	VWNMIDRTNPTBJH-UHFFFAOYSA-N	198.269	3.321	10	30	AGCC	
Cc1ccc(C)n1-c1ccccc1C	ZINC000008416319	FHOISCREFXSFHD-UHFFFAOYSA-N	185.270	3.403	10	30	AGCC	
S=C1c2ccccc2-c2ccccc21	ZINC000034562751	HFTBATIGSHWQBL-UHFFFAOYSA-N	196.274	3.433	10	30	AGCC	
[N-]=[N+]=NC=C1CCCCC1	ZINC000059074128	FREDKYMFHDBLGJ-UHFFFAOYSA-N	137.186	3.145	10	30	AGCC	
C=CC[C@H](N=[N+]=[N-])c1cccnc1	ZINC000085345213	BJRTWPRANJXHOM-VIFPVBQESA-N	174.207	3.009	10	30	AGCC	
C=CC[C@@H](N=[N+]=[N-])c1cccnc1	ZINC000085345214	BJRTWPRANJXHOM-SECBINFHSA-N	174.207	3.009	10	30	AGCC	
[N-]=[N+]=NC1(N=[N+]=[N-])CCCCC1	ZINC000104837271	OFGGSBHRDVLPDE-UHFFFAOYSA-N	166.188	3.267	10	30	AGCC	
CSC1(N=[N+]=[N-])CCCCC1	ZINC000104842782	FFSKZNNBAYYXNH-UHFFFAOYSA-N	171.269	3.320	10	30	AGCC	
Oc1ccccc1/N=N\c1ccc[nH]1	ZINC000105168638	FLDNAVQBEWUPNY-SEYXRHQNSA-N	187.202	3.136	10	30	AGCC	
