smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C[C@H](N=[N+]=[N-])c1ccccc1	ZINC000004748480	KOFFFKMEMKRWMT-ZETCQYMHSA-N	147.181	3.058	10	20	AGCD	
C[C@@H](N=[N+]=[N-])c1ccccc1	ZINC000017287573	KOFFFKMEMKRWMT-SSDOTTSWSA-N	147.181	3.058	10	20	AGCD	
Cc1cc(C)c(/N=N/N(C)C)c(C)c1	ZINC000018022936	DLLZWQCBOQDMMO-OUKQBFOZSA-N	191.278	3.172	10	20	AGCD	
CC(C)CCCOc1ccc(N)cc1	ZINC000020507170	DTQXWLZEJQIQNO-UHFFFAOYSA-N	193.290	3.084	10	20	AGCD	
C[C@H](N=[N+]=[N-])c1ccsc1	ZINC000034257188	JMZQVDLGLPUVFU-YFKPBYRVSA-N	153.210	3.119	10	20	AGCD	
C[C@@H](N=[N+]=[N-])c1ccsc1	ZINC000034257190	JMZQVDLGLPUVFU-RXMQYKEDSA-N	153.210	3.119	10	20	AGCD	
[N-]=[N+]=NC1CCCCCC1	ZINC000034408024	XCBYPQHUMDMWJS-UHFFFAOYSA-N	139.202	3.020	10	20	AGCD	
COc1ccc(Cl)cc1CN=[N+]=[N-]	ZINC000036867574	NBOCNUYYAJECPP-UHFFFAOYSA-N	197.625	3.159	10	20	AGCD	
CCCC[C@@H](CC)C(=O)[C@H](C#N)CC	ZINC000036915882	AEFSYINLEXAQBX-MNOVXSKESA-N	195.306	3.322	10	20	AGCD	
CCCC[C@H](CC)C(=O)[C@H](C#N)CC	ZINC000036915883	AEFSYINLEXAQBX-QWRGUYRKSA-N	195.306	3.322	10	20	AGCD	
CCCC[C@@H](CC)C(=O)[C@@H](C#N)CC	ZINC000036915884	AEFSYINLEXAQBX-GHMZBOCLSA-N	195.306	3.322	10	20	AGCD	
CCCC[C@H](CC)C(=O)[C@@H](C#N)CC	ZINC000036915885	AEFSYINLEXAQBX-WDEREUQCSA-N	195.306	3.322	10	20	AGCD	
CC[C@@H](C#N)C(=O)CCC1CCCC1	ZINC000036915962	HABRXWUWXSYMHK-NSHDSACASA-N	193.290	3.076	10	20	AGCD	
CC[C@H](C#N)C(=O)CCC1CCCC1	ZINC000036915963	HABRXWUWXSYMHK-LLVKDONJSA-N	193.290	3.076	10	20	AGCD	
CC[C@@H](C#N)C(=O)CC1CCCCC1	ZINC000036915974	HDHOKKNGCMTBJZ-NSHDSACASA-N	193.290	3.076	10	20	AGCD	
CC[C@H](C#N)C(=O)CC1CCCCC1	ZINC000036915975	HDHOKKNGCMTBJZ-LLVKDONJSA-N	193.290	3.076	10	20	AGCD	
C[C@@H](C#N)C(=O)CCC1CCCCC1	ZINC000036931572	QPWBDTKPWMWMMR-JTQLQIEISA-N	193.290	3.076	10	20	AGCD	
C[C@H](C#N)C(=O)CCC1CCCCC1	ZINC000036931573	QPWBDTKPWMWMMR-SNVBAGLBSA-N	193.290	3.076	10	20	AGCD	
CCCCn1ccc2cc(N)ccc21	ZINC000036949945	URQOCXDBXNKKQJ-UHFFFAOYSA-N	188.274	3.024	10	20	AGCD	
[N-]=[N+]=NCc1ccc(F)cc1Cl	ZINC000037206927	SELQEFVDUSTTJB-UHFFFAOYSA-N	185.589	3.289	10	20	AGCD	
CC(C)C[C@@H](C)Nc1ccc(N)cc1	ZINC000037264582	KKPWQIDJDXUWPG-SNVBAGLBSA-N	192.306	3.115	10	20	AGCD	
CC(C)C[C@H](C)Nc1ccc(N)cc1	ZINC000037264583	KKPWQIDJDXUWPG-JTQLQIEISA-N	192.306	3.115	10	20	AGCD	
Cc1cc(C)cc(CN=[N+]=[N-])c1	ZINC000038077016	KDZPLDBBOWYPGH-UHFFFAOYSA-N	161.208	3.114	10	20	AGCD	
CC[C@H](N=[N+]=[N-])c1ccccc1	ZINC000038863858	WZDSDXAHRYQVIJ-VIFPVBQESA-N	161.208	3.448	10	20	AGCD	
CC[C@@H](N=[N+]=[N-])c1ccccc1	ZINC000038863861	WZDSDXAHRYQVIJ-SECBINFHSA-N	161.208	3.448	10	20	AGCD	
CCc1ccc(CN=[N+]=[N-])s1	ZINC000042390388	APYRSKVOGQCENN-UHFFFAOYSA-N	167.237	3.121	10	20	AGCD	
[N-]=[N+]=NC/C=C/c1ccccc1	ZINC000042390394	VKGXVGRJSAWWRA-QPJJXVBHSA-N	159.192	3.010	10	20	AGCD	
[N-]=[N+]=NCc1ccc2ccccc2n1	ZINC000042390416	DJTAYIVZJMRCJT-UHFFFAOYSA-N	184.202	3.045	10	20	AGCD	
[N-]=[N+]=NCCOc1ccccc1Cl	ZINC000042390542	IJZHDXAFCYGQQG-UHFFFAOYSA-N	197.625	3.029	10	20	AGCD	
[N-]=[N+]=NCCOc1ccc(Cl)cc1	ZINC000042390545	DUNBKTYVZYEXMA-UHFFFAOYSA-N	197.625	3.029	10	20	AGCD	
[N-]=[N+]=NCCOc1cccc(Cl)c1	ZINC000042390566	PEASGCTYUNDLEX-UHFFFAOYSA-N	197.625	3.029	10	20	AGCD	
[N-]=[N+]=NCc1c(F)cccc1Cl	ZINC000042390627	FFCSQJRDCQEBGZ-UHFFFAOYSA-N	185.589	3.289	10	20	AGCD	
Cc1ccc(SCCN=[N+]=[N-])cc1	ZINC000042390631	ITFDCUUNPSDNBI-UHFFFAOYSA-N	193.275	3.397	10	20	AGCD	
CSc1ccc(CN=[N+]=[N-])cc1	ZINC000042390647	JMDDLYOZAPJBRC-UHFFFAOYSA-N	179.248	3.219	10	20	AGCD	
Cc1cccc(OCCCN=[N+]=[N-])c1	ZINC000042390716	JANUFFOVMIYPFC-UHFFFAOYSA-N	191.234	3.074	10	20	AGCD	
[N-]=[N+]=NCCSc1ccccc1F	ZINC000042390720	OMDVBZADIYIKGO-UHFFFAOYSA-N	197.238	3.228	10	20	AGCD	
[N-]=[N+]=NCc1ccccc1OC(F)F	ZINC000042390803	AQIILOMRTDECME-UHFFFAOYSA-N	199.160	3.098	10	20	AGCD	
