smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
Nc1ccc(/N=N/c2ccccn2)cc1	ZINC000005162948	XTEFWOLOHINNFH-CCEZHUSRSA-N	198.229	3.079	10	10	AGCE	
C[C@@H](CN=[N+]=[N-])c1ccccc1	ZINC000006020750	OARTVRGYHXVYRL-QMMMGPOBSA-N	161.208	3.100	10	10	AGCE	
C[C@H](CCN=[N+]=[N-])c1ccccc1	ZINC000006036417	MVCLJJYHOMPKMW-SECBINFHSA-N	175.235	3.491	10	10	AGCE	
C[C@H](CN=[N+]=[N-])c1ccccc1	ZINC000006036569	OARTVRGYHXVYRL-MRVPVSSYSA-N	161.208	3.100	10	10	AGCE	
CCCCCCc1ccc(O)c(O)c1	ZINC000013511384	LKYDZVCFMVHUST-UHFFFAOYSA-N	194.274	3.221	10	10	AGCE	in-vitro
Nc1ccc(/N=N/c2cccnc2)cc1	ZINC000017970801	OMTKKQGRVFJXNW-CCEZHUSRSA-N	198.229	3.079	10	10	AGCE	
CCCCSc1nccs1	ZINC000032137546	DUAWSZNZLQCXRT-UHFFFAOYSA-N	173.306	3.035	10	10	AGCE	
CC(C)(N=[N+]=[N-])c1ccccc1	ZINC000032141851	HLQVRLJKIKHGCE-UHFFFAOYSA-N	161.208	3.232	10	10	AGCE	
[N-]=[N+]=NC(F)(F)c1ccccc1	ZINC000032299454	VNFUAQVUHARBBN-UHFFFAOYSA-N	169.134	3.046	10	10	AGCE	
CC(C)(Cc1ccccc1)N=[N+]=[N-]	ZINC000033373164	WCMCGWIGJRSCEF-UHFFFAOYSA-N	175.235	3.318	10	10	AGCE	
CCCc1ccc(CCC)c(O)c1O	ZINC000033801129	DHWYXKIOKRZRPY-UHFFFAOYSA-N	194.274	3.003	10	10	AGCE	
[N-]=[N+]=NC(N=[N+]=[N-])c1ccccc1	ZINC000034144028	FHJDUVUAQQPFLM-UHFFFAOYSA-N	174.167	3.306	10	10	AGCE	
[N-]=[N+]=NCCCc1cc(F)cc(F)c1	ZINC000034214325	LNLQEJCKIVTRFK-UHFFFAOYSA-N	197.188	3.208	10	10	AGCE	
Oc1cccc(C2CCCCC2)c1O	ZINC000034216282	XKCZQONRGGXTQN-UHFFFAOYSA-N	192.258	3.146	10	10	AGCE	
CC[C@@H](N=[N+]=[N-])Oc1ccccc1C	ZINC000034216583	ZOYLUCDFRWLZER-JTQLQIEISA-N	191.234	3.420	10	10	AGCE	
CC[C@H](N=[N+]=[N-])Oc1ccccc1C	ZINC000034216584	ZOYLUCDFRWLZER-SNVBAGLBSA-N	191.234	3.420	10	10	AGCE	
C[C@@H](CCCc1cccnc1)N=[N+]=[N-]	ZINC000034276576	JLRXYPDHQYIYGR-VIFPVBQESA-N	190.250	3.103	10	10	AGCE	
C[C@H](CCCc1cccnc1)N=[N+]=[N-]	ZINC000034276577	JLRXYPDHQYIYGR-SECBINFHSA-N	190.250	3.103	10	10	AGCE	
[N-]=[N+]=NCCCCCCCCC(=O)O	ZINC000034502526	CDKGQZWXTZZOCD-UHFFFAOYSA-N	199.254	3.112	10	10	AGCE	
C=C[C@@H](CCC)c1cccc(O)c1O	ZINC000034599607	UJKQRMNURUWQSK-VIFPVBQESA-N	192.258	3.168	10	10	AGCE	
[N-]=[N+]=NCC#CSc1ccccc1	ZINC000034604426	LSJZKIXVXAAQSW-UHFFFAOYSA-N	189.243	3.050	10	10	AGCE	
[N-]=[N+]=NC[C@H]1C[C@@H]1c1ccccc1	ZINC000034618177	BOOIEAGZETYWSL-NXEZZACHSA-N	173.219	3.100	10	10	AGCE	
C[C@H](N=[N+]=[N-])C1CCCCC1	ZINC000034621737	VQCRZVSCYIFJJR-ZETCQYMHSA-N	153.229	3.266	10	10	AGCE	
CCCCCC[C@](C)(O)CN=[N+]=[N-]	ZINC000034622222	YXSBTQOBEOUCHT-VIFPVBQESA-N	185.271	3.018	10	10	AGCE	
CCCCCC[C@@](C)(O)CN=[N+]=[N-]	ZINC000034622223	YXSBTQOBEOUCHT-SECBINFHSA-N	185.271	3.018	10	10	AGCE	
COc1ccc(C(C)(C)N=[N+]=[N-])cc1	ZINC000034628799	HPQGSGREOAUEQT-UHFFFAOYSA-N	191.234	3.241	10	10	AGCE	
C#C[C@@H](N=[N+]=[N-])Sc1ccccc1	ZINC000034632793	PWPCNDAMKCXSTA-VIFPVBQESA-N	189.243	3.048	10	10	AGCE	
C#C[C@H](N=[N+]=[N-])Sc1ccccc1	ZINC000034632794	PWPCNDAMKCXSTA-SECBINFHSA-N	189.243	3.048	10	10	AGCE	
C[C@@H]1CC[C@H](C(C)(C)N=[N+]=[N-])C(=O)C1	ZINC000034788423	FJNNQWBMWPZHJQ-SFYZADRCSA-N	195.266	3.081	10	10	AGCE	
C[C@@H]1CC[C@@H](C(C)(C)N=[N+]=[N-])C(=O)C1	ZINC000034788427	FJNNQWBMWPZHJQ-HTQZYQBOSA-N	195.266	3.081	10	10	AGCE	
CCCCC[C@@H](CC(C)=O)N=[N+]=[N-]	ZINC000035077357	LXELRCUJAJDELJ-VIFPVBQESA-N	183.255	3.225	10	10	AGCE	
CCCCC[C@H](CC(C)=O)N=[N+]=[N-]	ZINC000035077358	LXELRCUJAJDELJ-SECBINFHSA-N	183.255	3.225	10	10	AGCE	
CC(=O)C[C@H](N=[N+]=[N-])c1ccccc1	ZINC000035077363	WPKDJFVPUMUTDK-JTQLQIEISA-N	189.218	3.017	10	10	AGCE	
CC(=O)C[C@@H](N=[N+]=[N-])c1ccccc1	ZINC000035077364	WPKDJFVPUMUTDK-SNVBAGLBSA-N	189.218	3.017	10	10	AGCE	
C[C@@H](CCc1ccccc1)N=[N+]=[N-]	ZINC000036420015	ATSYLQAKLUUERQ-VIFPVBQESA-N	175.235	3.318	10	10	AGCE	
C[C@H](CCc1ccccc1)N=[N+]=[N-]	ZINC000036448175	ATSYLQAKLUUERQ-SECBINFHSA-N	175.235	3.318	10	10	AGCE	
[N-]=[N+]=NCc1coc2ccccc12	ZINC000036466533	GVVANYDDCVSRNY-UHFFFAOYSA-N	173.175	3.243	10	10	AGCE	
CCCCC[C@@H](C)N=[N+]=[N-]	ZINC000037632098	NRVTURQCYUSMIV-SSDOTTSWSA-N	141.218	3.266	10	10	AGCE	
CCCCC[C@H](C)N=[N+]=[N-]	ZINC000037632100	NRVTURQCYUSMIV-ZETCQYMHSA-N	141.218	3.266	10	10	AGCE	
