smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CCCCCC(=O)C(=O)CCCCC	ZINC000002019462	HGPCKXFCLDLIFH-UHFFFAOYSA-N	198.306	3.285	10	1	AGCF	
CCCC/N=N\N/C=C\C(C)(C)C	ZINC000005707412	IFRQDNGLUFFUBK-CLFYSBASSA-N	183.299	3.303	10	1	AGCF	
CCn1c(O)c(N=N)c2ccccc21	ZINC000006343573	PNYGJTYWRDZUJK-UHFFFAOYSA-N	189.218	3.029	10	1	AGCF	
Oc1ccc(/N=N/c2ccccn2)cc1	ZINC000015722850	YFRFEGAIERVYOL-BUHFOSPRSA-N	199.213	3.203	10	1	AGCF	
C=C/N=N/Nc1ccc(Cl)cc1	ZINC000017109768	CNWBAOFGOZRYRT-UHFFFAOYSA-N	181.626	3.263	10	1	AGCF	
C/C=C\N=N\Nc1ccc(OC)cc1	ZINC000017109791	ODLDTMYOXVZNFD-BAQGIRSFSA-N	191.234	3.008	10	1	AGCF	
C/C=C(C)/N=N/Nc1ccccc1	ZINC000017109801	GRWHOCRWKGWXLU-YCRREMRBSA-N	175.235	3.389	10	1	AGCF	
C/C=C(/C)N/N=N/c1ccccc1	ZINC000017109803	GRWHOCRWKGWXLU-OQFOIZHKSA-N	175.235	3.199	10	1	AGCF	
C/C=C\N=N\Nc1ccccc1OC	ZINC000017109806	IGMJGKGRROCJBL-BAQGIRSFSA-N	191.234	3.008	10	1	AGCF	
CCCC/N=N/N/C=C/C(C)(C)C	ZINC000017129288	IFRQDNGLUFFUBK-VQHVLOKHSA-N	183.299	3.303	10	1	AGCF	
CN(C)/N=N/c1ccc2ccccc2c1	ZINC000017164886	BNQNFIPKQHSURA-BUHFOSPRSA-N	199.257	3.400	10	1	AGCF	
Cc1ccc(/N=N\N2CCCC2)cc1	ZINC000017322729	FYPQKRQVDPMSNP-SEYXRHQNSA-N	189.262	3.090	10	1	AGCF	
Oc1ccc(/N=N/c2ccccc2)o1	ZINC000017886037	DCKAMYOOABZMCH-VAWYXSNFSA-N	188.186	3.401	10	1	AGCF	
c1ccc(/N=N/N2CCCCC2)cc1	ZINC000018098736	WQMOWDRIXRBJBW-OUKQBFOZSA-N	189.262	3.171	10	1	AGCF	
N=Nc1ccc(N=N)cc1	ZINC000033802606	PLOKSIAQZNRXMI-UHFFFAOYSA-N	134.142	3.012	10	1	AGCF	
CC(C)(C)/N=N/c1ccccc1C#N	ZINC000034455175	KFLIXWGEERCSGI-BUHFOSPRSA-N	187.246	3.440	10	1	AGCF	
Cc1cc(C)n(-c2ccccc2)c1C	ZINC000037637560	ZTOHWDLNOIEOPY-UHFFFAOYSA-N	185.270	3.403	10	1	AGCF	
[N-]=[N+]=NCC/C=C\c1ccccc1	ZINC000090366971	IQPQJISCIYMTKI-YWEYNIOJSA-N	173.219	3.400	10	1	AGCF	
[N-]=[N+]=NCC/C=C/c1ccccc1	ZINC000090366972	IQPQJISCIYMTKI-XBXARRHUSA-N	173.219	3.400	10	1	AGCF	
C=C=C=C=C=Cc1ccc(N(C)C)cc1	ZINC000090501854	HAIOXASBDSIAML-UHFFFAOYSA-N	195.265	3.016	10	1	AGCF	
CSC(=N)/N=N/c1ccccc1	ZINC000090557656	DAZJHKXHDLVVHM-VVKPDYKWSA-N	179.248	3.068	10	1	AGCF	
CC(C)(C)/N=N/c1ccccc1O	ZINC000090715458	ZWLLAZZUMJDHRI-VAWYXSNFSA-N	178.235	3.274	10	1	AGCF	
S=C/C=C(/Cl)c1ccccc1	ZINC000090744630	FTBCZISBKOMZCO-RMKNXTFCSA-N	182.675	3.266	10	1	AGCF	
S=C/C=C(\Cl)c1ccccc1	ZINC000090744632	FTBCZISBKOMZCO-TWGQIWQCSA-N	182.675	3.266	10	1	AGCF	
Cc1ccc(-c2ccc3n2CCC3)o1	ZINC000095620533	SEBQZNHXPWYZSW-UHFFFAOYSA-N	187.242	3.003	10	1	AGCF	in-man
c1ccc(/N=N\N2CCCCC2)cc1	ZINC000100217264	WQMOWDRIXRBJBW-SEYXRHQNSA-N	189.262	3.171	10	1	AGCF	
Cc1ccc(/N=N/N2CCCC2)cc1	ZINC000100251308	FYPQKRQVDPMSNP-OUKQBFOZSA-N	189.262	3.090	10	1	AGCF	
CSC(=N)/N=N\c1ccccc1	ZINC000100426847	DAZJHKXHDLVVHM-HWDIUJSMSA-N	179.248	3.068	10	1	AGCF	
CC(C)(C)/N=N\c1ccccc1C#N	ZINC000100440685	KFLIXWGEERCSGI-YPKPFQOOSA-N	187.246	3.440	10	1	AGCF	
Nc1ccc(/N=N\c2ccccn2)cc1	ZINC000100454908	XTEFWOLOHINNFH-PFONDFGASA-N	198.229	3.079	10	1	AGCF	
Nc1ccc(/N=N\c2cccnc2)cc1	ZINC000100454912	OMTKKQGRVFJXNW-PFONDFGASA-N	198.229	3.079	10	1	AGCF	
CC(C)(C)/N=N\c1ccccc1O	ZINC000100522296	ZWLLAZZUMJDHRI-QXMHVHEDSA-N	178.235	3.274	10	1	AGCF	
Oc1ccc(/N=N\c2ccccc2)o1	ZINC000102757225	DCKAMYOOABZMCH-QXMHVHEDSA-N	188.186	3.401	10	1	AGCF	
c1ccc(/N=N\c2ccncc2)cc1	ZINC000105287598	STGZUKHALNSQAG-YPKPFQOOSA-N	183.214	3.497	10	1	AGCF	
CN(C)/N=N\c1ccc2ccccc2c1	ZINC000105450693	BNQNFIPKQHSURA-YPKPFQOOSA-N	199.257	3.400	10	1	AGCF	
Cc1cc(C)c(/N=N\N(C)C)c(C)c1	ZINC000105450998	DLLZWQCBOQDMMO-SEYXRHQNSA-N	191.278	3.172	10	1	AGCF	
CCCC#CCCc1ccc(N)cc1	ZINC000107534728	HVNCNRUDLHOBNA-UHFFFAOYSA-N	187.286	3.005	10	1	AGCF	
C/C=C\[C@@H](C)Cc1ccc(N)cc1	ZINC000107534788	PZVWZMBDTSCBNN-UMBAGQNISA-N	175.275	3.024	10	1	AGCF	
C/C=C\[C@H](C)Cc1ccc(N)cc1	ZINC000107534793	PZVWZMBDTSCBNN-XOULXFPDSA-N	175.275	3.024	10	1	AGCF	
CC/C=C\[C@@H](C)Cc1ccc(N)cc1	ZINC000107534803	LPCQRFYSBVYXLJ-DOGVGXBMSA-N	189.302	3.414	10	1	AGCF	
CC/C=C\[C@H](C)Cc1ccc(N)cc1	ZINC000107534805	LPCQRFYSBVYXLJ-WYGGZMRJSA-N	189.302	3.414	10	1	AGCF	
[N-]=[N+]=NCCc1cccc(Cl)c1	ZINC000169312810	LJURTTRYYKQLGW-UHFFFAOYSA-N	181.626	3.193	10	1	AGCF	
c1ccc(/N=N\Cc2cccnc2)cc1	ZINC000169721388	FWVRGBVVRJQGJM-PFONDFGASA-N	197.241	3.366	10	1	AGCF	
c1ccc(/N=N/Cc2ccccn2)cc1	ZINC000169721405	KQQUZWUVYOHOAM-CCEZHUSRSA-N	197.241	3.366	10	1	AGCF	
c1ccc(/N=N/Cc2ccncc2)cc1	ZINC000169721417	PVYGWTUNVIDVRS-CCEZHUSRSA-N	197.241	3.366	10	1	AGCF	
