smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
ClCc1c(Cl)cncc1Cl	ZINC000095616417	WSCWUDUWNRNXBH-UHFFFAOYSA-N	196.464	3.127	30	50	AGEA	
CCCCCC/C=C\C(C)=O	ZINC000095618131	JRPDANVNRUIUAB-HJWRWDBZSA-N	154.253	3.102	30	50	AGEA	in-man
COc1cc(Cl)cc(CCl)c1	ZINC000095635196	QSHIZISXBATBMJ-UHFFFAOYSA-N	191.057	3.087	30	50	AGEA	
Cl/C=C(\Cl)C(Cl)Cl	ZINC000095670346	JUGQRTGGLWOBPG-UPHRSURJSA-N	179.861	3.109	30	50	AGEA	
SCCc1ccc2ccccc2c1	ZINC000095729267	GPXNBMMDNQAKHZ-UHFFFAOYSA-N	188.295	3.312	30	50	AGEA	
CC(C)c1ccccc1CCS	ZINC000095729274	PXVUCDYULOBBMY-UHFFFAOYSA-N	180.316	3.282	30	50	AGEA	
CC(C)c1cccc(CCS)c1	ZINC000095729277	MBUUYVAPCCKJRD-UHFFFAOYSA-N	180.316	3.282	30	50	AGEA	
CC(C)(C)c1cccc(CCS)c1	ZINC000095729291	QFJSZYJWZYNKPE-UHFFFAOYSA-N	194.343	3.456	30	50	AGEA	
Cc1ccc(Cl)cc1CCS	ZINC000095729295	RMYITYHLPNPMKZ-UHFFFAOYSA-N	186.707	3.121	30	50	AGEA	
Cc1ccc(CCS)cc1Cl	ZINC000095729298	WDBSPWMIKLRGLC-UHFFFAOYSA-N	186.707	3.121	30	50	AGEA	
Cc1c(Cl)cccc1CCS	ZINC000095729326	SOWUZZWAEAKDMZ-UHFFFAOYSA-N	186.707	3.121	30	50	AGEA	
Cc1cc(Cl)ccc1CCS	ZINC000095729331	VWJDANQXGAEISD-UHFFFAOYSA-N	186.707	3.121	30	50	AGEA	
CC(=C\c1ccc(F)cc1)/C(C)=N/O	ZINC000095802904	VYHCVEUJVXJGAO-NJHPPEEMSA-N	193.221	3.079	30	50	AGEA	
FC(F)c1ccc(CCl)cc1	ZINC000095829386	WPRVOAQXHDVAMK-UHFFFAOYSA-N	176.593	3.363	30	50	AGEA	
ClCc1ccc(-c2ccon2)cc1	ZINC000095830146	SZRBXIBISJMSGE-UHFFFAOYSA-N	193.633	3.080	30	50	AGEA	
CC(C)c1ccc(CC(=O)Cl)cc1	ZINC000095836250	UHVGNVUYVXIYSH-UHFFFAOYSA-N	196.677	3.118	30	50	AGEA	
Br[C@@H]1N=Nc2ccccc21	ZINC000095896322	WVKSBABKQYALGB-SSDOTTSWSA-N	197.035	3.177	30	50	AGEA	
Br[C@H]1N=Nc2ccccc21	ZINC000095896323	WVKSBABKQYALGB-ZETCQYMHSA-N	197.035	3.177	30	50	AGEA	
Cl/C=C(/Cl)C(Cl)Cl	ZINC000095902982	JUGQRTGGLWOBPG-OWOJBTEDSA-N	179.861	3.109	30	50	AGEA	
N#C/C=C\c1ccc(C(F)(F)F)cc1	ZINC000095918764	KOVQKDRPQUROPC-UPHRSURJSA-N	197.159	3.242	30	50	AGEA	
COc1cccc(CCl)c1Cl	ZINC000095930638	FVHVMCMOQQBSBY-UHFFFAOYSA-N	191.057	3.087	30	50	AGEA	
COc1cc(CCl)ccc1Cl	ZINC000095930642	WMRRGRXKYOAUQD-UHFFFAOYSA-N	191.057	3.087	30	50	AGEA	
Cc1ccc(CCl)c(Cl)c1	ZINC000095931702	RQYVMDCDEGTWQD-UHFFFAOYSA-N	175.058	3.387	30	50	AGEA	
ClCc1cccc2c1CCCC2	ZINC000096125903	RHDZJMWEZVMVPX-UHFFFAOYSA-N	180.678	3.304	30	50	AGEA	
Cc1cccc(CCl)c1Cl	ZINC000096301163	JZHJDKCFOSYOSS-UHFFFAOYSA-N	175.058	3.387	30	50	AGEA	
C(=N\C1CCCCC1)\c1ccccc1	ZINC000096444089	QKSQEJXIILKPDX-KAMYIIQDSA-N	187.286	3.438	30	50	AGEA	
CCCCCC1(C=O)CC(C)C1	ZINC000096509205	UWSOHTJQYLUBIA-UHFFFAOYSA-N	168.280	3.182	30	50	AGEA	
C=CC(=O)/C=C/c1ccc(Cl)cc1	ZINC000096675665	YFOMCUJFCGJLJI-VMPITWQZSA-N	192.645	3.108	30	50	AGEA	
CCCC(=O)/C=C/c1sccc1C	ZINC000096887944	FTRSZZSIMRXTPZ-AATRIKPKSA-N	194.299	3.439	30	50	AGEA	
N#CSc1ccc(Cl)cc1F	ZINC000097743313	RPYXTRBSPGXKGT-UHFFFAOYSA-N	187.626	3.052	30	50	AGEA	
[N-]=[N+]=Nc1ccnc(-c2ccccc2)n1	ZINC000097929759	INXDKASDFDYXJY-UHFFFAOYSA-N	197.201	3.085	30	50	AGEA	
Cc1cccc(Cl)c1CCl	ZINC000098095316	QBFRQIVHIHPAPQ-UHFFFAOYSA-N	175.058	3.387	30	50	AGEA	
Cc1nc(C(C)C)c(CS)s1	ZINC000098113754	JHMWPCZHQHJLDV-UHFFFAOYSA-N	187.333	3.005	30	50	AGEA	
FC(F)c1cccc(CCl)c1	ZINC000098210138	CVDJZDNOENRSTE-UHFFFAOYSA-N	176.593	3.363	30	50	AGEA	
C/C(=N\O)[C@H]1C[C@H]2[C@@H](C=C1C)C2(C)C	ZINC000098213273	ROWVVQNLCFRLBG-DVPFFEGKSA-N	193.290	3.075	30	50	AGEA	
CC1(C)[C@H]2CC[C@@H](C2)[C@@]1(C)N=C=S	ZINC000100014923	JPUCWJZXLGZCHP-ATZCPNFKSA-N	195.331	3.304	30	50	AGEA	
CC1(C)[C@@H]2CC[C@H](C2)[C@@]1(C)N=C=S	ZINC000100014928	JPUCWJZXLGZCHP-FXPVBKGRSA-N	195.331	3.304	30	50	AGEA	
C(=N/c1ccccc1)\c1ccccc1	ZINC000100017976	UVEWQKMPXAHFST-SDNWHVSQSA-N	181.238	3.437	30	50	AGEA	
Oc1ccc(/N=C\c2ccccc2)cc1	ZINC000100019752	BVTLIIQDQAUXOI-UVTDQMKNSA-N	197.237	3.143	30	50	AGEA	
Cc1ccccc1C(Cl)Cl	ZINC000100032477	WPZKRYLMVCPDJR-UHFFFAOYSA-N	175.058	3.471	30	50	AGEA	
Cc1cccc(C(Cl)Cl)c1	ZINC000100032482	WEKWESONWFRESL-UHFFFAOYSA-N	175.058	3.471	30	50	AGEA	
CC(C)(C)C(=O)/C=C(\O)C(C)(C)C	ZINC000100032829	SOZFXLUMSLXZFW-FPLPWBNLSA-N	184.279	3.090	30	50	AGEA	
C(=N/c1ccccc1)\c1cccs1	ZINC000100039062	NLHBEOFSSBIRFO-FMIVXFBMSA-N	187.267	3.499	30	50	AGEA	
C/C(=C\CCl)c1ccccc1	ZINC000100041420	DRTWWVVORUNCJP-VQHVLOKHSA-N	166.651	3.329	30	50	AGEA	
C(=N/Cc1ccccc1)\c1ccccc1	ZINC000100058772	MIYKHJXFICMPOJ-RVDMUPIBSA-N	195.265	3.306	30	50	AGEA	
C/C(=N\O)C12CC3CC(CC(C3)C1)C2	ZINC000100059099	NOWUKHMRBUCWRA-MDWZMJQESA-N	193.290	3.053	30	50	AGEA	
C/C(=N/O)c1ccc2ccccc2c1	ZINC000100059141	YRZUZUFUJBIBSV-LCYFTJDESA-N	185.226	3.038	30	50	AGEA	
CCCCCCC=C=CC#N	ZINC000100069564	XNZAVJMQEGRAIL-UHFFFAOYSA-N	149.237	3.192	30	50	AGEA	
C/C=C/C(=O)C1=C(C)C=CCC1(C)C	ZINC000100070359	POIARNZEYGURDG-FNORWQNLSA-N	190.286	3.434	30	50	AGEA	endogenous,in-man
C/C(=N\O)c1cccc2ccccc21	ZINC000100070384	KHNGQTJKEPANSZ-UKTHLTGXSA-N	185.226	3.038	30	50	AGEA	
ClCc1ccc(CCl)s1	ZINC000100070580	OJBWNBCXVFAMEX-UHFFFAOYSA-N	181.087	3.226	30	50	AGEA	
N#Cc1ccccc1C(Cl)Cl	ZINC000100072305	WASRSQYJNVCGFU-UHFFFAOYSA-N	186.041	3.034	30	50	AGEA	
CC1(C)C[C@@]2(C)CCCC=C2[C@H]1C=O	ZINC000100072598	GOWIYTQTDKCRDA-DGCLKSJQSA-N	192.302	3.348	30	50	AGEA	
CC1(C)[C@H]2C[C@H]1[C@](C)(S)CC2	ZINC000100073720	ZPUCQOXKFCVYGL-NQMVMOMDSA-N	170.321	3.131	30	50	AGEA	in-man
