smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C(=N\c1ccccc1)\c1cccs1	ZINC000000571284	NLHBEOFSSBIRFO-XFXZXTDPSA-N	187.267	3.499	30	40	AGEB	
C/C=N\c1nc2ccccc2s1	ZINC000000799093	DLGSLGPTYFMNCI-SGAXSIHGSA-N	176.244	3.019	30	40	AGEB	
Cc1ccc(SCCl)cc1	ZINC000001420772	VFQYMJYUSRAJCZ-UHFFFAOYSA-N	172.680	3.283	30	40	AGEB	
CCC(=O)/C=C/c1ccc(Cl)cc1	ZINC000001560236	UJJNGTBRZSXFRI-VMPITWQZSA-N	194.661	3.332	30	40	AGEB	
CC[C@@H](C)C(=O)/C=C/c1ccccc1	ZINC000001570353	WFGOLZASNPMUPD-PBQZMEPESA-N	188.270	3.315	30	40	AGEB	
CC[C@H](C)C(=O)/C=C/c1ccccc1	ZINC000001570355	WFGOLZASNPMUPD-USKTWTLRSA-N	188.270	3.315	30	40	AGEB	
CC(C)=CC(=O)Sc1ccccc1	ZINC000001574915	DUWSYFKVXXEFID-UHFFFAOYSA-N	192.283	3.272	30	40	AGEB	
CCCc1ccc(C[C@@H](C)C=O)cc1	ZINC000001589921	MYFZHVIROUHFHS-LLVKDONJSA-N	190.286	3.017	30	40	AGEB	
C=CCC1(C)C=C(C)C(=O)C(C)=C1	ZINC000001591047	XYYWLVQJYLWPSQ-UHFFFAOYSA-N	176.259	3.044	30	40	AGEB	
CC(C)CCNCCCCCCl	ZINC000001598719	MMIHJYSLKYSQQJ-UHFFFAOYSA-N	191.746	3.031	30	40	AGEB	
CC1(C)CCCC(C)(C)C1=NO	ZINC000001600010	RZWWYFLNOJPCNO-UHFFFAOYSA-N	169.268	3.053	30	40	AGEB	
C=CCC1=C(C)C[C@H]2CCC(=O)C=C12	ZINC000001615925	HCGMOUUTCMZXFP-SNVBAGLBSA-N	188.270	3.188	30	40	AGEB	
CC(C)c1cc(SC#N)ccc1O	ZINC000001661520	PFOFFYXKDJXQHP-UHFFFAOYSA-N	193.271	3.089	30	40	AGEB	
CCCC[C@@](C=O)(CC)CCC#N	ZINC000001666776	KBJKNUWIYZFLGT-NSHDSACASA-N	181.279	3.076	30	40	AGEB	
C[C@H]1CC[C@](C)(C(=O)Cl)C1(C)C	ZINC000001667706	MCSGEBVLLSLSNN-OIBJUYFYSA-N	188.698	3.214	30	40	AGEB	
C[C@@H]1CC[C@](C)(C(=O)Cl)C1(C)C	ZINC000001667707	MCSGEBVLLSLSNN-GMSGAONNSA-N	188.698	3.214	30	40	AGEB	
C[C@H]1CC[C@@](C)(C(=O)Cl)C1(C)C	ZINC000001667708	MCSGEBVLLSLSNN-XVKPBYJWSA-N	188.698	3.214	30	40	AGEB	
C[C@@H]1CC[C@@](C)(C(=O)Cl)C1(C)C	ZINC000001667709	MCSGEBVLLSLSNN-XCBNKYQSSA-N	188.698	3.214	30	40	AGEB	
CC(=O)/C=C/[C@@H]1CC(C)=C[C@H](C)[C@@H]1C	ZINC000001669524	DGFJDZRKSVHFAM-HNSJSBKASA-N	192.302	3.370	30	40	AGEB	
CC1=CC(=O)CC[C@H]1c1ccccc1	ZINC000001675466	CSCVNZBOXIYQIN-CYBMUJFWSA-N	186.254	3.079	30	40	AGEB	
C=C(CCl)CC(C)(C)C	ZINC000001679574	KTNQWBJWGYULLP-UHFFFAOYSA-N	146.661	3.218	30	40	AGEB	
O=C(/C=C/c1ccco1)C1CCCC1	ZINC000001681288	KDJCLVWEWFGZAD-BQYQJAHWSA-N	190.242	3.052	30	40	AGEB	
C[C@H](CCc1ccccc1)C(=O)Cl	ZINC000001682858	PUPIOOXFPITOGF-SECBINFHSA-N	196.677	3.021	30	40	AGEB	
CCCCCCCSC#N	ZINC000001683478	MAYXOEYPLLPIBN-UHFFFAOYSA-N	157.282	3.171	30	40	AGEB	
Cl[C@H]1CCCO[C@H]1c1ccccc1	ZINC000001684637	UFPNQKLWOZEGNN-QWRGUYRKSA-N	196.677	3.146	30	40	AGEB	
Cl[C@H]1CCCO[C@@H]1c1ccccc1	ZINC000001684638	UFPNQKLWOZEGNN-WDEREUQCSA-N	196.677	3.146	30	40	AGEB	
Cl[C@@H]1CCCO[C@H]1c1ccccc1	ZINC000001684639	UFPNQKLWOZEGNN-MNOVXSKESA-N	196.677	3.146	30	40	AGEB	
Cl[C@@H]1CCCO[C@@H]1c1ccccc1	ZINC000001684640	UFPNQKLWOZEGNN-GHMZBOCLSA-N	196.677	3.146	30	40	AGEB	
ClC[C@@H](Cl)[C@@H]1C[C@H]2C=C[C@@H]1C2	ZINC000001686709	SKDIROKMSZBRFE-JQCXWYLXSA-N	191.101	3.045	30	40	AGEB	
CC(C)[C@@H](C)NCCCCCCl	ZINC000001686750	NFKSXPVUDICAME-SNVBAGLBSA-N	191.746	3.030	30	40	AGEB	
CCCCCNCCCCCCl	ZINC000001687480	CNQQKGJWGJYKLV-UHFFFAOYSA-N	191.746	3.175	30	40	AGEB	
CCC[C@@H](CC)N(CC)CCCl	ZINC000001690891	NMOWQKRPRQDDPO-SNVBAGLBSA-N	191.746	3.126	30	40	AGEB	
CCC/C(C)=C(/C#N)CC	ZINC000001694851	FCYAAPPQJNJYHO-CMDGGOBGSA-N	137.226	3.037	30	40	AGEB	
CC1=CC(=O)[C@H](c2ccccc2)CC1	ZINC000001705990	HQQSYHVJFAZTTQ-LBPRGKRZSA-N	186.254	3.079	30	40	AGEB	
N#CC1=C[C@@H]2CCCC[C@@H]2CC1	ZINC000001719006	RLEPFSDBNRLXMW-MNOVXSKESA-N	161.248	3.037	30	40	AGEB	
N#CC1=C[C@H]2CCCC[C@@H]2CC1	ZINC000001719008	RLEPFSDBNRLXMW-GHMZBOCLSA-N	161.248	3.037	30	40	AGEB	
CC1=C(C#N)C(C)(C)c2ccccc21	ZINC000001720552	MIWRJPWMRHQEND-UHFFFAOYSA-N	183.254	3.275	30	40	AGEB	
CCCCC(=O)/C=C/c1ccccc1	ZINC000001724992	FXQWBEDPJCDXQM-ZHACJKMWSA-N	188.270	3.459	30	40	AGEB	
C[C@H]1CC[C@@H]2C(=CC(=O)CC2(C)C)C1	ZINC000001725741	OHKRINGDNODYOX-JOYOIKCWSA-N	192.302	3.348	30	40	AGEB	
C[C@@H]1CC[C@@H]2C(=CC(=O)CC2(C)C)C1	ZINC000001725742	OHKRINGDNODYOX-BXKDBHETSA-N	192.302	3.348	30	40	AGEB	
CCCCC[C@@H](C)SC#N	ZINC000001755580	NHIITCMFXJRSAQ-MRVPVSSYSA-N	157.282	3.169	30	40	AGEB	
CCCCCC(C)(C)N=C=S	ZINC000001755732	WPMQCFOALWRKBG-UHFFFAOYSA-N	171.309	3.448	30	40	AGEB	
C=CC[C@@]12CCCCC1=CC(=O)CC2	ZINC000001761990	CNFCTAGBKZKUEB-ZDUSSCGKSA-N	190.286	3.412	30	40	AGEB	
C[C@]12CCCCC1=CC(=O)CCC2	ZINC000001765167	SQMNBJSTOPFIKL-GFCCVEGCSA-N	178.275	3.246	30	40	AGEB	
C[C@@H](Cl)CC[C@@H](C)Cl	ZINC000002019756	RRFNCPBJVPQIPP-PHDIDXHHSA-N	155.068	3.021	30	40	AGEB	
