smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
O/N=C1\CCCC\C1=C/c1ccco1	ZINC000000201091	BAXQDIGRTXHTMT-MVKOLZDDSA-N	191.230	3.067	30	30	AGEC	
N#CC(C#N)=C1CCCCCCC1	ZINC000003164453	KEAAYSLVXYFMHV-UHFFFAOYSA-N	174.247	3.074	30	30	AGEC	
Fc1cccc(F)c1C(Cl)Cl	ZINC000003172337	NQFUESPETLDORH-UHFFFAOYSA-N	197.011	3.441	30	30	AGEC	
CC/C=C1/C(=O)[C@@]2(C)CC[C@@H]1C2(C)C	ZINC000004266287	FFPUXAKQEIEKNL-OFHWQZLXSA-N	192.302	3.348	30	30	AGEC	
C/C=N/c1ccc(/N=C/C)cc1	ZINC000005372142	JVEIXKUSEWPNEE-HMMKTVFPSA-N	160.220	3.131	30	30	AGEC	
C/C(C=C(C#N)C#N)=C/c1ccccc1	ZINC000005502702	CSTGFZWTUMWSDE-XFFZJAGNSA-N	194.237	3.063	30	30	AGEC	
CC(=O)c1ccc(/N=C\C(C)C)cc1	ZINC000006906561	NRTHHXAPOWWRJE-JYRVWZFOSA-N	189.258	3.248	30	30	AGEC	
Cc1ccc([C@@H](C)N=C=S)cc1	ZINC000009246076	HBKLILJWIGHMNX-SECBINFHSA-N	177.272	3.159	30	30	AGEC	
Cc1ccc([C@H](C)N=C=S)cc1	ZINC000009246077	HBKLILJWIGHMNX-VIFPVBQESA-N	177.272	3.159	30	30	AGEC	
Cc1ccc(CCCN=C=S)cc1	ZINC000009246085	GRMUGUHWAVQWTE-UHFFFAOYSA-N	191.299	3.030	30	30	AGEC	
O=C(/C=C\c1ccoc1)c1ccccc1	ZINC000033383563	SZXYNCIHDTYDIG-SREVYHEPSA-N	198.221	3.176	30	30	AGEC	
CC(/C=C\c1ccc(Cl)cc1)=N/O	ZINC000033498874	YOUBYEFJHQOASU-CXNFFOGLSA-N	195.649	3.203	30	30	AGEC	
CCc1ccc(/C=C\C(C)=N/O)s1	ZINC000033898194	JDMBJIQAMIMXBQ-YMVJEYMASA-N	195.287	3.174	30	30	AGEC	
CC(C)(C)/N=C/C=C/c1ccco1	ZINC000034179717	MILVUVZJZIGBSG-RZYXTZOYSA-N	177.247	3.162	30	30	AGEC	
CCCCCC[C@H](S)CS	ZINC000034494121	GBGFSXCJKDCHKQ-QMMMGPOBSA-N	178.366	3.185	30	30	AGEC	
CCCCCC[C@@H](S)CS	ZINC000034494122	GBGFSXCJKDCHKQ-MRVPVSSYSA-N	178.366	3.185	30	30	AGEC	
CC(C)(/C=N/C1CCCCC1)N=[N+]=[N-]	ZINC000034618923	VGUBDXJAWOHSLX-XYOKQWHBSA-N	194.282	3.479	30	30	AGEC	
CC(C)=CC1=CC(=O)c2ccccc21	ZINC000036466689	WPVWLPSMACWOGN-UHFFFAOYSA-N	184.238	3.233	30	30	AGEC	
SCC12CC3CC(CC(C3)C1)C2	ZINC000038879955	NXRADMCEZCGVMS-UHFFFAOYSA-N	182.332	3.133	30	30	AGEC	
CC(C)(C)N=C1CCCCC1	ZINC000039242808	OJZIBHZTNVZYEE-UHFFFAOYSA-N	153.269	3.190	30	30	AGEC	
O=C1CCCCC1=C1CCCC1	ZINC000039261026	BOWXDTJGVPJWIA-UHFFFAOYSA-N	164.248	3.000	30	30	AGEC	
C[C@H]1CC=C(C(C)(C)S)CC1	ZINC000054965158	TUYIAQPWVBIDBM-QMMMGPOBSA-N	170.321	3.441	30	30	AGEC	
C[C@@H]1CC=C(C(C)(C)S)CC1	ZINC000054965160	TUYIAQPWVBIDBM-MRVPVSSYSA-N	170.321	3.441	30	30	AGEC	
CC(C)CCCCCCl	ZINC000056958898	SFGBOBMTMFHZJH-UHFFFAOYSA-N	148.677	3.442	30	30	AGEC	
CC1=C(C2=C(C)C(=O)c3ccccc32)C1	ZINC000059247114	WIUBIPJJFYKBFV-UHFFFAOYSA-N	196.249	3.377	30	30	AGEC	
CC1(C)CCCC[C@@H]1Cl	ZINC000083822028	KXSJTRRJBJAAQU-ZETCQYMHSA-N	146.661	3.194	30	30	AGEC	
CC1(C)CCCC[C@H]1Cl	ZINC000083822030	KXSJTRRJBJAAQU-SSDOTTSWSA-N	146.661	3.194	30	30	AGEC	
CC(=O)/C=C\[C@H]1CC=C(C)C[C@H]1C	ZINC000096502077	MHYAPRSMSRBFFO-ZXIUILOBSA-N	178.275	3.124	30	30	AGEC	
CC(=O)/C=C\[C@H]1CC=C(C)C[C@@H]1C	ZINC000096502080	MHYAPRSMSRBFFO-VYELJELPSA-N	178.275	3.124	30	30	AGEC	
O=C(/C=C\c1ccccc1)c1ccoc1	ZINC000098025318	ORYOLMHIUIJCQE-SREVYHEPSA-N	198.221	3.176	30	30	AGEC	
C/C=C\C(=O)[C@H]1[C@@H](C)C=CCC1(C)C	ZINC000101066065	XEJGJTYRUWUFFD-VYELJELPSA-N	192.302	3.370	30	30	AGEC	
CC(/C=C\c1ccc(Cl)cc1)=N\O	ZINC000101448800	YOUBYEFJHQOASU-IOJGMCHMSA-N	195.649	3.203	30	30	AGEC	
CC(/C=C/c1ccc(Cl)cc1)=N/O	ZINC000101448804	YOUBYEFJHQOASU-JBBJQFSESA-N	195.649	3.203	30	30	AGEC	
C/C(=N/O)c1ccc(C(C)(C)C)cc1	ZINC000101993216	SBTRCSJNYODJPM-LCYFTJDESA-N	191.274	3.182	30	30	AGEC	
Cc1ccc(/N=C\c2ccncc2)cc1	ZINC000102115288	SMJIGEXSNJETQS-GDNBJRDFSA-N	196.253	3.141	30	30	AGEC	
CC[C@@H](C)c1ccc(/C(C)=N\O)cc1	ZINC000102403101	BNUYRVBOTLKZTD-BLKPKJALSA-N	191.274	3.398	30	30	AGEC	
CC[C@H](C)c1ccc(/C(C)=N\O)cc1	ZINC000102403104	BNUYRVBOTLKZTD-FWSONLODSA-N	191.274	3.398	30	30	AGEC	
Cc1ccccc1/N=C\c1ccco1	ZINC000102648936	RPAVZASBWVLTDS-LCYFTJDESA-N	185.226	3.339	30	30	AGEC	
CC/C=C1/C(=O)[C@@]2(C)CC[C@H]1C2(C)C	ZINC000103210335	FFPUXAKQEIEKNL-HPAUXDNMSA-N	192.302	3.348	30	30	AGEC	
CCCCC/C(=N/O)c1ccccc1	ZINC000103611206	VJSWURAFVQDAGF-SEYXRHQNSA-N	191.274	3.445	30	30	AGEC	
O/N=C1/CCCC/C1=C/c1ccco1	ZINC000103699445	BAXQDIGRTXHTMT-MURFETPASA-N	191.230	3.067	30	30	AGEC	
O/N=C1/CCCC/C1=C\c1ccco1	ZINC000103699449	BAXQDIGRTXHTMT-UPDVNHGHSA-N	191.230	3.067	30	30	AGEC	
CCc1ccc(/C=C/C(C)=N\O)s1	ZINC000103818770	JDMBJIQAMIMXBQ-LSHNQJRFSA-N	195.287	3.174	30	30	AGEC	
CCc1ccc(/C=C\C(C)=N\O)s1	ZINC000103818776	JDMBJIQAMIMXBQ-LGXSBLIVSA-N	195.287	3.174	30	30	AGEC	
ClCC/C=C\c1ccccc1	ZINC000103839118	HIPMXTORBGIBCC-YWEYNIOJSA-N	166.651	3.329	30	30	AGEC	
CC(C)c1coc(CCl)c1	ZINC000104714740	YRQCZKFCRASGPK-UHFFFAOYSA-N	158.628	3.142	30	30	AGEC	
CCC1=C(CC)C(=O)c2ccccc21	ZINC000104834106	BUDCKSLJPQKXET-UHFFFAOYSA-N	186.254	3.457	30	30	AGEC	
CC(C)(C)C1=Cc2ccccc2C1=O	ZINC000104834249	ZOLDVLHEKYUGGP-UHFFFAOYSA-N	186.254	3.312	30	30	AGEC	
CC(C)O/C=C1/CCCC(C)(C)C1=O	ZINC000104838219	DEGZLYXEPARTGU-NTMALXAHSA-N	196.290	3.075	30	30	AGEC	
CC(C)N=C1[C@H](C)CCC[C@@H]1C	ZINC000104839494	KLXSJQLKJZIXNA-AOOOYVTPSA-N	167.296	3.292	30	30	AGEC	
CC(C)N=C1[C@@H](C)CCC[C@@H]1C	ZINC000104839497	KLXSJQLKJZIXNA-UWVGGRQHSA-N	167.296	3.292	30	30	AGEC	
CC(C)N=C1[C@H](C)CCC[C@H]1C	ZINC000104839502	KLXSJQLKJZIXNA-NXEZZACHSA-N	167.296	3.292	30	30	AGEC	
Nc1cccc(/N=C\c2ccccc2)c1	ZINC000105001528	NWKRTZPKLMBAJN-GDNBJRDFSA-N	196.253	3.019	30	30	AGEC	
Nc1ccccc1/N=C\c1ccccc1	ZINC000105503003	CSRSTILEXCMIAW-GDNBJRDFSA-N	196.253	3.019	30	30	AGEC	
CCCCCCCC(=O)/C=C(/C)O	ZINC000106262530	YKFXCQDQFIIWJO-KTKRTIGZSA-N	184.279	3.378	30	30	AGEC	
Cc1cccc(/N=C\c2ccco2)c1	ZINC000108373497	CWGOLYXBBBGIBC-LCYFTJDESA-N	185.226	3.339	30	30	AGEC	
CC(=O)/C=C\c1c(C)cc(C)cc1C	ZINC000108487859	LWXBQPWVAVMPDK-WAYWQWQTSA-N	188.270	3.214	30	30	AGEC	
CCO/C(=C/CCCl)SCC	ZINC000108555168	NVPCMJPOXHTMIR-VURMDHGXSA-N	194.727	3.246	30	30	AGEC	
CCC(=O)/C=C\C=C/c1ccccc1	ZINC000108818119	WNDOOTKZPIFDKJ-SQXCDDPUSA-N	186.254	3.235	30	30	AGEC	
CCC(=O)/C=C/C=C\c1ccccc1	ZINC000108818121	WNDOOTKZPIFDKJ-NAKBGQTNSA-N	186.254	3.235	30	30	AGEC	
CCC(=O)/C=C\C=C\c1ccccc1	ZINC000108818123	WNDOOTKZPIFDKJ-QZTBCQRESA-N	186.254	3.235	30	30	AGEC	
CCCC/N=C(\C)c1ccccc1O	ZINC000109803729	OXHZFLTWVLNLTM-JLHYYAGUSA-N	191.274	3.001	30	30	AGEC	
CC(C)(C)C/C(=N\O)c1ccccc1	ZINC000109825785	SAXOGJWJNOURPR-ACCUITESSA-N	191.274	3.301	30	30	AGEC	
FC(F)(F)c1ccc(CCl)o1	ZINC000116637812	XRHKYNNUNUGEBX-UHFFFAOYSA-N	184.544	3.037	30	30	AGEC	
C/C=C\C(=O)[C@@H]1[C@@H](C)C=CCC1(C)C	ZINC000140274817	XEJGJTYRUWUFFD-KWZYSKORSA-N	192.302	3.370	30	30	AGEC	
C[Si](C)(CCl)Cc1ccccc1	ZINC000195818272	MEMDIECPWPQFCX-UHFFFAOYSA-N	198.769	3.255	30	30	AGEC	
O/N=C1/CCCCC2=CC=CC=C1C2	ZINC000206579958	BPOAKTAVEUGPQT-SEYXRHQNSA-N	189.258	3.203	30	30	AGEC	
C/C=C\[C@@H](CC=O)Cc1ccccc1	ZINC000222067991	MQJCCBCMQIBAMV-DWMUBGRBSA-N	188.270	3.010	30	30	AGEC	
C/C=C\[C@H](CC=O)Cc1ccccc1	ZINC000222068052	MQJCCBCMQIBAMV-DBGMKRSLSA-N	188.270	3.010	30	30	AGEC	
CCCC[C@@H](CC)[C@@H]1O[C@@H]1Cl	ZINC000226448905	WFAKUADABZOIKZ-VGMNWLOBSA-N	176.687	3.167	30	30	AGEC	
CCCC[C@H](CC)[C@@H]1O[C@@H]1Cl	ZINC000226448911	WFAKUADABZOIKZ-CIUDSAMLSA-N	176.687	3.167	30	30	AGEC	
CCCC[C@@H](CC)[C@H]1O[C@@H]1Cl	ZINC000226448917	WFAKUADABZOIKZ-HLTSFMKQSA-N	176.687	3.167	30	30	AGEC	
CCCC[C@H](CC)[C@H]1O[C@@H]1Cl	ZINC000226448920	WFAKUADABZOIKZ-YIZRAAEISA-N	176.687	3.167	30	30	AGEC	
CC(=O)/C=C\[C@@H]1CC=C(C)C[C@@H]1C	ZINC000228947620	MHYAPRSMSRBFFO-KWZYSKORSA-N	178.275	3.124	30	30	AGEC	
CC(=O)/C=C\[C@@H]1[C@@H](C)C=C(C)C[C@@H]1C	ZINC000229612022	FETSKTIMHFKZNF-GVJMBWBJSA-N	192.302	3.370	30	30	AGEC	
