smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C[C@@]1(CC2CCC2)C[C@H]1CCl	ZINC000229773328	XPIVIBXMVKOGKU-VHSXEESVSA-N	172.699	3.442	30	20	AGED	
C[C@]1(CC2CCC2)C[C@H]1CCl	ZINC000229773335	XPIVIBXMVKOGKU-UWVGGRQHSA-N	172.699	3.442	30	20	AGED	
CC[C@@H](Cl)CNCCCC(C)C	ZINC000230028568	SIJKXPPGCCRTOV-SNVBAGLBSA-N	191.746	3.030	30	20	AGED	
CC[C@H](Cl)CNCCCC(C)C	ZINC000230028573	SIJKXPPGCCRTOV-JTQLQIEISA-N	191.746	3.030	30	20	AGED	
CCC(CC)CNC[C@H](Cl)CC	ZINC000230029031	CGQOOHLFLWSELE-SNVBAGLBSA-N	191.746	3.030	30	20	AGED	
CCC(CC)CNC[C@@H](Cl)CC	ZINC000230029036	CGQOOHLFLWSELE-JTQLQIEISA-N	191.746	3.030	30	20	AGED	
CCCCCCNC[C@@H](Cl)CC	ZINC000230029627	MPVXHHRUPHHGAK-JTQLQIEISA-N	191.746	3.174	30	20	AGED	
CCCCCCNC[C@H](Cl)CC	ZINC000230029629	MPVXHHRUPHHGAK-SNVBAGLBSA-N	191.746	3.174	30	20	AGED	
CC[C@@H](Cl)CNCCC(C)(C)C	ZINC000230030064	NSHISCBNTLYAMA-SECBINFHSA-N	191.746	3.030	30	20	AGED	
CC[C@H](Cl)CNCCC(C)(C)C	ZINC000230030068	NSHISCBNTLYAMA-VIFPVBQESA-N	191.746	3.030	30	20	AGED	
CCC[C@@H](C)CNC[C@@H](Cl)CC	ZINC000230030468	XFTPXOLGRKYWIO-ZJUUUORDSA-N	191.746	3.030	30	20	AGED	
CCC[C@H](C)CNC[C@@H](Cl)CC	ZINC000230030473	XFTPXOLGRKYWIO-UWVGGRQHSA-N	191.746	3.030	30	20	AGED	
CCC[C@@H](C)CNC[C@H](Cl)CC	ZINC000230030480	XFTPXOLGRKYWIO-NXEZZACHSA-N	191.746	3.030	30	20	AGED	
CCC[C@H](C)CNC[C@H](Cl)CC	ZINC000230030488	XFTPXOLGRKYWIO-VHSXEESVSA-N	191.746	3.030	30	20	AGED	
CCC(CC)NC[C@@H](Cl)C(C)C	ZINC000230032486	DOXPYFJIWYLGOD-SNVBAGLBSA-N	191.746	3.028	30	20	AGED	
CCC(CC)NC[C@H](Cl)C(C)C	ZINC000230032491	DOXPYFJIWYLGOD-JTQLQIEISA-N	191.746	3.028	30	20	AGED	
CCC[C@@H](Cl)[C@@H](C)COCC	ZINC000230081711	PYPUHGJZVWXTOH-DTWKUNHWSA-N	178.703	3.067	30	20	AGED	
CCC[C@H](Cl)[C@@H](C)COCC	ZINC000230081716	PYPUHGJZVWXTOH-IUCAKERBSA-N	178.703	3.067	30	20	AGED	
CCC[C@@H](Cl)[C@H](C)COCC	ZINC000230081718	PYPUHGJZVWXTOH-RKDXNWHRSA-N	178.703	3.067	30	20	AGED	
CCC[C@H](Cl)[C@H](C)COCC	ZINC000230081723	PYPUHGJZVWXTOH-BDAKNGLRSA-N	178.703	3.067	30	20	AGED	
