smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
S=C=Nc1ccc2ccsc2n1	ZINC000238718672	QUEZOZMFIAROGM-UHFFFAOYSA-N	192.268	3.031	30	10	AGEE	
S=C=Nc1ccc2sccc2n1	ZINC000238718747	SSZDPQQMQZDJPN-UHFFFAOYSA-N	192.268	3.031	30	10	AGEE	
[N-]=[N+]=Nc1ccccc1CS	ZINC000238724385	FBAHMCFLRBNSLQ-UHFFFAOYSA-N	165.221	3.058	30	10	AGEE	
[N-]=[N+]=NCC[C@H](S)c1ccccc1	ZINC000238724608	PFRJMXWTKSDHTL-VIFPVBQESA-N	193.275	3.358	30	10	AGEE	
[N-]=[N+]=NCC[C@@H](S)c1ccccc1	ZINC000238724900	PFRJMXWTKSDHTL-SECBINFHSA-N	193.275	3.358	30	10	AGEE	
Oc1cc2ccccc2cc1CCl	ZINC000238724973	JYASSBWXUCHHCL-UHFFFAOYSA-N	192.645	3.284	30	10	AGEE	
[N-]=[N+]=Nc1oc2ccccc2c1O	ZINC000238726144	DDZQRKWBKRDQHL-UHFFFAOYSA-N	175.147	3.080	30	10	AGEE	
Oc1cccc2c(CCl)cccc12	ZINC000238726147	HSYJVYWNBVEOKN-UHFFFAOYSA-N	192.645	3.284	30	10	AGEE	
Oc1cccc2cc(CCl)ccc12	ZINC000238726416	XQQZEQGJARVXFV-UHFFFAOYSA-N	192.645	3.284	30	10	AGEE	
Oc1cccc2ccc(CCl)cc12	ZINC000238726501	ZBHBIXYAOJJNNN-UHFFFAOYSA-N	192.645	3.284	30	10	AGEE	
Oc1cccc2cccc(CCl)c12	ZINC000238726557	UZXNHFNNEUAMRW-UHFFFAOYSA-N	192.645	3.284	30	10	AGEE	
