smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC1=C(CCCl)SCCS1	ZINC000000024813	ZXMOOEJQVTVIDF-UHFFFAOYSA-N	194.752	3.327	30	1	AGEF	
CC(C)=CCCC(C)=C(C#N)C#N	ZINC000001557092	GLLVZOMLPJQHAY-UHFFFAOYSA-N	174.247	3.096	30	1	AGEF	
CCCC/C=C(\C#N)SCC	ZINC000001571560	XCKZCELNXAAKGS-VQHVLOKHSA-N	169.293	3.337	30	1	AGEF	
CCCC/C=C(/C#N)SCC	ZINC000001571561	XCKZCELNXAAKGS-CLFYSBASSA-N	169.293	3.337	30	1	AGEF	
CCS/C(C#N)=C/c1ccccc1	ZINC000001571562	OFQODHXOSHSVGM-DHZHZOJOSA-N	189.283	3.304	30	1	AGEF	
C=CC[C@H]1CCCC/C1=C/C#N	ZINC000001600444	OJQRLEOJQGRQMX-DFYQSJSGSA-N	161.248	3.203	30	1	AGEF	
C=CC[C@@H]1CCCC/C1=C/C#N	ZINC000001600446	OJQRLEOJQGRQMX-UBYNWHESSA-N	161.248	3.203	30	1	AGEF	
CCC/C=C(/C=C/C(C)=O)CC	ZINC000001602674	UULJBKAOVSGSCP-WSMCZHAYSA-N	166.264	3.268	30	1	AGEF	
CCC/C(C)=C(\C#N)C(C)C	ZINC000001602885	VCUGWCHJBAIPCO-MDZDMXLPSA-N	151.253	3.283	30	1	AGEF	
CCc1cccc(C(C)=C(C#N)C#N)c1	ZINC000001603307	HBZQQHHRAJYMEX-UHFFFAOYSA-N	196.253	3.070	30	1	AGEF	
C=CCC1(/C=N/N(C)C)CCCCC1	ZINC000001604884	JINTVUWLJTYQRC-ACCUITESSA-N	194.322	3.060	30	1	AGEF	
CC1(C)CC(c2ccccc2)=CC1=O	ZINC000001641167	DHDAHIRKCHKSKA-UHFFFAOYSA-N	186.254	3.069	30	1	AGEF	
C/C=N/CCCCCCCC	ZINC000001719109	WVEIZKIBZWESKM-NYYWCZLTSA-N	155.285	3.438	30	1	AGEF	
CCC[N+](=CC1CCCCC1)CCC	ZINC000001728238	BERUYQCQCHCOJD-UHFFFAOYSA-N	196.358	3.470	30	1	AGEF	
ClCC/C=C/C=C/CCCl	ZINC000001729068	OBEMTTVLQFDSPD-ZPUQHVIOSA-N	179.090	3.357	30	1	AGEF	
CCCC/N=C/C(C)(C)NCCCC	ZINC000001731257	LNDBSPJBSBZVSU-ACCUITESSA-N	198.354	3.026	30	1	AGEF	
C[C@@H]1CCC2=CC(=O)CC[C@@]2(C)[C@H]1C	ZINC000001744397	QQMPLAFJBLHDPK-NRUUGDAUSA-N	192.302	3.348	30	1	AGEF	
c1ccc(N=C2SCCS2)cc1	ZINC000001758077	NIHKXHCRGWYVLM-UHFFFAOYSA-N	195.312	3.154	30	1	AGEF	
CCCCCC/C=C(\C)C(C)=O	ZINC000002003188	FKAXTVXZKQJKBJ-MDZDMXLPSA-N	168.280	3.492	30	1	AGEF	biogenic,in-vitro
N#CC1=CC[C@H]2CCCC[C@@H]2C1	ZINC000002036475	DYMRRCCUYBAVRP-GHMZBOCLSA-N	161.248	3.037	30	1	AGEF	
N#CC1=CC[C@@H]2CCCC[C@@H]2C1	ZINC000002036476	DYMRRCCUYBAVRP-WDEREUQCSA-N	161.248	3.037	30	1	AGEF	
CC(C)(C=O)C/C=C/c1ccccc1	ZINC000004759997	ZQNBCNJBAWIUKC-RMKNXTFCSA-N	188.270	3.315	30	1	AGEF	
CC(C)[C@H]1CC[C@H](C)C/C1=N\S	ZINC000005052218	VHLCYURDQOXTJK-LLSMPOEESA-N	185.336	3.364	30	1	AGEF	
CC(C)[C@@H]1CC[C@H](C)C/C1=N\S	ZINC000005052221	VHLCYURDQOXTJK-IYORNCFKSA-N	185.336	3.364	30	1	AGEF	
CC(C)=NSc1ccccc1	ZINC000005125193	DZXGPEWLIHOSRG-UHFFFAOYSA-N	165.261	3.175	30	1	AGEF	
CC(/C=C/C=C\c1ccccc1)=N/O	ZINC000005412449	GJVIAABVIGDQLQ-YWQXJMRPSA-N	187.242	3.106	30	1	AGEF	
N#CC1=CC[C@@H]2CCCC[C@H]2C1	ZINC000005425954	DYMRRCCUYBAVRP-QWRGUYRKSA-N	161.248	3.037	30	1	AGEF	
N#CC1=CC[C@H]2CCCC[C@H]2C1	ZINC000005425957	DYMRRCCUYBAVRP-MNOVXSKESA-N	161.248	3.037	30	1	AGEF	
CCC/C=C(\C=C/C(C)=O)CC	ZINC000005523203	UULJBKAOVSGSCP-VVPOTFPNSA-N	166.264	3.268	30	1	AGEF	
CC[C@@]1(C)[C@@H](C)C(=O)C=C(C)[C@@H]1C	ZINC000005651338	NWRKGLAPSUFTME-JBLDHEPKSA-N	180.291	3.204	30	1	AGEF	
CC[C@]1(C)[C@@H](C)C(=O)C=C(C)[C@@H]1C	ZINC000005651657	NWRKGLAPSUFTME-NHCYSSNCSA-N	180.291	3.204	30	1	AGEF	
CCC[C@@H]1[C@H](C)C=C(C)C[C@@H]1C=O	ZINC000005839932	APHMNJONLCSFTD-IJLUTSLNSA-N	180.291	3.204	30	1	AGEF	
CCC[C@@H]1[C@@H](C)C=C(C)C[C@@H]1C=O	ZINC000005839973	APHMNJONLCSFTD-QJPTWQEYSA-N	180.291	3.204	30	1	AGEF	
CCC[C@H]1[C@H](C)C=C(C)C[C@@H]1C=O	ZINC000005843261	APHMNJONLCSFTD-UTUOFQBUSA-N	180.291	3.204	30	1	AGEF	
CCC[C@H]1[C@@H](C)C=C(C)C[C@@H]1C=O	ZINC000005843293	APHMNJONLCSFTD-TUAOUCFPSA-N	180.291	3.204	30	1	AGEF	
CC1(C)[C@@H]2CC[C@@]1(C)[C@@H](S)C2	ZINC000005887444	YZBDTMJKESVEBP-WEDXCCLWSA-N	170.321	3.131	30	1	AGEF	
CCC1=C(C)C(=O)C[C@H](C)[C@H]1CC	ZINC000005923519	XTLADQIHXKMVGQ-WCBMZHEXSA-N	180.291	3.348	30	1	AGEF	
CCC1=C(C)C(=O)C[C@@H](C)[C@@H]1CC	ZINC000005954554	XTLADQIHXKMVGQ-SCZZXKLOSA-N	180.291	3.348	30	1	AGEF	
CCC1=C(C)C(=O)C[C@H](C)[C@@H]1CC	ZINC000005954598	XTLADQIHXKMVGQ-WPRPVWTQSA-N	180.291	3.348	30	1	AGEF	
CC1(C)[C@H]2CC[C@]1(C)[C@@H](S)C2	ZINC000008581316	YZBDTMJKESVEBP-OYNCUSHFSA-N	170.321	3.131	30	1	AGEF	
C=C(C)C(=O)/C=C/C=C/c1ccccc1	ZINC000008682285	YIIMSMXCURRONT-JMQWPVDRSA-N	198.265	3.401	30	1	AGEF	
CCCCC/C=C\C=C\C(=O)Cl	ZINC000013433427	AFMIIARRPIKVMP-NMMTYZSQSA-N	186.682	3.445	30	1	AGEF	biogenic,in-vitro
C(=N/Oc1ccccc1)\c1ccccc1	ZINC000013610890	DVMZBNAFEMOUBT-SDNWHVSQSA-N	197.237	3.100	30	1	AGEF	
C/C=C/C(=O)[C@@H]1C(C)=CC=CC1(C)C	ZINC000014587790	JGBBQKAJVHEQJM-PZBABLGHSA-N	190.286	3.290	30	1	AGEF	biogenic,in-vitro
C/C=C/C(=O)[C@H]1C(C)=CC=CC1(C)C	ZINC000014587791	JGBBQKAJVHEQJM-HOSRBBHYSA-N	190.286	3.290	30	1	AGEF	biogenic,in-vitro
CC(=O)/C=C(/C)[C@H]1CC=C(C)CC1	ZINC000014591037	SSDLCRAPQKJETK-CUZBXDDWSA-N	178.275	3.268	30	1	AGEF	biogenic,in-vitro
CC(=O)/C=C(/C)[C@@H]1CC=C(C)CC1	ZINC000014591038	SSDLCRAPQKJETK-VPUINMBXSA-N	178.275	3.268	30	1	AGEF	biogenic,in-vitro
C/C=C(/C)C(=O)CCCCC	ZINC000014592516	OSRWKMOFHSWRRX-UITAMQMPSA-N	154.253	3.102	30	1	AGEF	biogenic,in-vitro
C/C(C[C@H](C)c1ccc(C)cc1)=N\O	ZINC000014592887	LFNPMWMZMMJEHD-GYXQTMOZSA-N	191.274	3.339	30	1	AGEF	biogenic,in-vitro
C/C(C[C@@H](C)c1ccc(C)cc1)=N\O	ZINC000014592888	LFNPMWMZMMJEHD-IMTQZCPYSA-N	191.274	3.339	30	1	AGEF	biogenic,in-vitro
CCCCCC/C(CC)=N\O	ZINC000014614379	UYPVPBFQQUHERE-KTKRTIGZSA-N	157.257	3.197	30	1	AGEF	biogenic,in-vitro
CCCCC/C=C\CC(=O)Cl	ZINC000014614422	ZJHVRKOJRYXRBP-SREVYHEPSA-N	174.671	3.278	30	1	AGEF	biogenic,in-vitro
C/C=C\CC/C(CCC)=N\N(C)C	ZINC000014614432	JHEKFFXCUXKQJI-PZZLUBSOSA-N	182.311	3.060	30	1	AGEF	biogenic,in-vitro
CCC(=O)/C=C/CCc1ccccc1	ZINC000014651898	ODCSFCQFCURYEG-YRNVUSSQSA-N	188.270	3.155	30	1	AGEF	biogenic,in-vitro
C/C=C/C=C/C(=O)c1ccccc1	ZINC000014651934	GHNBEBDYYSVNEK-XPQLPGEHSA-N	172.227	3.002	30	1	AGEF	biogenic,in-vitro
CC(/C=C/C=C/c1ccccc1)=N\O	ZINC000014651937	GJVIAABVIGDQLQ-QSEZCERFSA-N	187.242	3.106	30	1	AGEF	biogenic,in-vitro
C[C@@H]1C(=O)C=C2[C@@]1(C)C=CCC2(C)C	ZINC000014724756	KTDAEZJBJUWAPC-RNCFNFMXSA-N	190.286	3.124	30	1	AGEF	endogenous,in-man
C[C@H]1C(=O)C=C2[C@@]1(C)C=CCC2(C)C	ZINC000014724758	KTDAEZJBJUWAPC-ZANVPECISA-N	190.286	3.124	30	1	AGEF	endogenous,in-man
C[C@@H]1C(=O)C=C2[C@]1(C)C=CCC2(C)C	ZINC000014724760	KTDAEZJBJUWAPC-NOZJJQNGSA-N	190.286	3.124	30	1	AGEF	endogenous,in-man
C[C@H]1C(=O)C=C2[C@]1(C)C=CCC2(C)C	ZINC000014724762	KTDAEZJBJUWAPC-TVQRCGJNSA-N	190.286	3.124	30	1	AGEF	endogenous,in-man
C/C=C(C)/C=C(\C)C(=O)C(C)C	ZINC000014822701	OLHSYGLZSVKPQQ-KZZDLZNXSA-N	166.264	3.124	30	1	AGEF	biogenic,in-vitro
CC(=O)/C=C/c1ccc(C)c(C)c1C	ZINC000014822767	MEDKLEZVUNZBJS-SOFGYWHQSA-N	188.270	3.214	30	1	AGEF	biogenic,in-vitro
C/C=C/C(C)=C/[C@H](C)C(=O)/C=C\C	ZINC000015119693	OFWGUFXBLWMHQC-OSCOYYNTSA-N	178.275	3.290	30	1	AGEF	biogenic,in-vitro
C/C=C/C(C)=C/[C@@H](C)C(=O)/C=C\C	ZINC000015119694	OFWGUFXBLWMHQC-RZPDXIHBSA-N	178.275	3.290	30	1	AGEF	biogenic,in-vitro
C=C/C=C(\C)CC(=O)C=C(C)C	ZINC000015120242	HUDJVPUYYQAOOD-UXBLZVDNSA-N	164.248	3.044	30	1	AGEF	biogenic,in-vitro
CCC[C@@H](C)/C=C(\C)C(=O)CC	ZINC000015120249	CCYCIXXXZQOWPQ-NCXKZPMSSA-N	168.280	3.348	30	1	AGEF	biogenic,in-vitro
CC(C)C1=CC(=O)[C@H]2CC[C@H](C)[C@H]2C1	ZINC000015204449	WJVCBBRYKVMYMG-ZMLRMANQSA-N	192.302	3.204	30	1	AGEF	biogenic,in-vitro
CC(C)C1=CC(=O)[C@H]2CC[C@@H](C)[C@H]2C1	ZINC000015204451	WJVCBBRYKVMYMG-ADEWGFFLSA-N	192.302	3.204	30	1	AGEF	biogenic,in-vitro
C/C=C/C(=O)[C@H](CC)CCCC	ZINC000015204820	PZVVKXFLWXFMRH-VHODGJRUSA-N	168.280	3.348	30	1	AGEF	biogenic,in-vitro
C/C=C/C(=O)[C@@H](CC)CCCC	ZINC000015204821	PZVVKXFLWXFMRH-YVFTVSHDSA-N	168.280	3.348	30	1	AGEF	biogenic,in-vitro
CCC/C=C/C(=O)C(CC)CC	ZINC000015204826	SFCCFHSGURXYKD-CMDGGOBGSA-N	168.280	3.348	30	1	AGEF	biogenic,in-vitro
CCCC(=O)/C=C\c1ccc(C)cc1	ZINC000016955082	GHFIARGXUAXOGL-KTKRTIGZSA-N	188.270	3.377	30	1	AGEF	
CCS/C(C#N)=C\c1ccccc1	ZINC000017121280	OFQODHXOSHSVGM-FLIBITNWSA-N	189.283	3.304	30	1	AGEF	
C=CC[C@@H]1CCCC/C1=C\C#N	ZINC000017162230	OJQRLEOJQGRQMX-MXBGMFSPSA-N	161.248	3.203	30	1	AGEF	
C=CC[C@H]1CCCC/C1=C\C#N	ZINC000017162233	OJQRLEOJQGRQMX-NGPGYTDTSA-N	161.248	3.203	30	1	AGEF	
CCC/C(C)=C(/C#N)C(C)C	ZINC000017163941	VCUGWCHJBAIPCO-KTKRTIGZSA-N	151.253	3.283	30	1	AGEF	
C=CCC1(/C=N\N(C)C)CCCCC1	ZINC000017173451	JINTVUWLJTYQRC-QBFSEMIESA-N	194.322	3.060	30	1	AGEF	
Cc1ccc(/C=C\C(=O)C(C)C)cc1	ZINC000017218026	JQTJAMXNMIMRDL-HJWRWDBZSA-N	188.270	3.233	30	1	AGEF	
CCC/C=C(/C=C\C(C)=O)CC	ZINC000017284702	UULJBKAOVSGSCP-NVKZJLNYSA-N	166.264	3.268	30	1	AGEF	
CCC/C=C(\C=C\C(C)=O)CC	ZINC000017284706	UULJBKAOVSGSCP-UVTPKQPNSA-N	166.264	3.268	30	1	AGEF	
CCc1ccccc1/N=C\c1ccc[nH]1	ZINC000017378206	QXGNCAGGNVBSAA-GDNBJRDFSA-N	198.269	3.328	30	1	AGEF	
C[C@@]12CCCCC1=C/C(=N/O)CC2	ZINC000026293052	MTUSIFHFRNIWPP-OCUQMRJBSA-N	179.263	3.117	30	1	AGEF	
CC(C)C/C=N/CCC(C)C	ZINC000031375283	WYNULUURQZBBSK-YRNVUSSQSA-N	155.285	3.149	30	1	AGEF	endogenous,in-man
CC[C@H](C)/C=N/CCC(C)C	ZINC000032166501	RDMRJKOVIBJRLL-NGPGYTDTSA-N	155.285	3.149	30	1	AGEF	
O/N=C1\CCCC=C1c1ccccc1	ZINC000032223085	LTMMJYYLUGHQNF-OUKQBFOZSA-N	187.242	3.084	30	1	AGEF	
CCCC/C=C/CCCC=O	ZINC000033820567	FJVGFBFLXXDIAP-AATRIKPKSA-N	154.253	3.102	30	1	AGEF	
CC(=O)/C=C/c1c(C)ccc(C)c1C	ZINC000033951083	AHHGVKNOSDJAQN-BQYQJAHWSA-N	188.270	3.214	30	1	AGEF	
C#C[C@H](CCCCC)/N=C/C(C)C	ZINC000034484507	RVMVNWLTFAVEHU-GMCKNXKJSA-N	179.307	3.295	30	1	AGEF	
C#C[C@@H](CCCCC)/N=C/C(C)C	ZINC000034484508	RVMVNWLTFAVEHU-CVCOIXHCSA-N	179.307	3.295	30	1	AGEF	
CC(C)C/C=C/C(=O)c1ccccc1	ZINC000034484624	QTRLSRWKVAYOBV-UXBLZVDNSA-N	188.270	3.472	30	1	AGEF	
C/C=C/C(=O)/C(C)=C(/C)C(C)C	ZINC000034574581	QWRGOHMKGNCVAC-KQHSAVHASA-N	166.264	3.124	30	1	AGEF	
C=C[C@H](C)C(=O)C1=C(C(=C)C)CCC1	ZINC000034776510	PTXNGPRPMHYTDT-JTQLQIEISA-N	190.286	3.434	30	1	AGEF	
C=C[C@@H](C)C(=O)C1=C(C(=C)C)CCC1	ZINC000034776512	PTXNGPRPMHYTDT-SNVBAGLBSA-N	190.286	3.434	30	1	AGEF	
CCCC(=O)/C=C/c1ccsc1	ZINC000034875576	QXDGNQKDVQSGLZ-SNAWJCMRSA-N	180.272	3.131	30	1	AGEF	
CC(C)(C=O)C/C=C\c1ccccc1	ZINC000034890866	ZQNBCNJBAWIUKC-TWGQIWQCSA-N	188.270	3.315	30	1	AGEF	
O/N=C/c1ccccc1-c1ccccc1	ZINC000035958156	CBNZEQPCKAXCOW-GXDHUFHOSA-N	197.237	3.162	30	1	AGEF	
C=C[C@@]1(C)CCC=C2C(=O)CCC[C@@H]21	ZINC000036381602	LTJLOOSMTDHEDS-AAEUAGOBSA-N	190.286	3.268	30	1	AGEF	
CC(C)(C)[C@H]1CCC=C(C#N)C1	ZINC000036436884	YLQUQSKHZIINOS-JTQLQIEISA-N	163.264	3.283	30	1	AGEF	
CC(C)(C)[C@@H]1CCC=C(C#N)C1	ZINC000036436885	YLQUQSKHZIINOS-SNVBAGLBSA-N	163.264	3.283	30	1	AGEF	
CCCC1=C(C(=O)c2ccccc2)C1	ZINC000036448356	VEEMVIDRFSLTPJ-UHFFFAOYSA-N	186.254	3.370	30	1	AGEF	
C=CCC[C@@H](S)CCCC	ZINC000037625647	LRRMPYAIHNIVOW-SECBINFHSA-N	158.310	3.441	30	1	AGEF	
C=CCC[C@H](S)CCCC	ZINC000037625648	LRRMPYAIHNIVOW-VIFPVBQESA-N	158.310	3.441	30	1	AGEF	
C=CC[C@@H](CS)c1ccccc1	ZINC000037625661	OQJHTUJVLVLGPH-NSHDSACASA-N	178.300	3.276	30	1	AGEF	
C=CC[C@H](CS)c1ccccc1	ZINC000037625662	OQJHTUJVLVLGPH-LLVKDONJSA-N	178.300	3.276	30	1	AGEF	
C=CC[C@@H]1CCCC[C@@H]1S	ZINC000037625742	RQGUGYLQESPTRL-BDAKNGLRSA-N	156.294	3.051	30	1	AGEF	
C=CC[C@H]1CCCC[C@@H]1S	ZINC000037625743	RQGUGYLQESPTRL-IUCAKERBSA-N	156.294	3.051	30	1	AGEF	
C=CC[C@@H]1CCCC[C@H]1S	ZINC000037625744	RQGUGYLQESPTRL-RKDXNWHRSA-N	156.294	3.051	30	1	AGEF	
C=CC[C@H]1CCCC[C@H]1S	ZINC000037625745	RQGUGYLQESPTRL-DTWKUNHWSA-N	156.294	3.051	30	1	AGEF	
C=C[C@H](C)[C@@H]1CCCC[C@@H]1S	ZINC000037625750	GAUSWSXVFOPWAJ-GUBZILKMSA-N	170.321	3.297	30	1	AGEF	
C=C[C@@H](C)[C@@H]1CCCC[C@@H]1S	ZINC000037625751	GAUSWSXVFOPWAJ-UTLUCORTSA-N	170.321	3.297	30	1	AGEF	
C=C[C@H](C)[C@H]1CCCC[C@@H]1S	ZINC000037625752	GAUSWSXVFOPWAJ-AEJSXWLSSA-N	170.321	3.297	30	1	AGEF	
C=C[C@@H](C)[C@H]1CCCC[C@@H]1S	ZINC000037625753	GAUSWSXVFOPWAJ-BBBLOLIVSA-N	170.321	3.297	30	1	AGEF	
C=CC[C@H]1CCCC[C@]1(C)S	ZINC000037625762	ZDKIWCPQVMMQAT-UWVGGRQHSA-N	170.321	3.441	30	1	AGEF	
C=CC[C@H]1CCCC[C@@]1(C)S	ZINC000037625763	ZDKIWCPQVMMQAT-VHSXEESVSA-N	170.321	3.441	30	1	AGEF	
C=CC[C@@H]1CCCC[C@]1(C)S	ZINC000037625764	ZDKIWCPQVMMQAT-ZJUUUORDSA-N	170.321	3.441	30	1	AGEF	
C=CC[C@@H]1CCCC[C@@]1(C)S	ZINC000037625765	ZDKIWCPQVMMQAT-NXEZZACHSA-N	170.321	3.441	30	1	AGEF	
CC(C)CCO/C=N/c1ccccc1	ZINC000037628449	HKXPIMAOOIAECA-JLHYYAGUSA-N	191.274	3.409	30	1	AGEF	
CCO/C(C)=N/c1ccccc1C	ZINC000037628604	RZCDKXVOXWNGOE-ZRDIBKRKSA-N	177.247	3.081	30	1	AGEF	
CCO/C(C)=N/c1cccc(C)c1	ZINC000037628606	BUMDNWTUDSGBDL-ZRDIBKRKSA-N	177.247	3.081	30	1	AGEF	
CCO/C(C)=N/c1ccc(C)cc1	ZINC000037628608	IVQUFBNLSVXRTB-ZRDIBKRKSA-N	177.247	3.081	30	1	AGEF	
CCO/C(C)=N/c1ccc(Cl)cc1	ZINC000037628610	LHFJUXYDFUYEPR-XYOKQWHBSA-N	197.665	3.426	30	1	AGEF	
CCO/C(C)=N/c1cccc(Cl)c1	ZINC000037628612	HUFZHEJRBRKSQX-XYOKQWHBSA-N	197.665	3.426	30	1	AGEF	
CCO/C(C)=N/c1ccccc1Cl	ZINC000037628614	SNVUJKAIPRQVCP-XYOKQWHBSA-N	197.665	3.426	30	1	AGEF	
CCO/C(C)=N/c1ccccc1CC	ZINC000037628616	WYLGJQTWKAVSGP-JLHYYAGUSA-N	191.274	3.335	30	1	AGEF	
CCO/C(C)=N/c1ccc(CC)cc1	ZINC000037628618	HDBOYAUHYVUMHK-JLHYYAGUSA-N	191.274	3.335	30	1	AGEF	
CCO/C(CC)=N/c1ccccc1	ZINC000037628620	XSSLEGSJCZHONI-VAWYXSNFSA-N	177.247	3.163	30	1	AGEF	
C/C=C/C(=O)[C@H](C)/C=C(C)\C=C\C	ZINC000038251366	OFWGUFXBLWMHQC-FKGXQKNASA-N	178.275	3.290	30	1	AGEF	
N#C/C=C\c1ccc2cccccc1-2	ZINC000038312403	GWQWPBYUOXIIGC-XQRVVYSFSA-N	179.222	3.328	30	1	AGEF	
C=C(OCC)C(=O)/C(C)=C/C(C)(C)C	ZINC000038350699	PKNNDFHYKPMZRB-CMDGGOBGSA-N	196.290	3.098	30	1	AGEF	
Oc1cccc(/N=C/c2ccccc2)c1	ZINC000039189363	VWIIIECKPYMZIP-GXDHUFHOSA-N	197.237	3.143	30	1	AGEF	
CCC(=N\O)/C(C)=C/c1ccsc1	ZINC000043206173	CZLHDEMBLZTFGA-UMYLGFLZSA-N	195.287	3.392	30	1	AGEF	in-vivo
CC(/C=N/O)=C\c1ccc(Cl)cc1	ZINC000045337114	BIRMMOKEXDRBDP-ULBORTECSA-N	195.649	3.203	30	1	AGEF	
CC(/C=C/c1cccc(Cl)c1)=N\O	ZINC000045337116	VVMWYPSTSXTRDL-DOQHAEMYSA-N	195.649	3.203	30	1	AGEF	
CCC(=N\O)/C(C)=C/c1cccs1	ZINC000049053506	IBGTZIUMMBHLKD-ZDVGBALWSA-N	195.287	3.392	30	1	AGEF	in-vitro
CCCCC/C=C/C(=O)SC	ZINC000056871188	FCLRSLXQHQQACT-BQYQJAHWSA-N	172.293	3.013	30	1	AGEF	in-vitro
CSCCCCCCC/C=N/O	ZINC000056874479	XKNUDVRSFJJTNT-CSKARUKUSA-N	189.324	3.150	30	1	AGEF	in-vitro,metabolite
C/C=C/C=N/CCCC/N=C/C=C\C	ZINC000058632954	GWPFNFBITHRYML-GLXJLBDYSA-N	192.306	3.060	30	1	AGEF	
CC(C)=Nc1cc(C)cc(C)c1	ZINC000059448229	ATIWWTOBIRDPKF-UHFFFAOYSA-N	161.248	3.416	30	1	AGEF	
CC1(C)[C@@H]2CC[C@@]1(C)[C@H](Cl)C2	ZINC000059660388	XXZAOMJCZBZKPV-MRTMQBJTSA-N	172.699	3.440	30	1	AGEF	
CCCC/C=C\CCCC=O	ZINC000059725459	FJVGFBFLXXDIAP-WAYWQWQTSA-N	154.253	3.102	30	1	AGEF	
C=Cc1cccc(CC)c1N=C	ZINC000071129746	PKOIQOKBVWRIRL-UHFFFAOYSA-N	159.232	3.224	30	1	AGEF	
C=C[C@]1(C)CCC=C2C(=O)CCC[C@@H]21	ZINC000072139647	LTJLOOSMTDHEDS-WCQYABFASA-N	190.286	3.268	30	1	AGEF	
C=C[C@@]1(C)CCC=C2C(=O)CCC[C@H]21	ZINC000072139648	LTJLOOSMTDHEDS-YPMHNXCESA-N	190.286	3.268	30	1	AGEF	
C=C[C@]1(C)CCC=C2C(=O)CCC[C@H]21	ZINC000072139649	LTJLOOSMTDHEDS-DGCLKSJQSA-N	190.286	3.268	30	1	AGEF	
C=C(C)C(=O)/C=C\C=C/c1ccccc1	ZINC000073057674	YIIMSMXCURRONT-SQXCDDPUSA-N	198.265	3.401	30	1	AGEF	
C=C(C)C(=O)/C=C/C=C\c1ccccc1	ZINC000073057678	YIIMSMXCURRONT-NAKBGQTNSA-N	198.265	3.401	30	1	AGEF	
