smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC[C@H](C)c1cccc2cccnc21	ZINC000005925521	UNHPNXMTAQYTRG-JTQLQIEISA-N	185.270	3.748	0	50	AHAA	
CC[C@@H](O)CC(C)(C)C1CCCCC1	ZINC000005925548	IXIFHBNAXLFBCN-GFCCVEGCSA-N	198.350	3.754	0	50	AHAA	
Cc1cccc2c(C)cc(=S)[nH]c12	ZINC000005932126	IDKGGDCCFSDICC-UHFFFAOYSA-N	189.283	3.514	0	50	AHAA	
CCCCCCc1ccc(OC)cc1	ZINC000005951312	IAINKDPTJUTRFY-UHFFFAOYSA-N	192.302	3.818	0	50	AHAA	
CCCCN[C@@H](CC)c1ccccc1	ZINC000005973602	BQNBGUDSGSWTRR-ZDUSSCGKSA-N	191.318	3.527	0	50	AHAA	
CCc1coc(-c2ccccc2)c1	ZINC000005985074	MNQNGBPXADRXCE-UHFFFAOYSA-N	172.227	3.509	0	50	AHAA	
C[C@@H](CCC#N)CCc1ccccc1	ZINC000006020460	MJQFJAHXUKARCW-LBPRGKRZSA-N	187.286	3.559	0	50	AHAA	
C=C1CCCC(C)(C)[C@@H]1CC[C@H](C)O	ZINC000006020651	XYSOCYCFJHMQON-NWDGAFQWSA-N	196.334	3.530	0	50	AHAA	
C=C1CCCC(C)(C)[C@H]1CC[C@H](C)O	ZINC000006020662	XYSOCYCFJHMQON-RYUDHWBXSA-N	196.334	3.530	0	50	AHAA	
CC1=C[C@@H](C)[C@@H](C(=O)C(C)(C)C)CC1	ZINC000006030567	ALXMEIMLYKTBHU-MNOVXSKESA-N	194.318	3.594	0	50	AHAA	
CC1=C[C@@H](C)[C@H](C(=O)C(C)(C)C)CC1	ZINC000006030572	ALXMEIMLYKTBHU-GHMZBOCLSA-N	194.318	3.594	0	50	AHAA	
CC(=O)CC[C@@H]1[C@H](C)CCCC1(C)C	ZINC000006030814	PQCDGQHNORPNBR-ZYHUDNBSSA-N	196.334	3.818	0	50	AHAA	
C[C@@H](O)CC[C@@H]1[C@H](C)CCCC1(C)C	ZINC000006030815	UZWOWEPOVKVMEL-IJLUTSLNSA-N	198.350	3.610	0	50	AHAA	
CC(=O)CC[C@H]1[C@H](C)CCCC1(C)C	ZINC000006030824	PQCDGQHNORPNBR-PWSUYJOCSA-N	196.334	3.818	0	50	AHAA	
C[C@@H](O)CC[C@H]1[C@H](C)CCCC1(C)C	ZINC000006030825	UZWOWEPOVKVMEL-UTUOFQBUSA-N	198.350	3.610	0	50	AHAA	
C[C@H](CCC#N)CCc1ccccc1	ZINC000006036191	MJQFJAHXUKARCW-GFCCVEGCSA-N	187.286	3.559	0	50	AHAA	
C=C1CCCC(C)(C)[C@@H]1CC[C@@H](C)O	ZINC000006036460	XYSOCYCFJHMQON-VXGBXAGGSA-N	196.334	3.530	0	50	AHAA	
C=C1CCCC(C)(C)[C@H]1CC[C@@H](C)O	ZINC000006036478	XYSOCYCFJHMQON-NEPJUHHUSA-N	196.334	3.530	0	50	AHAA	
C[C@H](c1ccccc1)c1ccccc1O	ZINC000006037195	WYZIVNCBUWDCOZ-LLVKDONJSA-N	198.265	3.544	0	50	AHAA	
CC1=C[C@H](C)[C@@H](C(=O)C(C)(C)C)CC1	ZINC000006037290	ALXMEIMLYKTBHU-QWRGUYRKSA-N	194.318	3.594	0	50	AHAA	
CC1=C[C@H](C)[C@H](C(=O)C(C)(C)C)CC1	ZINC000006037295	ALXMEIMLYKTBHU-WDEREUQCSA-N	194.318	3.594	0	50	AHAA	
