smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C=C(C)/C=C/c1ccc2ccccc2n1	ZINC000001089828	PHUZSKYJRUSIQB-VQHVLOKHSA-N	195.265	3.824	0	40	AHAB	
Cc1ccccc1-c1cccc(C#N)c1	ZINC000001256942	YWZPKVVVOMUEIE-UHFFFAOYSA-N	193.249	3.534	0	40	AHAB	
Cc1cccc(-c2ccc(C#N)cc2)c1	ZINC000001257456	KVEFDPQLIFYIIK-UHFFFAOYSA-N	193.249	3.534	0	40	AHAB	
Cc1cccc(-c2cccc(C#N)c2)c1	ZINC000001259533	ZBWBEYDSNCBLBZ-UHFFFAOYSA-N	193.249	3.534	0	40	AHAB	
Cc1cccc(-c2ccccc2C#N)c1	ZINC000001260026	BITRDALNSYHNBR-UHFFFAOYSA-N	193.249	3.534	0	40	AHAB	
Cc1sc2cc(C)nc(C)c2c1C	ZINC000001274830	OHESWUSTWGZSDO-UHFFFAOYSA-N	191.299	3.530	0	40	AHAB	
Cc1ccccc1OC1CCCCC1	ZINC000001467747	OREXNWWSQZUJJB-UHFFFAOYSA-N	190.286	3.707	0	40	AHAB	
Cc1cccc2ncc(C)c(Cl)c12	ZINC000001555244	PZMOHUYOINBHRV-UHFFFAOYSA-N	191.661	3.505	0	40	AHAB	
CCCCCCCCN(CC)CC	ZINC000001555293	BVUGARXRRGZONH-UHFFFAOYSA-N	185.355	3.689	0	40	AHAB	
C/C=C(\C)CCC=C(C)C	ZINC000001569111	MZPDTOMKQCMETI-BJMVGYQFSA-N	138.254	3.699	0	40	AHAB	
C/C=C(/C)CCC=C(C)C	ZINC000001569112	MZPDTOMKQCMETI-YHYXMXQVSA-N	138.254	3.699	0	40	AHAB	
CCCCC#CCC#Cc1ccccc1	ZINC000001569626	XJLIHHZYHAHLLS-UHFFFAOYSA-N	196.293	3.622	0	40	AHAB	
CCC(=S)SSC(C)(C)C	ZINC000001574741	GYLVCAFAZHTVHI-UHFFFAOYSA-N	194.390	3.904	0	40	AHAB	
