smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC(C)(C)c1ccc(-n2cccc2)cc1	ZINC000001519698	QFYLEADXKNLMPJ-UHFFFAOYSA-N	199.297	3.775	0	30	AHAC	
CCCCCC[C@@H](O)c1ccccc1	ZINC000002043538	UAJVCELPUNHGKE-CYBMUJFWSA-N	192.302	3.690	0	30	AHAC	
CC(C)(C)C=C1CCCCC1	ZINC000002528253	MHNGPSUOLFWERG-UHFFFAOYSA-N	152.281	3.923	0	30	AHAC	
CC(C)C[C@@H](C)Cc1ccco1	ZINC000002534123	WEKSZKJKFRVJRJ-SNVBAGLBSA-N	166.264	3.504	0	30	AHAC	
CC(C)[C@@H](C)Cc1cccs1	ZINC000002534125	KFHGFROBBOLKLV-VIFPVBQESA-N	168.305	3.583	0	30	AHAC	
CC(C)C[C@H](C)Cc1ccsc1	ZINC000002534127	ODQLHZXQMCMFRH-JTQLQIEISA-N	182.332	3.973	0	30	AHAC	
COc1ccc(C[C@@H](C)C(C)C)cc1	ZINC000002534130	YMYAMSRZUNSDIA-LLVKDONJSA-N	192.302	3.530	0	30	AHAC	
COc1ccccc1C[C@@H](C)C(C)C	ZINC000002534131	OKNBHLDLEKUDRK-LLVKDONJSA-N	192.302	3.530	0	30	AHAC	
CC(C)C[C@H](C)Cc1ccccc1	ZINC000002534133	QXXSGHXNHITGDL-LBPRGKRZSA-N	176.303	3.911	0	30	AHAC	
CCCCCC/C=C/[C@H](O)CC(C)C	ZINC000003132871	UJGUKHXDMCEZPY-LXKVQUBZSA-N	198.350	3.920	0	30	AHAC	
CCCCCC/C=C/[C@@H](O)CC(C)C	ZINC000003132873	UJGUKHXDMCEZPY-WTNCMQEWSA-N	198.350	3.920	0	30	AHAC	
CCCCc1cc(C)sc1C	ZINC000004204057	DUOSBQJOYVIVOR-UHFFFAOYSA-N	168.305	3.708	0	30	AHAC	
Cc1ccc2c3ccccc3n(C)c2c1	ZINC000005161053	COETUDAGODCCKP-UHFFFAOYSA-N	195.265	3.640	0	30	AHAC	
Cc1cnccc1/C=C\c1ccccc1	ZINC000006428797	YGRDOWVSTTUUHR-FPLPWBNLSA-N	195.265	3.560	0	30	AHAC	
CC(C)C[C@@H](C)Cc1ccsc1	ZINC000006883738	ODQLHZXQMCMFRH-SNVBAGLBSA-N	182.332	3.973	0	30	AHAC	
CC(C)C[C@H](C)Cc1ccco1	ZINC000006883781	WEKSZKJKFRVJRJ-JTQLQIEISA-N	166.264	3.504	0	30	AHAC	
COc1ccc(C[C@H](C)C(C)C)cc1	ZINC000006884206	YMYAMSRZUNSDIA-NSHDSACASA-N	192.302	3.530	0	30	AHAC	
COc1ccccc1C[C@H](C)C(C)C	ZINC000006884207	OKNBHLDLEKUDRK-NSHDSACASA-N	192.302	3.530	0	30	AHAC	
CC(C)[C@H](C)Cc1cccs1	ZINC000006884362	KFHGFROBBOLKLV-SECBINFHSA-N	168.305	3.583	0	30	AHAC	
C(=C\c1ccccc1)\c1cccs1	ZINC000031426684	DPAPGSNLWBQIGV-HJWRWDBZSA-N	186.279	3.919	0	30	AHAC	
CCCC[C@@]1(C)CC(=O)CC(C)(C)C1	ZINC000032178120	OQYPINSIPBBGJS-ZDUSSCGKSA-N	196.334	3.962	0	30	AHAC	
CCCC[C@]1(C)CC(=O)CC(C)(C)C1	ZINC000032178125	OQYPINSIPBBGJS-CYBMUJFWSA-N	196.334	3.962	0	30	AHAC	
Cc1ccc(/C=C\c2ccncc2)cc1	ZINC000032221535	GQLIWGHJUSUIRN-SREVYHEPSA-N	195.265	3.560	0	30	AHAC	
Clc1cccc(-c2ccco2)c1	ZINC000033524642	MNTLVEOXEPOPEQ-UHFFFAOYSA-N	178.618	3.600	0	30	AHAC	
Cc1coc(-c2ccc(C)cc2)c1	ZINC000034189429	QBGRLTBLBIXNIK-UHFFFAOYSA-N	172.227	3.563	0	30	AHAC	
CC(C)(C)Oc1cccc(Cl)c1	ZINC000034455136	MJGVPJDEMMMUFN-UHFFFAOYSA-N	184.666	3.517	0	30	AHAC	
CC(C)C[C@H]1CCC[C@H](CC(C)C)N1	ZINC000034528953	UMEAZVHLJSCGNV-CHWSQXEVSA-N	197.366	3.589	0	30	AHAC	
CC(C)C[C@H]1CCC[C@@H](CC(C)C)N1	ZINC000034528954	UMEAZVHLJSCGNV-BETUJISGSA-N	197.366	3.589	0	30	AHAC	
C/C=C\n1cccc1-c1ccccc1	ZINC000034914240	GJFVDRNIEQMYAJ-SGAXSIHGSA-N	183.254	3.646	0	30	AHAC	
CCCCC[C@H](O)/C=C\C(C)(C)C	ZINC000035237879	YGHBZKOPXCIYSG-JUDLJHIGSA-N	184.323	3.530	0	30	AHAC	
CCCCC[C@@H](O)/C=C\C(C)(C)C	ZINC000035237882	YGHBZKOPXCIYSG-DWOQACPDSA-N	184.323	3.530	0	30	AHAC	
C/C=C\CSc1ccccc1C	ZINC000035328619	OWLXBWGXBBZSLQ-ARJAWSKDSA-N	178.300	3.663	0	30	AHAC	
CCCCCCc1ccsc1C=O	ZINC000036420367	MLMPDHSLKLLTJI-UHFFFAOYSA-N	196.315	3.683	0	30	AHAC	
CC(C)=CC[C@@H]1C(=O)CCCC1(C)C	ZINC000036438488	IISMJRKJKIVZLL-LLVKDONJSA-N	194.318	3.738	0	30	AHAC	
CC(C)=CC[C@H]1C(=O)CCCC1(C)C	ZINC000036438489	IISMJRKJKIVZLL-NSHDSACASA-N	194.318	3.738	0	30	AHAC	
CCCCCCc1ccc(C)o1	ZINC000038220427	JDZXFYUVTMSRIV-UHFFFAOYSA-N	166.264	3.711	0	30	AHAC	
CCCCCCc1coc(C)c1	ZINC000038282279	GMZCGURXYLPGMR-UHFFFAOYSA-N	166.264	3.711	0	30	AHAC	
C(=C/c1ccccc1)\Cc1ccco1	ZINC000039038870	BXFPXWIUHZBALG-XBXARRHUSA-N	184.238	3.536	0	30	AHAC	
CCCc1ccc(-c2ccccc2)o1	ZINC000039038952	KAHOHUNIGHPDFE-UHFFFAOYSA-N	186.254	3.899	0	30	AHAC	
CC(C)(C)[C@H]1CC(C)(C)C(C)(C)O1	ZINC000039206171	BWKGCKTWSKBTBU-SECBINFHSA-N	184.323	3.626	0	30	AHAC	
CC(C)(C)[C@@H]1CC(C)(C)C(C)(C)O1	ZINC000039206172	BWKGCKTWSKBTBU-VIFPVBQESA-N	184.323	3.626	0	30	AHAC	
Cc1ccc(Sc2ccccc2)o1	ZINC000039274935	IQXXLSQCXVMNSK-UHFFFAOYSA-N	190.267	3.739	0	30	AHAC	
Cc1cccc2ccc3cccnc3c12	ZINC000044138538	VONPSEORNTVXQW-UHFFFAOYSA-N	193.249	3.696	0	30	AHAC	
CC(C)c1ccc(-c2cc[nH]c2)cc1	ZINC000045165724	URYGTZHIVRCCMQ-UHFFFAOYSA-N	185.270	3.805	0	30	AHAC	
C=C(CC)C1CCCCC1	ZINC000059338046	IHTZVHVTPAAFJQ-UHFFFAOYSA-N	138.254	3.533	0	30	AHAC	
[CH2-]C[C@H](C)CCCC(C)C	ZINC000059447712	PXKXBHKQFRSDKJ-JTQLQIEISA-N	141.278	3.673	0	30	AHAC	
[CH2-]C[C@@H](C)CCCC(C)C	ZINC000059447713	PXKXBHKQFRSDKJ-SNVBAGLBSA-N	141.278	3.673	0	30	AHAC	
C=C(C)c1ccc(Cl)c(C)c1	ZINC000066325665	MAOUVPKUOXOEJR-UHFFFAOYSA-N	166.651	3.682	0	30	AHAC	
Fc1ccc2cc(Cl)ccc2c1	ZINC000071256907	QWAOODAKUAYDQK-UHFFFAOYSA-N	180.609	3.632	0	30	AHAC	
C=CCC12CC3CC(CC(C3)C1)C2	ZINC000079031199	GTTBINDPHWHJKF-UHFFFAOYSA-N	176.303	3.779	0	30	AHAC	
Cc1c(C)c(Cl)ccc1Cl	ZINC000080483518	ZTGQBARLNHQDKA-UHFFFAOYSA-N	175.058	3.610	0	30	AHAC	
