smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CCCCCC1(CO)CCCCC1	ZINC000079331885	ABCHJPQOHVSJSO-UHFFFAOYSA-N	184.323	3.510	0	20	AHAD	
CCCCCCCC(N)(CC)CC	ZINC000079367088	SPLHMQWLSNJTEM-UHFFFAOYSA-N	185.355	3.864	0	20	AHAD	
C=CCCc1cccc2ccccc21	ZINC000079456896	NSXNRTMDNYHXGI-UHFFFAOYSA-N	182.266	3.958	0	20	AHAD	
CC[C@@H](C)c1ccnc2ccccc21	ZINC000079517978	WGWVEBIPUZRCJE-SNVBAGLBSA-N	185.270	3.748	0	20	AHAD	
CC[C@H](C)c1ccnc2ccccc21	ZINC000079517982	WGWVEBIPUZRCJE-JTQLQIEISA-N	185.270	3.748	0	20	AHAD	
C=CCCCOc1ccccc1Cl	ZINC000079584656	HOEVUSUSASBCRS-UHFFFAOYSA-N	196.677	3.685	0	20	AHAD	
C=CCCCOc1cccc(Cl)c1	ZINC000079584693	RLBVGRJVKPPURI-UHFFFAOYSA-N	196.677	3.685	0	20	AHAD	
C=CCCCOc1cc(C)cc(C)c1	ZINC000079584710	OIJUGXUAJHYHKE-UHFFFAOYSA-N	190.286	3.648	0	20	AHAD	
CC[C@@H](C)CNC1CCC(C)(C)CC1	ZINC000079654321	JLIWHYJYCVHWJD-LLVKDONJSA-N	197.366	3.591	0	20	AHAD	
CC[C@H](C)CNC1CCC(C)(C)CC1	ZINC000079654322	JLIWHYJYCVHWJD-NSHDSACASA-N	197.366	3.591	0	20	AHAD	
CCCCCCCOCCCCC#N	ZINC000079717441	WAEHIRQVGUMWHL-UHFFFAOYSA-N	197.322	3.667	0	20	AHAD	
C=C(C)CCCC[C@H](O)C(C)(C)C	ZINC000079741275	XZBAJCBHBVOCQN-NSHDSACASA-N	184.323	3.530	0	20	AHAD	
C=C(C)CCCC[C@@H](O)C(C)(C)C	ZINC000079741281	XZBAJCBHBVOCQN-LLVKDONJSA-N	184.323	3.530	0	20	AHAD	
CCCCCCC[C@@H]1CC[C@H](O)C1	ZINC000079983325	HJELMWIZTUTNDX-NEPJUHHUSA-N	184.323	3.508	0	20	AHAD	
CCCCCCC[C@H]1CC[C@H](O)C1	ZINC000079983327	HJELMWIZTUTNDX-RYUDHWBXSA-N	184.323	3.508	0	20	AHAD	
CCCCCCC[C@@H]1CC[C@@H](O)C1	ZINC000079983330	HJELMWIZTUTNDX-VXGBXAGGSA-N	184.323	3.508	0	20	AHAD	
CCCCCCC[C@H]1CC[C@@H](O)C1	ZINC000079983332	HJELMWIZTUTNDX-NWDGAFQWSA-N	184.323	3.508	0	20	AHAD	
C=CCCC1CCCCC1	ZINC000080087010	LXAHJTLFCWQKCR-UHFFFAOYSA-N	138.254	3.533	0	20	AHAD	
CCCNCCCC1CCCCCC1	ZINC000080209971	JNLGEJCMIPBCHK-UHFFFAOYSA-N	197.366	3.737	0	20	AHAD	
CCCCCCC[C@H](N)C1CCCC1	ZINC000080315561	SRSNEQUEWQEFKE-ZDUSSCGKSA-N	197.366	3.864	0	20	AHAD	
CCCCCCC[C@@H](N)C1CCCC1	ZINC000080315564	SRSNEQUEWQEFKE-CYBMUJFWSA-N	197.366	3.864	0	20	AHAD	
CC(C)C(=O)CCCC1CCCC1	ZINC000080384398	WTLDRSMJKAPYJG-UHFFFAOYSA-N	182.307	3.572	0	20	AHAD	
O=C1CCCC[C@@H](CC2CCCC2)C1	ZINC000080386023	NSOZCXSGBFCEAO-LBPRGKRZSA-N	194.318	3.716	0	20	AHAD	
O=C1CCCC[C@H](CC2CCCC2)C1	ZINC000080386027	NSOZCXSGBFCEAO-GFCCVEGCSA-N	194.318	3.716	0	20	AHAD	
CCCCC[C@@H]1CCCCC(=O)C1	ZINC000080386309	WOYOHLBURKDKJU-LLVKDONJSA-N	182.307	3.716	0	20	AHAD	
CCCCC[C@H]1CCCCC(=O)C1	ZINC000080386316	WOYOHLBURKDKJU-NSHDSACASA-N	182.307	3.716	0	20	AHAD	
CC(C)CCCC[C@H](N)C(C)(C)C	ZINC000080390508	XUTRAWYDXJERPA-NSHDSACASA-N	185.355	3.576	0	20	AHAD	
CC(C)CCCC[C@@H](N)C(C)(C)C	ZINC000080390512	XUTRAWYDXJERPA-LLVKDONJSA-N	185.355	3.576	0	20	AHAD	
CC[C@@H](C)c1ccc(Cl)cc1	ZINC000080401453	MXMVMPVERANRST-MRVPVSSYSA-N	168.667	3.854	0	20	AHAD	
CC[C@H](C)c1ccc(Cl)cc1	ZINC000080401455	MXMVMPVERANRST-QMMMGPOBSA-N	168.667	3.854	0	20	AHAD	
CCCCC[C@@H]1CC[C@H](NCCC)C1	ZINC000080406570	PHHDQXXATSJCDE-OLZOCXBDSA-N	197.366	3.735	0	20	AHAD	
