smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
Cc1ccc(C)c2c1N[C@H](C)C[C@H]2C	ZINC000238466459	BMCJJZXIQHQDJI-GHMZBOCLSA-N	189.302	3.611	0	10	AHAE	
CC(C)=CCC[C@]1(C)CC[C@@H](O)[C@@H]1C	ZINC000238466473	BNZVFYKYIYZKKP-YNEHKIRRSA-N	196.334	3.530	0	10	AHAE	
CC(C)=CCC[C@@]1(C)CC[C@@H](O)[C@@H]1C	ZINC000238466568	BNZVFYKYIYZKKP-XQQFMLRXSA-N	196.334	3.530	0	10	AHAE	
C[C@@H]1C[C@@H](C)[C@@H](C)Nc2ccccc21	ZINC000238466602	LZZQOTDDZQJKOM-GMTAPVOTSA-N	189.302	3.630	0	10	AHAE	
C[C@H]1CC(/C=C/Cl)C[C@@H](C)C1	ZINC000238466605	PNYKBPSFUOLKDI-ZRVCFGMJSA-N	172.699	3.811	0	10	AHAE	
C[C@H]1CC(/C=C/Cl)C[C@H](C)C1	ZINC000238466615	PNYKBPSFUOLKDI-HUGTUPKYSA-N	172.699	3.811	0	10	AHAE	
C=C/C=C/[C@H](C)CC1CCCC1	ZINC000238466724	AMDJUGLRBGFIJL-ZPMKCOPCSA-N	164.292	3.945	0	10	AHAE	
CC(C)=CC[C@@H](C)[C@@H](C)/C=C/O	ZINC000238467225	AVIRYXXKTUAHPS-SFEFJYQLSA-N	168.280	3.687	0	10	AHAE	
CC(C)=CC[C@@H](C)[C@H](C)/C=C/O	ZINC000238467314	AVIRYXXKTUAHPS-QSNNZYTBSA-N	168.280	3.687	0	10	AHAE	
C[C@H](CC=C(F)F)c1ccc(O)cc1	ZINC000238467389	XICSTQKPOZTFBB-MRVPVSSYSA-N	198.212	3.666	0	10	AHAE	
Cc1c2sccc2ccc1Cl	ZINC000238467916	NPORWPGIAMLERG-UHFFFAOYSA-N	182.675	3.863	0	10	AHAE	
C/C(=C/Cl)C1CCCCC1	ZINC000238469049	HRMOMPLPKGLEKM-FPLPWBNLSA-N	158.672	3.709	0	10	AHAE	
C/C(=C/Cl)c1ccc(C)c(C)c1	ZINC000238469143	XRWHGNSEPIVOHB-YFHOEESVSA-N	180.678	3.903	0	10	AHAE	
C/C(=C/Cl)c1ccc(C)cc1C	ZINC000238469169	QFNHQDWJOUGGKW-YFHOEESVSA-N	180.678	3.903	0	10	AHAE	
C=CCc1c(O)cc(C)c2ccccc21	ZINC000238469314	XRJAHXRIDZSXNK-UHFFFAOYSA-N	198.265	3.582	0	10	AHAE	
Cc1ccc(C)c2c1N[C@@H](C)C[C@@H]2C	ZINC000238469844	BMCJJZXIQHQDJI-QWRGUYRKSA-N	189.302	3.611	0	10	AHAE	
C[C@H]1Nc2ccccc2[C@@H](C)C[C@@H]1C	ZINC000238469999	LZZQOTDDZQJKOM-GARJFASQSA-N	189.302	3.630	0	10	AHAE	
Cc1c(Cl)cccc1OC1CCC1	ZINC000238470431	GPTCETUZWXWQOM-UHFFFAOYSA-N	196.677	3.580	0	10	AHAE	
Cc1ccc(S)c(Cl)c1Cl	ZINC000238470986	FKKCPRDQMBEBTO-UHFFFAOYSA-N	193.098	3.591	0	10	AHAE	
C[C@H]1Nc2c(ccc3ccccc23)[C@@H]1C	ZINC000238471127	LVQJJOLUIUADSD-NXEZZACHSA-N	197.281	3.757	0	10	AHAE	
C[C@H]1Nc2c(ccc3ccccc23)[C@H]1C	ZINC000238471141	LVQJJOLUIUADSD-VHSXEESVSA-N	197.281	3.757	0	10	AHAE	
C[C@@H]1C=Cc2cccn2-c2ccccc21	ZINC000238471160	LOLKMCKJTUXAKQ-LLVKDONJSA-N	195.265	3.608	0	10	AHAE	
C[C@@H]1Nc2c(ccc3ccccc23)[C@@H]1C	ZINC000238471815	LVQJJOLUIUADSD-ZJUUUORDSA-N	197.281	3.757	0	10	AHAE	
C[C@@H]1c2ccc3ccccc3c2N[C@H]1C	ZINC000238471828	LVQJJOLUIUADSD-UWVGGRQHSA-N	197.281	3.757	0	10	AHAE	
