smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
c1ccc2c(c1)N=C1CC=CC=C1S2	ZINC000000028150	QWXDTDWOYQPERX-UHFFFAOYSA-N	199.278	3.709	0	1	AHAF	in-vitro
c1scc2c1cnc1cscc12	ZINC000000480992	VNPZQSJXQLQIOC-UHFFFAOYSA-N	191.280	3.511	0	1	AHAF	
c1cc(Sc2ccsc2)cs1	ZINC000000507359	NNPKTEYAZSRKAG-UHFFFAOYSA-N	198.337	3.961	0	1	AHAF	
CC/C=C/c1ccc2ccccc2n1	ZINC000001553100	UMWRFPRAPZMEPQ-XVNBXDOJSA-N	183.254	3.658	0	1	AHAF	
CC(C)(C)COSc1ccccc1	ZINC000001557881	GDCZOCAHTVDUTA-UHFFFAOYSA-N	196.315	3.756	0	1	AHAF	
CC(C)(C)OSc1ccccc1	ZINC000001557886	XPJDIWRQMFZSFM-UHFFFAOYSA-N	182.288	3.509	0	1	AHAF	
CC(C)[C@H]1C[C@H](C(C)C)CC(=O)[C@@H]1C	ZINC000001577440	XZLVZTWMTOGKFM-GRYCIOLGSA-N	196.334	3.530	0	1	AHAF	
CC(C)(C)C(=O)C(C)(C)C(C)(C)C	ZINC000001587697	KOFIQPLLXPZPBE-UHFFFAOYSA-N	184.323	3.674	0	1	AHAF	
COC1CCC(C2CCCCC2)CC1	ZINC000001589914	IIGSGWVAPUHOKQ-UHFFFAOYSA-N	196.334	3.772	0	1	AHAF	
CC1=C2C=CCC[C@@H](C)[C@H]2CC1	ZINC000001590743	WLTLKQLUBPNLAM-BXKDBHETSA-N	162.276	3.699	0	1	AHAF	biogenic,in-vitro
CCCO[C@H]1C[C@@H]2CC[C@@]1(C)C2(C)C	ZINC000001596597	GIYOHAJEUBBQGR-GMXVVIOVSA-N	196.334	3.628	0	1	AHAF	
CCCCCc1cc(O)ccc1Cl	ZINC000001600063	XVSMMIISKLDSDG-UHFFFAOYSA-N	198.693	3.778	0	1	AHAF	
C[C@H]1CCC[C@@H](c2ccccc2)C1	ZINC000001601473	UXXPWMSRTKKHNF-WCQYABFASA-N	174.287	3.980	0	1	AHAF	
C[C@@H]1CCC[C@@H](c2ccccc2)C1	ZINC000001601474	UXXPWMSRTKKHNF-DGCLKSJQSA-N	174.287	3.980	0	1	AHAF	
C[C@H]1CCC[C@H](c2ccccc2)C1	ZINC000001601475	UXXPWMSRTKKHNF-AAEUAGOBSA-N	174.287	3.980	0	1	AHAF	
C[C@@H]1CCC[C@H](c2ccccc2)C1	ZINC000001601476	UXXPWMSRTKKHNF-YPMHNXCESA-N	174.287	3.980	0	1	AHAF	
Cc1ccc(C(C)C)cc1Cl	ZINC000001602332	JVIGKRUGGYKFSL-UHFFFAOYSA-N	168.667	3.772	0	1	AHAF	
C1C[C@@H]2CCCC3=C2[C@H]1CCC3	ZINC000001605819	CMXPBURNACVDSS-QWRGUYRKSA-N	162.276	3.677	0	1	AHAF	
C1C[C@H]2CCCC3=C2[C@@H]1CCC3	ZINC000001605820	CMXPBURNACVDSS-GHMZBOCLSA-N	162.276	3.677	0	1	AHAF	
CCC/C=C(\C)CCCC	ZINC000001606140	TZHLNYXJNGVBOJ-CSKARUKUSA-N	140.270	3.923	0	1	AHAF	
CC#Cc1ccc(-c2ccccc2)s1	ZINC000001610035	IIXLKPCNWKUVMO-UHFFFAOYSA-N	198.290	3.787	0	1	AHAF	biogenic,in-vitro
C=C(Cl)c1c(C)cc(C)cc1C	ZINC000001610638	BXIBDACKHDNZFI-UHFFFAOYSA-N	180.678	3.821	0	1	AHAF	
CC(C)[C@@H](C)C(C)(C)P(C)(C)=O	ZINC000001613080	QVUOCBYSYIICNY-SECBINFHSA-N	190.267	3.680	0	1	AHAF	
CCCCC[C@@H](C)C(=O)CCCC	ZINC000001615088	YSSLUZGVSSYHCX-LLVKDONJSA-N	184.323	3.962	0	1	AHAF	
CCCCC[C@H](C)C(=O)CCCC	ZINC000001619038	YSSLUZGVSSYHCX-NSHDSACASA-N	184.323	3.962	0	1	AHAF	
CC(C)SC(C)SC(C)C	ZINC000001621621	XCCGGSNCHLZULL-UHFFFAOYSA-N	178.366	3.616	0	1	AHAF	
CC1(C)C=CC(C)(C)c2ccccc21	ZINC000001641511	SZWTXTJZMUNNPO-UHFFFAOYSA-N	186.298	3.812	0	1	AHAF	
CCCCCCSCCC	ZINC000001653864	ABZLKKGJOVPBBL-UHFFFAOYSA-N	160.326	3.710	0	1	AHAF	
C[C@@H]1C=C[C@H](C(C)(C)C)CC1	ZINC000001656070	GLVKGYRREXOCIB-ZJUUUORDSA-N	152.281	3.635	0	1	AHAF	
