smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CCc1ccc(-n2c(C)ccc2C)cc1	ZINC000000977547	BPLGTDRZXWBASB-UHFFFAOYSA-N	199.297	3.657	10	50	AHCA	
CCCCCCCc1ccc(N)cc1	ZINC000002166827	BNEWZYZRLNNWNR-UHFFFAOYSA-N	191.318	3.782	10	50	AHCA	
Cc1ccc(C)n1-c1ccc(C)c(C)c1	ZINC000003186087	QSXYGOZVXATBIK-UHFFFAOYSA-N	199.297	3.711	10	50	AHCA	
CC(C)(C)c1ccc(CN=[N+]=[N-])cc1	ZINC000004293894	YVPUHRTVWANKKE-UHFFFAOYSA-N	189.262	3.794	10	50	AHCA	
C/C=C(\CC)c1ccc(N(C)C)cc1	ZINC000005302136	KXKHWHSAYUFNAQ-VZUCSPMQSA-N	189.302	3.566	10	50	AHCA	
Nc1ccccc1/N=N/c1ccccc1	ZINC000005421291	KQZBSZUGKSCFBL-CCEZHUSRSA-N	197.241	3.684	10	50	AHCA	
CCC(C)(C)/N=N/C(C)(C)CC	ZINC000005459752	ZGXHUGQEDPPKGZ-VAWYXSNFSA-N	170.300	3.816	10	50	AHCA	
CC(C)C[C@@](C)(C#N)/N=N/C(C)(C)C	ZINC000005759861	HSMAVZYQDXUJLK-JKJHPVACSA-N	195.310	3.565	10	50	AHCA	
CC(C)C[C@](C)(C#N)/N=N/C(C)(C)C	ZINC000005760091	HSMAVZYQDXUJLK-CLMBFONXSA-N	195.310	3.565	10	50	AHCA	
Cc1ccc(C)n1-c1cc(C)ccc1C	ZINC000008411192	VMOZKNPGXWWVML-UHFFFAOYSA-N	199.297	3.711	10	50	AHCA	
Cc1ccc(C)n1[C@@H](C)c1ccccc1	ZINC000008729247	QAWXOZABZNDGFI-ZDUSSCGKSA-N	199.297	3.714	10	50	AHCA	
Cc1ccc(C)n1[C@H](C)c1ccccc1	ZINC000008729250	QAWXOZABZNDGFI-CYBMUJFWSA-N	199.297	3.714	10	50	AHCA	
c1ccc(/N=N/Nc2ccccc2)cc1	ZINC000018044027	ALIFPGGMJDWMJH-UHFFFAOYSA-N	197.241	3.797	10	50	AHCA	
Nc1ccc(/N=N/c2ccccc2)cc1	ZINC000018060741	QPQKUYVSJWQSDY-CCEZHUSRSA-N	197.241	3.684	10	50	AHCA	in-vitro
[O-]/[N+](=N\c1ccccc1)c1ccccc1	ZINC000018117704	GAUZCKBSTZFWCT-YPKPFQOOSA-N	198.225	3.612	10	50	AHCA	in-vitro
N=Nc1ccc(Cl)cc1Cl	ZINC000021985134	QNXHDUOBEIHJOG-UHFFFAOYSA-N	175.018	3.656	10	50	AHCA	
Cc1ccc(C)n1-c1cc(C)cc(C)c1	ZINC000032009782	VOPJKGKCDWFVCZ-UHFFFAOYSA-N	199.297	3.711	10	50	AHCA	
Cc1ccc(C)n1-c1c(C)cccc1C	ZINC000032009783	DOUAJIXGFGKACP-UHFFFAOYSA-N	199.297	3.711	10	50	AHCA	
Cc1ccc(C)n1-c1cccc(C)c1C	ZINC000032009785	ZYAOBNNKTUTUJJ-UHFFFAOYSA-N	199.297	3.711	10	50	AHCA	
Cc1ccnc(/N=N/c2ccccc2)c1	ZINC000034744989	AGRIMFUJVYBAFF-CCEZHUSRSA-N	197.241	3.805	10	50	AHCA	
Cc1cccnc1/N=N\c1ccccc1	ZINC000035569731	UKDAFRKVAVNGDO-PFONDFGASA-N	197.241	3.805	10	50	AHCA	
Cc1ccc(/N=N\c2ccccc2)nc1	ZINC000035569813	ZCYIBFHOBFDPFR-PFONDFGASA-N	197.241	3.805	10	50	AHCA	
[N-]=[N+]=NCc1cccc2ccccc21	ZINC000037206919	YKTNGIJJDQMLQL-UHFFFAOYSA-N	183.214	3.650	10	50	AHCA	
Nc1cccc(/N=N/c2ccccc2)c1	ZINC000037633771	FOTUJFGXQAJEIJ-CCEZHUSRSA-N	197.241	3.684	10	50	AHCA	
Cc1ccc(-c2ccco2)n1C(C)C	ZINC000041204496	HFCOOBVGJBUGQH-UHFFFAOYSA-N	189.258	3.637	10	50	AHCA	
CCn1c(C)ccc1-c1cccs1	ZINC000041205560	BCCFKQLGROQWFO-UHFFFAOYSA-N	191.299	3.545	10	50	AHCA	
Cc1ccc(-c2ccccc2)n1C1CC1	ZINC000041209120	VTDJJPRPNHVKAL-UHFFFAOYSA-N	197.281	3.798	10	50	AHCA	
CCCn1c(C)ccc1-c1ccccc1	ZINC000041209920	MOEXBPCKBHODAA-UHFFFAOYSA-N	199.297	3.874	10	50	AHCA	
CCn1c(C)ccc1-c1ccccc1C	ZINC000041209922	RKQAHTZIIQFJTN-UHFFFAOYSA-N	199.297	3.792	10	50	AHCA	
CCn1c(C)ccc1-c1cccc(C)c1	ZINC000041209924	CGGUVNZWWKEYFS-UHFFFAOYSA-N	199.297	3.792	10	50	AHCA	
CCn1c(C)ccc1-c1ccc(C)cc1	ZINC000041209926	YFVUFCMXZZFDGS-UHFFFAOYSA-N	199.297	3.792	10	50	AHCA	
CCc1ccc(-c2ccc(C)n2C)cc1	ZINC000041209928	KMQPAFSWOWXBFV-UHFFFAOYSA-N	199.297	3.563	10	50	AHCA	
[N-]=[N+]=NCC12CC3CC(CC(C3)C1)C2	ZINC000071084460	ROYSBACOXNFZMW-UHFFFAOYSA-N	191.278	3.513	10	50	AHCA	
[N-]=[N+]=NCc1csc2ccccc12	ZINC000084718433	DPBJHWQBEWBRIC-UHFFFAOYSA-N	189.243	3.712	10	50	AHCA	
Nc1ccc(/N=N\c2ccccc2)cc1	ZINC000100004840	QPQKUYVSJWQSDY-PFONDFGASA-N	197.241	3.684	10	50	AHCA	in-vitro
Oc1ccc(/N=N/c2ccccc2)cc1	ZINC000100010406	BEYOBVMPDRKTNR-BUHFOSPRSA-N	198.225	3.808	10	50	AHCA	in-vitro
[O-]/[N+](=N/c1ccccc1)c1ccccc1	ZINC000100017510	GAUZCKBSTZFWCT-BUHFOSPRSA-N	198.225	3.612	10	50	AHCA	in-vitro
Cc1cc(Cl)cc2scc(O)c21	ZINC000100354342	DKYFBPUTEGRWLF-UHFFFAOYSA-N	198.674	3.569	10	50	AHCA	
CC(C)C[C@@](C)(C#N)/N=N\C(C)(C)C	ZINC000100436174	HSMAVZYQDXUJLK-IVPXEPLCSA-N	195.310	3.565	10	50	AHCA	
CC(C)C[C@](C)(C#N)/N=N\C(C)(C)C	ZINC000100436177	HSMAVZYQDXUJLK-LYZGCBJASA-N	195.310	3.565	10	50	AHCA	
CCN(CC)c1ccc(N=N)c(C)c1	ZINC000101013803	KTZVBDUWDXUASA-UHFFFAOYSA-N	191.278	3.504	10	50	AHCA	
Nc1ccccc1/N=N\c1ccccc1	ZINC000103691297	KQZBSZUGKSCFBL-PFONDFGASA-N	197.241	3.684	10	50	AHCA	
