smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C/C=C/[N+]([O-])=N/[C@H](C)CCCCCC	ZINC000001731949	FUYKXTQKPBIJNW-PMXUNTMQSA-N	198.310	3.841	10	40	AHCB	
C/C=C\[N+]([O-])=N\[C@H](C)CCCCCC	ZINC000017021437	FUYKXTQKPBIJNW-QTRAZNSRSA-N	198.310	3.841	10	40	AHCB	
CC12C[C@H]3C[C@@H](C1)CC(N=[N+]=[N-])(C3)C2	ZINC000017176129	ZTZVVHOMAGTOJW-IXBNRNDTSA-N	191.278	3.656	10	40	AHCB	
Oc1ccccc1/N=N/c1ccccc1	ZINC000033839053	PEXGTUZWTLMFID-BUHFOSPRSA-N	198.225	3.808	10	40	AHCB	
CC(C)[C@@H]1CC[C@@H](C)C[C@@H]1N=[N+]=[N-]	ZINC000035606043	JWXCHQXAHQOURC-UTLUCORTSA-N	181.283	3.758	10	40	AHCB	
CC(C)[C@H]1CC[C@H](C)C[C@H]1N=[N+]=[N-]	ZINC000035606046	JWXCHQXAHQOURC-IVZWLZJFSA-N	181.283	3.758	10	40	AHCB	
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1N=[N+]=[N-]	ZINC000035606049	JWXCHQXAHQOURC-KXUCPTDWSA-N	181.283	3.758	10	40	AHCB	
CC(C)[C@H]1CC[C@@H](C)C[C@H]1N=[N+]=[N-]	ZINC000035606052	JWXCHQXAHQOURC-OPRDCNLKSA-N	181.283	3.758	10	40	AHCB	
CC(C)(C)/N=N/C12CCC(CC1)C2	ZINC000039111979	GRDXETUKNUFUBK-OUKQBFOZSA-N	180.295	3.570	10	40	AHCB	
CC(C)(C)S/N=N\c1cccnc1	ZINC000039116795	JADHDNMYNBIKGJ-QXMHVHEDSA-N	195.291	3.612	10	40	AHCB	
Cl/N=N\c1nc2ccccc2s1	ZINC000045236087	UTCGFSIEHALGIH-KHPPLWFESA-N	197.650	3.534	10	40	AHCB	
CCCCCCCCN=[N+]=[N-]	ZINC000059201178	RXAHCVNYRABXLO-UHFFFAOYSA-N	155.245	3.657	10	40	AHCB	
Oc1cccc(/N=N/c2ccccc2)c1	ZINC000076495261	JJDKCHBQWVTFBN-BUHFOSPRSA-N	198.225	3.808	10	40	AHCB	
CC(C)[C@H]1CC[C@@H](C)C[C@@H]1N=[N+]=[N-]	ZINC000083260337	JWXCHQXAHQOURC-BBBLOLIVSA-N	181.283	3.758	10	40	AHCB	
CC/C=C\CC1=C(C)CCC1=S	ZINC000083310075	IRVMUSROOCPJJU-PLNGDYQASA-N	180.316	3.823	10	40	AHCB	
CC(C)[C@@H]1CC[C@H](C)C[C@H]1N=[N+]=[N-]	ZINC000083434062	JWXCHQXAHQOURC-LPEHRKFASA-N	181.283	3.758	10	40	AHCB	
[N-]=[N+]=NCc1ccc2ccsc2c1	ZINC000089195369	ZBPKOCFQXIBRCF-UHFFFAOYSA-N	189.243	3.712	10	40	AHCB	
S=Cc1cccc(-c2ccccc2)c1	ZINC000095935369	LLTKEPIILOJYBU-UHFFFAOYSA-N	198.290	3.701	10	40	AHCB	
Oc1ccc(/N=N\c2ccccc2)cc1	ZINC000100010401	BEYOBVMPDRKTNR-YPKPFQOOSA-N	198.225	3.808	10	40	AHCB	
CC(C)(C)/N=N\C12CCC(CC1)C2	ZINC000100276603	GRDXETUKNUFUBK-SEYXRHQNSA-N	180.295	3.570	10	40	AHCB	
N#CC1(/N=N\c2ccccc2)CCCC1	ZINC000100278485	ZACHRFFEASGJBN-PFONDFGASA-N	199.257	3.607	10	40	AHCB	
[O-][N+](=Nc1ccccc1)c1ccccc1	ZINC000100501879	GAUZCKBSTZFWCT-UHFFFAOYSA-N	198.225	3.612	10	40	AHCB	
Oc1ccccc1/N=N\c1ccccc1	ZINC000100854688	PEXGTUZWTLMFID-YPKPFQOOSA-N	198.225	3.808	10	40	AHCB	
Oc1cccc(/N=N\c2ccccc2)c1	ZINC000100854694	JJDKCHBQWVTFBN-YPKPFQOOSA-N	198.225	3.808	10	40	AHCB	
CC12C[C@@H]3C[C@@H](C1)CC(N=[N+]=[N-])(C3)C2	ZINC000102986823	ZTZVVHOMAGTOJW-SAAXCQNUSA-N	191.278	3.656	10	40	AHCB	
CC12C[C@H]3C[C@H](C1)CC(N=[N+]=[N-])(C3)C2	ZINC000102986827	ZTZVVHOMAGTOJW-NKVNRFPTSA-N	191.278	3.656	10	40	AHCB	
C/C=C\[N+]([O-])=N/[C@H](C)CCCCCC	ZINC000104155755	FUYKXTQKPBIJNW-RCLNTOESSA-N	198.310	3.841	10	40	AHCB	
C/C=C/[N+]([O-])=N\[C@H](C)CCCCCC	ZINC000104155760	FUYKXTQKPBIJNW-XUMHCGTHSA-N	198.310	3.841	10	40	AHCB	
